No.	Gloss	Hussainabad	Murtazabad	Haiderabad	Ganish	Nazimabad	Uyum Nagar	Hoper	Yasin Bala	Thui
42	moon	hɑ'lʌnts	hɑ'lʌnts	hɑ'lʌnts	hɑ'lʌnts	hɑ'lʌnts	hɑ'lʌnts	hɑ'lʌnts	hɑ'lʌnz	hɑ'lʌnts
43	sky	ʌs'mɑɑn	ʌs'mɑɑn / ɑ'jʌʃ	ʌs'mɑɑn / ɑ'jɛʃ	ɑs'mɑɑn	ɑs'mɑɑn / ɑ'jʌʃ	ɑs'mɑɑn / ɑ'jʌʃ	ɑs'mɑɑn	ɑ'jʌʃ / ɑs'mɑɑn	ɑ'jʌʃ / ɑs'mɑɑn
44	star	ɑsi'i	ɑsi'i	ɑsi'i	ɑsi'i	ɑsi'i	ɑsi'i	ɑsi'i	ɑ'suumun	ɑ'suumun
45	rain	hɑ'rɑlt	hɑ'rɑlt	hɑ'rɑlt	hɑ'rʌlt	hɑ'rʌlt	hɑ'rʌlt	hɑ'rʌlt	di'jɑɑrtʃ	di'jɑɑrtʃum
46	water	tsʰɪl	tsʰɪl	tsʰɪl	tsʰɪl	tsʰɪl	tsʰɪl	tsʰɪl	tsʰʌl	tsʰɪl
47	river	'sɪndʌ	'sɪndʌ	'sɪndʌ	'sɪndʌ	'sɪndʌ	'sɪndʌ	'sɪndʌ	'sʌnde	'sɪndʌ
48	cloud	qurontʂ	qu'rontʂ	qu'rontʂ	qu'rontʂ	qu'rontʂ	qʰʌ'rontʂ	qʰo'roŋ	hɑ'rʌɬt	hu'rontʂ
49	lightning	lʌm	lʌm	lʌlʌm	lʌm	lʌm	—	lʌlʌm	tʌm	lɑpflɑpf
50	rainbow	nironɑ'ɑn	nironɑ'ɑn	nironɑ'ɑɣ	niinonɑ'ɑn	niro'nɑŋ	bidʒo'on	bidʒo'on	mʌk	nʌk
51	wind	tɪʃ	tɪʃ	tiʃ	tɪʃ	tiʃ	tɪʃ	tiʃ	tɪʃ	tɪʃ
52	stone	dʌn	dʌn	dʌn	dʌn	dʌn	dʌn	dʌn	dʌn	dʌn
53	path	gʌn	gʌn	gʌn	gʌn	gʌn	gʌn	gʌn	gʌn	gʌn
54	sand	sɑo	sɑo	sɑo	sɑo	sɑo	sɑo	sɑo	sɑo	sɑo
55	fire	pʰu	pɸu	pɸu	pɸu	pʰu	pɸu	pɸu	pɸu	pɸu
56	smoke	tʰʌs	tʰʌs	tʰʌs	tʰʌs	tʰʌs	tʰʌs	tʰʌs	tʰʌs	tʰʌs
57	ash	'pʰɛtiŋ	'pʰɛtiŋ	'pʰɛtiŋ	'pʰɛtiŋ	'pʰɛtiŋ	'pʰɛtiŋ	'pʰɛtiŋ	'pʰɛtiŋ	'pʰɛtiŋ
58	mud	tsʰil'ɣiʂ / tok	tsʰil'ɣiʂ	—	tsʰɪl'ɣɪʃ	tsʰɪl'ɣɪʃ	tʃhiŋ	tʃhiŋ	tok	toq
59	dust	tik	tik	tik	tik	tik	tik	tik	tik	tik
60	gold	ʁʌniʂ	ʁɛniʂ	ʁɛniʂ	ʁɛniʂ	'ɣɛniʂ	ʁɛnɪʂ	ʁɛniʂ	'ɣʌndɪʂ	'ɣɛndɪʂ
61	tree	tom	tom	tom	tom	tom	tom	tom	drʌxt	drʌxt
62	leaf	tʌp	tʌp / kʰii	kʰɪɻ	tʌp	kʰɪɻ	tʌp / kʰɪɻ	tʌp	tʌp	tʌp
63	root	tsɪ'riʂ	tsɪ'riʂ	tsʰɪ'rɪʂ	tsɪ'riʂ	tsɪ'riʂ	tsɪ'rɪʂ	tsi'riʂ	tsɪ'rɪʂ	tsi'rɪʂ
64	thorn	tʃhʌʂ	tʃhʌʂ	tʃhʌʂ	tʃhʌʂ	tʃhʌʂ	tʃhʌʂ	tʃhʌʂ	tʃhʌʂ	tʃhʌʂ
65	flower	ɑs'qur	ɑs'qur	ɑs'qur	ɑs'qur	ɑs'qur	ɑs'qur	ɑs'qur	gʌm'buri	gʌm'buri
66	fruit	pʰʌlpʰuʈ	mi'wʌ	mi'wʌ	mi'wʌ	mi'wʌ	me'wʌ	me'wʌ	me'wɑ	mi'wʌ
67	mango	ɑ·m	ɑ·m	ɑ·m	ɑ·m	ɑ·m	ɑ·m	ɑ·m	ɑ·m	ɑ·m
68	banana	ke'lʌ	ke'lʌ	ke'lʌ	ki'lʌ	ke'lɑ	ki'lʌ	ki'lʌ	ke'lʌ	kɪ'lʌ
69	wheat	gur	gur	gur	gur	gur	gur	gur	gur	gur
70	millet	bʌɻ	bʌɻ	bʌɻ	bʌɻ	bʌɻ	bʌɻ	bʌɻ	bʌh	bʌh
71	rice	brʌs	brʌs	brʌs	brʌs	brʌs	briu	brɪu	grintʃ	grintʃ
72	potato	ɑ'lu	ɑ'lu	ɑ'lu	ɑ'lu	ɑ'lu	ɑ'lu	ɑ'lu	ɑ'lu	ɑ'lu
73	eggplant	beŋ'gʌn	beŋ'gʌn	ʂe'nʌ bɑ'logʌn	ʂɪ'nɑ 'bɑlogʌn	ʂɪ'na 'bɑlogʌn	'ʂeenʌ bɑ'logʌn	—	pʌʈigɑn	ʂe·n bɑ'logʌn
74	groundnut	muŋpʰʌ'li	mumpʰʌ'li	mumpʰʌ'li	mumpʰʌ'li	mumpʰʌ'li	mumpʰʌ'li	mumpʰʌ'li	mumpʰʌ'li	mumpʰʌ'li
75	chili	'mɑrutʃo	'mɑrɪtʃo	'mɑrɪtʃo	'mɑritʃo	'mɑrutʃo	'mɑrutʃ	'mɑrutʃo	mɑrtʃ	mɑrtʃ
76	turmeric	si'ŋur	hɑ'lɪtʂi	hɑ'lɪtʂi	hɑ'litʂi	hɑ'litʂi	hɑ'litʂi	hɑ'litʂi	zɛstʃʌ'wɑ	ʒirtʃɑ'wʌ
77	garlic	bʊq'pʌ	bʊq'pʌ	bʊq'pʌ	boq'pʌ	boq'pʌ	bʊq'pʌ	bʊq'pʌ	wʌʐ'nu	uʐ'nu
78	onion	ʁʌ'ʃu	ʁɑ'ʃu	ʁɑ'ʃu	ʁɑ'ʃu	ɣɑ'ʃu	ʁɑ'ʃu	ɣɑ'ʃu	ɣɑ'ʃu	ɣɑ'ʃu
79	cauliflower	pʰul gobi	gobi	gobi	gobi 'jɑʈumuts	tʰʌr gobi	gobi	pʰul gobi	pʰul gobi	bʌn gubi
80	tomato	bɑ'logʌn	bɑ'logʌn	bɑ'logʌn	bɑ'logʌn	bɑ'logʌn	bɑ'logʌn	bɑ'logʌn	bɑ'lugun	bɑ'lugun
81	cabbage	gobi	gobi	bʌn gobi	gobi	bʌn gobi	ɪnɑltʌʂ gobi	bʌn gobi	bʌnd gobi	gobi
82	oil (cooking)	dɛl	dɛl	dɛl	dɛl	dɛl	dɛl	dɛl	dɪl	dɪl
83	salt	bɑ'ju	bɑ'ju	bɑ'ju	bɑ'ju	bɑ'ju	bɑ'ju	bɑ'ju	bɑ'ju	bɑ'ju
84	meat	tʃhʌp	tʃhʌp	tʃhʌp	tʃhʌp	tʃhʌp	tʃhʌp	tʃhʌp	tʃhʌp	tʃhʌp
85	fat (part of meat)	bis	bis	bis	bis	bis	bis	bis	bɛs	bɛs
86	fish	'tʃhumo	'tʃhumo	'tʃhumo	'tʃhumo	'tʃhumo	'tʃhumo	'tʃhumo	'tʃhumo	'tʃhumo
87	chicken (hen)	qɑrqɑ'ɑmuts	qɑrqɑ'ɑmuts	qɑrqɑ'ɑmuts	qɑrqɑ'ɑmuts	qɑrqɑ'ɑmuts	qɑrqɑ'ɑmuts	qɑrqɑ'ɑmuts	qɑr'qɑɑmuʃ	qɑr'qɑɑmuʃ
88	one egg	ti'ŋʌn	ti'nʌn	ti'ŋʌn	ti'nʌn	ti'ŋʌn	ti'gʌn	ti'jʌn	ti'ŋʌn	ti'ŋʌn
89	cow	bu'ɑ	bu'ɑ	bu'ɑ	bu'ɑ	bu'ɑ	bu'ɑ	bu'ɑ	bi'ʌ	bi'ʌ
90	buffalo	hiʂmɑ'hiiʂ	hiʂmɑ'hiiʂ	hiʂmɑ'hiiʂ	hiʂmɑ'hiiʂ	hiʂmɑ'hiiʂ	hiiʂmɑ'juʂ	bɛ̃ns	gʌ'mɛʂ	gʌ'mɛʂ
91	milk	mɑ'mu	mɑ'mu	mɑ'mu	mɑ'mu	mɑ'mu	mɑ'mu	mɑ'mo	mɑ'mu	mɑ'mu
92	horn	tur	tur	tl'turiʂ	tur	tur	tur	tur	tur	tur
93	tail	ɪ'sumʌl	i'sumɑl	i'sumɑl	i'sumɑl	i'sumɑl	i'sumɑl	i'sumɑl	'ʃɪlʌn	'ʃɪlʌn
94	goat	tsʰi'ir	tsʰi'ir	tsʰi'ir	tsʰi'ir	tsʰi'ir	tsʰɪ'gir	tsʰɪ'gir	tsi'gir	tsɪ'gir
95	dog	huk	huk	huk	huk	huk	huk	huk	huk	huk
96	snake	tol	tol	tol	tol	tol	tol	tol	tul	tul
97	monkey	ʃɛ'di	ʃʌ'di	ʃɛ'di	ʃʌ'di	ʃʌ'di	ʃʌ'di	ʃʌ'di	'ʃʊdi	bul'jʌ
98	mosquito	ʃɪ'kʌr	'kʰiʃo	'kʰiʃo	'kʰiʃo	'kʰiʃo	'pʰitʂo	ʂɪ'qʌl	'kʰiʃo	'kʰiʃo
99	ant	kʰʊn	kʰon	kʰon	kʰon	kʰon	kʰʊn	kʰon	pɪ'liili	pɪ'liili
100	spider	pʰi'rʌn	pʰɪ'rʌn	pʰɪ'rʌn	pʰi'rʌn	pʰi'rʌn	tʌlʌ'buɖo	tʌlʌ'buɖo	gɪ'ʂʌʂkɪn	gʌ'ʂɪʂkɪn
101	name	i'ik	i'ik	i'ik	i'ik	i'ik	i'ik	i'ik	jɪk	jɪk
102	man	hɪr	hɪr	hɪr	hir	hir	hir	—	hɪr	hɪr
103	woman	gus	gus	gus	gus	gus	gus	gus	gus	gus
104	child	gɪ'jɑɑs	gɪ'jɑɑs	gɪ'jɑɑs	gɪ'jɑɑs / hɪ'lɛs	hɪ'lɛs / gɪɻɑɑs	hi'lʌs	hɪ'lɛs / gi'ɻɑɑs	hɑ'lɛs / 'dulʌs	hɑ'lɛs
105	father	ju·	ju·	ju·	ju·	ju·	ju·	ju·	'tʌti	'tʌti
106	mother	'imi	'imi	'imi	'imi	'imi	'imi	'imi	'nɑni	'nɑni
107	older brother	u'jum 'ɛtʂo	u'jum 'ɛtʂo	u'jum 'ɛtʂo	u'jum 'ɛtʂo	u'jum 'ɛtʂo	u'jum 'ɛtʂo	u'jum 'ɛtʂo	nu 'ɛtʂo	nju 'ɛtʂo
108	younger brother	dʒoʈ 'ɛtʂo	dʒoʈ 'ɛtʂo	dʒoʈ 'ɛtʂo	dʒoʈ 'ɛtʂo	dʒoʈ 'ɛtʂo	dʒoʈ 'ɛtʂo	dʒoʈ 'ɛtʂo	ɛtʂoɣʊn 'ɛtʂo	ɛtʂoɣʊn 'ɛtʂo
109	older sister	u'jum jʌs	u'jum jʌs	u'jum jʌs	u'jum jʌs	u'jum jʌs	u'jum jʌs	u'jum jʌs	nu jʌst	num jʌst
111	son	i'i	i'i	i'i	i'i	i'i	i'i	i'i	jɪ'ɪ	jɪ'ɪ
112	daughter	'ei	'ei	'ei	'ei	'ei	'ei	'ei	e'i	'ei
113	husband	mu'ujɑr	mu'ujɑr	mu'ujɑr	mu'ujɑr	mu'ujɑr	mu'ujɑr	mu'ujʌr	juhʌr	mu'juwʌr
114	wife	ju'us	ju'us	ju'us	ju'us	ju'us	ju'us	ju'us	us	us
115	boy	hi'lɛs	hi'lɛs	hi'lɛs	hi'lɛs	hi'lɛs	hi'lʌs	hɪ'lɛs	'hɑlɛs	'hɑlɛs
116	girl	dʌ'sin	dʌ'sin	dʌ'sin	dʌ'sin	dʌ'sin	dʌ'sin	dʌ'sin	dɑ'sɛn	dɑ'sɛn
117	day	gunts	gunts	gunts	gunts	gunts	gunts	gunts	gunz	gunts
118	night	tʰʌp	tʰʌp	tʰʌp	tʰʌp	tʰʌp	tʰʌp	tʰʌp	tʰʌp	tʰʌp
119	morning	'tsʰordinɛ	'tsʰordimo	'tsʰordimo	'tsʰordimo	'tsʰordinɛ	'tsʰoordi	tsʰo'ordimo	gun'tʂʌtiŋ	gun'tʂʌtiŋɛ
120	noon	du'ɣuj	du'ɣuj	do'ɣoj	—	du'ɣuj	do'ɣoj	do'ɣojmo	do'ɣoj	do'ɣoj
121	evening	ʃɑ'ɑm	ʃɑ'ɑm	sɑ'ɑsɑʈumo	ʃɑ'ɑm	ʃɑ'ɑm	ʃɑ'ɑm	ʃɑ'ɑm	ʃɑm	ʃɑm
122	yesterday	sʌbu'ur	sʌbu'ur	sʌbu'ur	sɑbu'ur	sɑbu'ur	sɑbu'ur	sɑbu'ur	sɑ'ɑtik	sɑ'ɑtik
123	today	kʰuulto	kʰuulto	kʰuulto	kʰuulto	kʰuulto	kʰuulto	kʰuulto	—	ɑkʰu'iŋ
124	tomorrow	dʒimɑle	dʒimɑle	dʒimɑle	dʒimɑle	ɟimɑle	ɟimʌle	ɟimʌle	gun'tʂʌʈ	gun'tʂʌʈ
125	week	ɑl'tɑɑŋuts	ɑl'tɑɑŋuts	ɑl'tɑɑŋuts	ɑl'tɑɑnuts	ɑl'tɑɑŋuts	ɑl'tɑɑŋuts	tʰʌ'lekuts	tʰɑ'lekuts / 'hʌftʌ	tʰɑ'lʊkuts
126	month	'hɪsɑ	'hisɑ	'hisɑ	'hisɑ	'hisɑ	'hisʌ	'hisʌ	'hisɑ	'hisɑ
127	year	jo'ol / dɛn	jo'ol	jo'ol / dɛn	jo'ol	jo'ol	jo'ol	jo'ol	din	dɛn
128	old (thing)	ne'en	ne'en	ne'en	ne'en	ne'en	ne'en	ne'en	mɑjʊn	mɑ'jɛn
129	new	tʰoʂ	tʰoʂ	tʰoʂ	tʰoʂ	tʰoʂ	tʰoʂ	tʰoʂ	tʰoʂ	tʰoʂ
130	good	ʃuɑ	ʃuɑ	ʃuɑ	ʃuɑ	ʃuɑ	ʃuɑ	ʃuɑ	ʃuɑ	ʃuɑ
131	bad	ʁuniqɪʂ	ʁu'nɛqɪʂ	ʁu'nɛqɪʂ	ʁu'niqɪʂ	ɣu'niqiʂ	ʁʌ'nɛqɪʂ	ɣo'nɛqɪʂ	ʃum	ʃum
132	wet	hɑ'jum	hɑ'jum	hɑ'jum	hɑ'jum	—	hɑ'jum	hɑ'jum	zʌ	zʌ
133	dry	ju'uɻum	ju'uɻum	ju'uɻum	ju'uɻum	ju'uɻum	ju'uɻum	ju'uɻum	bi'jʌm	bi'jʌm
134	long (horizontal)	ʁo'sɑnum	ʁo'sɑnum	ʁo'sɑnum	ʁo'sɑnum	ɣo'sɑnum	ɣo'sɑnum	ɣo'sɑnum	ɣo'sɑnum	ɣo'sɑnum
135	short	kʰuʈ	tʃhʌʈ	tʃhʌʈ	tʃhʌʈ	kʰuʈ	kʰuʈ / tʃhʌʈ	kʰuʈ / tʃhʌʈ	tʃhʌʈ	tʃhʌʈ
136	hot	gɑ'rurum	gɑ'rurum	gɑ'rurum	gɑ'rurum	gɑ'rurum	gʌ'ruum	gʌ'ruum	gʌru'um	gʌru'um
137	cold	tʃhɑ'ɣurum	tʃhɑ'ɣurum	tʃhɑ'ɣurum	tʃhɑ'ɣurum	tʃha'ɣurum	tʃhɑ'ɣurum	tʃhɑ'ɣurum	tʃhɑ'ɣoorum	tʃhɑ'ɣoorum
138	right	doɻpɑ	doɻpɑ	doɻpɑ	doɻpɑ	doɻpɑ	doɻpɑ	doɻpɑ	'doomo	'doomo
139	left	ʁɑɻpɑ	ʁɑɻpɑ	ʁɑɻpɑ	ʁɑɻpɑ	ɣɑɻpɑ	ʁɑɻpɑ	ʁɑɻpɑ	'ɣɑɑmo	'ɣɑɑmo
140	near	ɑsi'ir	ɑsi'ir	ɑsi'ir	ɑsi'ir	ɑsi'ir	ɑsi'ir	ɑsi'ir	ɑsu'ur	ɑsu'ur
141	far	mɑ'tʰʌn	mɑ'tʰʌn	mɑ'tʰʌn	mɑ'tʰʌn	mɑ'tʰʌn	mɑ'tʰʌn	mɑ'tʰʌn	mɑ'tʰʌn	mɑ'tʰʌn
142	big	u'jum	u'jum	u'jum	u'jum	u'jum	u'jum	u'jum	njũ	nju
143	small	ɟoʈ	ɟoʈ	ɟoʈ	ɟoʈ	ɟoʈ	ɟoʈ	ɟoʈ	'ɛtʃoɣʊn	'ɛtʃoɣʊn
144	heavy	tsʰu'um	tsʰu'um	tsʰu'um	tsʰu'um	tsʰu'um	tsʰu'um	tsʰu'um	tsʰu'lum	tsʰu'lum
145	light	hu'mɑlkum	hu'mɑlkum	hu'mɑlkum	hu'mɑlkum	hu'mɑlkum	hu'mɑlkum	hu'mɑlkum	hu'mɑlkum	hu'mɑlkum
146	above	jʌʈe	jʌʈe	jʌʈe	jʌʈe	jʌʈe	jʌʈe	jʌʈe	jʌʈe	jʌʈe
147	below	jɑɑre	jɑɑre	jɑɑre	jɑɑre	jɑɑre	jɑɑre	jɑɑre	jɑɑre	jɑɑre
148	white	bu'rum	bu'rum	bu'rum	bu'rum	bu'rum	bu'rum	bu'rum	bu'rum	bu'rum
149	black	mɑ'tum	mɑ'tum	mɑ'tum	mɑ'tum	mɑ'tum	mɑ'tum	mɑ'tum	mɑ'tum	mɑ'tum
150	red	'bɑɑrdum	'bɑɑrdum	'bɑɑrdum	'bɑɑrdum	'bɑɑrdum	'bɑɑrdum	'bɑɑrdum	'bɑɑrdum	'bɑɑrdum
151	one	hʌn	hʌn	hʌn	hʌn	hʌn	hʌn	hʌn	hʌn	hʌn
