No.	Gloss	Hussainabad	Murtazabad	Haiderabad	Ganish	Nazimabad	Uyum Nagar	Hoper	Yasin Bala	Thui
170	which	'ɑmis	'ɑmis	'ɑmis	'ɑmis	'ɑmis	'ɑmis	'ɑmis	'ɑmɪs	'ɑmɛs
171	this	gu'se	gu'se	gu'se	gu'se	gu'se	ku'sɛ	ku'sɛ	gʊ'sɛ	gɪ'sɛ
172	that	i'se	i'se	i'se	i'se	i'se	ɛ'sɛ	ɛ'sɛ	sɛ	sɛ
173	these	gu'tse	gu'tse	gu'tse	gu'tse	gu'tse	ku'tsɛ	ku'tsɛ	gu'tsɛ	gʊ'tsɛ
174	those	i'tse	i'tse	i'tse	i'tse	i'tse	ɛ'tsɛ	ɛ'tsɛ	tsɛ	tse
176	different	'tʰumɪʃo	'tʰumɪʃo	'tʰumɪʃo	'tʰumɪʃo	'tʰumɪʃo	'tʰumiʃo	'tʰumiʃo	tʰum	tʰum tʰum
177	whole (unbroken)	tɑzɑ	—	—	—	tɑzɑ	—	—	tɑzɑ	—
179	few	'kʌmʌn	'kʌmʌn	'kʌmʌn	'kʌmʌn	'kʌmʌn	'kʌmʌn	'kʌmʌn	—	'kʌmʌn
180	many	but	but	but	but	but	butʰ	butʰ	butʰ	butʰ
181	all	u'joon	u'joon	u'joon	u'joon	u'joon	u'joon	u'joon	sʌọ	sʌọ
182	eat!	ʂi	ʂi	ʂi	ʂi	ʂi	ʂi	ʂi	ʂe	ʂe
183	(the dog) bites	tʂʌʈ ɛtʃibi	tʂʌʈ ɛtʃibi	tʂʌʈ ɛtʃibi	tʂʌʈ ɛtimi	tʂʌʈ ɛtibi	—	tʂɑʈ ɛtʃibi	ʂɪmbi	mi'ʂutʂumbi
184	(you) are hungry	'tʂhʌmine bɑ	'tʂhʌmine bɑ	'tʂhʌmine bɑ	'tʂhʌmine bɑ	'tʂhʌmine bɑ	'tʂhɑmine bɑ	'tʂhɑmine bɑ	tʂhʌm bɑ	tʂhʌm bɑ
185	drink!	mi'nɛ	mi'nɛ	mi'nɛ	mi'nɛ	mi'nɛ	mi'nɛ	mi'nɛ	mɛ'nɛ	mɛ'nɛ
186	(you are) thirsty	gu'uɻwɑ	gu'uɻo	gu'uɻo	gu'uɻo	gu uɻum	gu'uɻ	gu'uɻ	gu'ɑnum	gu'ɑnum
187	sleep!	gojɛn	gojɛn	gojɛn	gojɛn	gojɛn	gojɛn	gojɛn	gojɛn	gojɛn
188	lay down!	dʒe'ek mɑ'nɛ	dʒe'ek mɑ'nɛ	dʒe'ek mɑ'nɛ	dʒe'ek mɑ'nɛ	dʒe'ek mɑ'nɛ	dʒe'ek mʌn	dʒe'ek mʌn	—	ɑ'rɑmut
189	sit!	uru	uru	uru	uru	huru	hu'ru	uruʈʰ	hu'ruʈ	hu'ruʈ
190	give!	o'o	o'o	o'o	o'o	o'o	ɟʌ'o	ɟʌ'o	ɑ'u	ɑ'u
191	burn! (transitive)	'ɛsqul	'ɛsqul	'ɛsqul	'ɛsqul	'ɛsqul	'ɛsqul	'ɛsqul	'ɛsqul	'ɛsqul
192	(he) died	i'irimi	i'irimi	i'irimi	i'irimi	i'irimi	i'irimi	i'irimi	ju'uri	ju'uri
193	beat!	'dɛli	'dɛli	'dɛli	'dɛli	'dɛli	'dɛli	'dɛli	dɪl	dɪl
194	(the bird) flies	du'walɟibi	du'wɑlɟibi	du'walɟibi	du'walɟibi	du'walɟibi	hɑrt	hɑrt	duwɑltʃʊm bi	duwɑltʃʊm bi
195	walk!	gu'tsʰɑr	gu'tsʰɑr	gu'tsʰɑr	gu'tsʰɑr	gu'tsʰɑr	gutsʰɑr	gutsʰɑr	gutsʰɑr	gʊn
196	run!	gɑɑrts	gɑɑrts	gɑɑrts	—	gɑɑrts	gɑɑrts	gɑɑrts	hu'wɛ	hu'wɛ
197	go!	ni	ni	ni	—	ni	nih	nih	nɛh	—
198	come!	dʐu	dʐu	dʐu	dʐu	dʐu	dʐu	dʐu	dʐu	ro
199	speak!	'tʃɑɣɑ e	'tʃɑɣɑ e	'tʃɑɣɑ e	'tʃɑɣɑ ɛ	'tʃɑɣɑ ɛ	'tʃɑɣɑ ɛti	'tʃɑɣa ɛti	—	—
200	listen! / hear!	du'kojɛl	du'kojɛl	du'kojɛl	du'kojɛl	du'kojɛl	du'kojɛl	du'kojɛl	guɬ'tumʌl ɛt	guɬ'tumʌl ɛt
201	look!	bɑ'rɛn	bɑ'rɛn	bɑ'rɛn	bɑ'rɛn	bɑ'rɛn	bɑ'rɛn	bɑ'rɛn	'ɣɑɑn	'ɣɑɑn
202	I	ɟɛ	ɟɛ	ɟɛ	ɟɛ	ɟɛ	ɟɛ	ɟɛ	ɟʌ	ɟʌ
203	you	un	un	un	un	un	um	um	un	—
205	he	in	in	in	in	in	in	in	nɛ	nɛ
206	she	in	in	in	in	in	in	in	mo	mo
207	we	mi	mi	mi	mi	mi	mi	mi	mi	mi
209	you (plural)	mɑ	mɑ	mɑ	mɑ	mɑ	mɑ	mɑ	mɑ	mɑ
210	they	u	u	u	u	u	u	u	—	—
