Gloss	Proto-Nivkh	Page
sweetbrier	*d’evi	192
swell	*təw-	192
swim or bathe	*mrə-	192
sword	*wa	192
table	*dər	192
table for eating on	*bər(ə)r	192
tail	*ŋaki	192
take (somewhere)	*to-	192
take away	*azqam-	192
take or get	*ge-	192
take off	*cəw(u)-	192
tale	*təlgu(r)	192
talk or discuss	*ɢlaj-	192
tallow or blubber	*ŋoʀ	192
taste	*amta(ŋ)	192
tasty	*hor-	192
teach	*daw-	192
tear	*n’iɣzaʀ	192
tease	*hitru-	192
tell	*pur-	192
temple bone (fish)	*hemi	192
ten	*mɣo-	192
tent	*d’ampa	192
tent flap	*gajrə	192
textile	*bos	192
thankful	*n’iɣ-	192
that	*hunt	192
that (absent)	*gunt	192
that (distant)	*eɣ-	192
then	*haŋa(n)	192
thick	*dol-, *wirkər-	192
thicket	*uzu	192
thigh	*ŋav	192
thimble	*tlə	192
thin	*hirki-	192
think	*kəmlə-	192
this	*dunt	192
thread (v.)	*ɢo-	192
thread	*kuvaŋ, *hirk	192
three	*d’e-	192
throat	*ɢorqr, *her(qr)	192
throw	*baɣz-	192
thunder (v.)	*d’i-	192
thunder (storm)	*ləj	192
tickle	*ɢom-	192
tidy up	*prə-	192
tie	*buk-	192
tie or bind	*hup-	192
tie belt	*biɣv-	192
tiger	*at	192
tight	*otom-	192
tighten	*ol-	192
time	*ərŋ	192
tin	*tac	192
tinder	*evrq	192
tinder pouch	*mlə	192
tip or end	*aɣ	192
tired	*per-	192
toad	*miri	192
tobacco	*damx	192
tomorrow	*bat	192
tomtit	*zaq	192
tongue	*hilɣ	192
tooth	*ŋaɣzər	192
top of boot	*gizŋa	192
top of tree	*d’a(ŋ)ɣ	192
torment	*siŋru-	192
(be) torn	*waʀc-	192
touch or agitate	*tʀop-	192
tow along shore	*mɣəl-	192
town	*χotaŋ	192
toy	*laqr	192
trail or road	*d’iv	192
trap	*av(i)ŋ	192
(fox) trap	*qarm(l)	192
tread on	*kiru-	192
tree or wood	*d’iɣar	192
(thorny) tree	*kəzm	192
tribe	*qalŋ	192
trough	*orŋ	192
trousers	*war	192
trout	*loŋr	192
true or right	*maɣ(tur)	192
tundra	*dəj	192
Tungus	*gilŋ	193
turn	*pirk-	193
turn or spin	*məw-	193
turn over	*bəlŋ-	193
twenty	*meʀ	193
twig or stick	*ŋakr	193
twin	*doŋr	193
twine	*matawz	193
twist or weave	*gev-	193
two	*me-	193
unchain	*comru-	193
uncle	*apak	193
undress	*par-	193
unripe	*ɢala-	193
unsuitable	*tarɣi-	193
untie	*dəru-	193
until now	*napə	193
up	*ki-, *taga	193
upriver	*ke-	193
urine	*ki	193
use or wear	*kir-	193
(be) used to	*daw-	193
(stream) valley	*ŋaju	193
very	*maɣn	193
very or especially	*lele	193
vicious	*bari(vari)-	193
village	*wo	193
visit	*laɣ-	193
visit (as guest)	*cma-	193
voice	*aw	193
waist	*un’	193
wait	*ŋarma-	193
walk or go	*amam-	193
wall	*ŋaɣr	193
walrus	*cuɣnəɣ	193
want	*aɣn’(i)-	193
warm	*dak-	193
wart	*jarq	193
wash	*ɢaqv-	193
wash or clean	*d’u-	193
wash clothes	*cʀoj-	193
wasp or bee	*χar	193
watch	*n’u-, *ama-	193
watch or observe	*daʀr-	193
watch over	*atŋu-	193
watchful	*taŋra-	193
water	*caʀ	193
(expanse of) water	*dol	193
wave	*lar	193
we (inclusive)	*mirn	193
we two	*mengin	193
well or hole in ice	*catə	193
well then	*hala	193
wet	*cav(cav)-	193
whale	*geŋ	193
what	*tunt	193
what kind	*tamci-	193
wheel	*gulɣu(l)r	193
when	*aɣr	193
where	*ta-	193
whetstone	*cav	193
which	*tant	193
whine or growl	*oŋju-	193
whirlpool	*pol(vol)ʀ	193
whistle	*pevr	193
white	*ɢon-	193
white or light	*dovla-	193
white (animal skin)	*cagd’a(la)	193
whitefish	*waɣr	193
who	*nar	193
whole	*data-	193
wide	*wer-	193
willow	*gujŋi	193
win or beat	*kə-	193
wind	*la	193
(east or side) wind	*claŋi	193
(east or north) wind	*lamr	193
(southeast) wind	*ŋalɣəvr	193
wind (up)	*davʀ-	193
window or glass	*paχ	193
wing	*ŋajɣəř	193
winter	*tul(u)v	193
wipe or rub	*pez(pez)-	193
wolf	*liɣr	193
woman	*taŋq	193
woodpecker	*olr	193
work	*orbot-	193
work on or exploit	*tɣop-	193
world or universe	*gurŋ	193
worm	*cɣevr	193
worm or (crawling) insect	*perŋ	193
(intestinal) worm	*ɢorŋi	194
worry	*gəɣcu-	194
wound	*təv	194
wrap	*ŋav-	194
wrist	*dorpaŋ	194
write	*daju-	194
