English gloss	Chinese gloss	Proto-Ong-Be	Changliu (長流)	Yongxing (永興)	Longtang (龍塘)	Qiaotou (橋頭)	Huangtong (皇桐)	Xinying (新盈)
outside	外面	*ʔuːk D1	pʰiaŋ³ ʔuk⁷	haŋ⁵⁵ ʔik⁷ʼ	hɛŋ² ʔok⁷ʼ	ɗɔŋ² ʔuk⁷	ʔuk⁷ nin⁴	pʰiak⁸ ʔuk⁷
month	月份	*ŋiːt D2	ŋit⁸	ŋit⁸	ŋit⁸	ŋit⁸	ŋit⁸	ŋit⁸
year	年	*vəːj A2	ɓɛi²	vɛi²	vɛi²	vəi²	vəi²	vəi²
morning	早上	*tsaːw BC1	zan² tsaw³	ɗa¹ tsaw³	ɗa¹ʼ ɓɐk⁸ʼ tsaw³	tsaw³ tsaw³	tsaw³ tsaw³	tsaw³ tsaw³
afternoon	下午	*tsəw A2	zan² tsew²	ɗa³ tsɔw²	--	vən² tsɔw²	vən² tsɔw²	vən² tsɔw²
night	夜晚	*kəm BC2	kim⁴	kom⁴	kom⁴	kom⁴	kɔm⁴	kɔm⁴
the day after tomorrow	後天	*zəː A2	ɗɔŋ⁵⁵ ze²	ɗɔŋ⁵⁵ zɔ²	ɗɐŋ⁵⁵ zɔ²	ɗɔŋ²¹ ʑo²	ɗɔŋ³ lɔ²	ɗɔŋ³ lɔ²
the day before tomorrow	大後天	*luː BC1	ɗɔŋ⁵⁵ lo³	ɗɔŋ⁵⁵ lɔw³	ɗɐŋ⁵⁵ lɔw³	ɗɔŋ⁴ lɔw³	ɗɔŋ³ lɔw³	ɗɔŋ³ lɔw³
tomorrow	明天	*vɨn A2 tsəːk D2	ɓɑn² tsɛk⁸	vɔn² tsɛk⁸	vɔn² tsɛk⁸ʼ	ɓak⁷ tsək⁸	ɓak⁷ tsək⁸	ɓak⁷ tsək⁸
yesterday	昨天	*vɨn A2 vaː A2	ɓɑn² ɗa¹ -t	vɔn² va²	vɔn² va²	vən² va²	vən² va²	vən² va²
‘the day before yesterday’	前天	*həːn A1	ɓɑn² hən¹	vɔn² hin¹	vɔn² hin¹	vən² hən¹	vən² hən¹	vən² hən¹
the day before yesterday	大前天	*vɨn A2 zəːk BC1	--	vɔn² zɛŋ³	vɔn² zɛŋ³	vən² ʑəŋ³	vən² ləŋ³	vən² ləŋ³
east	東	*ɗuŋ A1	ɗoŋ¹	ɗoŋ¹	ɗɔŋ¹ʼ	ɗuŋ¹	ɗoŋ¹	ɗoŋ¹
west	西	*tiː A1	tɔj¹	tɔj¹	tɐj¹ʼ	tɔj¹	tɔj¹	tɔj¹
south	南	*nəm A2	nim²	nom²	nom²	nom²	nɔm²	nɔm²
north	北	*ɓəːʔ D1	ɓək⁷	ɓik⁷ʼ	ɓik⁷ʼ	ɓək⁷	ɓək⁷	ɓək⁷
