English gloss	Chinese gloss	Proto-Ong-Be	Changliu (長流)	Yongxing (永興)	Longtang (龍塘)	Qiaotou (橋頭)	Huangtong (皇桐)	Xinying (新盈)
mountain; wild	山、野外	*saŋ A1	sɑŋ¹	saŋ¹	sɐŋ¹ʼ	saŋ¹	saŋ¹ ‘wildʼ	saŋ¹ ‘wildʼ
mud	泥（土）	*ɓuŋ A2	ɓɔŋ²	ɓoŋ² ‘dustʼ	ɓoŋ²	ɓuŋ²	ɓoŋ²	ɓoŋ²
paddy field	水田	*nia A2	nia²	nia²	nia²	nia²	nia²	nia²
rain	雨	*pʰun A1	pʰɑn¹	pʰɔn¹	pʰɐn¹ʼ	fun¹	fun¹	pʰun¹
sand	沙	*taːŋ A1	taŋ¹	taŋ¹	taŋ¹	taŋ¹	taŋ¹	taŋ¹
shadow	影子	*ŋuːj A1	muj¹	muj¹	muj¹ʼ	ŋuj¹	ŋuj¹	ŋuj¹
sound; noise	聲音	*saw A1	saw¹	saw¹	sɐw¹ʼ	saw¹	saw¹	saw¹
star	星星	*hit D1	mɑk⁸ hɑt⁷	mak⁸ hat⁷ʼ	mɐk⁸ kʰɔt⁷ʼ	mak⁸ hət⁷ ‘eggplantʼ	ma² hit⁷ ‘hailʼ	ma² hit⁷ ‘hailʼ
stone	石頭	*ɗiːn A2	ɗin²	ɗin²	ɗin²	ɗin²	ɗin²	ɗin²
sun	太陽	*ɗa A1 vɨn A2	ɗa¹ ɓɑn²	ɗa¹ vɔn²	ɗa¹ vɔn²	ɗa¹ vən²	ɗa³ -t vən²	ɗa¹ vən²
water	水	*nam BC2	nɑm⁴	nam⁴	nam⁴	nam⁴	nam⁴	nam⁴
wind	風	*van BC1	ɓɑn³	van³	van³	van³	van³	van³
wings	翅膀	*ɓiːk D1	ɓik⁷	ɓik⁷ʼ	ɓik⁷ʼ	ɓik⁷	ɓik⁷	ɓik⁷
alive	活	*ʑuː BC1	zow³	zɔw³	zɔw³	ʑɔw³	ʑɔw³	ʑəw³
bad (not good)	壞	*tsəm BC2	tsim⁴	tsom⁴	tsom⁴	--	--	--
big	大	*ȵəː BC1	ne³	nɔ³	--	no³	ȵɔ³	ʑɔ³
bitter	苦	*kam A2	kɑm²	kam²	kam²	kam²	kam²	kam²
black	黑	*zam A1	zɑm¹	zam¹	zɐm¹ʼ	ʑam¹	ʑam¹	lam¹
blue	藍	*laːm A2	lam²	lam²	lam²	lam²	lam²	lam²
bright	亮	*ɓaːŋ A1	ɓaŋ¹	ɓaŋ¹	ɓaŋ¹	ɓaŋ¹	ɓaŋ¹	ɓaŋ¹
clean	乾淨	*ɓaŋ BC1	ɓɑŋ³	ɓaŋ³	--	ɓaŋ³	ɓaŋ³	ɓaŋ³
clear	清澈	*həː A1	he¹	hɔ¹	hɔ¹	ho¹	hɔ¹	--
cold	冷	*niːt D1	nit⁷	nit⁷	nit⁷	nit⁷	nit⁷	nit⁷
dead	死	*ɗaːj A1	ɗaj¹	ɗaj¹	ɗaj¹	ɗaj¹	ɗaj¹	ɗaj¹
deaf	聾	*mak D2	mɑk⁸	mak⁸	mɐk⁸ʼ	mak⁸	mak⁸	mak⁸
delicious	好吃	*ʔeːn BC1	ʔen³	ʔien³	ʔen³	ʔɛn³	ʔɛn³	ʔɛn³
drunk	醉	*məːj A2	mɛj²	mɛj²	mɛj²	məj²	məj²	məj²
dry	乾	*ziaŋ BC1	ziaŋ³	ziaŋ³	ziaŋ³	ʑiaŋ³	liaŋ³	liaŋ³
empty	空	*zəːj A1	zɯj¹	zi¹	zi¹	ʑəj¹	ləj¹	ləj¹
expensive	貴	*kʰək D2	kʰɔk⁸	kʰɔk⁸	kʰɔk⁸ʼ	xɔk⁸	xɔk⁸	kʰɔk⁸
far	遠	*liː A1	lɔj¹	lɔj¹	lɐj¹ʼ	lɔj¹	lɔj¹	lɔj¹
fast; quick	快	*kʰuaj BC1; meːŋ BC1	kʰuaj³	kʰuaj³	kʰuaj³	mɛŋ³	mɛŋ³	mɛŋ³
fat; plump	肥胖	*pʰuːj A2	pʰoj²	--	pʰuj²	pʰuj²	fuj²	pʰuj²
few; little	少	*tiːw BC1	tiw³	tiw³	tiw³	tiw³	tiw³	tiw³
firm; hard	硬	*zuaʔ D1	zuaʔ⁷	zuaʔ⁷ʼ	zuaʔ⁷ʼ	ʑuaʔ⁷	luaʔ⁷	luaʔ⁷
flat; smooth	平	*pʰiŋ A2	pʰiŋ²	pʰiŋ²	pʰɛŋ²	fiŋ²	fiŋ²	pʰiŋ²
fragrant	香	*hiaŋ A1	hiaŋ¹	hiaŋ¹	hiaŋ¹	hiaŋ¹	hiaŋ¹	hiaŋ¹
full (after eating)	飽	*kəːm A2	kom²	kum²	kum²	kəm²	kəm²	kəm²
full; filled	滿	*ɗiːk D1	ɗik⁷	ɗik⁷ʼ	ɗit⁷ʼ	ɗik⁷	ɗik⁷	ɗik⁷
green	綠	*heːw A1	hew¹	hew¹	hew¹	--	--	--
heavy	重	*kʰən A1	kʰen¹	kʰɔn¹	kʰɔn¹	xon¹	xɔn¹	kʰɔn¹
hot; to heat	熱	*luːn BC1	lun³	lun³	lun³	lun³	lun³	lun³
itchy	癢	*kum A2	kɔm²	kɔm²	kɔm²	kum²	kum²	kum²
light (not heavy)	輕	*kʰəː BC1	kʰe³	kʰɔ³	kʰɔ³	xo³	xɔ³	kʰɔ³
low	矮、低	*ɗəm BC1	ɗom³	ɗom³	ɗom³	ɗom³	ɗɔm³	ɗɔm³
male	雄性	*haːw BC2	--	haw⁴	haw⁴	--	haw⁴	haw⁴
many	多	*liaw BC2	liaw⁴	liaw⁴	liaw⁴	liaw⁴	liaw⁴	liaw⁴
mute	啞	*ŋup D1	ŋop⁷	ŋɔp⁷ʼ ‘quietʼ	ŋɔp⁷ʼ (L&Z)	ŋop⁷	ŋop⁷	ŋop⁷
narrow	窄	*tsik D1	tsek⁷	tsɛk⁷ʼ	tsɛk⁷ʼ	tsɛk⁷	ʔɛp⁸ tsɛk⁷	tsɛk⁷
new	新	*naːw BC2	naw⁴	naw⁴	naw⁴	naw⁴	naw⁴	naw⁴
old	舊	*kaːw BC1	kaw³	kaw³	kaw³	kaw³	kaw³	kaw³
old (not young)	老	*laːw BC2	law⁴	law⁴	law⁴	law⁴	law⁴	law⁴
raw	生	*zip D1	zɔp⁷	zɔp⁷ʼ	zɔp⁷ʼ	ʑəp⁷	ʑip⁷	lip⁷
red; crimson	紅、赤紅	*ziːŋ A1	ziŋ¹	--	ziŋ¹ʼ (L&Z)	ʑiŋ¹	liŋ¹ (BL)	--
ripe	熟	*ŋaw BC1	ŋɑw³	ŋaw³	ŋaw³	ŋaw³	ŋaw³	ŋaw³
rotten	腐爛	*ɗəːj A2	ɗej²	ɗɛj²	ɗɛj²	ɗəj²	ɗəj²	ɗəj²
rotten; broken	壞	*pʰaːj BC2	pʰaj⁴	pʰaj⁴	pʰaj⁴	faj⁴	--	pʰaj⁴
salty	鹹	*zaŋ BC1	zɑŋ³	zaŋ³	zaŋ³	ʑaŋ³	laŋ³	laŋ³
shallow	淺	*ɗəːn BC1	ɗɯn³	ɗin³	ɗin³	ɗən³	ɗən³	ɗən³
sick	病	*pʰiŋ BC2	pʰiŋ⁴	pʰiŋ⁴	pʰɛŋ⁴	fiŋ⁴	fiŋ⁴	pʰiŋ⁴
slim; thin	瘦	*suːm A1	sum¹	sum¹	sum¹ʼ	sum¹	sum¹	sum¹
small	小	*niːʔ D1	niʔ⁷	niʔ⁷ʼ	ni⁷ʼ	niʔ⁷	--	--
smelly	臭	*kəʔ D2	kɔʔ⁸	koʔ⁸	koʔ⁸ʼ	koʔ⁸	kɔʔ⁸	koʔ⁸
sour	酸	*hua BC1	hua³	hua³	hua³	hua³	(h)ua³	hua³
spicy	辣	*kəːn A2	--	kən²	kən²	kən²	kən²	kən²
sticky	黏	*taŋ A1	ɗɑŋ¹	ɗaŋ¹	ɗɐŋ¹ʼ	ɗaŋ¹	ɗaŋ¹	--
straight (not crooked)	直	*ɗaʔ D2	ɗɑʔ⁸	ɗaʔ⁸	ɗa(ʔ)⁸ʼ; ɗəʔ⁸ʼ	--	--	ɗaʔ⁸
sweet	甜	*liam A2	liam²	liam²	liam²	--	--	--
swollen	腫	*kət D2	kɔt⁸	kɔt⁸	kuat⁸ʼ	kɔt⁸	kɔt⁸	kɔt⁸
thin (not thick)	薄	*viaŋ A1	ɓiaŋ¹	ɓiaŋ¹	ɓiaŋ¹	viaŋ¹	viaŋ¹	viaŋ¹
tight	緊	*kəŋ A1	kɔŋ¹	kɔŋ¹	kɔŋ¹ʼ	kɔŋ²	--	kɔŋ¹
tired	累	*nuaj BC1	--	nuaj³	nuaj³	nuaj³	nuaj³	nuaj³
to arrive	到（達）	*ɗəŋ A1	ɗɔŋ¹	ɗɔŋ¹	ɗɔŋ¹ʼ	ɗɔŋ¹	ɗɔŋ¹	ɗɔŋ¹
to ascend	上（山）	*kəːn BC1	kun³	kin³	kin³	kən³	kən³	kən³
to ask	問	*təj BC1	tej³	tɔj³	tɔj³	tɔj³	tɔj³	tɔj³
to bark	（狗）吠	*saw BC1	sɑw³	saw³	saw³	saw³	saw³	saw³
to bend	彎曲	*ʔeːw A1	ʔew¹	--	ʔew¹	ʔɛw¹	ʔɛw¹	ʔɛw¹
to blink	眨	*liap D1; ȵiap D1	--	liap⁷ʼ ɗa¹	liap⁷ʼ ɗa¹; niap⁷ʼ ɗa¹	niap⁷ ɗa¹	ȵiap⁷ ɗa¹	ʑiap⁷ ɗa¹
to blow	吹	*vəw BC2	ɓew⁴	vɔw⁴	vɔw⁴	vɔw⁴	vɔw⁴	vɔw⁴
to borrow	借	*naːj BC1	naj³	naj³	naj³	naj³	naj³	naj³
to braid	編（辮子）	*laːw BC1	law³	law³	law³	law³	law³	law³
to burn	燒（稻草）	*zuːt D1	--	zut⁷	zut⁷	ʑut⁷	ʑut⁸ -t	lut⁷
to carry (by hand)	提	*ɗiːw BC2	--	ɗiw⁴	--	ɗiw⁴	ɗiw⁴	ɗiw⁴
to carry (on shoulders)	挑（擔）	*haːp D1	hap⁷	hap⁷	hap⁷	hap⁷	hap⁷	hap⁷
to castrate	閹	*ɗoːn A1	ɗon¹	ɗon¹	ɗon¹	ɗon¹	ɗon¹	ɗon¹
to chop	剁	*tsup D1	tsɔp⁷	tsɔp⁷ʼ	tsap⁷ʼ	--	--	--
to come	來	*nia A2	nia³ -t	nia²	nia²	nia²	--	mia²
to cough	咳嗽	*ʔaj A1	ʔɑj¹	ʔaj¹	ʔɐj¹ʼ haŋ¹	ʔaj¹ haŋ¹	ʔaj¹	ko² ʔaj¹
to count	數（數）	*tuan BC1	tuan³	tuan³	tuan³	tuan³	tuan³	tuan³ loan
to cover	蓋	*kʰum BC1; kʰup D1	kʰɔm³	kʰɔm³; kʰɔp⁷ʼ	kʰɔp⁷ʼ	xɔp⁷	xum³	tsum³ -i
to crawl	爬	*ləːʔ D2	--	--	--	ləʔ⁸	ləʔ⁸	ləʔ⁸
to crow	雞啼叫	*taːn A1	tan¹	tan¹	tan¹	tan¹	tan¹	tan¹
to cry	哭	*ŋaj BC1	ŋɑj³	ŋaj³	ŋaj³	ŋaj³	ŋaj³	ŋaj³
to cut	剪	*keːw A1	kew¹	kew¹	kew¹	kɛw¹	kɛw¹	kɛw¹
to descend	下（山）	*zuŋ A2	zɔŋ²	zoŋ²	zoŋ²	ʑuŋ²	ʑoŋ²	loŋ²
to dream; dream	作夢; 夢	*vən A2	ɓen²	vən²	vɔn²	von²	vɔn²	vɔn²
to eat	吃	*kən A1	kɔn¹	kɔn¹	kɔn¹ʼ	kɔn¹	kɔn¹	kɔn¹
to fight	打（架）	*kiːt D1	kit⁷	kit⁷ʼ	kit⁷ʼ	kit⁷	kit⁷	kit⁷
to float; floating	漂浮	*vaw A1	ɓɑw¹	vaw¹	ɓaw² -t	vaw¹	vaw¹	vaw¹
to flow	（水）流	*ləːj A1	le(j)¹	li¹	li¹	ləj¹	ləj¹	ləj¹
to fly	飛	*vin A1	ɓɑn¹	ɓɔn¹	ɓɐn¹ʼ	vin¹	vin¹	vin¹
to give	給	*seː A1	--	se¹	se¹	sɛ¹	sɛ¹	sɛ¹
to give away	送	*huŋ BC1	hɔŋ³	hoŋ³	hoŋ³	huŋ³	hoŋ³	hoŋ³
to gnaw	啃	*kaʔ D1	kɑʔ⁷	--	--	kaʔ⁷	kaʔ⁷	--
to go; to walk	去、走	*ɓiː A1	ɓəj¹	ɓɛj⁵⁵	ɓɐj¹ʼ	ɓɔj¹	ɓɔj¹	ɓɔj¹
to grab	抓	*həː A2	he²	hɔ²	hɔ²	ho²	hɔ²	hɔ²
to hold objects in the mouth	含	*ham A2	hɑm²	ham²	(h)am²	ham²	hɔm²	hɔm²
to knock	敲（門）	*kʰaw A1	kʰɑw¹	kʰaw¹	kʰɐw¹ʼ	kʰaw¹	xaw¹	kʰaw¹
to lick	舔	*liːm BC2	--	lim⁴	zim⁴	lim⁴	lim⁴	lim⁴
to lift	抬	*haːm A1	ham¹	ham¹	ham¹	ham¹	ham¹	ham¹
to make things dirty	弄髒	*luak D1	luak⁷	luak⁷ʼ	luak⁷ʼ	--	luak⁷ (LC)	luak⁷ (BL)
to open (doors)	開（門）	*kʰəj A2	kʰe(j)¹	kʰɔj¹	kʰɐj¹ʼ	xəj²	xəj²	kʰəj²
to pick up	撿	*hum A1	hɔm¹	hɔm¹	hɐm¹ʼ	hum¹	hum¹	hum¹
to pickle	醃	*zəːm BC2	--	--	zum⁴	--	ʑəm⁴	ləm⁴
to pinch	掐、捏	*neːw BC1	mut⁷	new¹	new³	--	--	nɛw³
to play	玩	*ȵaːm A1	nam¹	nam³³ -t	--	nam¹	ȵam¹	ʑam¹
to pound (rice)	舂（米）	*naːm A2	nam²	nam²	nam²	nam²	nam²	nam²
to pull weeds	拔（草）	*vuk D2	--	vok⁸	vok⁸	vok⁸	vok⁸	--
to put down	放	*ɓiaŋ BC1	ɓiaŋ³	ɓiaŋ³	ɓiaŋ³	ɓiaŋ³	ɓiaŋ³	ɓiaŋ³
to raise (children)	養	*tiaŋ BC2	tiaŋ⁴	tiaŋ⁴	tiaŋ⁴	tiaŋ⁴	tiaŋ⁴	tiaŋ⁴
to return (home)	回（家）	*ləŋ A1	--	liŋ¹	liŋ¹ʼ (L&Z)	--	ləŋ¹	ləŋ¹
to return (to pay back)	還	*pʰəː BC2	pʰe⁴	pʰɔ⁴	pʰɔ⁴	fo⁴	fɔ⁴	pʰɔ⁴
to ride (a horse)	騎（馬）	*kʰəːj BC2	kʰəj⁴	kʰɛj⁴	kʰəj⁴	xəj⁴	xəj⁴	kʰəj⁴
to run	跑	*ɗiaw A2	ɗiaw²	ɗew²	ɗew²	ɗɛw²	ɗɛw²	ɗɛw²
to scratch	搔	*ŋiaw A1	ŋiaw¹	ŋiaw¹	ŋiaw¹ʼ	ŋiaw¹	ŋiaw¹	ŋiaw¹ ‘itchyʼ
to sell	賣	*ʔiŋ BC1	ʔiŋ³	ʔiŋ³	ʔɛŋ³	ʔiŋ³	ʔiŋ³	ʔiŋ³
to sing (opera)	唱	*siaŋ BC1	siaŋ³	siaŋ³	siaŋ³	siaŋ³	siaŋ³	siaŋ³
to sleep	睡覺	*lap D1 suan A1	lɑp⁷ suan¹	lap⁷ʼ	lap⁷ʼ sɐn¹ʼ	lap⁷ suan¹	lap⁷	lap⁷ suan¹
to lie down	躺	*lap D1	lɑp⁷	lap⁷ʼ	lap⁷ʼ	lap⁷	lap⁷	lap⁷
to smell	聞	*niːw BC1	niw³	niw³	niw³	niw³	ŋiw³	--
to speak	說、講	*kaːŋ BC1	kaŋ³	kaŋ³	kaŋ³	kaŋ³	kaŋ³	kaŋ³
to stand	站	*zuːn A1	zun¹	zun¹	zun¹	nun¹	ȵun¹	ʑun¹
to steal	偷	*zək D2	zɔk⁸	zɔk⁸	zɔk⁸ʼ	ʑɔk⁸	lɔk⁸	lɔk⁸
to step on	踩、踐踏	*ɗək D1	ɗɔk⁷	ɗɔk⁷	ɗɔk⁷	ɗɔk⁷	--	--
to swallow	吞、嚥	*ləːʔ D1	ləʔ⁷	liʔ⁷ʼ	liʔ⁷ʼ	ləʔ⁷	ləʔ⁷	--
to swim	游（泳）	*zəːj A2	zɛ(j)²	--	zɛj²	ʑəj²	ləj²	ləj²
to take off; to remove; to untie	脫、解開	*keːʔ D1	keʔ⁷	keʔ⁷ʼ	keʔ⁷ʼ	kɛʔ⁷	kɛʔ⁷	kɛʔ⁷
to take; to fetch	拿	*ʔuː A1	ʔow¹	ʔɔw¹	ʔɔ¹	ʔɔw¹	ʔɔw¹	--
to teach	教	*maj A1	--	maj¹	mɐj¹ʼ	maj¹	maj¹	--
to tie	綁	*kat D2	kɑt⁸	kat⁸	kɐt⁸ʼ	kat⁸	kat⁸	kat⁸
to transplant (rice seedling)	種（稻）	*zəm A1	zom¹	zom¹	zom¹	ʑom¹	lɔm¹	lɔm¹
to vomit	嘔吐	*ɗuak D2	ɗuak⁸	--	ɗuak⁸	ɗuak⁸	ɗuak⁸	ɗuak⁸
to wash (clothes)	洗（衣服）	*ɗak D2	ɗak⁸	ɗak⁸	ɗɐk⁸ʼ	ɗak⁸	ɗak⁸	ɗak⁸
to wash (hands)	洗（手）	*tuːk D1	tuk⁷	tuk⁷ʼ	tuk⁷ʼ	tuk⁷	tuk⁷	tuk⁷
to wear; to put on	穿（衣）	*ɗiːŋ A1	ɗiŋ¹	ɗiŋ¹	ɗiŋ¹ʼ	ɗiŋ¹	ɗiŋ¹	ɗiŋ¹
to write	寫字	*tia BC1	tia³	tia³	tia³	tia³	tia³	tia³
wet	溼	*tsak D2	tsɑk⁸	tsak⁸	tsɐk⁸ʼ	tsak⁸	tsak⁸	tsak⁸
white	白	*pʰiak D2	pʰiak⁸	pʰiak⁸	pʰiak⁸	fiak⁸	fiak⁸	pʰiak⁸
wide	寬	*kʰuat D1	kʰuat⁷	kʰuat⁷ʼ	kʰuat⁷ʼ	xuat⁷	xuat⁷	kʰuat⁷
withered; wrinkle	枯萎、皺紋	*ȵeːw BC1	new³	new³	new³	nɛw³	ȵɛw³	ʑɛw³
yellow	黃	*laːŋ A1	laŋ¹	laŋ¹	laŋ¹	laŋ¹	laŋ¹	laŋ¹
young	年輕	*ʔuːn BC1	ʔun³	ʔun³	ʔun³	ʔun³	ʔun³	ʔun³
bamboo hat; straw hat	斗笠、草帽	*laːŋ BC1	laŋ³	laŋ³	laŋ³	laŋ³	laŋ³	laŋ³
bamboo mat	蓆子	*ziːw BC2	ziw⁴	ziw⁴	ziw⁴	ʑiw⁴	liw⁴	liw⁴
big cymbals	大鈸	*saː BC1	sa³ pʰo⁵⁵	--	sa³ pʰo²	tsa¹ -i fɔ²	tsa³	sa³ pʰo²
boat	船	*zua A2	zua²	zua²	zua²	ʑua²	lua²	lua²
bowl	碗	*huːj BC2	hoj⁴	huj⁴	huj⁴	huj⁴	huj⁴	huj⁴
bridge	橋	*kʰiːw A2	kʰew²	kʰiw²	kʰiw²	xiw²	xiw²	kʰiw²
car	車	*sia A1	sia¹	sia¹	sia¹	sia¹	sia¹	sia¹
chopping board	砧板	*tsim A1	tsɔm¹	tsɔm¹	tsɐm¹ʼ	tsəm¹	tsim¹	tsim¹
chopsticks	筷子	*səːw BC2	so⁴; səw⁴ (Xin)	səw⁴	sə⁴	səw⁴	səw⁴	səw⁴
cloth	布	*həp D2	hɑp⁸	hap⁸	hɐp⁸ʼ	hɔp⁸	hɔp⁸	hɔp⁸
clothes	衣服	*ʑua BC1	kʰo³ zua³	zua³	zua³	ʑua³	xo³ ʑua³	kʰo³ ʑua³
comb	梳子	*haj A1	hɑj¹	haj¹	hɐj¹ʼ	haj¹	haj¹	haj¹
cooking pot; wok	炒菜鍋	*ɗuː A1	ɗow¹	ɗɔw¹	ɗɐw¹ʼ	ɗɔw¹	ɗɔw¹	ɗɔw¹
cup	杯	*tsuːŋ A1	tsoŋ¹	tsuŋ¹	tsuŋ¹ʼ	tsuŋ¹	tsuŋ¹	tsuŋ¹
ditch	水溝、灌溉溝渠	*maŋ A1	maŋ¹	maŋ¹	mɐŋ¹ʼ	maŋ¹	maŋ¹	maŋ¹
fish hook	魚鉤	*tiːn BC1	tin³ ɓa¹	tin³	tin³	tin³	tin³	tin³
gong	鑼	*ləː A2	pʰaŋ³ le²	ɗuŋ³³ lɔ²	ɗuŋ⁴ lɔ²	lɔ²	lɔ²	lɔ²
hoe	鋤頭（钁）	*kuak D1	kuak⁷	kuak⁷ʼ	kuak⁷ʼ	kuak⁷	kuak⁷	--
house	房屋	*zaːn A2	zan²	zan²	zan²	ʑan²	ʑan²	lan²
iron	鐵	*heːt D1	het⁷	hiat⁷ʼ	het⁷ʼ	hɛt⁷	hɛt⁷	hɛt⁷
kitchen range	灶	*tsaːw BC1	tsaw³ lɔŋ²	tsaw³	tsaw³	tsaw³	tsaw³	tsaw³
knife	刀子	*miːt D2	mit⁸	mit⁸	mit⁸ʼ	mit⁸	mit⁸	mit⁸
long bench	長凳	*ɗəŋ BC1	ɗɔŋ³	ɗɔŋ³	ɗɔŋ³	ɗoŋ³	ɗɔŋ³	ɗɔŋ³
loom	紡織機	*ɗəːk D2	zan² ɗɛk⁸	ɗot⁸ ɗɛk⁸	zan² ɗɛk⁸ʼ (L&Z)	--	lan² ɗək⁸ (BL)	--
mortar	石臼	*huk D2	huak⁸	--	hok⁸	hok⁸	hok⁸	hok⁸
needle	針	*ŋaʔ D2	ŋɑʔ⁸	ŋaʔ⁸	ŋaʔ⁸ʼ	ŋaʔ⁸	ŋaʔ⁸	ŋaʔ⁸
