Gloss	Jiamao language	Proto-Hlai
hit	təp⁸	*tʰa:jɦ
cut rice	pʰɯ:w¹	*tʰun
light fire	tu:⁵	*ʔɯmɦ
flow	lɔ:t⁸	*C-ma:w
take	mi:²	*hmət
kill	tse:²	*ɦu:ʔ
play	liaw¹	*hrjɯ:k
get	mɯən¹	*C-m[e]:k
answer	hɔ:n⁴	*tʰin
fall	ʔa:⁵	*hla:ɦ
weave (net)	tsʰa:¹	*kʰu:t
understand	min⁴ taj²	*kʰu:ŋ
look	maj¹	*kiw
swallow	kuat¹⁰	*Ciʔə:mɦ
lick	ɬe:p⁸	*hlji:mɦ
hold in mouth	tɔm⁵	*fʰə:m
cast (seed)	ʔia¹	*fʰə:nɦ
winnow	vat⁷	*fʰənɦ
boil	puət⁸	*ɗa:n
swim	lɔn¹	*m-li:
pick up	kʰɛ:⁵ lə:w⁴	*tçʰi:wʔ
call	kow⁴	*tça:n
arrive	vow¹	*ɗa:nʔ
give	mɯan¹	*ɗɯ:
die	lɔ:t⁹	*hla:wɦ; *hlju:j
braid (large)	ta:¹	*m-li:
weave (fabric)	tsʰup⁷	*hwi:
top	law¹law¹	*pʰi:ʔ hnɯ:
front	pʰa:j⁵ tʰiəŋ⁴	*pʰi:ʔ ɗəŋ
side	pʰa:j⁵	*fʰa:ŋ
left	haj² huəj⁴	*pʰi:ʔ hwi:ŋ
everywhere	vow¹ la:j⁴	*hŋom hŋa:jʔ
inside	tsʰu:¹ ke:⁴	*pʰi:ʔ ʔu:k
outside	lɔ:w⁴	*hljɯ:n
opposite side	ʔe:k⁹	*hlɯnɦ
right	pʰa:j⁵ pet¹⁰	*pʰi:ʔ hninɦ
2 years ago	mɯ² lut¹⁰	*hmu:ɦ ɾɯ:
2 days ago	vɔ:n¹ tsu:n⁴	*hwən ɾɯ:
from before	tsʰi¹ vɔ:n¹ mɔ:⁵	*tçʰi kʰu:nɦ
last year	mɯ² lə:j⁴	*hmu:ɦ pʰənʔ
next year	ma:¹ tʰiəŋ⁴	*hmu:ɦ ɗəŋ
3 days later	kɯ² kut¹⁰	*hwən Cuɦa:t
2 days later	kɯ² ka:²	*hwən Cuɦɯ:
morning	ziaw⁴ hɔm⁴	*ka:wʔ ɗom
noon	kɯ² ɗuən⁵	*ʈʂha: hŋwən
trip clf.	lem¹	*ku:n
pile clf.	ɓa:k⁹	*C-le:p
land measure	hɯan¹	*tçʰa:n
person clf.	ŋuən¹	*tçu:n
bundle clf.	puək⁹	*ɓi:k
layer	fɯ:n⁴	*hlɯt
piece (of)	ɗat⁷	*tʰun
tree clf.	nɔ:w⁵	*kʰɯ:ŋɦ
needle clf.	tsʰin⁵	*tçʰu:ŋ
pile clf.	tsu:n⁵	*pʰəwʔ
speech clf.	tuəŋ⁵	*fʰa:k
long thing clf.	tɯj¹	*Ciɦa:ɦ
pair (of)	ʔum¹	*hlɯ:mC
