Gloss	Proto-Kra
hear	*dʒək D
hold in mouth (1)	*kom A
hold in mouth (2)	*ʔom A
kill	*p-ɣon A
know	*so A
laugh	*k-so A
lick	*lim C
love	*(h)ŋwai A/B
plant (v.)	*təm C
pluck	*bet D
rest	*(ʔ)jəŋ A/C
scold (1)	*ʔi B
scold (2)	*kən C
scold (3)	*hɲan B
see	*kai A
see (look)	*ti C
sell	*s-ɣwi A
shake/shiver	*səl B
sick	*d-ri C
sleep (1)	*ŋu B
sleep (2)	*ʔu B
smell	*mu B
split (1)	*pɣa B
split (2)	*de B
steal	*lum C
steam (v.)	*tsu C
swallow (v.)	*d-lwal C/A
take off	*klut D
teach	*tʂun A
wait	*hŋa(ɯ) A
walk	*C-pwi A
wear	*le C
weep	*ɲit D
above	*lju A
back/behind	*lon A
back/behind	*dəŋ C
before/front	*kun A
below	*ɲun B/C
day	*(h)wən A
inside	*t-luŋ C
left	*mjaŋ B
month	*m-ɖjan A
outside	*ri C
right	*(x-)mit D
that	*ʔ-ɲa C/B
this	*ʔ-ni C/B
year	*m-(p)ɣiŋ A
one	*tʂəm C
two	*sa A
three	*tu A
four	*pə A
five	*r-ma A
six	*x-nəm A
seven	*t-ru A
eight	*m-ru A
nine	*s-ɣwa B
ten	*pwlot D
hundred	*kjən A
