Chinese gloss	English gloss	Jiamao	Page no.
那	that	kɛ⁴, mɔ⁵	80
哪	where	laːi⁴	80
怎么	how	leŋ⁴laːi⁴	80
爱	love	tiaŋ⁵	80
吃	eat	tei⁵	80
吹	blow	aːu¹	80
喝	drink	ɔːk⁹	80
咬	bite	daːn¹	80
吞	swallow	kuat⁸	80
看见	see	mai¹suəŋ⁵	80
听见	hear	ŋei²	80
知道	know	min⁴taːi²	80
睡	sleep	ŋɔ⁴	80
死	die	lɔːt⁹	80
杀	kill	tse²	80
游泳	swim	kɯ²lɔn¹	81
找	search, find	liəu²	81
飞	fly	fin⁴	81
走	go	pai¹	81
来	come	mɯŋ⁴	81
躺	lie down	ŋɔ⁴	81
坐	sit	tsiəŋ¹	81
站	stand	suːn¹	81
给	give	mɯan¹	81
说	say	hu¹	81
烧	burn	tsei¹	81
数	count	kʰa⁴	81
砍	cut (tree)	tʰaːn¹	81
落	fall, drop	dɔːk⁹	81
怕	fear	tʰɔ⁴	81
打	hit	təp⁸	81
挖	dig	tau¹	81
打架	fight	təp⁸tʰa¹	81
漂浮	float	fu⁴	81
转	turn	van¹	81
拉	pull	tɔŋ¹	81
推	push	sɯəi¹	81
擦	wipe	suaʔ⁷	81
打猎	hunt	tuən²	81
笑	laugh	tsou¹	81
戳	poke	saːŋ⁵	81
拿	take	kʰɛ⁵	81
缝	sew	bɔk⁹, ȵɔːp⁹	81
玩	play	liau¹	81
唱	sing	saŋ¹	81
吐	vomit	ɔŋ¹, pʰi¹	81
裂	split (open)	dua⁴	81
吸	suck	tan¹, tʰaːu⁵	81
压	press	tet⁷	81
洗(菜)	wash (vegetables)	uət⁹	81
洗(衣)	wash (clothes)	sa⁵	81
洗(澡)	bathe	ɯp⁹	81
在	at, in	su¹	81
捆	toe	kʰɔːp⁹	81
追	chase	pʰeːk⁹	81
扔	throw	fat⁷, fit⁷	81
流	flow	lɔːt⁷	81
多	many	tʰei⁴	81
少	few	lim⁵	81
大	big	lo¹	81
小	small	təːk⁸	81
长	long	tou⁴	81
短	short	tʰa¹	81
红	red	tʰɯːu¹	81
绿	green	laːk⁸	81
黄	yellow	tsai⁴	81
白	white	kʰou¹	81
黑	black	sei¹	81
苦	bitter	ziam⁴ ~ jam⁴	81
甜	sweet	tɯːʔ⁷	81
辣	hot	kəŋ⁵	81
酸	sour	fou¹	81
热	hot	zuŋ¹ ~ juŋ¹	81
冷	cold	hɯai¹	81
满	full	sia⁵	81
新	new	ȵau¹	81
好	good	maŋ¹	81
坏	bad	ai¹	81
圆	round	luːi⁵	81
干	dry	kʰa¹	81
湿	wet	pəːn⁴	81
脏	dirty	siat⁷	81
聪明	clever	keŋ¹, tseŋ¹	81
远	far	laːi¹	81
近	near	la¹	81
傻	stupid	ŋaːŋ²	81
穷	poor	fɯːt⁸	81
窄	narrow	viːn⁵	81
宽	wide	vi⁴	81
全部	all	kɔm¹kai¹	81
尖	sharp	tsip⁷	81
平	flat	piːŋ¹	81
