Gloss	Proto-Kam-Sui
root	*kjaːŋ¹
rope	*ʔlaːk⁷
to rot	*laːn⁶
rotten	*naːu⁶
scales	**krin⁵
to scare	*khjaːn⁵
to scoop	*tak⁷
to see	*ʔlun¹
to see	*ɗai³
seed	*pwan¹
rice seedling	*kla³
to sell	*kwe¹
sesame	*ʔŋra¹
shadow	*tau¹
to shake	*ŋaːu²
shallow	*m-hliːn⁵ (?)
be sharp	*hraːi⁵
to sharpen	*gwan²
sharpened, pointed	*khjam¹
spiral shell	*ɗau⁵
short	*thrin³
shuttle	*pjau⁵
younger sibling	*nu⁴
to sink	*ʔram¹
to sit	*dzuːi⁶
six	*ljuk⁸
skin	*hŋra¹
skinny, lean	*ʔrwum¹ (?)
sky	*ɓun¹
to sleep	*nuːn²
to smell	*nun⁴
snake	*dzuːi²
snow	*ʔnuːi¹
soak, pickle	*hma⁵
socks	*maːt⁸
soft	*ʔma³
sour	*khjum³
sparrow	*tljaːi³ (?)
spicy (hot)	*m-hljaːn⁵
to split	*pha⁵
to split	*hmaːk⁷
sprout, a	*ŋa²
stake, post	*khlak⁷
star	*ʔdraːu¹
star	*hmlut⁷
to stay, live	*ŋjaːu⁶
to steal	*hljak⁷
stomach	*luŋ²
straw	*mpwaːŋ¹
stream	*kruːi³
to stuff	*kjak⁷
to stuff	*hwit⁷'
sugar cane	*ʔuːi³
a swallow	*ʔiːn⁵
to sweep	*phjit⁷ (?)
sweet	*khwaːn¹
tail	*khjut⁷
to take	*ʔaːu¹
taro	*ɓraːk⁷
thick	*ʔna¹
thick, viscous	*ʔnak⁷
thin	*ɓwaːŋ¹
this	*naːi⁶
thunder	*tiːn³
thunder	*lai⁶
thunder, lightning	*pra³
tiger	*mum⁴
tired	*khwe³
tired	*ʔni⁵
tongue	*ma²
tooth	*pjwan¹
trace, dregs	*hȵa⁵
tree, wood	*mai⁴
to twist	*kjaːt⁷
two	*hra¹
uncle	*ta¹
upside down	*kam³
to use	*juŋ⁶
vegetable	*ʔma¹
vestige	*hruːi¹
village	*ɓaːn³
to vomit	*trwak⁷
to wait	*kra³
to walk, crawl	*chaːm³
to want	*aːu¹
to wash clothes	*ʔlak⁷
to wash hands	*zuːk
water	*ȵam³
we (incl.)	*traːu¹
to wear	*tan³
