English gloss	Proto-Hlai
sibling (younger)	*aRuːŋA
soul	*ukɨA
taboo	*ukəuB
they, others	*arauB
thief	*(ʔ)buiA
we	*aRauA
widow	*aməːiC
you	*mɨA
new	*alaːuC
new	*amaːnA
new	*nəuC
numb	*ananB
old	*kauB
old (person)	*ajaA
old (thing)	*giːnC
poor, end	*aʋaːt
raw	*uriːp
rich	*aʋaːŋA
ripe, cooked	*upuiA
rotten	*ugaːuC
round	*ukumA
rusty	*alaːc
salty	*ukaːnC
shallow	*ʔtɨnC
sharp	*cəmA
short (height)	*talC
short, brief	*(ʔ)tac
sick	*(i)tuk
skinny	*liC
full, satisfied	*ləmA
full	*tiːk
gluttonous	*laːɲA
good	*alinA
green	*kiːuA
hard	*cənC
heavy	*kɨnA
high	*paːk
hot	*utauC[5]
hungry	*aranA
idle	*mauC
lame	*ikaːŋB
light, a.	*kalC
light, thin	*(ʔ)dac
long	*anaːuC
narrow	*(ʔ)biːp
naughty	*ilaiA
near	*pəlalC
smooth	*giːt
soft, fresh	*pəlɨːk
sour	*upaC
spicy	*aRit
straight	*muːc
surplus	*ilaA
thick	*naA
thin	*aRɨA
thin, slender	*ʔuːt
tight	*amənC
ugly	*mɨːnA
unwilling	*ʔaiC
vast, broad	*(ʔ)baːŋA
vertical	*arinB
warm	*alunB
wet	*amanC
white	*kaːuA
yellow	*ilaːŋA
advance	*aluːt
arrange	*aRaiA
ascend	*kaːnA
ask	*ilaiA
ask	*agaːmA
bail (water)	*awiːt
bathe	*ʔaːp
bend, break	*ŋuːC
blow away	*pəliu⁵
boil, v.	*(ʔ)bauC
braid, rub	*(ʔ)pac
break	*ʔpənC
bum	*ʔcuiC
bum, ignite	*ʔbaŋA
bury	*gumA
buy	*atac
carry	*awəːiC
carry on pole	*ataːp / *caːp
carry on shoulder	*(ʔ)biːk
castrate	*(ʔ)dɨːnA
change	*ilalB
change (clothes)	*lauA
chew	*saːk
chop	*(ʔ)buːŋA
chop	*aʋənA
close, vt	*alunA
close, shut	*ŋat
comb	*saːŋA
come	*(ə)mɨːnA
come to head	*(ʔ)bauA
cook, boil	*arəŋA
copula	*manA
copula (negation)	*ugaiB
cover	*apəŋB
cover up	*sumA
cross	*ikaːmB
crow, v.	*ikənA
crow, v.	*arəŋA
cut	*(ʔ)kiːuB
cut	*akuːc
cut up	*aliːt
cut, chop	*(ʔ)biːuC
desire, want	*(ʔ)dɨA[6]
die	*alaːuB
discard, let go	*(ʔ)pɨːŋC
draw (water)	*(ʔ)bək
draw (water)	*ʔduk
dream	*apanA
drill	*sauA
drink	*ikaːuA
drive out	*luːiC
drown, submerge	*awac
dry by fire	*aRɨmC
dust, v.	*apuːŋC
eavesdrop	*pək
exchange	*pəlaiA
expose, reveal	*ukaːuB
fall down	*aluːnB
fall, drop	*ʔtuk
fan, winnow	*awuŋC
fear	*(ʔ)daC
fill	*lɨːp
finish	*baːiC
fish, v.	*aruŋC
fix, erect	*ŋap
float, flutter	*lit
flow	*maːuA
fly, v.	*(ʔ)binA
forget	*IɨːmB
glue, stick	*kaːt
gnaw	*ukət
go	*akiA
go, walk	*apiA
go upstream	*janC
grind, pound	*luːnA
growl, roar	*akuk
hang	*ariːŋC
hatch	*(ʔ)pək
hatch	*muk
hear	*pəlɨA
heat	*arəmC
herd, graze	*tauC
herd	*luːt
hide	*maɲA
hit, strike	*(ʔ)taːiB
hit target	*ləmA
hold, grasp	*amək
hold in mouth	*ŋaːnA
hunt	*aRip
hush up	*apiːnB
inlay	*pəlumA
instruct	*ŋanC
join, link	*atuːnC / *cuːnC
jump	*juːnC
kill	*akauC
know	*(ʔ)kuːŋA
know	*uRɨA
lead	*utunA
leak	*ikap
leak	*araɲA
lie on stomach	*ukəmC
lift	*ataːmA
look at	*iluːiC
make fun of	*ukəŋA
mark, v.	*pəluːk
mend	*ariːmB
nip	*daɲC
pull, tow	*ajiːt
pull out	*(ʔ)kaC
put in	*luːC
pick	*(ʔ)paC
pick	*aŋauA
pileup	*agəp
place, put	*apat
plait	*pəliA
plant, sow	*uRaA / *ugaA
plow share	*ʔdiːk
pluck	*aruA
praise	*awaiA
press down	*maC
pull	*aRiuB
ransom	*atəmC
remove	*ilaːuB
replant	*ʔdap
request	*aRaiC
return, vt.	*sut
reverse	*pəlumA
rise, get up	*uʔalB
roll over	*pəliːnA
rot	*tuiA
run	*uRuB
scold	*ʔanB
see	*laːiC
select	*laɲA
sell, exchange	*aRiːuC
sew	*ɲap
shake, shiver	*ɲanA
shout	*awuiC
sink	*jənA
sip	*cɨp / *atɨp
sit	*juŋC
sleep	*(ə)ŋɨuB
sleep	*jənA
sleep, doze off	*ŋut
sleep talk	*apiŋC
smell, sniff	*akaːiA
smoke, vt.	*cauB / *atauB
snore	*uraːnA
soak	*(ʔ)dəmC
soak	*aruk
sow	*apənB
speak	*ariːnA
spew	*alaːuA
stand	*juːnA
stay	*ajauA / *ɨu
steal	*iluk
steam	*iʔunB
sting	*cəŋC / *atəŋC
stir fry	*gaːŋA
stop, vi	*ŋaːC
store (water)	*uraːŋC
suck	*iruːC
swallow, v.	*iʔəmB
sweep	*guC
swim	*pəliA
take	*ciːuC / *atiːuC
take out	*akuc
thread	*suk
threaten	*ʔɨːŋA
tie	*apət
tie, fasten	*ŋənB
turn, shift	*iʔaiA
twist	*ikaɲC
uncover	*pəlaB
unfold	*uʔaB
vomit	*apaːk
wait	*(ʔ)tauC
wallow in mud	*iʔuŋC
wash	*ʔuːt
wash (clothes)	*sək
wash (hand)	*ɨpɨːp
weave, plait	*utɨːk
weave, plait	*(ʔ)panA
weave (net)	*(ʔ)kuːt
weave, spin	*awiA
wear	*cat
wear	*ukaːŋA
wear, put on	*ŋwəuC
weep	*ŋaiC
whet	*uraA
whip	*apiːt
wind, v.	*apiːt
wind around	*awiːŋA
wink	*laŋC
wrap	*tuːk
yawn	*gaːuA
yawn	*aŋaːp
above	*anɨA
already, finished	*baːiC
animal, clf.	*amanA
bedding, clf.	*ikənA
before	*kuːnB
chicken, clf.	*laŋA
day	*awanA
end	*(ʔ)kiC
handspan	*ukɨːp
instances, clf.	*upaːiA / *upəːiA
left side	*awiːŋA
line, row	*aRəːiB
night, evening	*cap
side	*ŋaːiC / *ŋəːiC
side (reverse)	*pəlɨt
that	*maB
this	*niB
tomorrow	*akəuB
trousers, clf.	*ikaB
used to	*araːiB
which, what	*araC
yesterday	*panC
one	*cɨC
two	*alauC
three	*utuC
four	*atəuC
five	*amaA
six	*(ə)numA
seven	*ʔtuA
eight	*aRuA
nine	*upalC
ten	*apuːc
hundred	*uRaːnA
pair	*alɨːmC
