No.	Chinese gloss	English gloss	Proto-Hlai	Pre-Hlai	Hlai subgroup reconstructions	Jiamao
293	打滾	roll (a child)	*m-liːn	*m-liːn		[lam¹]lin¹
294	打滾	roll			GHl *Ciʔoŋʔ	[tsaːm⁴]
295	打哈欠	yawn	*kaːw	*Cəʔgaːw		hɔː⁵
296	打哈欠	yawn	*hŋaːp	*ŋaːp		hɔːp⁸
297	打鼾	snore	*ɾəːŋ	*C-[d/ɖ]əːŋ		
298	打鼾	snore	*Cuɾaːn	*Cu[d/ɖ]aːn		lɯːn⁴
299	打(記號)	make a mark	*m-luːk	*m-luːk		[təp⁸]
300	打開	open	*C-ŋaːɦ	*C-ŋaːɦ		ʔow¹
301	打開	open			CHl *Cuʔaːɦ	
302	打獵	go hunting	*hrip	*rip		[tuən²]
303	打噴嚏	sneeze	*tçʰinɦ	*[c/ç]inɦ		tsʰit⁷
304	打噴嚏	sneeze			GHl *ɗəɲ	tɯən¹
305	打水	fetch water			GHl *ɓəːk	[tɔːp⁹]
306	打聽	inquire	*ɦiːŋ[ʔ]	*C-ɣiːŋ[ʔ]		[ŋej²]
307	打聽	inquire			GHl *hljəj	
308	打圍	surround	*hɲaːwʔ	*ɲaːwʔ		nəːw²
309	大	big	*C-luŋ	*C-luŋ		loː¹
310	大大后天	three days after tomorrow	*hŋwən	*ŋwən		[kɯ²]
311	大大后天	three days after tomorrow			CHl *hməjʔ	
312	大大后天	three days after tomorrow	*Cuɦaːt	*Cuɣaːt		[kut¹⁰]
313	大大后天	three days after tomorrow			CHl *Cuɦiːt	
314	大后天	two days after tomorrow	*hŋwən	*ŋwən		[kɯ²]
315	大后天	two days after tomorrow			CHl *hməjʔ	
316	大后天	two days after tomorrow	*Cuɦɯː	*Cuɣɯː		[kaː²]
317	大后天	two days after tomorrow			NCHl *C-ɲɯː	
318	大前年	three years ago	*hmuːɦ	*muːɦ		mɯ²
319	大前年	three years ago			ECHl *ɾɯː	[lut¹⁰]
320	大前年	three years ago			NCHl *tçʰɯːn	
321	大前天	three days ago	*hŋwən	*ŋwən		vɔːn¹
322	大前天	three days ago			ECHl *ɾɯː	[tsuːn⁴]
323	帶領	to lead			GHl *ɦun	luəj²
324	帶領	to lead			Qi *hrujʔ	
325	帶子	belt	*ɗəːj	*Cəʔdəːj		tɯj¹
326	戴	wear (hat)	*Cuŋəwʔ	*Cuŋəwʔ		ɲiaw¹
327	戴	wear (hat)			Qi *Cuhr[a]ːŋ	
328	戴	wear (necklace)	*kʰiːnʔ	*[k/x]iːnʔ		[tuəj¹]
329	戴	wear (earrings)	*C-miːŋ	*C-miːŋ		[tuəj¹]
330	膽	gall bladder	*ɗəj	*Cəʔdəj		tiː¹
331	淡	insipid	*ɗəc	*Cəʔdəc		tsia²
332	蛋/卵	egg	*hjɯːm	*jɯːm		tsum¹
333	擋	block	*ɓəːmɦ	*Cəʔbəːmɦ		
334	擋	block			NCHl *ɓiːnɦ	
335	刀	knife (large)	*kaːʔ	*Cəʔgaːʔ		
336	刀鈎	knife hook	*ɗeːwɦ	[*Cəʔdɛːwɦ]		
337	刀篓	knife basket			GHl *m-loŋʔ	
338	刀篓	knife basket			CHl *ɾuːk	
339	倒伏	bend down	*ɗəwɦ	*Cəʔdəwɦ		
340	倒伏	bend down			GHl *ɓuːk	
341	倒塌	collapse	*tʰuːɦ	*tuːɦ		[hum²]
342	搗	pound with pestle	*sʰuːɲɦ	*suːɲɦ		
343	到處	everywhere	*hŋom	*ŋom		[vow¹]
344	到處	everywhere	*hŋa[ː]jʔ	*ŋa[ː]jʔ		[laːj⁴]
345	到處	everywhere			Run *ɾaːʔ	
346	到達	arrive	*ɗa[ː]nʔ	*Cəʔda[ː]nʔ		[vow¹]
347	稻草	straw	*Cuŋiŋʔ	*Cuŋiŋʔ		[nɔːŋ¹]
348	稻穀	paddy	*hmok	*mok		pəːk⁸
349	稻子	rice	*C-muːnʔ	*C-muːnʔ		muət⁹
350	稻子	rice			CHl *C-muc	
351	稻剪	sickle	*C-liːm	*C-liːm		lin⁴laːt⁹hup⁷
352	稻剪	sickle			GHl *kʰɯːp	
353	稻剪	sickle			NECHl *ɾeːw	
354	稻穗	ear of rice	*hɲ[a]ːŋ	*ɲ[a]ːŋ		tsiːŋ²
355	稻穗	ear of rice			NWCHl *C-muc	
356	稻穗	ear of rice	*C-miːnʔ	*C-miːnʔ		miːn¹
357	得到	get	*C-m[e]ːk	*C-m[ɛ]ːk		mɯː⁵
358	等候	await	*h[l]jəːŋ	*[Cil/j]əːŋ		tʰaw⁵
359	等候	await			CHl *tʰəw	
360	等候	await			Meifu *C-ŋəːŋ	
361	瞪眼	glare			GHl *C-laːwʔ	
362	瞪眼	glare			Run *ʔwaːwʔ	
363	低頭	lower head	*C-ŋut	*C-ŋut		[kɔŋ¹]
364	低頭	lower head			Run *Cuɦəːm	
365	滴	drip (clf.)			GHl *kʰok	
366	地	ground, earth	*Cuɾən	*Cu[d/ɖ]ən		len⁴
367	地方	place	*kom	*Cəʔgom		[len⁴]
368	弟妹	younger sibling	*hruːŋ	*ruːŋ		[nuəj⁵]
369	弟妹	younger sibling			Meifu *ʔeːŋʔ	
370	弟妹	younger sibling			Run *C-n[u/o]ŋɦ	
371	蒂	stem			GHl *kʰəːŋ	ŋaːn¹
372	蒂	stem			CHl *C-ŋən	
373	顛倒	upside-down			ECHl *m-lom	[tsaːm⁴]
374	顛倒	upside-down			CHl *m-ləj	
375	顛倒	upside-down			CHl *m-lɯn	
376	點火	ignite	*tçʰujʔ	*[c/ç]ujʔ		tsej¹
377	吊	hang	*ɾiːŋʔ	*C-[d/ɖ]iːŋʔ		lin⁴
378	釣魚	to fish	*ɾoŋʔ	*C-[d/ɖ]oŋʔ		ləŋ²
379	釣魚	to fish			Run *C-lep	
380	掉	to fall	*hlaːɦ	*laːɦ		ʔaː⁵
381	掉	to fall			Qi *ʔaːɦ	
382	跌倒	fall down	*ɗəwɦ	*Cəʔdəwɦ		ɗaːw¹
383	跌倒	fall down			GHl *hluːnɦ	[lam¹lin¹]
384	疊	pile (clf.)	*C-leːp	*C-lɛːp		[ɓaːk⁹]
385	頂	net clf.	*kʰuː	*[k/x]uː		
386	鼎鍋	tripod	*tʰəw	*təw		[tʰi¹]
387	鼎鍋	tripod			GHl *hjɯ[ː]nʔ	[ʔaːw⁴]
388	釘	to nail	*tʰut	*tut		
389	定居	settle down	*[ɾ/hr]jɯːk	*Ci[d/r]ɯːk		[liaw¹]
390	定居	settle down			GHl *[sʰ/hn]oŋʔ	
391	定居	settle down			NECHl *tçoŋʔ	
392	丟	throw away			GHl *fʰit	fit⁷
393	丟失	lose (something)	*tʰok	*tok		ɗɔːk⁹
