No.	Chinese gloss	English gloss	Proto-Hlai	Pre-Hlai	Hlai subgroup reconstructions	Jiamao
621	姑娘	girl	*ʔuːŋ	*ʔuːŋ		ʔuː¹
622	骨頭	bone	*Cuɾɯːk	*Cu[d/ɖ]ɯːk		liək¹⁰
623	古代	ancient			GHl *pʰɯːn	
624	古代	ancient			Qi *Cuɾaː	
625	古代	ancient			GHl *hjaː	
626	古代	ancient			CHl *C-maːn	
627	谷倉	granary	*hjaːwʔ	*jaːwʔ		
628	谷粒	a grain	*ɦaːp	*C-ɣaːp		[pəːk⁸]
629	鼓	drum	*C-ləŋ	*C-ləŋ		lɔːŋ¹
630	瓜棚	squash lattice	*tʰ[e]ːŋʔ	*t[ɛ]ːŋʔ		[luŋ⁴]
631	瓜棚	squash lattice			Run *tʰeːŋɦ	
632	刮	scratch	*tʰaːw	*taːw		[kɔːt⁹]
633	刮	scratch			CHl *hrɯn	
634	寡婦	widow	*hmiːʔ	*miːʔ		maːj⁵
635	寡婦	widow	*[ʈʂ/tç]hun	*[ʈ/c]un		puəj⁴
636	寡婦	widow			CHl *hməːjʔ	
637	掛	hang up	*kʰaːɦ	*kaːɦ		kap⁸
638	掛	hang up			Qi *hŋəp	
639	掛搭	set up	*ɦuːj	*C-ɣuːj		
640	關	to close	*C-ŋət	*C-ŋət		ŋat⁷
641	關	to close			NCHl *hŋəːt	
642	官	an official	*C-mun	*C-mun		[hɯa²]
643	棺材	coffin	*ʈʂhəj	*ʈəj		tsʰaj¹
644	棺材	coffin			GHl *koŋɦ	[tɔː²]
645	鰥寡	widowed			GHl *hməːjʔ	puəj⁴
646	罐子	jar	*kəj	*Cəʔgəj		[lej⁵]
647	歸還	to return (tr.)	*sʰut	*sut		tsɔk⁷
648	歸還	to return (tr.)			Run *ɾuəʔ	
649	鬼	spirit	*hwəːt	*wəːt		vɯat⁹
650	鬼	spirit			CHl *ʈʂhəːj	
651	跪	kneel	*kʰuːjɦ	*kuːjɦ		pʰut⁷
652	跪	kneel			Qi *pʰut	
653	滾	roll	*C-lun	*C-lun		[lam¹lin¹]
654	鍋	pot	*tʰəw	*təw		ɗaw¹
655	鍋巴	rice crust	*kin	*Cəʔgin		
656	鍋巴	rice crust			CHl *tʰiŋ	
657	鍋巴	rice crust	*tʰəw	*təw		
658	果子	fruit	*ʈʂhəːm	*ʈəːm		[mɯat⁷]
659	過(渡)	pass	*kuəʔ	[*Cəʔguəʔ]		kua⁵
660	過(渡)	pass			CHl *ɗuə	
661	過(渡)	pass			Qi *Cuhrəːj	
662	害羞	shy			CHl *ɾjɛːk	[paŋ¹]
663	害羞	shy	*hriː	*riː		[laː¹]
664	害羞	shy			CHl *C-laːjʔ	
665	含	contain			GHl *fʰəːm	[tɔm⁵]
666	含羞草	Mimosa pudica			CHl *hŋənʔ	kəːn⁴
667	含羞草	Mimosa pudica			GHl *tçəːn	[tʰaw¹]
668	含羞草	Mimosa pudica	*C-ŋut	*C-ŋut		ŋɔk⁷
669	汗	sweat	*C-nəmʔ	*C-nəmʔ		
670	汗	sweat	*Cuʔən	*Cuʔən		[ʔɯat⁷]
671	汗垢	dirty sweat			GHl *C-nəmʔ	naːm¹
672	汗垢	dirty sweat			GHl *tʰaːmʔ	[nɯa¹]
673	汗垢	dirty sweat	*kʰiː	*kiː		
674	旱	dry	*ɾaːnɦ	*C-[d/ɖ]aːnɦ		[kʰaː¹]
675	旱	dry			NCHl *C-ŋaːt	
676	旱螞蟥	land leech	*tʰaːk	*taːk		ɗɯa⁵
677	旱鴨	land duck	*C-ŋaːnɦ	*C-ŋaːnɦ		
678	漢人	Chinese	*C-məːj	*C-məːj		muəj¹
679	行	row (clf.)	*hrəːjɦ	*rəːjɦ		tuj⁵
680	毫豬	porcupine	*ɗəj	*Cəʔdəj		tiː¹
681	好	good	*hlin	*lin		[maŋ¹]
682	喝	drink			CHl *Ciɦaːw	
683	喝	drink	*hruːnɦ	*ruːnɦ		kuːn⁵
684	喝	drink			Meifu *kuːnɦ	
685	喝	drink	*tʰəːŋʔ	*təːŋʔ		[leŋ⁵lem¹]
686	和	and	*ʔuːŋɦ	*ʔuːŋɦ		[ɓeː¹]
687	和	and			Run *C-məj	
688	核	fruit pit	*ʔiwɦ	*ʔiwɦ		[hɯət⁷]
689	核	fruit pit			CHl *ʔuːk	
690	黑色	black	*ɗəmʔ	*Cəʔdəmʔ		[tsʰej¹]
691	橫	horizontal	*ɦən	*C-ɣən		[tiam¹]
692	烘	bake	*Cuhrɯmʔ	*Curɯmʔ		[ŋuət⁹]
693	烘	bake			GHl *ʔiːŋ	
694	紅色	red			GHl *hraːnʔ	[ɬɯːn⁴]
695	紅色	red			Qi *hlaːt	
696	紅螞蟻	red ant	*hmuc	*muc		
697	紅螞蟻	red ant	*Cuɦɯːʔ	*Cuɣɯːʔ		[kuːt⁹]
698	紅藤	red vine	*kuːŋ	*Cəʔguːŋ		kiət⁷
699	紅藤	red vine			Run *kat	
700	虹	rainbow			CHl *tçʰomʔ	tsɔŋ²
701	虹	rainbow	*ʔok	*ʔok		
702	虹	rainbow			CHl *ʈʂhun	tɔŋ¹
703	哄	coax	*tçəw	*Cəʔɟəw		tsɯt⁷
704	哄	coax			Qi *tçut	
705	喉嚨	throat			GHl *kʰəːk	[lɔːk⁸]
706	喉嚨	throat			Run *tʰiːw	
707	猴子	monkey	*C-nok	*C-nok		nɔːk⁹tsʰaːŋ¹
708	瘊子	wart	*sʰuːc	*suːc		[mɯ²tsʰiaw⁵]
709	吼	roar	*ɦok	*C-ɣok		hɔːk⁸
710	後面	rear	*pʰəjʔ	*pəjʔ		pʰaːj⁵
711	後面	rear	*[ʈʂ/tç]huɲʔ	*[ʈ/c]uɲʔ		ɗuən³
712	後面	rear			CHl *ɗuːnʔ	
713	後面	rear			NCHl *[ʈʂ/tç]hiː	
714	後年	two years later	*hmuːɦ	*muːɦ		maː¹
715	後年	two years later	*C-ɲɯː	*C-ɲɯː		naː¹
716	後天	two days later	*hŋwən	*ŋwən		[kɯ²]
717	後天	two days later			CHl *hməjʔ	
718	後天	two days later	*C-ɲɯː	*C-ɲɯː		[naː¹]
719	厚	thick	*C-naː	*C-naː		now¹
720	狐狸	fox	*hnom[ʔ]	*nom[ʔ]		[tsip⁷]
721	狐狸	fox	*C-muc	*C-muc		[tsʰuŋ¹]
722	鬍子	beard	*hmɯːmʔ	*mɯːmʔ		mum²
723	葫蘆	bottle gourd			GHl *hraːjɦ	[ɗuk⁷]
724	蝴蝶	butterfly	*hmiːʔ	*miːʔ		
725	蝴蝶	butterfly	*hljom	*Cilom		
726	蝴蝶	butterfly			Qi *kəŋʔ	[ɓaŋ⁵]
727	蝴蝶	butterfly			Qi *kəːŋ	[ɓɯa¹]
728	戶	household clf.	*ɗun	*Cəʔdun		tuŋ¹
729	戽水	bail water	*hwiːt	*wiːt		vet⁷
730	戽水	bail water			NWCHl *fʰəːj	
731	花	flower	*ʈʂh[e]ːŋ	*ʈ[ɛ]ːŋ		[ŋɯa¹]
732	花邊/紋	lace, pattern	*pʰaːnʔ	*paːnʔ		[liaw⁴ŋɯa¹]
733	滑	slippery	*kiːt	*Cəʔgiːt		ɲɯan⁵
734	滑	slippery			Qi *hɲɯːn	
735	滑脫	slip off	*m-ləc	*m-ləc		[mut⁷]
736	滑脫	slip off			Run *m-lɯt	
737	懷念	yearn	(*C-ŋup)	(*C-ŋup)		[kua⁴]
738	懷念	yearn			GHl *C-ŋuːjɦ	
739	懷孕	pregnant			GHl *ʔəːm	
740	懷孕	pregnant			Run *hj[a]ːŋʔ	
741	壞	bad	*ɾjaːk	*Ci[d/ɖ]aːk		[ʔaj¹]
742	壞(蛋)	rotten (egg)	*Cuhraːwʔ	*Curaːwʔ		[tsum¹luəŋ²]
743	緩慢	slow			GHl *hnəːŋʔ	[tsəŋ²]
744	緩慢	slow			Qi *fʰəːj	
745	換	change clothes	*C-ləw	*C-ləw		law¹
746	換	exchange			CHl *m-ləj	
747	荒地	wasteland			NCHl *ɗaːwʔ	
748	荒地	wasteland			GHl *hmuːŋ	[faː²]
749	黃蜂	wasp	*m-luː	*m-luː		law¹
750	黃蜂	wasp			GHl *tʰin	
751	黃蜂	wasp	*hmiːʔ	*miːʔ		
752	黃蜂	wasp	*C-laːɦ	*C-laːɦ		
753	黃牛	cow	*C-ɲiw	*C-ɲiw		naw¹
754	黃色	yellow	*hlj[a]ːŋ	*Cil[a]ːŋ		[tsaj⁴]
755	灰色	grey			GHl *hmaːwɦ	[pʰuː¹]
756	灰色	grey			NCHl *m-luŋɦ	
757	揮動	to wave	*hwit	*wit		[viən⁴]
758	揮動	to wave			NWCHl *ʔuːj	
759	回	trip clf.	*ɓɯːɦ	*Cəʔbɯːɦ		[lem¹]
760	回	trip clf.			GHl *kuːn	
761	回來	come back	*hmɯː	*mɯː		pəː⁴
762	回來	come back	*C-lɯːŋ	*C-lɯːŋ		
763	回去	go back	*hmɯː	*mɯː		pəː⁴
764	會	able	*kiːw	*Cəʔgiːw		kiw¹
765	會	able			NWCHl *kʰuŋ	
766	會	able			Run *hməɰʔ	
767	昏迷	unconscious	*hnəp	*nəp		
768	昏迷	unconscious			Run *hləmʔ	
769	混合	blend	*C-ɲuːk	*C-ɲuːk		[leːw¹]
770	混雜	mix			CHl *ɾom	
771	混雜	mix			CHl *ɾəp	
772	火	fire			GHl *fʰiː	paj¹
773	火把	torch	*tçʰin	*[c/ç]in		tʰam¹
774	火把	torch			Qi *tʰəm	
775	雞	chicken	*kʰəj	*[k/x]əj		kʰaj¹
776	雞冠	cockscomb (Celosia cristata)	*ɗeːɦ	*Cəʔdɛːɦ		piːw⁵
777	雞冠	cockscomb (Celosia cristata)			CHl *fʰiːwɦ	
778	雞冠花	cockscomb flower (Celosia cristata)	*ʈʂh[e]ːŋ	*ʈ[ɛ]ːŋ		[ŋɯa¹]
779	雞冠花	cockscomb flower (Celosia cristata)			CHl *fʰiːwɦ	piːw⁵
780	雞冠花	cockscomb flower (Celosia cristata)	*kʰəj	*[k/x]əj		kʰaj¹
781	雞蝨	chicken louse	*hjəwʔ	*jəwʔ		[tsʰiːt⁷fow¹]
782	雞蝨	chicken louse			Run *hjəwɦ	
783	雞窩	chicken roost	*ɾuːk	*C-[d/ɖ]uːk		luːʔ⁸
784	雞窩	chicken roost			Qi *m-ləːmʔ	
785	積累	accumulate	*ʈʂhɯːmʔ	*ʈɯːmʔ		vɯam¹
786	積累	accumulate			Qi *ʋɯːmʔ	
787	積水	accumulate water	*C-nəmʔ	*C-nəmʔ		naːm¹
788	積水	accumulate water	*Cuɾ[e]ːŋʔ	*Cu[d/ɖ][ɛ]ːŋʔ		[vɯːn⁴]
789	麂子	muntjac	*C-ləːj	*C-ləːj		lej¹
790	忌嘴	taboo food	*C-ŋəc	*C-ŋəc		ŋaːt⁹
791	忌日	death anniversary			GHl *hŋwən	vɔːn¹
792	忌日	death anniversary	*Cuɦəwɦ	*Cuɣəwɦ		maːw¹
793	忌日	death anniversary			CHl *C-məwʔ	
794	忌諱	taboo			GHl *C-məwʔ	maːw¹
795	祭祀	sacrifice	*ɓən	*Cəʔbən		
796	祭祀	sacrifice			Run *C-liːɦ	
797	祭祀	sacrifice			Run *ʈʂhə:j	
798	髻	hairbun	(*C-ɲet)	(*C-ɲet)		pɔŋ¹
799	髻	hairbun			CHl *fʰunʔ	
800	夾	press under arm	*ɦeːp	*C-ɣɛːp		
801	夾	press together	*tçʰiːp	*[c/ç]iːp		
802	夾	press together			CHl *tʰiːp	
803	甲蟲	beetle	*hmiːʔ	*miːʔ		[kɯ²]
804	甲蟲	beetle	*ɾaːp	*C-[d/ɖ]aːp		[paːp⁸]
805	假如	if	*C-laːjʔ	*C-laːjʔ		
806	架	handle clf.			GHl *fʰiːnʔ	
807	嫁	marry	*kʰuːjʔ	*[k/x]uːjʔ		pəː⁴low⁵
808	嫁	marry			CHl *hmɯː	
809	尖刀	dagger	*hljiwʔ	*Ciliwʔ		[ɬiək⁸kʰua¹]
810	肩膀	shoulder	*ʋaːɦ	*C-baːɦ		[vet¹⁰]
811	撿	collect	*sʰip	*sip		[vɯam¹]
812	撿	collect			GHl *ʋun	
813	剪	cut	*hrəp	*rəp		
814	剪	cut			NCHl *hrəːp	
815	碱(水)	alkali (water)			GHl *hjəːk	[naːm¹faː¹]
816	見	see	*C-laːjʔ	*C-laːjʔ		[maj¹tsʰuəŋ⁵]
817	件	clothing clf.	*fʰənʔ	*fənʔ		paːn¹
818	劍	sword			GHl *kɯːmɦ	
819	濺	splash	*tçʰinɦ	*[c/ç]inɦ		tsʰit⁷
820	箭	arrow	*C-ŋəːt	*C-ŋəːt		ŋɯət⁷
821	箭	arrow			NCHl *hləmʔ	
822	箭	arrow	*sʰiːp	*siːp		[peː¹]
823	薑	ginger	*kʰɯːŋ	*kɯːŋ		kʰɯəŋ⁵
824	繮繩	reins	*hmən	*mən		puən⁴
825	繮繩	reins			NCHl *ɗəːj	
826	降	fall	*[ʈʂ/tç]hɯːʔ	*ʈɯːʔ		taːw¹
827	交換	exchange			GHl (*ɓəːk)	ɓɔːk⁷tʰaː¹
828	交換	exchange			CHl *m-ləj	
829	澆水	to water	*pʰəːŋʔ	*pəːŋʔ		pʰɔŋ¹
830	教	teach	*sʰun	*sun		
831	嚼	chew	*sʰaːk	*saːk		tsʰɯa⁵
832	嚼	chew			NWCHl *pʰ[a]ːk	
833	角	horn	*ɦəw	*C-ɣəw		haw⁴
834	角落	corner	*hjuːŋ	*juːŋ		tsʰuəŋ¹tsʰɔːk⁹
835	腳	leg	*kʰok	*kok		hɔːk⁹
836	腳趾	toe	*sʰit	*sit		tsap⁹tsia⁴
837	腳趾	toe			Run *hljiːŋɦ	
838	攪拌	stir	*ɦunɦ	*C-ɣunɦ		[laː⁵]
839	攪拌	stir			CHl *hrunɦ	
840	叫(馬)	cry (horse)			GHl *ʔiːŋB	[kow⁴]
841	叫(馬)	cry (horse)			CHl *kiːk	
842	叫(鳥)	cry (bird)	*ɾəːŋ	*C-[d/ɖ]əːŋ		[huː¹]
843	叫做	be called	*tçaːn	*Cəʔɟaːn		[kow⁴]
844	覺	sleep clf.	*pʰuj	*puj		[lem¹]
845	結果	bear fruit	*tçiːŋ	*Cəʔɟiːŋ		tseŋ¹
846	結果	bear fruit	*ʈʂhəːm	*ʈəːm		[mɯat⁷]
847	結束	conclude			GHl *tçʰəːp	[ləːj²]
848	結束	conclude	*ɓaːjʔ	*Cəʔbaːjʔ		
849	結束	conclude			Run *ɓəːjʔ	
850	接	connect	*ʔɯː	*ʔɯː		[tsuː⁵]
851	揭開	uncover	*Cuɦaːŋ	*Cuɣaːŋ		lɯa⁵
852	揭開	uncover			Qi *C-l[a]ːk	
853	揭開	uncover			Run *hwaːɦ	
854	節	joint; node	*tʰunɦ	*tunɦ		[tow¹]
855	劫	rob			GHl *kiːt	
856	姐夫	elder sister’s husband	*hjəwʔ	*jəwʔ		tsiːw¹
857	姐姐	elder sister	*ʔiːɦ	*ʔiːɦ		[ʔuː¹]
858	姐姐	elder sister			CHl *kʰɯːʔ	
859	解剖	cut open (fish belly)	*ɓujɦ	*Cəʔbujɦ		puj¹
860	疥瘡	scabies	*C-niːʔ	*C-niːʔ		naːj¹
861	疥瘡	scabies			GHl *kʰom	kʰam¹
862	今天	today	*hŋwən	*ŋwən		vɔːn¹
863	今天	today	*C-niːɦ	*C-niːɦ		nɛː⁵
864	今天	today			Run *C-neːɦ	
865	筋	tendon	*hriːw	*riːw		[tat⁷]
866	筋	tendon			Qi *hwən	
867	筋	tendon			Run *C-ɲiːw	
868	僅	only			GHl *C-mənʔ	
869	緊	tight	*hməːnʔ	*məːnʔ		[kiːn²]
870	緊	tight			Qi *hwət	
871	緊	pull tight	*kɯŋ	*Cəʔgɯŋ		kɯŋ⁵
872	緊密	dense	*tʰiːt	*tiːt		[niːt⁹]
873	近	near	*m-lɯːʔ	*m-lɯːʔ		laː¹
874	近	near			NWCHl *ɦiːt	
875	進	enter	*hluːt	*luːt		[tʰaw⁴]
876	浸泡	soak			CHl *ɾok	
877	浸泡	soak			GHl *ɗəːmʔ	tsiəm⁴
878	禁母	shamaness	*hmiːʔ	*miːʔ		maːj⁵
879	禁母	shamaness			Qi *hmiʔ	
880	禁母	shamaness	*kimʔ	*Cəʔgimʔ		kim¹
881	禁忌	prohibit	*Cuɦəwɦ	*Cuɣəwɦ		[maːw¹]
882	經過	pass			ECHl *Cuɦəːj	
883	精稻	non-glutinous rice	*C-muːnʔ	*C-muːnʔ		
884	精稻	non-glutinous rice			CHl *C-muc	muət⁹
885	精稻	non-glutinous rice	*C-mɯːʔ	*C-mɯːʔ		
886	精稻	non-glutinous rice			CHl *tçiːmʔ	tsiam¹
887	精液	semen	*C-nəmʔ	*C-nəmʔ		naːm¹
888	精液	semen			CHl *m-l[a]ːŋ	[tam¹]
889	精液	semen			NCHl *hliːk	
890	井	a well			GHl *tʰoŋɦ	tʰɔŋ⁵
891	井	a well			CHl *tçuːŋʔ	
892	頸瘤	neck tumor	*ʈʂhəːm	*ʈəːm		[pam²]
893	頸瘤	neck tumor	*hljoŋʔ	*Ciloŋʔ		[ʔɔː⁵]
894	頸瘤	neck tumor			Qi *kʰəːk	
895	頸瘤	neck tumor			Run *tʰiːw	
896	九	nine	*C-wɯːʔ	*C-wɯːʔ		fəː¹
897	久	long ago	*kaːwʔ	*Cəʔgaːwʔ		[ʔjɔːt⁹]
898	酒	alcohol	*C-ŋaːwɦ	*C-ŋaːwɦ		ŋəːw²
899	酒	alcohol			NWCHl *pʰuː	
900	酒窩	dimple	*C-nəːk	*C-nəːk		[ɗiːn⁵]
901	酒藥	brewer’s yeast	*C-lɯːmʔ	*C-lɯːmʔ		hɔːm⁴
902	酒藥	brewer’s yeast			CHl *Cuɦom	
903	酒藥	brewer’s yeast			NECHl *hjaː	
904	舊	old	*C-maːn	*C-maːn		
905	舊	old			GHl *kʰəwɦ	hiːw¹
906	臼	mortar	*ɾəw	*C-[d/ɖ]əw		luː⁴
907	舅父	mother’s younger brother	*hnɯːʔ	*nɯːʔ		niː⁴
908	舅母	mother’s younger brother’s wife	*hmiː	*miː		miː⁴
909	橘黃	orange	*ɗaːŋʔ	*Cəʔdaːŋʔ		
910	舉	lift	*ɾjɯnɦ	*Ci[d/ɖ]ɯnɦ		[tiː¹]
911	句	speech clf.			GHl *f[a]ːk	[tuəŋ⁵]
912	句	speech clf.			NECHl *ɦom	
913	聚集	assemble	*tʰuːnʔ	*tuːnʔ		[leŋ⁵lem¹]
914	聚集	assemble			NECHl *[ʈʂ/tç]humʔ	
915	圈	animal pen	*sʰuːnɦ	*suːnɦ		[lɔːŋ⁵]
916	蕨草	fern			GHl *Ciɦəːnʔ	
917	蕨草	fern			GHl *kaːnɦ	[kɯːt⁹]
918	開	open up	*tʰɯːn	*tɯːn		[ʔow¹]
919	開	open up			GHl *Cuʈʂhinɦ	
920	開荒	develop land	*hməc	*məc		pet⁸
921	開荒	develop land			Qi *kut	
922	開始	begin	*C-ɲoŋʔ	*C-ɲoŋʔ		
923	開始	begin	*Cuhrəwʔ	*Curəwʔ		
924	開玩笑	joke			GHl *Cuɦəːŋ	[tsok⁷]
925	開玩笑	joke			Run *C-naːwʔ	
926	開玩笑	joke	*tʰəːŋʔ	*təːŋʔ		tʰaː¹
927	砍	chop			GHl *ʋəːn	[tʰaːn¹]
928	砍	chop			CHl *kaːjɦ	
929	砍	chop			GHl *ɾəwɦ	[tʰaːn¹]
930	砍	chop	*ɓiːwʔ	*Cəʔbiːwʔ		[pʰat⁷]
931	看	look			CHl *hljuːjʔ	
932	看	look			Run *C-loː	
933	看	look	*kiw	*Cəʔgiw		[maj¹]
934	糠	chaff	*hrom	*rom		kəm¹
935	糠心	chaff core	*hwaːʔ	*waːʔ		[vɔːp⁹]
936	扛	carry on shoulder	*ɓiːk	*Cəʔbiːk		fiː²
937	烤	roast			CHl *ʔiːŋ	
938	烤火	roast over fire	*ʔɯmɦ	*ʔɯmɦ		[tuː⁵]
939	靠	lean on	*[ʈʂ/tç]hɯːŋ	*[ʈ/c]ɯːŋ		
940	靠	rely on	*hmiːŋɦ	*miːŋɦ		[ʔua⁵]
941	靠	rely on			NECHl *ʔɯːŋʔ	
942	顆	tree clf.	*tʰuːnʔ	*tuːnʔ		ɗuən¹
943	顆	tree clf.			GHl *kʰɯːŋɦ	
944	蝌蚪	tadpole			GHl *hnuː	[ʔuəŋ⁵]
945	蝌蚪	tadpole			Run *tçiːw	
946	咳嗽	cough			GHl *hriə	kia¹
947	客人	guest	*ɓəwʔ	*Cəʔbəwʔ		fuən¹
948	客人	guest			CHl *C-waːn	
949	客人	guest	*ʔaːw	*ʔaːw		[low⁵]
950	客人	guest			Run *fʰaːw[ɦ]	
951	啃	gnaw	*Cuɦəːt	*Cuɣəːt		hɯət¹⁰
952	空	empty			ECHl *hruːʔ	
953	空	empty			NECHl *hrəwʔ	
954	空	empty	*Cuɾəjɦ	*Cu[d/ɖ]əjɦ		
955	口袋	pocket			GHl *hnəjɦ	[ɗoŋ²]
956	口袋	pocket			CHl *tçʰəmʔ	
957	口袋	pocket			NCHl *ɗaːjʔ	
958	口弦	Jew’s harp	*ɾjəj	*Ci[d/ɖ]əj		tsaj²
959	枯枝	dry branch	*Cuɦinɦ	*Cuɣinɦ		[kʰow¹kʰaː¹]
960	枯枝	dry branch			Run *hniː	
961	哭	weep	*C-ŋiːʔ	*C-ŋiːʔ		ŋaːj¹
962	苦	bitter	*C-ɦəːm	*C-ɣəːm		ziam⁴
963	跨	step over	*Ciɦaːmɦ	*Ciɣaːmɦ		hɔːm²
964	跨	step over	*C-ɦaːmɦ	*C-ɣaːmɦ		
965	快	fast	*hjinʔ	*jinʔ		tsʰiaŋ⁵
966	快樂	happy			GHl *hlin	[tsʰeŋ²]
967	快樂	happy			CHl *fʰət	[kʰuaj⁴]
968	快樂	happy			Qi *tçuːʔ	
969	塊	piece	*tʰun	*tun		[ɗat⁷]
970	筷子	chopsticks	*tʰiːp	*tiːp		tsʰep⁷
971	寬	wide	*ɓ[e]ːŋ	*Cəʔb[ɛ]ːŋ		[viː⁴]
972	捆	tie up			GHl *kʰəːnʔ	kʰɯan¹
973	捆	bundle clf.	*ɓiːk	*Cəʔbiːk		[puək⁹]
974	拉	pull (things)	*hjiːt	*jiːt		[tʰɯj¹]
975	拉	pull (rope)	*hriwɦ	*riwɦ		[tʰɯj¹]
976	辣	spicy	*hrit	*rit		[kəŋ⁵]
977	來	come	*hmɯːn	*mɯːn		mɯŋ⁴
978	來	come			Run *pʰɯː	
979	癩蛤蟆	toad			CHl *Cuɦok	[kəp⁷]
980	藍色	blue	*kʰiːw	*[k/x]iːw		kʰew¹
981	藍靛	indigo	*tçʰiːŋ	*[c/ç]iːŋ		[taː¹]
982	藍靛	indigo			NCHl *fʰɯːʔ	
983	懶惰	lazy	*C-laːnʔ	*C-laːnʔ		[lɯam²]
984	爛	rotten	*ʔɯːnʔ	*ʔɯːnʔ		[ɲɯːt⁸]
985	撈	drag	*kʰunʔ	*[k/x]unʔ		[luː³]
986	撈	drag	*Cuɦəc	*Cuɣəc		vaːt⁹
987	撈	drag			Run *kʰəwʔ	
988	嘮叨	nag	*C-ŋəm[ʔ]	*C-ŋəm[ʔ]		ŋam⁵tsɔk⁸
989	老	old	*hjaː	*jaː		tsoː¹
990	老	old	*kiːnʔ	*Cəʔgiːnʔ		
991	老鼠	mouse	*hniw	*niw		kew⁴
992	勒	strangle	*ɾəc	*C-[d/ɖ]əc		lat¹⁰
993	雷	thunder	*ʔom	*ʔom		[hu¹vuəj¹]
994	雷公	thunder god			GHl *C-ɲaːmʔ	[hu¹vuəj¹]
995	肋骨	ribs	*kʰaːŋʔ	*[k/x]aːŋʔ		kʰeːŋ¹
996	壘	pile up	*ɦaːn	*C-ɣaːn		[tsʰuəj³]
997	壘	pile up			CHl *pʰəwʔ	
998	冷	cold	*kʰaːjɦ	*[k/x]aːjɦ		kʰɯaj¹
999	犁鏡	part of plough	*ɗiːk	*Cəʔdiːk		ɗiak⁹
1000	黎族	Hlai	*hləj	*ləj		ɬaj⁴
1001	籬笆	fence			GHl *kəːp	[lɯj⁴]
1002	裡面	inside			GHl *pʰəjʔ	[tsʰuː¹]
1003	裡面	inside	*ʔuːk	*ʔuːk		[keː⁴]
1004	鯉魚	carp	*hlaː	*laː		
1005	鯉魚	carp			GHl *hɲaːt	
1006	鯉魚	carp			NWCHl *C-minʔ	
1007	力氣	strength	*kʰuːɦ	*[k/x]uːɦ		kʰaːw¹
1008	荔枝	lychee	*ʈʂhəːm	*ʈəːm		[mɯat⁷]
1009	荔枝	lychee	*[ʈʂ/tç]həːjʔ	*[ʈ/c]əːjʔ		[tɯan¹]
1010	連接	connect	*tçʰuːnʔ	*[c/ç]uːnʔ		[tsiap⁷]
1011	連接	connect			NECHl *ɓaː	
1012	臉	face	*ɗəŋ	*Cəʔdəŋ		[pʰan¹]
1013	戀愛	be in love	*hrjɯːk	*Cirɯːk		[ləː⁴]
1014	凉	cool (water)			GHl *hrən	[ɓeːk⁷]
1015	量	measure (fabric)			GHl *pʰəŋ	[ɬɔːŋ⁴]
1016	量	measure (rice)	*C-lɯːŋʔ	*C-lɯːŋʔ		ɬɔːŋ⁴
1017	兩	pair	*C-lɯːŋɦ	*C-lɯːŋɦ		lɯaŋ⁵
1018	亮	bright	*ɗinʔ	*Cəʔdinʔ		ɗin¹
1019	亮	bright			NCHl *C-liːŋ	
1020	晾	dry in sun			GHl *kəːj	
1021	晾	dry in sun			Run *ɦaːɦ	
1022	寮房	child’s house	*kujʔ	*Cəʔgujʔ		[ɗɔː¹]
1023	寮房	child’s house			NECHl *m-loŋʔ	
1024	寮房	child’s house			Run *ɬɯːk	
1025	獵狗	hunting dog	*hmaː	*maː		
1026	獵狗	hunting dog	*hɲaːwʔ	*ɲaːwʔ		
1027	裂開	crack, split	*tʰiːŋʔ	*tiːŋʔ		[ket⁷]
1028	鱗	fish scale	*C-ləːp	*C-ləːp		[liːt⁹]
1029	吝嗇	stingy	*kʰiːt	*[k/x]iːt		kʰiːt⁹
1030	靈魂	spirit	*Cuɦɯː	*Cuɣɯː		haː⁴
1031	流	flow	*C-maːw	*C-maːw		[lɔːt⁸]
1032	留	stay	*hjəw	*jəw		tɯan¹
1033	留	stay			Qi *[ʈʂ/tç]həːnɦ	
1034	瘤	tumor			GHl *fʰəːn	[tʰup⁷]
1035	六	six	*hnom	*nom		nəm⁴
1036	龍	dragon	*hnəŋ	*nəŋ		təːŋ⁴
1037	龍眼	longyan	*ʈʂhəːm	*ʈəːm		[mɯat⁷]
1038	龍眼	longyan	*ɓənʔ	*Cəʔbənʔ		piən¹
1039	聾	deaf	*hləːk	*ləːk		ɬaː²taŋ⁵
1040	漏(雨)	leak (rain)	*Ciɦəp	*Ciɣəp		hɔːp⁹
1041	漏(水)	leak (water)	*ɾəɲ	*C-[d/ɖ]əɲ		
1042	蘆葦	reed			GHl *fʰaːw	[mɯaj¹tsʰaːŋ¹]
1043	路	road	*kuːn	*Cəʔguːn		[tin¹]
1044	鹿	deer			GHl *ɾəːjʔ	[haw⁴]
1045	露水	dew	*C-nəmʔ	*C-nəmʔ		naːm¹
1046	露水	dew	*hləːŋʔ	*ləːŋʔ		kɔːw⁴
1047	露水	dew			CHl *hŋaːwʔ	
1048	亂	messy (yarn)	*kʰuːt	*[k/x]uːt		
1049	輪換	take turns			GHl *tçʰən	tsʰan¹
1050	蘿蔔	radish			CHl *C-m[a]ːk	
1051	鑼	gong	*C-loːʔ	*C-loːʔ		lɔːŋ¹
1052	籮筐	vine basket	*kuːŋʔ	*Cəʔguːŋʔ		kuaŋ¹
