Chinese gloss	Language	Word	Source	Page no.
蚂蚁	Yao (Lianmin)	mo³³ȵie⁴²⁵	Suining County Gazetteer (1997)	675
蚂蚁	Dong (Duolong)	mət¹¹	Suining County Gazetteer (1997)	671
蚊、蝇	Yao (Naxi)	mjiŋ³¹ (mjiŋ4)	Long (1984)	246
蚊、蝇	Yao (Naxi)	mjuŋ³¹ (mjuŋ4)	Long (1984)	248
蚊、蝇	Yao (Naxi)	mjuŋ³¹ (mjuŋ4)	Long (1984)	251
蚊子	Yao (Lianmin)	miu⁵⁴	Suining County Gazetteer (1997)	675
蚊蝇	Dong (Duolong)	mjuŋ¹¹	Suining County Gazetteer (1997)	671
蚯蚓	Dong (Duolong)	san³¹	Suining County Gazetteer (1997)	671
蛆	Dong (Duolong)	nun⁴⁵	Suining County Gazetteer (1997)	671
蛇	Yao (Lianmin)	tsouk⁵³	Suining County Gazetteer (1997)	675
蛇	Yao (Naxi)	tsu¹¹ (tsu2)	Long (1984)	246
蛇	Yao (Naxi)	tsu¹¹ (tsu2)	Long (1984)	248
蛋	Yao (Naxi)	kje³⁵ (kje5)	Long (1984)	247
蛋	Yao (Naxi)	kje³⁵ (kje5)	Long (1984)	250
蛋	Yao (Naxi)	kje³⁵ (kje5)	Long (1984)	252
蛙	Dong (Duolong)	je⁴⁵	Suining County Gazetteer (1997)	671
蜂蜜	Yao (Naxi)	tɑn²¹³toŋ²¹³ (tɑn1toŋ1)	Long (1984)	248
蜜蜂	Dong (Duolong)	met¹¹luk³¹	Suining County Gazetteer (1997)	671
蜡烛	Yao (Naxi)	lɑu³¹ (lɑu4)	Long (1984)	245
