Chinese gloss	Language	Word	Source	Page no.
有	Cao Miao (Tanghua)	li³³	Shi (2012)	
有	Cao Miao (Tanghua)	me¹³	Shi (2012)	
有	Dong (Duolong)	me¹¹	Suining County Gazetteer (1997)	672
木匠	Dong (Duolong)	ɕaːŋ³³ mai³¹	Suining County Gazetteer (1997)	671
杉树	Yao (Lianmin)	muei⁵⁴ɣio³³	Suining County Gazetteer (1997)	675
条	Dong (Duolong)	ȶou¹¹	Suining County Gazetteer (1997)	672
来	Dong (Duolong)	taŋ⁴⁵	Suining County Gazetteer (1997)	672
来	Yao (Naxi)	tɐn²¹³ (tɐn1)	Long (1984)	248
枪	Yao (Naxi)	tsoŋ³⁵ (tsoŋ5)	Long (1984)	252
柏树	Yao (Naxi)	sõu²¹³ (sõu1)	Long (1984)	245
柱子	Cao Miao (Tanghua)	tuŋ⁴²	Shi (2012)	
柱子	Cao Miao (Tanghua)	tuŋ⁴²	Shi (2012)	
柴	Yao (Naxi)	ti²¹³ (ti1)	Long (1984)	247
树	Yao (Lianmin)	muei⁵⁴	Suining County Gazetteer (1997)	675
树	Dong (Duolong)	mai³¹	Suining County Gazetteer (1997)	671
树木	Yao (Naxi)	mo³¹ (mo4)	Long (1984)	244
根	Cao Miao (Tanghua)	saŋ¹	Shi (2012)	
根	Dong (Duolong)	saːŋ⁴⁵	Suining County Gazetteer (1997)	671
桃	Cao Miao (Tanghua)	ti⁵⁵tau²²	Shi (2012)	
桃	Cao Miao (Tanghua)	tau²²	Shi (2012)	
桌子	Yao (Lianmin)	to³¹pai³¹	Suining County Gazetteer (1997)	675
桌子	Dong (Duolong)	ɕoŋ¹¹	Suining County Gazetteer (1997)	672
桥	Yao (Lianmin)	tɕoup³³	Suining County Gazetteer (1997)	675
梳子	Dong (Duolong)	kie⁴⁵nai³³	Suining County Gazetteer (1997)	672
梳子	Yao (Naxi)	kʰe²¹³ (kʰe1)	Long (1984)	247
棉花	Yao (Naxi)	mje¹¹fɑ²¹³ (mje2fɑ1)	Long (1984)	246
棉被	Yao (Lianmin)	ɕy²¹³	Suining County Gazetteer (1997)	675
歌	Yao (Naxi)	kɑ²¹³ (kɑ1)	Long (1984)	246
正月	Yao (Lianmin)	tseŋ³³ŋou³¹	Suining County Gazetteer (1997)	676
正月	Dong (Duolong)	ȶi⁴⁵ŋwet³¹	Suining County Gazetteer (1997)	672
死	Yao (Naxi)	to²¹³ (to1)	Long (1984)	245
母亲	Yao (Lianmin)	tso⁵²	Suining County Gazetteer (1997)	675
母亲	Dong (Duolong)	nəi³¹	Suining County Gazetteer (1997)	670
母亲	Yao (Naxi)	tso⁵³ (tso3)	Long (1984)	251
毛	Cao Miao (Tanghua)	pjɐm⁵⁵	Shi (2012)	
毛	Cao Miao (Tanghua)	pjɐm⁵⁵ (¹)	Shi (2012)	
毛	Dong (Duolong)	pjən³⁵	Suining County Gazetteer (1997)	671
水	Cao Miao (Tanghua)	nɐm³¹ (⁴)	Shi (2012)	
水	Cao Miao (Tanghua)	nɐm³¹ (⁴)	Shi (2012)	
水	Yao (Lianmin)	nen³³	Suining County Gazetteer (1997)	675
水	Dong (Duolong)	lam⁵³	Suining County Gazetteer (1997)	670
水	Yao (Naxi)	nɐn³¹ (nɐn4)	Long (1984)	251
水牛	Cao Miao (Tanghua)	we¹³	Shi (2012)	
水牛	Cao Miao (Tanghua)	we¹³	Shi (2012)	
水牛	Dong (Duolong)	kwi¹¹	Suining County Gazetteer (1997)	671
汉族人	Dong (Duolong)	ka³¹	Suining County Gazetteer (1997)	671
汗	Dong (Duolong)	pən⁵³	Suining County Gazetteer (1997)	671
池塘	Cao Miao (Tanghua)	taŋ²²	Shi (2012)	
池塘	Cao Miao (Tanghua)	tɐm⁵⁵	Shi (2012)	
没	Cao Miao (Tanghua)	qəi³³, ŋe¹³	Shi (2012)	
没	Cao Miao (Tanghua)	kwe¹³	Shi (2012)	
河	Yao (Lianmin)	ȵia³³	Suining County Gazetteer (1997)	675
河	Dong (Duolong)	a⁴⁵	Suining County Gazetteer (1997)	670
河	Yao (Naxi)	tɕʰin²¹³ (tɕʰin1)	Long (1984)	245
河	Yao (Naxi)	ȵɑ²¹³ (ȵɑ1)	Long (1984)	247
河水	Cao Miao (Tongdao)	nɐm³¹ȵa⁵⁵	Tongdao Ethnic Gazetteer	231
油	Yao (Naxi)	jõu¹¹ (jõu2)	Long (1984)	251
泥	Dong (Duolong)	maːk³¹	Suining County Gazetteer (1997)	670
泥巴	Yao (Lianmin)	net⁵³	Suining County Gazetteer (1997)	675
泥鳅	Cao Miao (Tanghua)	son⁵³	Shi (2012)	
泥鳅	Cao Miao (Tanghua)	son⁵³	Shi (2012)	
泥鳅	Yao (Naxi)	ȵiŋ²¹³ (ȵiŋ1)	Long (1984)	245
洗	Yao (Lianmin)	tsou³³	Suining County Gazetteer (1997)	675
洗	Dong (Duolong)	ȶuk³³	Suining County Gazetteer (1997)	672
流	Yao (Lianmin)	liaok³¹	Suining County Gazetteer (1997)	676
浅	Yao (Lianmin)	tɕʰoŋ²⁵	Suining County Gazetteer (1997)	676
深	Yao (Lianmin)	kin⁵⁵	Suining County Gazetteer (1997)	676
深	Dong (Duolong)	jam⁴⁵	Suining County Gazetteer (1997)	672
深山	Cao Miao (Tanghua)	ləŋ⁵⁵	Shi (2012)	
深山	Cao Miao (Tanghua)	ta³³jəm⁵⁵	Shi (2012)	
添	Yao (Naxi)	tjiŋ²¹³ (tjiŋ1)	Long (1984)	247
湿	Yao (Lianmin)	ye⁵⁴	Suining County Gazetteer (1997)	676
满	Dong (Duolong)	tik³³	Suining County Gazetteer (1997)	672
漏	Cao Miao (Tanghua)	ləm³¹	Shi (2012)	
漏	Cao Miao (Tanghua)	qhoŋ³³	Shi (2012)	
漏	Dong (Duolong)	sut³³	Suining County Gazetteer (1997)	672
火	Cao Miao (Tanghua)	pi⁵⁵	Shi (2012)	
火	Cao Miao (Tanghua)	pi⁵⁵	Shi (2012)	
火	Yao (Lianmin)	pu³³	Suining County Gazetteer (1997)	675
火	Dong (Duolong)	pəi⁴⁵	Suining County Gazetteer (1997)	670
火烟	Dong (Duolong)	kwan¹¹	Suining County Gazetteer (1997)	670
