English gloss	Chinese gloss	Proto-Miao
earth	地	*tæ A
earthen jar	壜子	*hon A
earthworm	蚯蚓	*tɕoŋ A
to eat	喫	*nɔŋ A
a kind of edible parsley of which the roots taste peppery and have strange flavor	摘耳根	*ʈə D
egg	蛋	*qwjæ C
eggshell	蛋殼	*phloi C
eight	八	*ʑa D
elder brother	弟兄	*da A
elephant	大象	*ntshu C
to embrace	抱	*bɔu C
to escort (the bride to her husband’s house)	送親	*soŋ C
to establish	成立家庭	*ɳdʐæ C
excrement	屎	*qɑu B
to exist	在	*ʔȵɔn A
to explode	爆炸	*deu C
eye	眼睛	*mai C
face	臉	*mai C
face	臉	*beu B
to fall	落	*pəŋ A
fall	醉倒	*ɢou C
to fall asleep	睡着了	*ɴql A
fan	扇子	*mbdʐɑ
far	遠	*qlwæ A
fat	油	*dɭɔn A
fat	肥	*dɭɔn C
fatherless	孤兒	*mbdʐɑu C
to fear	怕	*ɳtʂhei C
female (dog)	母狗	*mnin D
few	少	*dʐeu C
field	田	*ɭin A
(bulls) fight	牛打架	*ɳʈə C
to fill in	肉塞牙縫	*ɳʈhin C
fine	麪粉細	*mɔn B
finger	手指	*nta B
finger ring	指環	*mphlei A
to finish	完	*dʑuŋ B
fire	火	*deu B
to fire (a gun)	打槍	*pɔn B
firewood	柴	*deu B
fish	魚	*mbdʐæ B
to fit exactly	打中	*ɖɔ C
five	五	*ptʂa A
flat ground	平壩	*ɳɖoŋ B
flea	跳蚤	*m̥on A
flesh	肉	*ɴɢei A
to flick (with the fingers)	用指彈	*nte C
to float	漂浮	*nteŋ A
flour	麪粉	*plou C
to flow	水流	*ɴɢlu B
flower	花	*beŋ A
flute	笛子	*ɖoŋ A
fly	蠅子	*mɔn B
to fly	飛	*ʔʑeŋ C
fog	霧	*hɔu A
foot	脚	*teu C
for a long time	久	*læ A
forehead	額頭	*ȵ̥æn A
forest	樹林	*ʔvʐuŋ C
fork of a tree	椏杈	*ŋkh A
four	四	*ploi A
frog	青蛙	*qeŋ B
fruit	果子	*ptsi B
to fry	炒菜	*ke A
full	滿	*pon B
to gain	得到	*tɔ C
gall	苦膽	*tʂi A
game	獵物	*ɴɢei A
gap	刀缺口	*ŋkh D
gap	碗缺口	*ɴqlei D
(vegetable) garden	菜園	*veŋ A
garlic	蒜	*ɢa A
gate	門	*dɭuŋ A
Gedou People	革兜族	*m̥ʂəŋ A
to get	得到	*tɔ C
to get rid of	逃脫	*ɢlwa D
to get up	起來	*ʂeu B
ghost	鬼	*qɭeŋ A
ginger	薑	*qhwjin B
glutinous	糯米	*mblə D
to gnaw	啃	*tɕɑu C
to gnaw	啃	*keu D
to go	去	*məŋ B
to go to	到	*qlwɑu C
gold	金子	*cən A
good	好	*ʔvʐuŋ C
goose	鵝	*ŋon B
gourd	葫蘆	*tə A
grape	葡萄	*qin B
grasshopper	蚱蜢	*gəŋ A
grave	墳	*ntseŋ C
green	綠	*mptʂɔu A
to grind (the kitchen knife)	磨刀	*xo B
to grip (the cooked food) with chopsticks	夾菜	*ntei D
to groan	呻吟	*mbdʐeŋ A
grove	樹林	*ʔvʐuŋ C
guest	客人	*qhɑ C
to guide	引導	*xi D
to gulp down	呑(一)	*ɴɢɔn B
to gulp down	呑(二)	*ɴqeu C
hair	毛	*pɭoiA
half (a catty)	半斤	*phtshei C
half (of a day)	半天	*don B
hand	手	*bdzæ B
hare	兔	*ʔɭɔu B
to harrow (a field)	耙地	*xei B
to hate	怨恨	*ɳ B
to have	有	*mai A
to have a grudge against somebody	怨恨	*ɳ B
to have a nap	瞌睡	*ʔŋɔn C
