English gloss	Proto-Mjuenic	Pre-Mjuenic
intestines	*klaːŋ A2	*glaŋ A
intoxicated	*gwin A1	*ʔgwin A
iron	*hɣjaʔ D1	*hrjək D
itchy	*sjat D1	*sjət D
jump	*tʰiu C1	*tʰiu C
keep	*piŋ C1	*piŋ C
keep food (for somebody)	*ɣiəu A2	*riəu A
kick	*dʰiʔ D1	*dʰik D
kill	*tai C1	*təi C
king	*hu A2	*guŋ A  > *ɣuŋ A > *ɦuŋ A
kneel	*kuəi C2	*guəi C
know	*pei A1	*pei A
lamp	*twaŋ A1	*twəŋ A
land leech	*pjwom A1	*pjʔwom A
laugh	*klat D1	*klət D
lazy	*lwei C2	*lwei C
leaf	*nɔm A2	*nɔm A
leak	*fui C1	*fui C
left side	*ts̪aːi C1	*ts̪ai C
leg	*ts̪au C1	*ts̪əu C
let go, set free	*puŋ C1	*puŋ C
lick	*biə C2	*mbiə C
lick	*klem B2	*glem B
lid	*gaːi C1	*ʔgai C
life	*mɛŋ C2	*mɛŋ C
lift (one’s head)	*ŋɔŋ B2	*ŋɔŋ B
lightweight	*heŋ A1	*heŋ A
lightweight	*ɕiəu A1	*ɕiəu A
liquor	*tiu B1	*tiu B
listen	*mʰwaŋ C1	*mʰwəŋ C
liver	*hɣan A1	*hrən A
long (length)	*daːu B1	*ʔdau B
long (time)	*lau A2	*ləu A
look at	*mwaŋ C2	*mwəŋ C
look for	*lɔ B2	*lɔ B
loud	*bʰui A1	*bʰui A
louse	*dz̪ʰei B1	*dz̪ʰei B
lungs	*pʰlom A1	*pʰlom A
mat	*tsiʔ D2	*dzik D
melt	*juʔ D2	*juk D
mix	*kwap D1	*kwəp D
monkey	*biŋ A1	*ʔbiŋ A
moon	*hlaː C1	*hla C
mortar	*tɔi C1	*tɔi C
mountain	*tsɔŋ A1	*tsɔŋ A
moustache	*sjwaːm A1	*sjʰwam A
nail (finger)	*gwai C1	*ʔgwəi C
name	*buə C1	*ʔbuə C
narrow	*hep D2	*gep D > *ɣep D > *ɦep D
navel	*ndut D1	*nʔdut D
near	*fat D1	*fət D
neck	*klaːŋ A1	*klaŋ A
needle	*ɕim A1	*ɕim A
new	*sjaŋ A1	*sjəŋ A
news, letter	*fjen C1	*fjen C
nine	*duə A2	*nduə A
old	*ko C1	*ko C
open, spread	*kʰɔi A1	*kʰɔi A
otter	*tsʰaːt D1	*tsʰat D
paddy field	*ɣiŋ A2	*riŋ A
pain	*mun A1	*ʔmun A
palm (hand)	*tswaːŋ B1	*tswaŋ B
peel	*mɛʔ D1	*ʔmɛk D
penis	*klai C1	*kləi C
pig	*tuŋ B2	*duŋ B
pillar	*ton A1	*ton A
place across	*kjaː C1	*kja C
plough	*ɣai A2	*rəi A
point (v.)	*nuʔ D1	*ʔnuk D
pot	*tsʰɛŋ A1	*tsʰɛŋ A
potato, yam	*dɔi A2	*ndɔi A
prepare	*ben C2	*mben C
present (v.), send somebody off	*fuŋ C1	*fuŋ C
press, squeeze	*njan B1	*ʔnjən B
pull out	*pɛŋ A1	*pɛŋ A
pus	*noŋ C2	*noŋ C
rain	*bluŋ C2	*mbluŋ C
rat	*naːu B2	*nau B
rat	*duʔ D1	*ʔduk D
read	*twoʔ D2	*dwok D
red	*ɕiʔ D1	*ɕik D
rice (cooked)	*hnaːŋ C1	*hnaŋ C
rice (milled)	*hmei B1	*hmei B
rice (plant)	*blau A2	*mbləu A
rice (unmilled)	*tsʰuʔ D1	*tsʰuk D
right hand	*bjaːu C2	*mbjau C
ripe, well-cooked	*tswoʔ D2	*dzwok D
road	*klau B1	*kləu B
round	*klun A2	*glun A
salt	*dʐau B1	*ʔdʐəu B
scented	*daːŋ A1	*ʔdaŋ A
scissors	*dʑeu B1	*ʔdʑeu B
scratch	*ɲaːi B1	*ɲai B
sea	*kʰɔi B1	*kʰɔi B
sectional division	*hɣem C1	*hrem C
see	*pwat D2	*bwət D
sell	*maːi C2	*mai C
separate	*ɣei A2	*rei A
sesame	*ɕaʔ D1	*ɕək D
seven	*ɲi C1/C2	*(ʔ)ɲi C
sew	*ɣwon A2	*rwon A
shade	*glom C1	*ʔglom C
shadow	*klɔi A1	*klɔi A
shake	*ŋaːu A2	*ŋau A
sharp	*ɣai C2	*rəi C
shoot	*pwan B1	*pwən B
shop	*pʰou C1	*pʰou C
short (height)	*haː C1	*ha C
short (length)	*hn-ŋ B1	*hn-ŋ B
shrimp	*kʰjaː A1	*kʰja A
silk	*fei A1	*fei A
silver	*ɲaːn A2	*ɲan A
sit	*ts̪wei B2	*dz̪wei B
six	*kluʔ D1	*kluk D
skin	*dop D1	*ʔdop D
sky	*ɣuŋ A2	*ruŋ A
sleep	*pwei C1	*pwei C
sleeping	*gjɔm A2	*ŋgjɔm A
slippery	*blaːŋ C2	*mblaŋ C
slow	*blaː B2	*mbla B
smell	*hnom B1	*hnom B
smoke (n.)	*ɕiəu C1	*ɕiəu C
snail (water)	*kuəi A1	*kuəi A
snake	*naːŋ A1	*ʔnaŋ A
snot	*blut D2	*mblut D
socks	*mat D2	*mət D
son	*twɔn A1	*twɔn A
son-in-law	*laːŋ A2	*laŋ A
sour	*sui A1	*sui A
speech	*waː C2	*wa C
spur (of a cock)	*tɕiəu B2	*dʑiəu B
stairs	*tʰei A1	*tʰei A
stand	*spi B1	*spi B
star	*hɣei C1	*hrei C
stay	*jam A1	*ʔjəm A
stay still, stop	*tiŋ A2	*diŋ A
steal	*nim C2	*nim C
stick	*pjaː B1	*pja B
sting	*tan C1	*tən C
stink	*ts̪wei C1	*ts̪wei C
stone, rock	*ɣau A1	*ʔrəu A
stoop	*doʔ D1	*ʔdok D
story	*kou B1	*kou B
stove	*lou A2	*lou A
stump	*kwɔn A1	*kwɔn A
sweat	*haːn C2	*ɦan C
sweet	*kaːm A1	*kam A
tail	*twei B1	*twei B
take	*tsoʔ D1	*tsok D
taro	*hou C2	*gou C > *ɣou C > *ɦou C
teach	*dʑaːu C1	*ʔdʑau C
ten	*tʂjap D2	*dʐjəp D
thick	*ho B2	*go B > *ɣo B > *ɦo B
thin	*klai C2	*gləi C
thorn	*dʑim B1	*ʔdʑim B
thousand	*ts̪ʰin A1	*ts̪ʰin A
thread	*sui C1	*sui C
three	*puə A1	*puə A
tie	*sai A1	*səi A
tie (turban)	*peu A1	*peu A
tiptoe	*ndjeŋ C1	*nʔdjeŋ C
tred	*kʰwɔn C1	*kʰwɔn C
tongue	*bliət D2	*mbliət D
