Chinese gloss	English meaning	Guangdian Mien (Jiangdi)	Xiangnan Mien (Miaoziyuan)	Diangui Kim Mun (Liangzi)	Fanghai Kim Mun (Tansan)	Changping Mien [Biao Mon]	Luoxiang Mien	Daping Dzao Min	Dongshan Biao Min	Shikou Biao Min [Chao Kong Meng]	Niuweizhai Biao Min [Moxi]
房子	house	pjau⁵²	pau⁵³	pjau⁵⁴⁵	ʔpjau⁵⁵	plau⁵³	pjau⁵³	a⁴⁴piu²⁴	pla³⁵	plɔu³⁵	pɣau³⁵
房间	room	puŋ³¹	pau⁵³tɕəŋ³³	pjau⁵⁴⁵ȵin³³	buŋ³³	boŋ³¹	tɕen³³	lɔŋ⁴⁴kɛn⁴⁴	pə³¹	bɔŋ⁵⁵	bɔŋ⁵³
仓	granary	lam²³¹gjam³²	laŋ²³²	gjam³²	ȶɔːŋ³¹	ðam¹²¹	blau³¹gam²¹³	dzum⁴⁴	lan⁴²	tsʰaŋ³³	hɣan³³
梁	beam	laːŋ³¹	lwaŋ³¹	tuŋ⁴⁴hɛŋ³³	ʔpjau⁵⁵hɛːŋ³³	plau⁵³heŋ³¹	tɕeŋ³⁵gwaŋ³¹	mau²⁴luŋ⁵³djaŋ⁴²	ljɔ³¹	kla³³ljoŋ³³	ɣɔ⁵³
柱子	pillar	djou³¹	djəu³¹	gjou³³	ʔtɔn³⁵	djəu³¹	ɕa³³	tam⁵³dun²⁴	pla³⁵jau³¹	tɕɔu⁵⁵	tjɔ⁵³
窗子	window	ljaŋ²⁴ke¹³	ljaŋ³⁵ȵ̥iŋ³³	kjɛŋ³³gwaŋ³⁵	kuŋ³⁵ȶʰuŋ³⁵	kje³¹hjəu⁵⁵	ɕɛŋ¹¹ŋaːn²¹³	xɔŋ²⁴kjaŋ⁵³	kə⁴²tsɿ⁵³	tsiŋ⁵⁵dən³³plaŋ¹³	
墙	wall	tsiːŋ³¹	tsiŋ³¹	siŋ³³	kjaːŋ³³	tsiŋ³¹	tsiŋ³¹	sjaŋ⁵³	tɕjɔ³¹	tsjɔŋ⁵⁵	tɕjɔ⁵³
板壁	wall, divide (wooden)	dʑoŋ¹³	goŋ¹¹	gɔŋ²²	kjaːŋ³³	pʰei³⁵tsiŋ³¹	pen³⁵tɕiŋ³¹	bɛn²⁴sjaŋ⁵³	gloŋ⁴²	tjaŋ⁴⁴plɔu³⁵tsjɔŋ⁵⁵	
门	door	tɕɛːŋ³¹	kɛŋ³¹	kjɛŋ³³	kɛːŋ³³	kjeŋ³¹	kɛŋ³¹	a⁴⁴man⁵³	klɛ³¹	tsiŋ⁵⁵	kɯ⁵³
菜园	garden (vegetable)	lai³³hun³³	lai³³huŋ³³	dau³³vin³¹	gjai³⁵vin¹³	ðai³³hun³³	gai³³hun³³	ɛi⁴⁴vɔn⁴⁴	hun³³	lai³³fɛŋ³³	ɣai³³fuŋ³³
篱笆	fence	taːt⁵⁵	huŋ³³la²¹	dau³³vin³¹gɔŋ²²	lau⁴²gɔŋ³²	hun³¹plaːi³⁵	gai³³hun³³pʰɛŋ³³	vɔn⁴⁴bjaŋ²²	hun³³gloŋ⁴²	sa³³be⁵⁵	
牛圈	bullpen	ŋoŋ³¹laːn³¹	ŋuŋ³¹laŋ³¹	ŋɔŋ³³go³³	ŋɔːŋ³³gu³³	ŋoŋ³¹ðau³¹	ŋoŋ³¹gaːn³¹	ŋ̩⁵³dzu⁵³	ȵuŋ³¹glan³¹	ŋoŋ⁵⁵lan⁵⁵	ŋɔŋ⁵³ɣaŋ⁵³
村	village	laŋ²³¹	tsʰəŋ³³	tun³¹	gjaŋ³¹	ðaŋ¹²¹	gaŋ²¹³	dzɔŋ⁴⁴	laŋ⁴²	laŋ³¹	tsʰuŋ³³
头巾	head cloth	pu³¹goːŋ⁵²pʰa²⁴	pʰa³⁵	sap²¹pjei⁵⁴⁵	ȶaːt³⁵ʔpjei⁵⁵	θə³¹ðui³³	taŋ³³la³²pje⁵³	tum²⁴pɛi²⁴dɛi⁴⁴	di³³	pʰa³³dɔu⁵⁵	pje³³pwei³⁵ɕi⁴³³tɕwaŋ³³
木梳	comb (wooden)	tsa⁵⁵	tsa⁵⁴	ȶa²⁴	gjaŋ³³⁵ȶa³⁵	sjaŋ³⁵tsa⁵⁴	tɕa⁴³	a⁴⁴ta⁴⁴	ȶa⁵³	tsa³⁵	tɕa⁵⁵
篦子	comb (fine-toothed)	pai¹³	pai¹¹	pai²²	ʔpaːi³²	pai²²	pai¹¹	bɛn⁴⁴	pai⁴²		
镯子	bracelet	tɕom³¹	tɕəu³¹	sam³³	ɕam³³	kjəm³¹	tɕem³¹	kɔn⁵³fin⁴⁴	pʰau⁴²kʰən³³	pɔu³¹klɔ³⁵	pɯ⁵⁵tɕwan⁵³
耳环	earring	ɕun³³	niŋ¹¹	bin³¹	bu³³vin¹³	neŋ⁵⁵	ȵwan³¹	biu⁵³tui²²	blau³¹wən³¹	plɔu⁵⁵tsi¹³	pɣau⁵³ɣəŋ⁵³
帽子	hat	mwo¹³	mau³⁵	mou²²	mɔu³²	mau²²	mou¹¹	a⁴⁴mu²²	mu⁴²mau³⁵	mu¹³	mu⁵³
上衣	shirt	luːi³³	lui³³	gui³⁵	guːi³⁵	ðui³³	gui³³	a⁴⁴i⁴⁴	lwəi³³	ve³³	hɣɯi³³
裤子	trousers	hou²⁴	həu³⁵	kwa²¹	kʰwa³³¹	kʰwa⁵⁵	kʰwa⁵⁵	a⁴⁴fjɛ⁴²	kʰəu²⁴	kʰu⁴⁴	kʰu⁴³⁵
裙子	skirt	tɕun³¹	tɕwiŋ³¹	ȶun³³	gwan³³		kwan²¹³	a⁴⁴kɔn⁵³	ȶwən³¹	lu⁵⁵tɕen⁵⁵	kjɯn⁵³
袜子	socks	maːt¹²	ma²¹	maːt⁴²	maːt³²	mat²¹	maːt³²	a⁴⁴mat²²	m̥un⁴²	mæ²²	ma⁵³
