Chinese gloss	English meaning	Guangdian Mien (Jiangdi)	Xiangnan Mien (Miaoziyuan)	Diangui Kim Mun (Liangzi)	Fanghai Kim Mun (Tansan)	Changping Mien [Biao Mon]	Luoxiang Mien	Daping Dzao Min	Dongshan Biao Min	Shikou Biao Min [Chao Kong Meng]	Niuweizhai Biao Min [Moxi]
天	sky	luŋ³¹	luŋ³¹	guŋ³³	guːŋ³³	ðuŋ³¹	guŋ³¹	vaŋ⁵³	lwə³¹	tʰjen³³	ɣɯ⁵³
地	earth	dau³³	dau³³	ni³¹	ni¹³	tei²²	tei¹³	a⁴⁴nɛi⁴⁴	dəi²⁴	ti¹²	ŋwjei³³
太阳	sun	bu³¹n̥oːi³³	nui³¹nwa³³	bu³³noi³¹	buː³³nɔːi³³	bə³¹nwai³³	pa³¹n̥ɔi³³	a⁴⁴nai⁴⁴	n̥i⁴²tau³¹	mwə³³nwei³³	nwai³³
月亮	moon	ɬa²⁴	a³⁵gjaŋ³³	la²¹	la³³¹	la⁵⁵	la⁵⁵	lɔu²²kɔu²⁴	la²⁴gwaŋ³³	lu⁴⁴kɔŋ³³	lɔu⁴⁴kjaŋ³³
星星	star	ɬei²⁴	ɬei³⁵	tθiŋ³⁵tau⁵⁴⁵	θiŋ³⁵	ðei⁵⁵	gei⁵⁵	hɔu⁴⁴hɛŋ⁴⁴	ɕɛ³³tsaŋ³⁵	sjaŋ³²	hɣɯi⁴⁴
虹	rainbow	tɕuŋ³³	kɔŋ³⁵	kuŋ³³kaŋ⁴⁴	kuŋ³³kaːŋ³³⁵	han²²ðəŋ³¹	pun¹¹guŋ³¹	tuŋ⁵³ŋaŋ⁴⁴tsu²⁴	klə³³	hɔŋ⁵⁵	kaŋ³³
云	cloud	mou¹³	məu¹¹	van⁴⁴	bɔn³³⁵	boːn³⁵	bwən³⁵	vɔn⁴²	hwan²⁴	vɛŋ⁴⁴	ɣɯ⁵³jəŋ⁵³
雾	fog	mou¹³	məu¹¹	baŋ²²dai⁵⁴⁵	buŋ³²daːi⁵⁵	vəm³³mau²²	vjen²¹muŋ²¹³	mu²²	ɕi⁵³mɔŋ⁴²	ŋɔŋ⁵⁵leu¹³fu³¹	mɔŋ³¹
风	wind	dzjaːu²⁴	dzja³⁵	ȡaːu⁴⁴	ȡaːu³³⁵	dzjau³⁵	dʑau³⁵	dzau⁴²	hja²⁴	jau⁴⁴	hja⁴⁴
雨	rain	bjuŋ¹³	buŋ¹¹	buŋ²²	buŋ³²	bloŋ²²	bluŋ¹¹	a⁴⁴biŋ²²	blə⁴²	pljɔŋ¹³	pɣɯ³¹
雪	snow	bwan²⁴	bwaŋ³⁵	van⁴⁴	bɔn³³⁵	bwən³⁵	bwən³⁵	ban⁴²	bin²⁴	pən⁴⁴	pwən⁴⁴
雹子	hailstone	po¹²	pɔ²¹	pjau²²	ʔpjɔ³³⁵	po²¹	ja³²plɔ³²	ban⁴²pɔu²²	bin²⁴pʰɔ⁴²	la³¹plɔu⁵⁵	pʰɔ⁵³
冰	ice	bwan²⁴	bwəŋ³⁵	kat²¹	bɔn³³⁵	θɔŋ³⁵tiŋ³³	bwən⁵⁵	ban⁴²	bin²⁴	ȵaŋ³¹dɔŋ⁴⁴	pwən⁴⁴
霜	frost	soːŋ³³	sɔŋ³³	tθɔŋ³¹	θɔːŋ¹³	θɔŋ³³	ɕɔŋ³³	sɔŋ⁴⁴	sɔ³³	ba⁵⁵sjɔŋ³³	ɕɔ³³
