Chinese gloss	Luobuohe, Eastern	Luobuohe, Western	Chuanqiandian	Chuanqiandian, Central Guizhou	Chuanqiandian, Southern Guizhou	Chuanqiandian, Northeast Yunnan	Xiangxi, West	Xiangxi, East	Qiandong, North	Qiandong, East	Qiandong, South	Qiandong, West	Baheng, West	Baheng, East	Dongnu	Nunu	Numao	Bana	Younuo	She	Jiongnai	Mien	Kim Mun	Biao Min	Zao Min
天	qo⁰⁵ŋɢwaŋ³¹	ʔə⁰²ŋɢwɑŋ³¹	nto³¹	ŋqə̃⁵⁵	ntoŋ⁵³	ndɦu³⁵	tɑ³⁵pʐɑ³⁵n̥e³⁵	pja⁵³vei³¹	vɛ⁵⁵	qa³³ʑi²²	kwan¹³ŋo³¹	vei⁵⁵	ʔa⁰³waŋ³³	la⁰³waŋ³³	tɕi³¹ŋkoŋ¹³	koŋ⁴²	ŋkuŋ⁵⁵	la⁰⁴gwaŋ³¹³	ŋo¹³	kwaŋ³¹	ŋkwaŋ³³	luŋ³¹	guŋ³³	luə³¹	vaŋ⁵³
太阳	qo⁰⁵na³¹	ʔə⁰²n̥ɑ³¹	n̥o⁴³	n̥ə̃²⁴	noŋ²²	n̥u⁵⁵	n̥e³⁵	qʰa³⁵n̥ei⁵³	n̥ɛ³³	qʰaŋ³³nei²⁴	n̥o¹³	pɔ¹¹nei⁴⁴	qʰoŋ³¹ʔaŋ³⁵n̥ei³⁵	la⁰³n̥e³⁵	n̥əŋ³³	noŋ³³	ma⁴²n̥aŋ³³	la⁰⁴ni¹³	ha³³no⁴⁴	nɔ²²kɔ⁵⁵	ntuŋ¹¹	pu³¹n̥oːi³³	pe⁵¹noːi¹¹	n̥i²¹tau³¹	ʔa⁵³nai⁴⁴
月亮	ʔa⁰²ɬa²⁴	ʔə⁰²ɬɑ³⁵	ɬi⁴⁴	qə⁰²ɬa⁴²	li³⁵	ɬi³³	qe³⁵ɬɑ⁵³	ye³¹ljaŋ³¹	ɬʰa⁴⁴	la⁴⁴la⁴⁴	ɬei⁴⁴	pɔ¹¹la³³	ʔa⁰³ɬa⁵⁵	la⁰³ɬa⁵⁵	ɬo⁴²	lu¹³	ɬo⁴⁴	la⁰⁴la³⁵	kwan¹³la⁵⁴	ne³³	ɬe³⁵	ɬa²⁴	la³¹	la⁵³gwaŋ³³	lo⁴²
星星	taŋ³¹qaŋ³¹	tɑŋ³¹qɑŋ³¹	n̥o⁴³qo⁴³	tə⁰²qə̃²⁴	hoŋ³²	n̥u⁵⁵qu⁵⁵	te³⁵te³⁵qe³⁵ɬɑ⁵³	tʰjan⁵³ɕin⁵³tsi¹³	tɛ³³qɛ³³	qei²⁴qei²⁴	to³¹qo¹³	tei⁴⁴qei⁴⁴	qa⁰³qaŋ³⁵	la⁰³qaŋ³⁵	tə³¹koŋ³³	ʔləu³³li¹³	kuŋ³³	sen¹³tsai⁰⁴	ɬiŋ⁴⁴tai⁵⁴	ne³³taŋ²²	ka³³nteŋ⁴⁴	ɬei²⁴	tiːŋ³⁵	ɕɛ³³tsaŋ³⁵	hut⁴⁴neŋ⁴⁴
云	ʔa⁰²tuŋ⁵⁵	ʔə⁰²toŋ⁵⁵	tɬaŋ⁴³ʔoŋ⁴⁴	tə⁰²ʔõ⁴²	ʔaŋ⁵⁵	haɯ⁵⁵po¹¹	cɑ⁴⁴tu⁵³	yn³¹təɯ⁵³	ten⁴⁴ʔen⁴⁴	ʔeu²⁴ʑin²²	hau¹³	ʔuŋ³³vei⁵⁵	qa⁰³toŋ⁵⁵	ho³⁵	ʔa⁰²hu⁴²	vɯa³⁵	ʔou⁵³	yn³¹³	hɒ⁴⁴	fu²²	tjaŋ³⁵	məu²¹	ban⁵⁵	xwan²⁴	von⁵³
虹	juŋ³¹xo³³ʔuŋ³¹	ʔə⁰²joŋ³¹xo³¹ʔoŋ³¹	ʐaŋ³¹hou³³tɬe³³	ʐã⁵⁵hə⁴²ʔõ²⁴	ʐaŋ⁵³tɕua⁴⁴tɕɔ⁴⁴	zɦaɯ³⁵	tɑ³⁵ʐoŋ³¹hu⁴⁴ʔu³⁵	ma³⁵ʑe⁵³luŋ³¹	ɣoŋ⁵⁵hə⁵³ʔə³³	vuŋ²²heu³⁵ʔeu²⁴	ɣam³¹heu³⁵ʔu¹³		joŋ³³hɔ⁵³ʔaŋ³⁵	ʑuŋ³³hau⁵³ʔaŋ³⁵	ɣəŋ¹³			tɬa⁴⁴ho⁵⁵ʔŋ¹³	ljaŋ¹³ho²¹ʔŋ⁴⁴	vu³¹hɔ³⁵ʔɔŋ²²	ŋkjəŋ³³	tɕuŋ³³	kuŋ⁵⁵kaŋ⁵⁵	klə³³	kau⁴⁴
雷	tə⁰²su³¹	ʔə⁰²su³¹	so⁴³	sʰə²⁴	so²²	so⁵⁵	tɑ³⁵so³⁵	səɯ⁵³	ho³³	hou²⁴	pu⁴⁴fu¹³	heɯ⁴⁴	mo³⁵	ʑe⁵⁵mpo³⁵	ʔa⁰²pʰɔ³³	pʰo³³	pʰo³³	fu¹³	ku⁵⁵kwaŋ⁴⁴	pje⁵⁵fu²²kʰɔ³⁵	hu⁴⁴jak⁵⁵	pu³¹ʔoːŋ³³	pa³³gaːŋ³⁵	lui³¹	bja⁴⁴kuŋ⁴⁴
闪	lje³³	le³¹	lai²⁴so⁴³	sʰə²⁴le⁵⁵	so²²ɭe²¹	so⁵⁵pi¹¹lɦai¹¹ndɦaɯ³⁵	ljɑ²²so³⁵	ho⁵⁵san¹³	lji³¹ho³³	ho³³ɕen³³	lja²⁴fu¹³	lje⁵³	je⁴²	ɕe³¹mpo³⁵	ntsa³¹məŋ⁴²pʰɔ³³	zoŋ²²miat⁴⁴	tsei⁵⁵	ljen⁵³fu¹³	jo²¹y²¹	sjet³⁵	hu⁴⁴kli⁴⁴ŋklai⁵⁵	pu³¹liŋ³¹	ʔtəu⁴²tʃəp⁴²	ɕat²¹	ʑap²²
风	ʔa⁰²tɕi²⁴	tɕi³⁵	tɕua⁴⁴	tɕa⁴²	paŋ⁵⁵	tɕa³³	ci⁵³	tɕi³³	tɕin⁴⁴	tɕin⁴⁴	tɕi⁴⁴	tɕi³³	ʔaŋ³⁵tɕi⁵⁵	ʔaŋ³⁵tɕi⁵⁵	ʔa⁰²tɕi⁴²	zəm⁴²	tɕi⁴⁴	tɕi³⁵	kji⁵⁴	ki³³	tʃi³⁵	dzjau²⁴	tʃaːu⁵⁵	ɕa²⁴	ʑau⁴²
雨	ʔʑo³³	no³⁵	naŋ¹³	nã²²	nəŋ¹³¹	naɯ⁵³	noŋ⁴²	naŋ¹³	noŋ¹³	nuŋ⁵³	nam²²	nuŋ²²	ʔaŋ³⁵moŋ⁵⁵	ʔa⁰³nuŋ³¹	ʔa⁰²nəŋ²²	nɔŋ²²	naŋ³¹	nuŋ²²	lə³²ŋa³²	nuŋ⁵⁵	nəŋ¹¹	buŋ²¹	buŋ⁴²	blə⁴²	biŋ²²
雪	qo⁰⁵mpaŋ²⁴	ʔə⁰²mpɑŋ³⁵	mpo⁴⁴	qə⁰²mpə̃⁴²	mpoŋ⁵⁵	mpu³³	mpe⁵³	bi¹³ljaŋ¹³	pɛ⁴⁴	keu³⁵	po⁴⁴	pei³³	maŋ⁵⁵	mpaŋ⁵⁵	ʔa⁰²mpoŋ⁴²	ko¹¹nei³³	mpeŋ⁴⁴	bon³⁵	mo⁵⁴	paŋ³³	mpaŋ³⁵	bun²⁴	toːŋ¹¹	bin²⁴	ban⁴²
露水	ʔuŋ³¹ʑo²⁴	ʔə⁰²ʑo³⁵ʑo³⁵	lu¹³	ʔõ²⁴tə⁰²po⁴²	pu³²lu¹³	pi⁵⁵ly⁵³	ʔu³⁵ɕɯ⁵³	lu¹³suei³⁵	ʔə³³ta⁴⁴	ʔeu²⁴sau⁴⁴po⁵³	ʔu¹³tai⁴⁴	ʔeu⁴⁴ha⁴⁴	ʔaŋ³⁵lu⁴⁴	ʔaŋ³⁵lu³¹	ʔau³³ʐe³³	ʔaŋ³³ze⁴²	ȵtɕe⁴⁴ʔou³³	ʔŋ̩¹³lau⁵³ɕi⁴⁴	soŋ⁴⁴sui⁵⁴	pju⁵³ʔɔŋ²²	mpo³¹ʔɒŋ⁴⁴	buŋ²¹sui⁵³	kja⁵⁵ʔuːm³⁵	kla³⁵ʔən³³	ta⁴²m̩²⁴
霜	ʔa⁰²tai²⁴	ʔə⁰²ti³⁵	te⁴⁴	qə⁰²tɛ⁴²	tæ⁵⁵	ti³³	tɯ⁵³	sɿ⁵⁵təɯ⁵³	ta⁴⁴	tei³⁵paŋ⁵³	tai⁴⁴	tue³³	lja⁵⁵noŋ⁵⁵	ʔaŋ³⁵to⁵⁵	ʔau³³te⁴²	siek³⁵	ȵtɕe⁴⁴ko⁵³	tɬa³⁵	pə²¹soŋ⁴⁴	tʰjɔŋ³¹paŋ³³	ða³⁵	soːŋ³³	toːŋ¹¹	sɔ³³	soŋ⁴⁴
火	qo⁰⁵zo⁵⁵	ʔə⁰²ðo⁵⁵	teu²¹	tə³¹	tɯ¹¹	dey³³	pji⁴⁴tə²²	bo³³da⁵⁵	tu¹¹	to²¹²	ta²⁴¹	to²¹	qa⁰³tau¹¹	qa⁰³teu¹¹	ʔa⁰²to²³¹	tʰo⁴⁴	to⁵³	to³¹	teu³²	tʰɔ⁵³	tau³¹	təu²³¹	ʔtəu³¹	təu⁴²	tu⁴⁴
灰	ʔa⁰²tsʰy⁵⁵	ʔə⁰²tsʰu⁵⁵	tʂʰou⁵⁵	qə⁰²sʰo¹³	sɔ²²	tʂʰau⁵⁵	ɕi⁴⁴	bei⁵⁵sɿ⁵⁵	qa³⁵ɕʰu³⁵	ɕo³³	ɕɔ⁵³	qa³³ɕʰɔ¹³	qa⁰³si³¹	ɕi³¹³	ʔa⁰²ʂa⁵²	ku²²sa³⁵	ɕu¹³	pʰjo⁴⁴	tsʰo³³	tsʰɪn³⁵	θei⁵³	saːi⁵³	ʃaːi⁵¹	sai³⁵	soi²⁴
烟	ʔa⁰²ȵtɕʰu²⁴	ʔə⁰²ȵtɕʰu⁵⁵	paŋ⁴⁴ȵtɕʰo⁴⁴	pã⁴²tə³¹	paŋ⁵⁵ȵtɕo³⁵	paɯ³³ȵtɕʰo³³	qo³⁵ȵtɕʰo⁵³	qʰa⁵⁵tʰjəu³³	ʔə³³ʔi³³	ʑen²⁴ʑen²⁴	ȵ̥eŋ⁴⁴	puŋ³³nuŋ²²	qa⁰³ʔu³⁵	ʔu³⁵teu¹¹	ʔa⁰²hu⁴²to²³¹	pʰuəŋ¹³	paŋ⁴⁴	ʑen¹³	jin⁴⁴	tʰɔ⁵³ka⁰³lɔ³³	tau³¹ʔo⁵⁵	təu²³¹sjəu²⁴	ʃou⁴²	ʑɛn³³	ʔen⁴⁴
扬尘	ʔa⁰²ŋkʰo³³	ʔə⁰²ŋkʰo³³	ŋkʰeu⁴³		ŋkə²²	ȵtɕʰey⁵⁵	qo³⁵ne³¹qo³⁵ɕi⁴⁴	ləɯ³¹daŋ³¹mei³¹	qa³³tɕʰu³³		qa³³ɕa¹³	qa³³tɕʰo⁴⁴	qa⁰³mei³³	qa⁰³me³³	ʔa⁰³ȵtɕʰo³³	ku²²man³⁵	mpʰei⁴⁴tei³¹	pʰuŋ¹³pʰuŋ¹³	lu³²mui³²	tʰɔ⁵³kʰju²²tsin³⁵	ja⁴⁴me⁴⁴	təu²³¹mje²²	ʔtəu³¹ŋwat⁴²		
地	pə⁰⁵te³¹	ta³¹la³¹	te⁴³	qə⁰²tɛ²⁴	tæ³²	ti⁵⁵	tɑ³⁵tɯ³⁵	fu³⁵təɯ⁵³	ta³³	tɛ²⁴	kwan¹³tai¹³	kuæ̃⁴⁴tue⁴⁴	ʔa⁰³to³⁵	qa⁰³le³⁵	ʔa⁰²te³³	te³³	tu³¹ta⁵³	ti⁵³	kə⁰³tau⁴⁴	ta²²	ta⁴⁴	dau³³	ni³³	dəi³³	ne⁴⁴
山	qo⁰⁵ʔjuŋ⁵⁵	χu⁵⁵vi⁵⁵	ʈoŋ⁴³	pɛ³¹	pe¹¹	ʈau⁵⁵	qo³⁵ʐei³¹	ki⁰³no¹³	pi¹¹	vu³³	ɣan³¹	tju³³wu¹³	pu¹¹je³³	la⁰³ʑuŋ¹¹	ʔa⁰²pe²³¹	zieu²²	ɣan³¹	pa³¹	koŋ¹³	hɔ²²	kjɒŋ³³	tɕem³¹	kjem³³	dən³¹	beŋ⁴²
洞	qʰuŋ⁵⁵vei⁵⁵	tə⁰²qʰoŋ⁵⁵vi⁵⁵	qʰau⁵⁵	qʰõ¹³	hoŋ²³²	qʰo⁵⁵	qo³⁵qʰu⁴⁴	ki⁰³pje³³	qʰaŋ³⁵	qʰaŋ³³	qʰaŋ⁵³	qʰaŋ¹³	ʔa⁰³qʰoŋ³¹	la⁰³qʰuŋ³¹³	kʰa⁵³	to³³pi¹³	kʰei¹³	kʰuŋ⁴⁴kʰuŋ⁴⁴	pi⁵⁵ljaŋ³²taŋ²¹	ta⁰³kʰuŋ⁵⁵	kʰuŋ⁵³	kʰot⁵⁵	kʰwat¹³	kʰwat⁵⁵	bjam²⁴
河	ʁlei³¹	ʔə⁰²su³⁵ (大); ʔə⁰²ʁei³¹ (小)	tɬe³¹	tɕu²²	kaŋ³²	dlɦi³⁵	ʔu³⁵	haŋ⁵⁵ʔu⁵³	ʔə³³	ʔeu²⁴ljou²⁴	ʔu¹³	ʔeu⁴⁴	ma⁰³ʔaŋ³⁵	tə⁰³qʰaŋ⁵⁵	ʔau³³	ka³³ta¹³	hai¹³	ʔŋ¹³	ʔŋ⁴⁴	huŋ⁵⁵	ʔɒŋ⁴⁴	suəŋ³³	ʔuːm³⁵	da³¹	doi⁵³
池塘	ʔa⁰²vuŋ⁵⁵	ʔə⁰²voŋ⁵⁵	paŋ²¹	pã³¹	paŋ¹¹	baɯ³³	bɦaɯ¹¹	qo³⁵taŋ³⁵	ki⁰³tɕi⁵⁵	ʔoŋ³⁵	ʔuŋ³³	ʔam⁵³	tju³³ʔaŋ¹³	ʔa⁰³toŋ³³njo³¹	ʔau³³te¹³	tiŋ²²	ʔaŋ¹³	tɕon⁴⁴tɕon⁴⁴	teu²¹	tʰɔŋ³¹taŋ²²	tʃaŋ⁵³	koːŋ⁵³	doːŋ³³	glaŋ³¹	
沟	tɕo³¹kuŋ³¹	tɕoŋ³¹koŋ³¹	ku³¹	kã²⁴	kaŋ³²ʑu⁵⁵	ʔa⁵⁵gy⁵⁵; ʔa⁵⁵dʑy⁵⁵	qo³⁵ʑoŋ³¹	ki⁰³zəɯ³¹	koŋ³³	mien¹³	qam¹³ʔu¹³	kuŋ⁴⁴	ke⁵⁵ʔaŋ³⁵	taŋ³⁵qʰaŋ⁵⁵	ʔau³³hi⁵³	li¹³	ki⁴²ʔou³³	kʰuŋ³⁵ho¹³	haŋ⁴⁴	huŋ⁵⁵tsin⁵⁵	tʃəŋ⁵³	tsun²⁴	kau³⁵	kʰlɛ³³	ku⁴⁴
井	ʔa⁰²lo³¹	ʔə⁰²qʰoŋ⁵⁵lo³¹	qʰau⁵⁵tɬe³¹		ɭə⁵³	baɯ³³ʔau⁵⁵	qo³⁵ljə³¹	ki⁰³ʔu⁵³	men⁴⁴		ʔu¹³va³⁵	men³³	su¹¹tɕiŋ³¹ʔaŋ³⁵	la⁰³tuŋ³³ʔaŋ³⁵	ʔau³³tsəŋ⁵³	sin³⁵	kʰei¹³ʔou³³	tsin⁴⁴	ʔŋ̩⁴⁴te⁴⁴	tsaŋ³⁵	kjəŋ⁴⁴	tɕiŋ⁵³	tiːŋ⁵¹	tɕɛ³⁵	teŋ²⁴
路	tə⁰²tɕi⁵⁵	tə⁰²tɕi⁵⁵	ke⁵⁵	kɛ¹³	kæ⁴²	tɕi⁵⁵	ne⁴⁴kɯ⁴⁴	nai³³kɯ⁵⁵	ki³⁵	kei³³	kei⁵³	ki¹³	qo³¹	tə⁰³qo³¹³	kje⁵³	ka³³tɕa³⁵	kjei¹³	kja⁴⁴	kau³³	kja⁵⁵	kja⁵³	tɕau⁵³	kjau⁵¹	kla³⁵	tsu²⁴
水田	len³¹ʔuŋ³¹	ʔə⁰²len³¹	la³¹	lẽ⁵⁵	ɭæn⁵³	lɦie³⁵	lɑ⁴²	tsɿ³⁵lei³¹	lji⁵⁵	lje²²	ljan³¹	lje⁵⁵	liŋ³³	liŋ³³	toŋ¹³ʔau³³	ʔlaŋ¹³tʰu⁴²	ʔou³³tu⁵⁵	lin³¹³	lin¹³	nin³¹	leŋ³³	liŋ³¹	gjiŋ³³	ljɛ³¹	ljaŋ⁵³
旱地	qo⁰⁵te³¹	ʔə⁰²χu³¹	te⁴³	lõ⁴²	lə¹³	ti⁵⁵ŋqʰa⁵⁵	lu⁵³	la¹³	la¹³	la⁵³	lo²²		tai³⁵	tei³⁵	lau⁴²	ʔlaŋ¹³	lou⁴⁴	hon⁵³ti⁵³	lo³²	faŋ³¹nin³¹	lɒŋ³⁵	tei³¹	ʔtei⁴²	təi⁴²	ti²²
石头	ʔa⁰²ʔji³¹	ʔə⁰²ʔje³¹	ʐe⁴³	qə⁰²ʐɛ²⁴	ʐæ³²	ʔa⁵⁵və⁵⁵	qo³⁵ʐɯ³⁵	ki⁰³ʑəɯ⁵³	ɣi³³	ʑei²⁴	ɣei¹³	pɔ¹³ɣi⁴⁴	qa⁰³jo³⁵	la⁰³ʑo³⁵	fa⁵³ɣe³³	pi³⁵ʑa³³	ɣei⁵³	pei³⁵	hau³²vji⁴⁴	ja²²kɔ⁵⁵	ŋkja⁴⁴	lə³¹pei⁵³	gjau³⁵	lau³³	ʑu⁴⁴
沙子	ʔa⁰²tsʰi⁵⁵	ʔə⁰²tsʰie⁵⁵	ʂua⁴³tsi⁵⁵	ʐɛ²⁴sʰa²⁴	sei³⁵	ʔa⁵⁵və⁵⁵sa¹¹	qo³⁵tsʰa⁵³	tsʰa³³	qa³³sʰa⁴⁴	sa²⁴tsɿ³³	ɣei¹³sɛ⁴⁴	ɣi⁴⁴sʰa³³	qa⁰³sa³⁵	heu³³sa³⁵	ʔa⁰²θo⁴²	pi³⁵sa³³	sai³³	ɕa¹³	so⁴⁴tai⁵⁴	hja²²	ŋkʰja⁴⁴	lə³¹pei⁵³faːi³³	gjau³⁵taːi³⁵	sa³³tsaŋ³⁵	ha⁴⁴
泥巴	qo⁰⁵la³¹	ʔə⁰²lɑ³¹	ʔaŋ⁵⁵	qa¹³tɛ²⁴	lə¹³	ʔa³³lɦa³⁵	qɑ⁴⁴lɑ³¹	qa⁵⁵la¹³	qa³⁵saŋ³⁵	qa³³la²²	tai¹³		qa⁰³le³³		ʔa⁰²te³³	ko²²te³³		ta¹³	lo¹³	ta⁰³tsjɔŋ³⁵	pu³¹	ȵe³³	ʔpaːm⁵³	n̥i³³	ne⁴⁴
水	qo⁰⁵ʔuŋ³¹	ʔə⁰²ʔoŋ³¹	tɬe³¹	ʔõ²⁴	ʔaŋ³²	ʔau⁵⁵	ʔu³⁵	ʔu⁵³	ʔə³³	ʔeu²⁴	ʔu¹³	ʔeu⁴⁴	ʔaŋ³⁵	ʔaŋ³⁵	ʔau³³	ʔaŋ³³	ʔou³³	ʔŋ̩¹³	ʔŋ̩⁴⁴	ʔɔŋ²²	ʔɒŋ⁴⁴	ʔuːm³³	ʔuːm³⁵	ʔən³³	m̩²⁴
铁	qo⁰⁵ɬo²⁴	ʔə⁰²ɬo³⁵	ɬou⁴⁴	ɬə⁴²	lu³⁵	ɬau³³	ɬo⁵³	ɬu³³	ɬʰə⁴⁴	leu⁴⁴	ɬeu⁴⁴	leu³³	ɬu⁵⁵	ɬu⁵⁵	ɬu⁵³	lu¹³	ɬu⁴⁴	lo³⁵	lo⁵⁴	nɔ³³	ɬo³⁵	ɬje⁵⁵	gja¹¹	ɬja⁵³	lja⁴⁴
煤	qo⁰⁵ndza³³	ʔə⁰²ndzɑ³¹	ntʂua²⁴	nzu⁵⁵	mei²¹tʰan¹³	ʔa³³lɦa³⁵tɬu⁵⁵	mei²²tʰɛ³⁵	mei³¹tʰan¹³	ta³³tu¹¹	mei²²	mei³¹	moi⁵⁵	tʰɛ⁵⁵qa⁰³jo³⁵	mpei³³	mei³¹	mei⁴²	ma³¹	mei³¹³tʰon⁵⁵	mei¹³	mui³¹	mei³³	mei³¹	puːi³¹	mui⁴²tʰan²⁴	
村寨	qo⁰⁵tsʰo³¹	ʔə⁰²tsʰo³¹	ʐau²¹	ntõ¹³ʐõ³¹	ʐoŋ¹¹	zo³³	qo³⁵ʐɑŋ²²	ki⁰³ʑaŋ⁵⁵	ɣaŋ¹¹	ʑaŋ²¹²	ɣaŋ²⁴¹	tju³³ɕʰo⁴⁴	ʔa⁰³tʰɛ³⁵	la⁰³tɕuŋ³¹	təu¹³len⁵³	ʔpan³⁵	ta³¹nu⁵⁵ʔa¹³	tja⁵³	tsʰa²¹	jaŋ⁵³tsuŋ⁵⁵	ʃəŋ⁴⁴	laŋ²³¹	gjaŋ³¹	laŋ⁴²	ʑoŋ⁴⁴
集市	qo⁰⁵ʑi⁵⁵	ʔə⁰²ʑi⁵⁵	ki²¹	ki³¹	tɕi¹¹	dʑi³³	ȵtɕɑŋ²²	dzaŋ¹³	ɕaŋ⁵⁵	tsaŋ²²	hi⁴⁴	ki²¹	tɕʰaŋ³¹	ke⁵⁵ɕaŋ⁰³	ɕy³³	xɯ³³		tɕʰon³¹³	hui⁴⁴	tɔŋ³³hi³³	ŋkjəu⁵³	hei³³	ʃu³⁵doːŋ³³	səu³³	hi⁴⁴
桥	qo⁰⁵kuŋ²⁴	ʔə⁰²koŋ³⁵	tɕʰau³¹	ɬa²⁴	la²²	ɬa⁵⁵	cɯ³¹	dʑəɯ³¹	tɕu⁵⁵	tɕou²²	tjan²²	tɕeu⁵⁵	tɕei⁴⁴	tje³¹	kju¹³	tɕəu⁴²	tɕa³³	lai¹³	kjeu¹³	kʰi⁵³	kji³³	tɕəu³¹	tʃeu³³	tjəu³¹	ku⁵³
坟墓	qo⁰⁵mbo²⁴	ʔə⁰²mbo³⁵	tsaŋ⁴⁴	nzõ⁴²	ntsua⁵⁵	hi⁵⁵ntsaɯ¹¹	qo³⁵ntsei⁵³	la¹³zai¹³	faŋ⁵⁵ljaŋ⁵⁵	pu²²ljaŋ²²	pu³¹ljaŋ³¹	teu²²ma³³	ʔa⁰³ȵei⁵⁵	tsei⁵⁵	tɕi²²	ti²²	pu⁴⁴	tsau⁴⁴	teu⁵⁴	kwen⁵⁵tsʰe³¹pɔ³¹	tʃau³⁵	tsəu⁵³	teu⁵¹	tsəu³⁵	pun⁵³
菜园	qo⁰⁵ji²⁴te³¹	ʔə⁰²si³¹ji³⁵	vaŋ³¹	ntõ²²võ²²	qua⁵³ʐɔ³²	wɦaɯ³⁵zau⁵⁵	qo³⁵ʐo⁴²	ki⁰³tʰei⁵⁵	vaŋ⁵⁵	van²²	van³¹ɣɔ¹³	tju³³væ̃⁵⁵	ʔa⁰³hi⁵⁵	he⁵⁵ʑi³⁵	ve³³	tɕoŋ³³sen³³	van⁵⁵	la⁰⁴vuŋ⁵³	van¹³	ji²²ven³¹	je⁴⁴wi³³	lai³³hun³¹	gjai³⁵ʔtei⁴²	xun³³	ʔe⁴⁴von⁴⁴
篱笆	ʔa⁰²jy³¹mbaŋ³¹	ʔə⁰²ȵdʑi³¹ji³⁵	so⁴³vaŋ³¹		ʐa³²wua⁵³	vɦaɯ³⁵	qo³⁵ʈʰei⁴⁴		qa³³ɕʰin⁴⁴vaŋ⁵⁵		tai¹³	khæ̃⁴⁴væ̃⁵⁵	tɕo³³	pʰai⁵⁵he⁵⁵	ɣi²²ve³³	pa²²	tɕi⁴⁴van⁵⁵		van¹³li¹³	kʰi³⁵ni³¹	pli⁴⁴wi³³	hun³¹lei³¹	teu³³ven¹¹	xun³³	
人	tɑ⁰²na³¹	tə⁰²nɑ³¹	nen⁴³	tĩ³¹nĩ³¹	məŋ²²	tɯ⁵⁵nɯ⁵⁵	ne³¹	nei³¹	nɛ⁵⁵	nei²²	na³¹	nei⁵⁵	ʔa⁰³ne³³	nai³³	no¹³	nu⁴²	nu⁵⁵	na³¹³	no¹³	ne³¹	nai³³	mje³¹	mun³³	min³¹	men⁵³
汉族	qo⁰⁵ʑaŋ³¹	ʔə⁰²ʑɑŋ³¹	ʂua⁵⁵	so⁵⁵	wu¹³	ʔa⁵⁵vau⁵³	qo³⁵ʈɑ²²	qʰai³³	tjə¹¹	tjeu²¹²	tɕua¹³	tjeu²¹	pa⁰³qʰei⁵⁵	qʰe⁵⁵nai³³	pu⁵³kwe³³	nu⁴²kʰei¹³; nu⁴²tɕen³³	kjou¹³kʰa¹³	kʰai³⁵	kʰa³³no¹³	ka³⁵pʰja⁵³	nto³¹mpʰo³³	kan²⁴	tʃʰe³¹mun³³	xan²⁴dzu⁴²	tɕan⁴⁴
族称	qo⁰⁵mjo³¹	ʔə⁰²m̥ø³¹	m̥oŋ⁴³	m̥õ²⁴	məŋ²²	ʔa⁵⁵m̥au⁵⁵	qo³⁵ɕoŋ³⁵	suaŋ⁵³	m̥u³³	mu²⁴	to³¹m̥u¹³	ʔeu⁴⁴ʑu²¹	pa⁰³ŋ̥ŋ³⁵	m̥m³⁵nai³³	pu⁵³no¹³	nu⁴²nu⁴²	nu⁵⁵m̥au³³	pa⁵³na³¹³	jeu¹³no¹³	hɔ³¹ne³¹	kjɒŋ³³nai³³	mjen³¹	kjiːm³³mun³³	min³¹	ʑau⁵³men⁵³
小孩	qo⁰⁵taŋ³¹na³¹	ʔə⁰²tɑŋ³¹	ȵua¹³	tə̃²⁴lã³¹	mpa⁴⁴ʑu⁵⁵	ŋa⁵⁵ʑau¹¹	te³⁵te³⁵	ta³¹tei⁵³	tɕi³³tɛ³³	tei²⁴tei²⁴	to³¹ʑu⁴⁴	tei⁴⁴ŋa²¹	ta⁵⁵qa¹¹	taŋ³⁵ŋe³⁵	kji³³toŋ³³	tu³³vi³⁵	nu⁵⁵ʔiŋ¹³	ton¹³ɕuŋ¹³	ti⁴⁴teu⁴⁴	ne³¹taŋ²²	nei⁴⁴	ku³¹ŋa²³¹	mun³³ʃei⁵¹kjin³⁵	ɕəi⁵³	ʔa⁵³ʔau⁵³
老头儿	qo⁰⁵lo⁵⁵tei³¹	tə⁰²lo⁵⁵nɑ³¹	ʔa⁴³lou²¹	mɛ³¹ʑɯ³¹lo³¹	mpa⁴⁴lo¹¹; po⁵⁵	ʔa⁵⁵ʑɦey¹¹lɦau¹¹	pʰɯ³⁵qo⁵³	qəɯ³³nei³¹	qə⁴⁴lu¹¹	qeu⁴⁴lo²¹²	na³¹lɔ²⁴¹	ʑo²²lo²¹	qo⁵⁵ne³³	qo⁵⁵nai³³	kau³¹lo²³¹	nu⁴²nu⁵⁵	kou⁴⁴nu⁵⁵	ʑa¹³kŋ³⁵	kɒ⁵⁴koŋ⁵⁴	ne³¹ku³¹mje³⁵	kuŋ⁴⁴ku³⁵	mjen³¹ku²⁴	ka⁵¹koŋ³⁵	lu²⁴n̥ən⁵³	ku⁴²men⁵³
