Chinese gloss	Luobuohe, Eastern	Luobuohe, Western	Chuanqiandian	Chuanqiandian, Central Guizhou	Chuanqiandian, Southern Guizhou	Chuanqiandian, Northeast Yunnan	Xiangxi, West	Xiangxi, East	Qiandong, North	Qiandong, East	Qiandong, South	Qiandong, West	Baheng, West	Baheng, East	Dongnu	Nunu	Numao	Bana	Younuo	She	Jiongnai	Mien	Kim Mun	Biao Min	Zao Min
骑	ʑi³¹	ʑe³¹	tɕai³¹	kʰi⁵⁵	tɕe⁵³	dʑɦɯ³⁵	ntsɑŋ⁵³	zaŋ¹³	tɕi⁵⁵	tɕei²²	tɕi³¹	tɕi⁵⁵	tɕi³³	tɕʰi³⁵	kji¹³	naŋ²²; kuei²²	tɕe⁵³	tɕʰen³¹³	ki¹³	kʰi³¹	tʃei³³	tɕei³¹	tʃei³³	tɕi³¹	tɕi⁵³
起来	so⁵⁵ləu⁵⁵	so⁵⁵lo⁵⁵	ʂeu⁵⁵lo²¹	sʰə¹³	sə²³²	sey⁵⁵lɦo¹¹	ɕə⁴⁴lo²²	gwe³³ləɯ⁵⁵	fa¹¹lo¹¹	fa²¹²	ɕa⁵³lau²⁴¹	kua²¹leɯ²¹	hai⁵⁵sau³¹	qau³⁵ɕeu³¹³	ko²³¹lo²³¹	kʰo⁴⁴lo⁴⁴	ko⁵³vai¹³	kwa³¹ta³¹³	ka³³ta¹³	kʰi⁵³nu⁵³	tʃe³¹	kwje²³¹taːi³¹	ȵoːŋ³⁵kui³¹	tjɔ⁴²	tɕa⁴⁴lau⁴⁴
牵	tɕuŋ³¹	tɕoŋ³¹	tɕaŋ⁴³		tɕaŋ³²	tɕaɯ⁵⁵	tɕoŋ³⁵	tʰjaŋ⁵³	tʰjə⁴⁴	tʰjou⁴⁴	ɕi¹³	tɕuŋ⁴⁴	wai³³	tɕʰei³¹³	kjəŋ³³	tɕuəŋ³³	tʰjaŋ¹³	tɕuŋ¹³	si⁴⁴	si³³	pei⁴⁴	tɕʰɛn³³	kʰjen¹¹	kʰən³³	
欠	tsʰa³³	tsʰɑ⁵⁵	tʂʰua⁴³	tʂʰa²⁴	tɕʰan¹³	tʅ¹¹	tɕʰɛ³⁵; ʑɔ⁵³	tɕʰan³³	tɕʰa³³	tɕʰen⁴⁴	kʰin³⁵	ɕʰɔ¹³	tɕeu³³	ke⁵⁵	tɕʰe⁴²	ni³⁵	tsʰa³³	tɕʰen⁴⁴	he⁵⁵	tsʰu⁵³	çin³⁵	tɕʰem²⁴	ʃam³¹	tʰjan²⁴	
抢	χe³³	χi³¹	hua³³	ha⁴²	ɦa¹³	ha¹¹	tɕʰoŋ⁵³	bi³¹la³⁵	lu³¹	lo¹³	la²⁴	lo⁵³	tɕʰaŋ³¹	ɬau³¹	lo²¹	lu²²	lo⁴²	tɕʰon³⁵	tʰjeu⁵⁴	tsʰuŋ⁵⁵	pɒ⁵⁵	tsʰaŋ⁵³	kʰjaŋ⁵¹	tɕʰɔ³⁵	ɕiŋ²⁴
敲	qʰo³¹	kʰɑu⁵⁵	ntou³³	kʰo²⁴	pe¹³	ntau¹¹	ɳʈə³⁵; ɳʈɯ⁴⁴	to³⁵; qʰɯ⁵⁵	ti³³	qʰei³³	tja³⁵; tɬaŋ²²	tjɔ⁵⁵	qɔ³¹	kʰo⁵⁵	ntu²¹	tʰat⁴⁴; zu¹³	li³³	kʰau¹³	kʰau⁴⁴	kʰɔ³⁵	kʰa⁵³	gau²⁴	noːk³⁵	kʰau³³	hau⁴⁴
请	mbjɛ²⁴	χɑŋ³⁵	tsʰen⁵⁵		ʔə⁵⁵	tsʰɯ⁵⁵	ʐɑŋ⁴²; tsʰen⁵³	tsʰen⁵⁵	ten⁴⁴		ʑo²²	sʰẽ¹³	ho³⁵	ɕaŋ³¹³	səŋ⁵³	siŋ³⁵; xu¹³	tɕʰiŋ⁴²	tsʰin³⁵	tʰeŋ⁵⁴	kʰɔ³⁵	ʃeŋ³⁵	tsʰiŋ⁵³	tʃʰiŋ⁵¹	tjau³¹	
去	mu⁵⁵	mu⁵⁵	mo²¹	mə̃³¹	məŋ¹¹	mau¹¹	moŋ²²	maŋ⁵⁵	moŋ¹¹	meŋ²¹²	meŋ²⁴¹	ljo⁵³	ȵi³³	ȵe³³	moŋ²³¹	məŋ⁴⁴	muŋ⁵³	ŋ̩³¹	ʔŋ̩³²	huŋ³¹	ŋ̥ŋ³¹	miŋ³¹	niŋ³³	put⁵³	mu⁴⁴, ŋ̥ŋ⁴⁴
缺	mpʰe²⁴	mpʰe³⁵	ntai³³	ŋke⁴²	mʐen⁴⁴; mpei⁴²	ntɬai¹¹	nqwɑ⁵³		qei⁴⁴	paŋ¹³	lau⁵³	ɣo²²	kwe⁴²	sei⁵⁵tʰei³¹	ŋka⁴²	nui²²	mpei³³	kwe⁵³	pa⁵⁵	kʰui³⁵	kwai¹²	gwa⁵⁵	ko³¹		
燃	ʑi²⁴	ʑe³⁵	tɕi¹³	tɕi²²	tɕi¹³	dʑi³¹	ta⁴²	dai¹³	tɕin¹³	tɕin⁵³	tji²²	tɕi²²	qaŋ³⁵	tai³¹	kjəŋ³³	tʰɯ⁴²	tɕi⁴⁴	kjon³¹³	neu⁵⁴	tʰjɔ⁵⁵	ntau⁵⁵	tsje²¹		tʰja²¹	sa²²
