Chinese gloss	English meaning	Guangdian Mien (Jiangdi)	Xiangnan Mien (Miaoziyuan)	Diangui Kim Mun (Liangzi)	Fanghai Kim Mun (Tansan)	Changping Mien [Biao Mon]	Luoxiang Mien	Daping Dzao Min	Dongshan Biao Min	Shikou Biao Min [Chao Kong Meng]	Niuweizhai Biao Min [Moxi]
药	medicine	dje³³	dje³³	ma⁴³	gjaːi³⁵	djai³³	dje³³	a⁴⁴tsɛi⁴⁴	hja³³	jɔ³¹	tɕwei³³
饭	rice	n̥aːŋ²⁴	n̥aŋ³⁵	naŋ²¹	naŋ³³¹	naːŋ⁵⁵	naːŋ⁵⁵	nɔŋ⁴²	n̥aŋ²⁴	sam³⁵	ma⁴³⁵
早饭	breakfast	luŋ³¹doːm³³	luŋ³¹dɔŋ³³	bu³³dɔm³⁵naŋ²¹	bu³³dɔːm³⁵naŋ³³¹	du³¹doːm³³naːŋ⁵⁵	guŋ³¹dɔm³³	dɔm⁴⁴tu⁵³nɔŋ⁴²	djau³⁵n̥aŋ²⁴	tɔn³³	ŋjən³¹twan³³
午饭	lunch	luŋ³¹aːn²⁴	lu³¹aŋ³⁵	dum³³nɔi³¹naŋ²¹	dɔm³⁵nɔːi¹³naŋ³³¹	du³¹nwai³³naːŋ⁵⁵	n̥am³¹n̥ɔi³³	nai⁴⁴djaŋ⁴⁴	pʰɛ³³n̥wai³³	beu³³	ŋjən³¹pu³³
晚饭	dinner	luŋ³¹m̥waŋ²⁴	lu³¹mwəŋ³⁵	bu³³ȡam²²naŋ²¹	bu³³ȡɔm³²naŋ³³¹	du³¹gjəm³¹naːŋ⁵⁵	guŋ³¹pou³³	vaŋ⁵³mɔŋ⁴²nɔŋ⁴²	m̥ɔŋ²⁴n̥aŋ²⁴	ja¹³	ŋjən³¹mɔŋ⁴⁴
粥	porridge	tswo⁵⁵	tswə⁵⁴	naŋ²¹sou³⁵	ɕo³⁵naŋ³³¹	tsu⁵⁴	tɕwo⁴³	a⁴⁴ham²⁴	həu³¹	tɕ()ɔ³⁵	tɕ()ɔ⁵⁵
粑粑	rice cake	dʑwo⁵²	dʑwə⁵³	ȡu⁵⁴⁵	ȡu⁵⁵	gju⁵³	ju⁵³	a⁴⁴gu²⁴	ȡu³⁵	tɕu³⁵	kjəu³⁵
汤	soup	tʰoːŋ³³	tʰɔŋ³³	wam³⁵	gjai³⁵vɔm³⁵	tʰoːŋ³³	a⁵³tʰɔŋ³³	hɔŋ⁴⁴	tʰaŋ³³	tʰoŋ³³	tʰɔ³³
酒	liquor	tiu⁵²	tiu⁵³	tiu⁵⁴⁵	ʔtiu⁵⁵	tiu⁵³	tiu⁵³	a⁴⁴diu²⁴	tiu³⁵	diu³⁵	ti³⁵
醋	vinegar	tsʰou²⁴	tsʰu³⁵	tθui³¹	θa³³⁵	mi³⁵	mei³⁵	saŋ⁴⁴si⁴⁴	tsʰəu²⁴	tʰeu⁴⁴	
动物油	fat (animal)	m̥ei³³	m̥ei³³	mei³¹	mɛi¹³	mai³³	m̥ei³³	mi⁴⁴	m̥əi³³	mi³³	mi³³
植物油	oil (vegetable)	jou³¹	jəu³¹	jou³³	jəu³³	jəu³¹	jeu³¹	a⁴⁴diu²⁴	jau³¹	jəu⁵⁵	jəu⁵³
盐	salt	dzau⁵²	dzau⁵³	dau⁵⁴⁵	daːu⁵⁵	ðau⁵³	dau⁵³	a⁴⁴dzjam⁵³	dza³⁵	tsɔu³⁵	tsau³⁵
茶	tea	tsa³¹	tsa³¹	ȶa³³	ȶa³³	tsa³¹	tɕa³¹	a⁴⁴ta⁵³	ȶa³¹	tsa⁵⁵	tsa⁵³
饼子	flatbread	piːŋ³¹	tɔŋ³¹piŋ⁵³	pɛŋ⁵⁴⁵	ʔpɛːŋ⁵⁵	piŋ⁵³	piŋ⁵³	a⁴⁴gu²⁴	sau⁵³pjɛ³⁵	bjaŋ³⁵	pjɯ³⁵
肉	meat	o⁵²	ɔ⁵³	a⁵⁴⁵	a⁵⁵	a⁵³	a⁵³	a⁴⁴hɔi⁵³	dʑi³¹	kai⁵⁵	ɔ³⁵
肥肉	fatty meat	o⁵²tɕun¹³	ɔ⁵³kuŋ¹¹	a⁵⁴⁵kun²²	a⁵⁵kun³²	a⁵³kjun²²	a⁵³kun¹¹	hɔi⁵³tin²²	dʑi³¹m̥əi³³	kai⁵⁵klyn¹³	ɔ³⁵kɣən³¹
瘦肉	lean meat	o⁵²tɕai¹³	ɔ⁵³kai¹¹	a⁵⁴⁵kjai²²	a⁵⁵kjaːi³²	a⁵³θin³³	a⁵³kje¹¹	hɔi⁵³kɛi²²	dʑi³¹in⁵³	kai⁵⁵klai¹³	ɔ³⁵kɣai³¹
腊肉	cured meat	o⁵²laːp¹²	ɔ⁵³la²¹	a⁵⁴⁵hɔŋ²¹	a⁵⁵laːp³²	a⁵³lap²¹	a⁵³laːp³²	hɔi⁵³lap²²	ɬan⁴²dʑi³¹	plæ⁵⁵kai⁵⁵	ɔ³⁵la⁵³
蛋	egg	tɕau²⁴	kau³⁵	kjau⁴⁴	kjau³³⁵	kjau³⁵	kjau³⁵	tsu⁴²	klau²⁴	klɔu⁴⁴	kɣau⁴⁴
