Chinese gloss	English meaning	Guangdian Mien (Jiangdi)	Xiangnan Mien (Miaoziyuan)	Diangui Kim Mun (Liangzi)	Fanghai Kim Mun (Tansan)	Changping Mien [Biao Mon]	Luoxiang Mien	Daping Dzao Min	Dongshan Biao Min	Shikou Biao Min [Chao Kong Meng]	Niuweizhai Biao Min [Moxi]
恶	evil	o⁵⁵	o²²	ɔk⁵⁴	ho³²	o²²	a⁴³	ɔ⁵³		ɔu²²	ɔ⁵³
白	white	pɛ¹²	pje²¹	pɛ²²	ʔpa³²	pje²¹	pɛ³²	pɛ²¹	pa²²	ba⁵⁵	pʰje⁵³
饱满	full	tɕau³¹	kau³¹	kjau³³	kjaːu³³	kjau³¹	kjau³¹	tu⁵³	klau³¹	tɕɔŋ⁴⁴	
薄	thin (width)	pje¹²	pje²¹	fa²²	fa³²	pwa²¹	pwa³²	pjɛ²²	blɔ³⁵	bɔu⁵⁵	pʰja⁵³
饱	full, satiated	peu⁵²	pei⁵³	pjeu⁵⁴⁵	ʔpɛu⁵⁵	pjəu⁵³	peu⁵³	bɛu²⁴	pjau³⁵	jan³³	pje³⁵
漂浮	floating	bjou³¹	bjəu³¹	bjou³³	bjɔu³³	bjəu³¹	bjeu³¹	bɛu⁵³	bjau³¹	pjɔu⁵⁵	pjau⁵³
漂亮	beautiful	dzwei¹³	kwai³³	kwai⁵⁴⁵	kwaːi⁵⁵	ðjaŋ³¹ðei²²	gɔŋ³¹	bɔt⁴⁴hiŋ⁴²	tsəi⁴²tɕɛ³⁵	kleu³⁵	tsjaŋ⁴³³
密	dense	ma¹²	ma²¹	nuŋ²²	nuŋ³³	ma²¹	ma³²	mɔu²²	bai⁴²	ma²²	ma⁵³
满	full	pwaŋ⁵²	pwəŋ⁵³	pɔŋ⁵⁴⁵	ʔpɔŋ⁵⁵	pəŋ⁵³	pwəŋ⁵³	baŋ²⁴	pɔŋ³⁵	baŋ³⁵	pwəŋ³⁵
忙	busy	pe⁵⁵	koŋ³³tɕəŋ⁵³	kɔːn⁴⁴	kɔːn⁵⁵	ȵaŋ³⁵	mɔŋ²¹³	kin⁴²	ȶan⁵³	kluŋ⁵⁵	
偏(斜)	crooked	pʰjen³³	pʰjəŋ³³	ȡa³⁵	ȡa³⁵	ȵiŋ³⁵	pʰjen³³	tɛu²⁴	tɕɛ³⁵	pʰen³³	pʰeŋ³³
慢	slow	ton¹³	maŋ¹¹	maːn²²	man³²	man²²	man¹¹	man²²	man⁴²	man¹³	tun³¹
(刀)锋利	sharp (knife)	lai¹³	lai¹¹	gjai²²	gjai³²	ðaːi²²	gai¹¹	hɛi²²	lai⁴²	lai¹³	ɣai³¹
腻	greasy	ȵaŋ²⁴	kuŋ¹¹	kun²²	kun³²	hjun²²	kun¹¹	tin²²	njaŋ²⁴	jen³¹	kɔ³⁵
旺	fortuitous	ɕaːŋ²⁴	hjaŋ³⁵	hɔŋ⁴³	hɔŋ⁴²	hoːŋ²²	hoŋ¹¹	sa²²	hən²⁴	lu³³	
(刀)钝	dull (knife)	doːŋ⁵²	dəŋ⁵³	plun⁵⁴⁵	blun⁵⁵	mut⁴⁵	mu⁴³	tun⁵³	lwɔi³¹	tɕɛ³¹	
短	short	naŋ⁵²	naŋ⁵³	niŋ⁵⁴⁵	niŋ⁵⁵	naŋ⁵³	naŋ⁵³	naŋ⁵³	naŋ³⁵	naŋ³⁵	naŋ³⁵
(胆)大	brave	ɬu³³	lu²³²	lu³¹	lu¹³	lu³³	lo³³	lɔu⁴⁴	ɔ⁵³	lu¹³	lu³³
大(山)	big (mountain)	tom³¹	tuŋ³¹	lu³¹	lu¹³	tʰom³¹	tʰɔm³¹	tam⁵³	tin⁴²	dæn⁵⁵	tan⁵³
低	low	ai⁵²	ai⁵³	ha³²	ha³¹	ha¹²¹	ha²¹³	ɛi²⁴	hɔ⁴²	ai³⁵	ai³⁵
淡	light (porridge)	tsaːm⁵²	tsaŋ⁵³	tθam⁵⁴⁵	θaːm⁵⁵	θaːm⁵³	θaːm⁵³	tɔm²⁴	tsan³⁵	tœn³¹	tsan³⁵
多	many	tsʰam⁵²	tsʰaŋ⁵³	duŋ⁴⁴	duŋ³³⁵	tsoŋ³³	tɕuŋ³³	tsɔŋ⁴⁴	njɛn³⁵	kʰu³⁵	tɕu³³
早	early	dzjou⁵²	dzjəu⁵³	gjou⁵⁴⁵	gjɔu⁵⁵	ðjəu⁵³	djeu⁵³	du²⁴	djau³⁵	tsjɔu³⁵	tjəu³⁵
酸	sour	suːi³³	sui³³	tθui³¹	θuːi¹³	θui³³	ɕui³³	si⁴⁴	swəi³³	ɕi³³	ɕui³³
甜	sweet	kaːm³³	kaŋ³³	kaːm³⁵	kaːm³⁵	kaːm³³	kaːm³³	dɔi⁵³	kan³³	kwɔn³³	kan³³
脏(水)	dirty (water)	lai³¹tʰaːt⁵⁵	lu³¹fəu⁵³	tlo³³	klu³³	mwa³⁵	mwa³⁵	ɔu⁴⁴tɔu⁴⁴	lɛ⁴²tʰɛ³⁵	u³³tsu³³	lje⁴³³tʰje³⁵
吝啬	stingy	fiu⁵²laːŋ¹³	lai¹¹	tθai²¹	hɔ³²θɛːk³⁵	ȵan³⁵	ɕai⁵⁵	hum⁴⁴lɔu⁴⁴	tɕɛn³³	ma³¹si⁵⁵	
亮	bright	gwjaŋ³³	gjaŋ³³	gwaŋ³⁵	gwaŋ³⁵	gwaŋ³³	gwaŋ³³	vjaŋ⁴⁴	gwaŋ³³	koŋ³³	kjaŋ³³
老	old (person)	ku²⁴	ku³⁵	ko⁴⁴	ko³³⁵	ku³⁵	ko³⁵	ku⁴²	ku²⁴	ku⁴⁴	ku⁴⁴
懒	lazy	lwei¹³	lwei¹¹	lei²²	lɛi³²	lwei²²	lwei¹¹	lan⁴⁴	lwəi⁴²	le¹³	lwai³¹
烂(瓜)	rotten (melon)	hu⁵²	hu⁵³	jɔːt²⁴	jɔːt³⁵	hu⁵³	vai¹¹	vai²²	wjə³¹	meu³⁵	fu³⁵
绿(叶)	green (leaf)	mɛːŋ³³	mɛŋ³³	mɛŋ³⁵	mɛːŋ³⁵	mjeŋ³³	mɛŋ³³	mɛŋ⁴⁴	mɛ³³	miŋ³³	mjɯ³³
(水)凉	cold (water)	nam²⁴	naŋ³⁵	tθiŋ⁴⁴	θiŋ³³⁵	θiŋ³⁵	θiŋ³⁵	liŋ⁵³	nan²⁴	nan⁴⁴	nan⁴⁴
凉(饭)	cold (rice)	nam²⁴	naŋ³⁵	nam⁴⁴	nam³³⁵	nam³⁵	nam³⁵	liŋ⁵³	nan²⁴	nan⁴⁴	nan⁴⁴
(天气)冷	cold (weather)	tɕwaŋ⁵²	tɕwəŋ⁵³	sɔŋ⁵⁴⁵	ɕɔŋ⁵⁵	kjəŋ⁵³	tɕwəŋ⁵³	kuŋ²⁴	ȶɔŋ³⁵	tɕɔŋ³⁵	kjɔŋ³⁵
蔽(布)	cover (cloth)	mɛːŋ²⁴	mɛŋ³³	mɛŋ³⁵	mɛːŋ³⁵	bu⁵³	bu⁵³	mɛŋ⁴⁴	mɛ³³	kʰoŋ³⁵	mjɯ³³
辣	spicy	bjaːt¹²	ba²¹	bjaːt⁴²	bjaːt³²	blaːt²¹	blaːt³²	bjɛt²²	blan⁴²	plæ²²	pʰɣai⁵³
酽(茶)	strong (tea)	noŋ³¹	nuŋ³¹	nok²¹	ʔtɔŋ³³⁵	ȵoŋ³¹	ŋaːm¹¹	nuŋ⁵³	nwə³¹	njɔŋ⁵⁵	njɔŋ⁵³
难	difficult	naːn³¹	naŋ³¹	ȶou⁴³	naːn³³	naːn³¹	naːn³¹	nan⁵³	ȶa⁵³	tɕwei³³	nan⁵³
直	straight	tsa¹²	tsa²¹	ȶa²²	ȶa³²	tsa²¹	tɕa³²	laŋ⁴⁴	glaŋ³¹	pliŋ³⁵	pɣaŋ³¹
