Chinese gloss	English meaning	Guangdian Mien (Jiangdi)	Xiangnan Mien (Miaoziyuan)	Diangui Kim Mun (Liangzi)	Fanghai Kim Mun (Tansan)	Changping Mien [Biao Mon]	Luoxiang Mien	Daping Dzao Min	Dongshan Biao Min	Shikou Biao Min [Chao Kong Meng]	Niuweizhai Biao Min [Moxi]
人	person, human	mjen³¹	mjəŋ³¹	mun³³	mun³³	moːn³¹	mwan³¹	min⁵³	min³¹	meŋ⁵⁵	mwəŋ⁵³
汉族	Han people	tɕen²⁴	kaŋ³⁵	hɔn³¹lui²²	dɔu³¹ȶuk³²	han³⁵moːn³¹	dou²¹³mwan³¹	kjɛn⁴⁴	kwan³³min³¹	han⁵⁵tsu²²	
瑶族	Yao people	mjen³¹	mjəŋ³¹	kjeːm³³mun³³	kiːm³³mun³³	bjau³¹moːn³¹	bjau³¹mwan³¹	dzau⁵³min⁵³	bjau³¹min³¹	mɔu³¹jɔu⁵⁵	mɔ⁴³³ɕi⁵³
名字	name	bwo²⁴	bwə³⁵	mɛŋ³³tθei²²	bu³³⁵	min³¹θei²²	bu³⁵	mjaŋ⁵³	bau²⁴	pou⁴⁴	pəu⁴⁴
祖父	grandfather, paternal	oŋ³³	oŋ³³	tlau³²	fa⁵⁵ko³³⁵	te³³	koŋ³³	a⁴⁴kuŋ⁴⁴	kɔŋ³³	kɔŋ³³	kɔŋ³³
祖母	grandmother, paternal	ku²⁴	ku³⁵	bo³²kɛ⁴⁴	ȡi³²ko³³⁵	nai³³	lou⁵³	a⁴⁴pɔu⁵³	pa⁴²	ɔu²²	tɕʰwei³³
父	father	tje²⁴	tje³⁵	fa⁵⁴⁵	fa⁵⁵	pwa⁵³	pwa⁵³	a⁴⁴ba⁴⁴	tja³³	tu²²	pɣa³³
母	mother	ma¹³	ma¹¹	ȡi³²	ȡi³¹	ma²²	nɛn³⁵	a⁴⁴dzɛi⁴⁴	ȵa²⁴	ȵan²²	ma³³
儿子	son	toːn³³	twaŋ³³	tɔn³⁵	ɕɛi⁵⁵	kwjei⁵³	tɕwei⁵³	a⁴⁴dan⁴⁴	twan³³	dən³³	twan³³
女儿	daughter	sje⁵⁵	sje⁵⁴	sa³¹	mun³³ɕa¹²	θja⁵⁴	ɕa⁴³	tɔŋ⁴⁴nu⁴⁴	ti⁴²sa⁵³	ɕa³⁵	sa⁵⁵twan³³
媳妇	daughter-in-law	bwaŋ²³¹	bwəŋ²³²	bɔŋ³²	bɔŋ³¹	bəŋ¹²¹	bwəŋ²¹³	a⁴⁴ȵɛm⁴⁴	bɔŋ⁴²	paŋ³¹	pʰɔŋ⁴³³
女婿	son-in-law	laːŋ³¹	laŋ³¹	laŋ³³	laːŋ³³	vei⁵³	laːŋ³¹	a⁴⁴vɛi²⁴	bjau⁴²ɕəi²⁴	dən³³si⁵⁵	laŋ⁵³si³³
孙子	grandson	fun³³toːn³³	fuŋ³³	tθun³⁵	θun³⁵	laːn⁵³	θun³³	a⁴⁴hun⁴⁴	swən³³	sjen³³dən³³	suŋ³³
丈夫	husband	gu²⁴	n̩³¹tɕəŋ¹¹	laŋ³³	laːŋ³³	tə³¹kəŋ³⁵	tɕaŋ¹¹	a⁴⁴kjaŋ²²	bu³⁵	la³¹kɔŋ³³	kjaŋ³¹
妻子	wife	au⁵²	au⁵³	au⁵⁴⁵	au⁵⁵	tə³¹pwa³¹	au⁵³	a⁴⁴sa⁴⁴	kau³⁵	bu⁵⁵lu⁵⁵	sa⁵⁵
兄	brother, elder	ko²⁴	kɔ³⁵	ta³³	ʔta³³	ko³³	viŋ³³	a⁴⁴kɔu⁴⁴	ko³⁵	ai²²	kɔ³³
弟	brother, younger	jou²³¹	tɕi³¹ɬa⁵³	jou³²	jɔu³¹	noŋ³⁵	mai²¹³	a⁴⁴kui²⁴	ni³⁵pa⁵³	ki³⁵	lu⁵³tʰi³³
姐	sister, elder	to¹³	tɔ¹¹	o⁵⁴⁵	o⁵⁵	tsje³⁵	hei³¹	a⁴⁴ti²⁴	tsəi³⁵	tsi²²	tsi³⁵
妹	sister, younger	mwo¹³	tɕi³¹sje⁵⁴	mu²²	θaːi³³⁵	mei³⁵	mu¹¹	a⁴⁴mɔi⁴⁴	ȶui⁵³sa⁵³	ɕa³⁵	kji³¹sa⁵⁵
嫂	elder brother's wife	ȵaːm³³	ȵaŋ³³	ȵaːm³⁵	ȵaːm³⁵	θaːu⁵³	tɕu³¹	a⁴⁴ȵɛm⁴⁴	ȵan³³	ȵan³³	ȵan³³
伯父	uncle (father's elder brother)	pɛ⁵⁵	pa³¹oŋ³³	pɛ³⁵	ʔpɛ³⁵	pə⁵⁴	a³³pɛ⁴³	lɔu⁴⁴pa⁴⁴	pɛ⁵³	ba²²	pje³³
叔父	uncle (father's younger brother)	jou²³¹	swə⁵⁴	fa⁵⁴⁵jou³²	jɔu³¹	su⁵⁵	a³³ɕok⁴³	a⁴⁴tui²²	man⁵³	pla³³	ɕɔ³³
伯母	aunt (mother's elder brother)	tɕwo³¹	pa³¹pje³¹	ȶu³³	ȶu³³	pa³³	ȵa³³ko³⁵	lɔu⁴⁴ku⁵³	ȶu⁴²	dœn⁵⁵tɕu⁵⁵	kjəu⁵³ma³³
叔母	aunt (mother's younger brother)	dzje²³¹	pje³¹	ȡi³²tθai⁴⁴	θaːi³³⁵	θju³⁵	ȵa³³dʑi²¹³	a⁴⁴dzɛi⁴⁴	ȡai⁴²	tɕu⁵⁵	ɕ()ɔ³³ma³³
