Chinese gloss	English meaning	Guangdian Mien (Jiangdi)	Xiangnan Mien (Miaoziyuan)	Diangui Kim Mun (Liangzi)	Fanghai Kim Mun (Tansan)	Changping Mien [Biao Mon]	Luoxiang Mien	Daping Dzao Min	Dongshan Biao Min	Shikou Biao Min [Chao Kong Meng]	Niuweizhai Biao Min [Moxi]
我	I	je³³	je³³	ja³⁵	ja³⁵	ja³³	ja³³	tsjɛ⁴⁴	kəu³⁵	kɔ²²	ku⁵⁵
你	you (sg.)	mwei³¹	mwei³¹	mei³³	mɛi³³	mui³¹	mwei³¹	mui⁵³	məi³¹	ȵɔ³⁵	mi⁵³
他	he	nen³¹	nei³¹; nəŋ³¹	nan³³	nan³³	nən³¹	nan³¹	vɛi⁴⁴	nin³¹	dɛ³⁵	ti⁵⁵
我们	we	je³³bwo³³	je³³bwə³³	bu³⁵	bu³⁵	ja³³bu³³	ja³³lɔi²¹³	bu⁴⁴	ȶa³⁵	kɔ²²va³⁵	ku⁵⁵pu³³
你们	you (pl.)	mwei³¹bwo³³	mwei³¹bwə³³	ȵou³³	ȵɔu³³	mui³¹bu³³	mwei³¹lɔi²¹³	ȵiu²⁴	ȡa³⁵	ȵɔ³⁵va³³	mi⁵³pu³³
他们	they	nen³¹bwo³³	nei³¹bwə³³	nan³³tθi³⁵	nan³³θɛ³⁵	nən³¹bu³³	nan³¹lɔi²¹³	vɛi⁴⁴dui²⁴	a³³tau³¹	dɛ³⁵va⁵³	ti⁵⁵pu³³
