Gloss	Pa Hng (Tân Trịnh) [tone values]	Pa Hng (Tân Trịnh) [tone categories]	Page no.
low	ŋgeh³¹	ŋgeh4	13
lunch	sɔʔ³¹	sɔʔ3	13
measure, (2) arms	ka³³	ka2	13
meat	ŋgɛ³³	ŋgɛ2	13
medicine	ȵdʑa³³	ȵdʑa1	13
meet, to	tɕɛʔ³¹	tɕɛʔ3	13
Miao	mbjo³³kʷɔ³³	mbjo1/2kʷɔ1/2	13
moon	ʔa³³lʰa⁵⁵	ʔa1lʰa5	13
mountain	ʔa³³tũ³³	ʔa1tũ1	13
mountain chain (岭)	tɤ³³vjeh³³	tɤ1vjeh2	13
mouse	ta³³nɦẽh³¹	ta1nɦẽh4	13
mouth (1)	ʔa³³la⁵⁵	ʔa1la5	13
mouth (2), beak	ʔa³³phĩ³³ȵdʑɯh²²	ʔa1phĩ1/2ȵdʑɯh2	13
mouthful, a (of water)	iʔ³¹hoʔ³¹ʔɔ̃³³	iʔ3hoʔ3ʔɔ̃1	13
mouthful, a (of bread)	iʔ³¹tɕɤ³¹	iʔ3tɕɤ(3?)	13
mushroom	ŋgo³³	ŋgo1	13
neck	ʔa³³tɕũ⁵⁵ŋũʔ³¹	ʔa1tɕũ5ŋũʔ3	13
needle	tɤ³³kɔ̃³³	tɤ1kɔ̃1	14
negation	m̩³³	m̩1/2	14
night	kaʔ³¹mah³¹	kaʔ3mah4	14
nine	ko⁵⁵	ko5	14
one	iʔ³¹; ʝiʔ³¹	iʔ3; ʝiʔ3	14
Pa-hng	paʔ³¹ŋŋ̥³³	paʔ3ŋŋ̥1	14
paddy	pɤh³¹	pɤh4/8	14
pair, together	ŋgɤh³¹	ŋgɤh8	14
pass, to (guo)	kʷa⁵⁵	kʷa5	14
pastry	ŋgoʔ³¹	ŋgoʔ3	14
people	kɛ⁵⁵mɛ̃³³	kɛ5mɛ̃2	14
pepper, red (capsicum)	paʔ³¹mbjeh³¹	paʔ3mbjeh4	14
pestle	tɤ³³kʷih³³	tɤ1kʷih1/2	14
pig	ta³³mbe⁵⁵	ta1mbe5	14
place	ʔa³³sɔ⁵⁵	ʔa1sɔ5	14
plain (ping)	ʔa³³pẽ²⁴	ʔa1pẽ6	14
plant, bed, to (rice)	ȵdʑɤ⁵⁵(mbo³³)	ȵdʑɤ5(mbo2)	14
plough	tɤ³³lih³³	tɤ1lih2	14
price	ʔa³³ŋga⁵⁵	ʔa1ŋga5	14
put on trousers, to	m̥ẽ⁵⁵	m̥ẽ5	14
rain	ʔɔ̃³³mũ²⁴	ʔɔ̃1mũ6	14
rainbow	jũ³³	jũ2	14
red	tɤ²⁴	tɤ6	14
release, to	tɕũ⁵⁵	tɕũ5	14
rest, to	hẽʔ³¹	hẽʔ3	14
rice, cooked	ʔĩ⁵²	ʔĩ7	14
riverside (边)	ʔa³³pjɛ̃⁵⁵	ʔa1pjɛ̃5	14
road	tɤ³³koʔ³¹	tɤ1koʔ3	14
roar, to (2)	ŋgɤ³³	ŋgɤ1/2	14
roar, to (1)	ŋʷa⁵⁵	ŋʷa5	14
root	kũ³³pah³³	kũ1/2pah1	14
root	tɤ³³kũ³³	tɤ1kũ2	14
rope	tɤ³³l̥e⁵⁵	tɤ1l̥e5	14
salt	ʔa³³ȵdʑoʔ³¹	ʔa1ȵdʑoʔ3	14
sand (沙)	kaʔ³¹sa³³	kaʔ3sa2	14
sea (海)	ʔa³³hɛʔ³¹	ʔa1hɛʔ3	14
sell, to	mɛ̃²⁴	mɛ̃6	14
seven	tɕah²⁴	tɕah6	14
shadow	ʔa³³jĩ⁵⁵	ʔa1jĩ5	14
short	lɔ̃ʔ³¹	lɔ̃ʔ3	14
shrimp	kaʔ³¹ȵdʑɔʔ³¹kũ³³	kaʔ3ȵdʑɔʔ3kũ1/2	14
sieve	ʔa³³vɤ³³	ʔa1vɤ1	14
silver (古金)	ko⁵⁵tɕĩ³³	ko5tɕĩ1	14
six	tɕɯ⁵⁵	tɕɯ5	15
sky	ʔa³³ŋʷɔ̃h³³	ʔa1ŋʷɔ̃h2	15
sleep, to	pɤ⁵⁵	pɤ5	15
slide, to	ŋgɯh³¹	ŋgɯh4/8	15
small (2) (preposed)	tɔ̃³³	tɔ̃1/2	15
small (3)	ho³³	ho1	15
small (4)	mah³¹	mah4/8	15
small (5)	jɯ⁵⁵	jɯ5	15
smell, to (1)	m̥ĩ⁵⁵	m̥ĩ5	15
smell, to (2)	tɕo⁵⁵	tɕo5	15
smoke	kaʔ³¹ʔɯ⁵⁵	kaʔ3ʔɯ5	15
snow	tɕah²⁴mɔ̃⁵⁵	tɕah6mɔ̃5	15
soak, to (1)	tɕɯ⁵⁵kʷɔ⁵⁵	tɕɯ5kʷɔ5	15
soak, to (2)	lah²⁴	lah6	15
