Chinese gloss	English meaning	Guangdian Mien (Jiangdi)	Xiangnan Mien (Miaoziyuan)	Diangui Kim Mun (Liangzi)	Fanghai Kim Mun (Tansan)	Changping Mien [Biao Mon]	Luoxiang Mien	Daping Dzao Min	Dongshan Biao Min	Shikou Biao Min [Chao Kong Meng]	Niuweizhai Biao Min [Moxi]
鱼	fish	bjau²³¹	bau²³²	bjau³²	bjau³¹	blau¹²¹	bjau²¹³	a⁴⁴biu⁴⁴	bla⁴²	plɔu³¹	pʰɣau⁴³³
虾	shrimp	tɕʰa³³koːŋ¹³	ka³¹sa⁵⁴		ȶʰa¹³	kʰa³³	tɕʰa³³	ha⁵³kuŋ⁴⁴	kʰa⁵³kɔŋ³³	ha⁵⁵	tɕʰa⁵³kɔŋ³³
螃蟹	crab	dʑiːm³¹gwai²³¹	dziŋ³¹gwai³³	kjam⁴⁴ȵei³⁵	kjam³⁵ȵaːi³⁵	kə³dzjaːi³³	ka¹¹dʑai³³	kuŋ⁴⁴kjɛ⁵³	ɕi⁵³ȡai³³	vɔŋ⁵⁵ȵan⁵⁵klaŋ³³	hɔ⁵³fwai³³
螺蛳	snail, river	tɕwei³³	kwei³³	uŋ³³a⁴³gwei³⁵	kwɛi³⁵	kwjei³³	kwei³³njeu⁵³	ki⁴⁴	kli³³	kle³³	kɣai³³
蜗牛	snail, land	tɕwei⁵²	kwei⁵³	kjɛŋ³⁵kwei⁵⁴⁵lak³²	ɕɔu³³gjɛn³³¹kwɛi³⁵	kjəm³¹kwjei³³	kwei³³ɔŋ³⁵	kɛt²²lɛt⁴⁴fɔu⁴⁴	kjau³⁵	kle³³ŋi³¹ɔŋ⁵⁵	taŋ⁵³kɣai³³
青蛙	frog	tɕɛːŋ⁵²	tɕɛŋ⁵³	kjɛŋ⁵⁴⁵	ȶɛːŋ⁵⁵	kjeŋ⁵³kwai⁵³	ka¹¹dʑwa⁵³	tsap²²tsɔu²²	ma⁴²kwa³⁵	kai³³kwə³⁵	ma⁵³kwai³⁵
蝌蚪	tadpole	tɕɛːŋ⁵²nou³³	tɕɛŋ⁵³nuŋ³³	kjɛŋ⁵⁴⁵plɔŋ⁴⁴	ȶɛːŋ⁵⁵ʔplɔːŋ³³⁵	kjeŋ⁵³ðjen³¹	tɕɛŋ³¹vɛŋ³¹	tsjaŋ⁵³ku²⁴njam⁴²	ma⁴²kwa³⁵duŋ³³dui³³	ni⁵⁵hai⁵⁵	taŋ⁵³taŋ⁵³kɣɯ³⁵
乌龟	tortoise, turtle	tu¹³ȵɛːŋ¹³	u³³kui³³	to²²	ʔtu³²	tu²²	to¹¹	tup⁴⁴pɛi³⁵	u⁵³kui³³	ljaŋ³¹bi³⁵	tu³¹
鳖	softshell turtle	tu¹³	bje³⁵	pit⁵⁴	ʔpit³⁵	pit⁵⁴	pit⁴³	bjɛt⁴⁴		bi³⁵	pi⁵⁵
癩蛤蟆	toad	tɕɛːŋ⁵²kop⁵⁵	tɕɛŋ⁵³tsəu³¹		ȶam³³ȶɔu³³	kjeŋ⁵³tsau³¹	tɕam¹¹tɕou³¹	tsjɛm⁴²pɔu⁵³ni⁴⁴	la⁵³sa³³ma⁴²kwa³⁵	kai³³kwə³⁵di²²	kɣɯ³⁵lai³³
龙	dragon	tɕuŋ³³	kuŋ³³	kuŋ³⁵	kuŋ³⁵	kjoŋ³³	kuŋ³³	luŋ⁵³	ljuŋ³¹	kljɔŋ³³	kɣɯ⁵³
蛇	snake	naːŋ³³	naŋ³³	naŋ³⁵	naːŋ³⁵	naŋ³³	naːŋ³³	a⁴⁴nɔŋ⁴⁴	naŋ³³	nu³³	naŋ³³
蜥蜴	lizard	naːŋ³³ku³¹laːŋ¹³	kə³¹si³¹lwaŋ¹¹	duŋ³³sɛt²¹	kɛːŋ³⁵ɕa³³	bləu¹²¹ðjai¹²¹kəŋ³³	naːŋ³³kun¹¹	nɔŋ⁴⁴kai²⁴tɔŋ⁵³	ȶa⁵³sɛ³³paŋ³³	lɔu³¹vuŋ⁵⁵nu³³	
鸟	bird	no¹²	nɔ²¹	nɔ²²	nɔ³²	nu²¹	nu³²	a⁴⁴nɔu²²	n̥ɔ⁴²	nɔ²²	nɔ⁵³
乌鸦	crow	no¹²a³³	nɔ²¹a³³²	uŋ²²a⁴³	u⁵⁵a³²	la³¹a¹²¹	nu³²a³³	at²²lɔu²²pɔu²²	tin⁴²klaŋ³⁵	dœn⁵⁵a³³	lɔ⁵³a³³
画眉鸟	laughingthrush (Garrulax canorus)	hwa³¹mei³¹	nɔ²¹mei³¹	bu³³mei³³	jaŋ³³mjɛu³³nɔ³²	nu²¹mai³¹	vɔŋ¹¹m̥ei⁵³	mai⁵³van⁴²nɔu²²	wa³¹mi⁴²	vaŋ³¹miŋ⁵⁵nɔ²²	hwaŋ⁵³mi³¹nɔ⁵³
猫头鹰	owl	no¹²ku⁵²	nɔ²¹ku⁵³	nɔ²²ko⁵⁴⁵	nɔ³²ku⁵⁵	nu²¹ku⁵³	nu³²kou⁵³	ku⁴²kau⁴²mjɛn²⁴pɛi²⁴	kau³⁵kʰɔ³⁵	nɔ²²tɕwən³³	tɕaŋ⁵³mwei³¹nɔ⁵³
燕子	swallow (bird)	pu³¹ɕin²⁴	nɔ²¹iŋ³⁵	uŋ³³in⁴⁴	uŋ³³in³³⁵	nu²¹si³¹in³⁵	nu³²in³⁵	aŋ⁴⁴ɛn²⁴	ɕi⁵³in³⁵	heu⁵⁵jun³¹	nɔ⁵³in³³
麻雀	sparrow	no¹²maːu³¹toːn³³	nɔ²¹mei³⁵	nɔ²²kei²²	nɔ³²kɛi³²		nu³²diu⁵³	tiŋ⁵³kai²²si⁴⁴	tɕɔ⁵³tɕaŋ³⁵	tɕi⁵⁵kliu³¹	tʰjəu⁵³pʰɣau⁵³nɔ⁵³
老鹰	eagle	tom³¹tɕaːŋ⁵²	tuŋ³¹kaŋ⁵³	tlaŋ⁵⁴⁵	klaːŋ⁵³	klaːŋ⁵³	tʰɔm¹¹klaːŋ⁵³	tam⁵³kjaŋ²⁴	ŋa⁴²jɛn³³	saŋ³³ŋɛ⁵⁵	ŋje⁵³
鹞鹰	Eurasian sparrowhawk (Accipiter nisus)	tom³⁵tɕaːŋ⁵²ju¹³	jau³⁵tsei⁵³	tlaŋ⁵⁴⁵hiu³¹	hiːu³³¹	klaːŋ⁵³hiu²²	hiu¹¹twən³³	a²²dziu⁴⁴	jɛu⁴²	tɕe³³dən³³	kɣaŋ³⁵
蝙蝠	bat	bap¹²buːi³³	buŋ³¹bui³⁵	tlo⁵⁴⁵bui³¹	kja⁵⁵bui¹³	kə³¹buːi³³	ka³¹bui³³	baŋ⁴⁴bai⁴⁴	pʰai⁵³səu³⁵	bɔŋ³³bwei³³	
牛	cattle	ŋoŋ³¹	ŋuŋ³¹	ŋɔŋ³³	ŋɔːŋ³³	ŋoŋ³¹	ŋoŋ³¹	a⁴⁴ŋ̩⁵³	ȵuŋ³¹	ŋɔŋ⁵⁵	ŋɔŋ⁵³
马	horse	ma²³¹	ma²³²	ma³²	ma³¹	ma¹²¹	ma²¹³	a⁴⁴ma⁴⁴	ma⁴²	ma³¹	ma⁴³³
羊	sheep	juŋ³¹	juŋ³¹	juːŋ³³	juːŋ³³	joŋ³¹	juŋ³¹	a⁴⁴dziŋ⁵³	wjə³¹	jɔŋ⁵⁵	jɯ⁵³
猫	cat	mu³¹lom³¹	ma³¹miu³⁵	mau³³	mɛu³⁵	mjaːu³³	mɛu¹¹	kjaŋ⁵³kjaŋ⁴⁴mɛu⁵³	ma⁴²niu³⁵	mau⁵⁵	mau⁵³
兔子	rabbit	tʰou²⁴	tʰu³⁵tsei⁵³	tu²¹	tʰu³³¹	tu⁵⁵	tou⁵⁵	tu⁴²tɛi⁴²	tʰəu⁵³tsaŋ³⁵	tʰeu⁴⁴dən³³	tʰu⁵³twan³³
狗	dog	tɕu⁵²	ku⁵³	tlo⁵⁴⁵	klu⁵⁵	kju⁵³	klo⁵³	a⁴⁴ku²⁴	klu³⁵	klu³⁵	kɣəu³⁵
鸡	chicken	tɕai³³	tɕai³³	ȶai³⁵	ȶaːi³⁵	kai³³	tɕai³³	a⁴⁴kui⁴⁴	tɕi³³	kai³³	kjai³³
鸭	duck	aːp⁵⁵	a⁵⁴	aːp²⁴	aːp³⁵	aːp⁴⁵	aːp⁴³	a⁴⁴ap⁴⁴	an⁵³	æ²²	ai⁵⁵
鹅	goose	ȵe³¹	ŋɔ³¹	ŋa³³	ŋa³³	ŋo³¹	ŋa³¹	a⁴⁴ŋɛi⁵³	ŋɔ³¹	ȵwei⁵⁵	ŋwai⁵³
猪	pig	tuŋ²³¹	tuŋ²³²	tuŋ³²	ʔtuŋ³¹	toŋ¹²¹	tuŋ²¹³	tiŋ⁴⁴	twə⁴²	tjɔŋ³¹	tʰjɯ⁴³³
老虎	tiger	tom³¹jen³¹	tuŋ³¹sjəŋ³¹	gjaːn³³	gjan³³	dzjen³¹	dʑan³¹	a⁴⁴kjɛn⁵³	jɛn³¹	tcwən⁵⁵	tɕan⁵³
豹子	leopard	tom³¹sjen³¹beu²⁴	bau³⁵tsei⁵³	gjaːn³³mjeu³²	gjan³³ʔpau³³⁵	dzjen³¹miu³⁵	dʑan³¹	bɛu⁴²	pau²⁴hu⁴²	peŋ³³keu³⁵dən³³	
象	elephant	tsaːŋ²³¹	tswaŋ²³²	kjaŋ³²	kjaːŋ³¹	dzaːŋ³⁵	θɛŋ²¹³	sjaŋ⁴⁴	ɕaŋ³⁵	tsjɔŋ³¹	sjaŋ⁴³³
熊	bear	tɕop⁵⁵	kəu⁵⁴	kjap⁵⁴	kjaːp³⁵	kjəp⁵⁴	kjep⁴³			kljɛ³⁵	kɣwa⁵⁵
猴子	monkey	biːŋ³³	biŋ³¹wjaŋ³¹	du³⁵biŋ³⁵	do³⁵biŋ³⁵	bi³¹du³³	biŋ³³	ȵan²²ka⁴⁴bjaŋ⁴⁴	həu⁴²swən³³	mjen³³nau³⁵	ma⁵³ɣəu⁵³
麂子	muntjac, deer	tɕuŋ³³	tɕuŋ³³	ȶuːŋ³⁵	kum³³ȡai³³	ki⁵³	tɕuŋ³³		tɕi⁵³tsɿ⁵³	tɕe³⁵dən³³	tɕwei³⁵
水獺	otter	tsʰat⁵⁵	tsʰa⁵⁴	ȶat³²	ȶʰaːt¹²	saːt⁵⁴	ɕaːt⁴³	a⁴⁴hat⁴⁴	sui⁵³tʰa⁴²	vuŋ⁵⁵tʰe³³	jaŋ⁵³tsʰai⁵⁵
刺猪	porcupine	djen³¹dzei¹³	djəŋ³¹dzei¹¹	van³²	dɛi³²	ðei²²	dei¹¹	ka²²hɛi²²	tʰjɛ⁵³jɛn³¹		tɕa⁵³kjiŋ³⁵
老鼠	rat	naːu²³¹	lai³¹tɕuŋ³³	du³⁵	du³⁵	du⁵⁴	du⁴³	kjaŋ⁵³kjaŋ⁴⁴	kla²⁴	vi³⁵nɔ³¹	nai⁴³³tɕi³⁵
松鼠	squirrel	bop⁵⁵	tɕəŋ⁵³	bup⁵⁴	ɕɛn⁵⁵	dʑi¹²¹	bup⁴³	a⁴⁴dzai²⁴		pwən⁵⁵keu³⁵vɔŋ⁵⁵	
虫	insect	tɕɛːŋ³³	kɛŋ³³	kjɛŋ³⁵	kɛːŋ³⁵	kjeŋ³³	kɛŋ³³	a⁴⁴tsaŋ⁴⁴	klɛ³³	klaŋ³³	kɣɯ³³
蜜蜂	bee	mwei²³¹muŋ⁵²	mwei²³²	mei³²muŋ⁵⁴⁵	mɛi³¹muŋ⁵⁵	mui¹²¹toŋ³¹	mwei²¹³	a⁴⁴mui⁴⁴	mi⁴²	mi³¹	mwei⁴⁴twaŋ³³
黄蜂	wasp	mwei²³¹wjaŋ³¹ȵ̥en³³		mei³²waŋ³³	mɛi²¹kɛi⁵⁵	mui¹²¹	mwei²¹³kei⁵³	mui⁴⁴vjaŋ⁵³ki⁴²	pɛ⁴²pʰɔŋ³³	vuŋ⁵⁵fɔŋ³¹	
蚊子	mosquito	muŋ²³¹ȵai³¹	muŋ²³²ȵa³¹	kjɛŋ³⁵va²¹	kɛːŋ³⁵θau³³daːu⁵⁵	moŋ¹²¹	mwəŋ²¹³	mɔŋ⁴⁴tup²²du²⁴	mə⁴²twan⁵³	tsɔu⁴⁴dɔu³⁵mɔŋ³¹	tjɔ⁵³tsau³⁵mɯ⁴³³
蝇子	housefly	muŋ²³¹	muŋ²³²	kjɛŋ³⁵gjam³¹	buŋ³³gjam¹³	pu³¹laːm¹²¹	mwei¹¹gaːm³³	a⁴⁴mɔŋ⁴⁴	mə⁴²	san³⁵mɔŋ³¹	mɯ⁴³³
