English gloss	Part of speech	Guiqiong	Chinese loanword
bastard	n.	niɛtʂʰu	cf. Chinese nièchù 孽畜
bat	n.	gədʐipʰɐŋ’wɐŋ	
bathe	v.	jɐjɐbɛi	
battle	n.	’mɐ	
be	cop.	dʐi	
be forced to promise	v.	dʐi’wutsilɛlu	
be responsible for	v.	kuɐn	
beak	n.	’ɲiŋtʂɔ	
beak, the mouth of birds	n.	nɐmɛnyŋbu	
bean	n.	ʨiɐŋtəu	cf. Chinese Jiāngdòu 豇豆
bean	n.	ɲiɔ	
bear	n.	ɐngui	
beard	n.	’ətsɐŋ	
beast-hide raincoat	n.	lhɐki	
beast	n.	βəmuɕiɐnsɔ	
beastly, cruel	adj.	sɐnnihɐŋ	
beat	v.	dɐ̃	
beautiful	adj.	dzĩ’wu	
beauty	n.	dzĩ’wu	
become a doctor	v.	’mɛ̃bɛi ’wu	
become accustomed	v.	ŋɐndʐuɐŋbɐ	
become an orphan	v.	duʐuʁɐ	
become available	v.	ʨi	
become famous	vpr.	’miŋtʰujɐn; ’miŋtʰəujɐn	
become in-laws (of families), have each other’s children get engaged	v.	niwuəsɐ	
become objectively permissible	v.	dzi	
become	v.	ɲi	
become well-known	v.	’miŋtʰuʨʰi	
bed	n.	tʂʰĩ	
bee	n.	wuitsɛi	
beef	n.	niɕi	
beehive	n.	χə	
a beehive of	n.	wuitsɛiχədʐuŋ	
beehives	n.	χədʐuŋ	
before long	vpr. adv.	dɐnmɐtʰɔsɐŋ	
before one’s eyes	adv.	niɐ̃ʂikɐ	
before the house	adv.	ʥ’iɐŋʂikɐ	
beggar	n.	tʂui’wu	
beginning of a year	n.	lotsʰɔ	
behind	n. adv. pos.	ŋɐ’li	
believe	v.	sĩʐɐ	
bell	n.	dʐipu	
bell-metal	n.	li	
belly	n.	pɐ	
below	adv.	b’ɛi	
bend down	pder.	jigɔʐɔ	
bend	n.	gɔʐɔ; gigɔ; gɛigo	
bend of the road	n.	φuʨiɐgɔʐɔ	
best	n.	tʂʰigɛ’wu	
betroth	v.	ɕiɔʨʰiɐŋbɛi	
better	v.	wugɛku	
Betula (birch)	n.	tʂʰuipu	
big	adj.	dɐ; dɐdɐ	
the big	n.	dɐ’wu	
the bigger	n.	dɐ’wu	
the biggest	n.	dɐ’wu	
big dipper	n.	nɐŋtʂʰigədɐn	
big in diameter	adj.	ɲɐndɐŋ; niɐntɐŋ	
big rock	n.	pʰɐŋ’wɐŋ	
big toe	n.	ŋənydɐ’wu’ny; gənydɐ’wu’ny	
big wooden fork	n.	gidɐ̃	
big yellow ant	npr.	βuχɐ dʐuɐŋ’mə	
bind up	v.	jilulu	
bind	v.	tʂʰɐ	
birdie	n.	nɐtsɛi; tʂʰitsɛi	
any tiny little bird	n.	tsʰitsʰitsɛitsɛi	
birds	n.	b’u’wu; nɐ’wuŋ; nɐ’wũ	
birthday	n.	səŋ	
bit	adj. adv.	dɛʨi	
bitch	n.	kʰu’ɳi	
bite	v.	tsɐŋdi	
bitter	adj.	kʰi	
bitter buckwheat	n.	dʐuʥiu	
bittern	n.	gəutsi	
black adj.	n.	nigɐ	
black and white ox	n.	nitʂʰəkɛi	
black and white, of different colours	adj.	tʂʰəkɛi	
black fungus, tree’s mushroom	n.	’ɐtsinɔ’wu	
black ink	n.	’nɐdzo	
black soybean	npr.	ɲiɔnigɐ	
blackberry	n.	ʁɛisi	
blacksmith	n.	gəʐə	
bladder	n.	’mɐŋkɔ	
blast	v.	b’ɐ	
bleed	v.	dzitʂʰuɛ	
blighted corn	n.	yu’mɛniɐ̃kɔ	
blind	adj. n.	niɐ̃kɔ	
blind gut	n.	pɐtu	
blink one’s eyes	v.	niɐ̃tsigə	
blisters	n.	tʂʰitɐ	
block up	v.	ʂui; sui	
blood	n.	dzi	
blooding	adj.	’məsəmə’lɔ	
blow (said of wind)	v.	ʂɔ	
blowpipe	n.	pɛituŋ	
blue veins	n.	gu	
blunderbuss	n.	niɛʨʰiuŋ; niɛtʂʰuŋ	
blunt	adj.	mɐʨʰiɐŋ	
blunt, slow-witted	adj.	ɖɐ̃mu	
boast	v.	dzɐŋbɛi’wu	
body	n.	libu	
body hair	n.	tsʰɐŋ	
boil food in water	v.	ʂɐ	
boil medicine	v.	’mɛʂɐ	
boil some water	v.	tʂipʰutə	
be boiling	v.	dui	
books	n.	dʑ’i	
a book	npr.	ʥ’itʰə	
borrow	v.	ji’ni	
borrow money	v.	dzɔ’ni	
borrow back and forth	v.	ji’niwu’nibɛi	
bottom	n.	titsi	
boundary of a field	n.	χi’lɐŋ	
bow	v.	ʂi	
bow with hands folded in front	v.	tsɔ’jibɛi	cf. Chinese Zuòyī 作揖
bowl	n.	kʰɔ; z’ɛikʰɔ	
an overfilled bowl	n.	ʨyəʨyədɐkʰɔ	
a crack in the bowl	n.	kʰɔkʰəʐi	
a bowl of butter tea	npr.	minʥ’iudɐkʰɔ	
a bowl of	npr.	dɐkʰɔ	
box	n.	ɕiɐŋɕiɐŋ	cf. Chinese Xiāng 箱
bracelet	n.	lɐtʂɔ	
branch	n.	luŋtə	
brave	v.	sɐnʨiɛ	
brawny	v.	simukɔdzɐn	
brazen out	v.	lɐitsiʂuɐmu	
bread	n.	b’ɔlɔ	
a loaf of bread	npr.	b’ɔlɔdɐʨʰiɐ	
break	v.	tɕiɐ	
break, snap	v.	g’iu	
break into fine particles	vpr.	tʂʰimiʨʰiuŋ	
break off relations	vpr.	hɛʐimɛ̃sɐŋ	
break wind	v.	’nɐŋku	
breakfast	n.	dʐɛi	
breast	n.	’ɳi’ɳi	
breath	n.	wuŋɐn	
breathe out	v.	wuŋɐn ɬɐŋ	
bricklayer	n.	totsu	
bridge	n.	zɐŋbu; ʨʰiɐu’lutsi	cf. Chinese Qiáolùzi 桥路子
bright	adj.	sɐŋ; sɐŋtʂʰuɐŋtsɛi; sɐŋtʂʰɔŋtsɛi	
brine	n.	gəutsi	
bring	v.	pʰɐn	
bring out	v.	tʰutʂʰuɛ	
broadcast	v.	χəu; ʁ’əu	
broad-minded	adj.	pɐtʂʰilɔŋ	
bronze ritual metal	n.	ʐɐ	
broom made of sorghum straw	n.	gəpɛiʨʰiɐ’mu	
broom	n.	ʨʰiɐ’mu	
broth	n.	ɕiʁɐn	
brothers and sisters	n.	’mɐŋ’muhɐŋtsɛi	
brothers	n.	kɛkɛpuzu	
bruise by squeezing	v.	kəlɐn	
brutal people	n.	dʐu’wu	
bubble fir	n.	tʰɐŋgəu	
bubble	n.	bubu	
bucket	n.	dzo’wu	
buckwheat	n.	gi	
buckwheat bread	n.	gib’ɔlɔ; gidzɐŋb’ɔlɔ	
buckwheat flour	n.	gipʰɛ	
Buddha	n.	sɐŋɲi	
a living Buddha	n.	kʰɐnmu; kʰɐŋβu; kʰɐnbu	
buffalo	n.	ɬɐpɐ	
bug	n.	dʐɛiʂi	
build	n.	libu	
build, lay out	v.	to	
build a road	vpr.	φuʨiɐtsu	
building	n.	ʥ’iɐŋ	
bull kept for covering	n.	’lɐŋʐɐn	
bump	v.	ʨʰiɔ	
bump together	v.	ʨʰiuŋʨʰiuŋtsʰɐi	
bun with vegetable stuffing	n.	dzɐŋb’ɔlɔ	
burn incense	vpr.	ʂɔpɐŋ	
burn the firewood	vpr.	sɐn’lɔku	
burn to carbon, overburn	v.	dʑ’i	
burn wood	v.	kʰuɐn	
burning wood made up of dry branches and twigs	npr.	kʰɔsɐŋ	
burst	v.	b’ɐ	
