English gloss	Part of speech	Guiqiong	Chinese loanword
dark clouds foreboding rain	n.	dʐi’nɐ	
dark nights	n.	nigɔʐɔmɛmɐŋgɛitsɛi	
darken	v.	ɲi	
date of wedding	n.	ɕiɔʨʰiɐŋbɛimɛʐɐ	
dative marker -ə of -wuələ ~ -ələ		~-ləwuə ~ -wuə ~ -ə	
daub the colour	v.	ʁi	
daughter	n.	dz’imɛi	
daughters	npr.	dz’imɛiɲiɐ	
daughter-in-law	n.	ʥ’iɐŋdɐmu	
dawdle over one’s work	v.	jɐnmubɛi’wu	
dawdle	v.	ʐɐku’wu	
day	n.	mu’lu	
day after tomorrow	n. adv.	ʨʰidʐɐ	
day and night	n.	nisi	
the day before yesterday	n.	ʁoniɛ	
days	n.	ʐɐ	
deaf	n.	wɐnβə	
December	n.	bɛi’lisɛi; lisɛi	
decide	v.	dɐntʰɐ	
decide on a date for a special occasion by the shaman	vpr.	ʐɐʥiɔ	
deep	adj.	’nu	
deer	n.	ɕiu’wu	
definitely	adv.	tʰəutʰəugəu(gəu)	
delay	v.	tʰɔ	
delicious	adj.	tʂʰĩdʐuɐŋ	
delight	v.	guiluhɐŋhɐŋbɛi	
deliver a child	v.	bɔ’jɔbɛi’wu	
dell	n.	luŋpu	
demarcations of the land	n.	dʐ’ɛikuɐn	
dense	adj.	ʑiɐʑiɐ	
dent	v.	dĩ	
dependent existential verb	v.	bu	
deposit	v.	zuʐu	
desk	n.	tʂuətsɛi	
despair	v.	’mɐŋʨiubɛi; dɛ’lɔbɛi	
destiny	n.	lɛ	
destroy oneself by taking poison	v.	tugo	
destroy	v.	wutsʰoku	
details	n.	kɛnkɛn’məʐi	
devastate	v.	wutsʰoku	
develop	v.	bɐ; kʰi	
dew	n.	guɐnsi	
diabolo	n.	kʰuɐlhɐwɐn	
dialect	n.	kɛʨʰiɛ	
dibble (e.g. maize, cabbage, etc.)	v.	tsʰɔ; dz’ɔ	
dice	n.	sɐitsi	cf. Mandarin shăizi/tóuzǐ 骰子
dice-thrower	n.	sɐitsiŋuɐ’wu	
die	v.	si	
difficult	adj.	χɐŋ	
difficult	n.	nɐŋʐuχɐŋ	
difficult to handle	adj.	ʑiɐnŋɐjɐn	
difficult to walk (of road)	adj.	tɕʰy’jihɐŋ	
dig	v.	hɐ	
digit	n.	ko’ny	
digit	n.	ɲy; ’ny	
diligent	adj.	gɛi’jɐŋ	
dillydally	v.	jɐnmubɛi’wu	
diminish (of sound)	v.	ŋɐ	
diminutive suffix		-tsɛi	
direction	n.	ʈhəuʨʰyo	
direction of wood	n.	ɕiɔʂəngkʰɐŋ	
directional morpheme ‘back on the same course’		dɐ	
directional morpheme denoting a downward action		mi	
directional morpheme denoting an inward direction		ji	
directional morpheme denoting an upward action		tʰu	
directional suffix denoting an outward direction		wu	
dirty	adj.	kɛkɛɳiɔɳiɔ; ni; ɳɛ	
disappointed	adj.	ʂiχui	
disaster	n.	bəʨʰiɛ; dʐuŋʨʰiɐ; gibəʨʰiɛ	
disclose	v.	bɔ	
disengage	v.	tɛ	
dish	n.	ʨiə	
dish cabinet	n.	dɐŋtʰɔ	
disheartened	adj.	ʂiχui	
disposition	n.	pʰiʨʰi	
dispute	v.	ɕiɛɕiɛbɛi	
disrobe	v.	tɛ	
distant	adj.	d’ɐχin	
a distant place	n.	d’ɐχin	
distinct	adj.	ʨʰilijɐn; ʨiɛ	
disturbing	adj.	bubulɐlɐ	
divide	v.	ʥi	
divine	v.	ʥ’iɛ	
do a night’s sleep	v.	wũʂibɛi	
do acupuncture	v.	kʰədi’wu	
do chainsmoking	v.	ʥ’iɐʂuʥ’iɐbɔbɛi	
do cleaning at home	v.	ʥ’iɐŋʨʰiɐ	
do embroidery, do needlework	v.	sɔ	
do fortune-telling	v.	ʥ’iɛ	
do serious prayers	v.	’lətʂəŋbɛi’wu	
do singing and dancing	v.	mə’niʨʰiɐŋ’wu; ʨʰiɐŋ	
do up	v.	tsu	
do	v.	bɛi	
docile	adj.	nyŋbudʐi	
doctor	n.	’mɛ̃bu	
dodge	v.	wunɐ	
dog (lit.)	n.	tʂʰi	
dog	n.	kʰu	
a dog	n.	kʰuʨiɐŋ	
dog	n.	kʰutsɛi	
don’t allow to go	v.	jiməku	
don’t feel shameful	v.	hɐ’limɐnyɐŋ	
Don’t forget!	int.	ʂumutʰɐɖɐ	
Don’t go!	int.	tʰɛ’jinɛ	
don’t know how to eat	vpr.	gomɐ’ɲyɐŋ	
don’t know	v.	’mɐmɛsi; mɐmɛsi	
don’t know	v.	ɕiɛlumɛsi	
don’t provoke	vpinfl.	tʰɐhɐhɐ	
don’t take offense	vpinfl.	zibuzu	
don’t want to go	v.	jitʂʰɐgi	
don’t want to obey	vpr.	tsiʐɐŋmɛgi	
donkey	n.	lhuotsi	
door	n.	mɛi; mɛn	
a Tibetan door	n.	gu	
dough basin	n.	ʐuŋbu	
douse the glim	v.	wuŋɐ	
dove	n.	kuɐntsi	
dowry	n.	pʰɛilhɐn	cf. Chinese péilián 陪奁
dragon (lit.)	n.	dʐu	
Dragon Boat Festival	n.	wu’jɛ	cf. Chinese wǔyuè 五月
dragonfly	n.	ʂɐkɛi	
drama	n.	ɕi	cf. Chinese Xì 戏
draught animals (horse, mule and donkey)	n.	βu	
dream	v.	mɐŋ; məŋ	
dress	n.	’ɐʨʰiɐgui	
dried turnip in slices for sale	n.	jɐŋkipʰɔ	
dried turnip in slices	n.	ʨʰiɐnguɐ	
drill (a well)	v.	bɔ	
drink a mouthful of water	v.	tʂimuʥ’iɐ	
drink medicine	v.	’mɛʥi’ɐ	
drink	v.	dʑ’iɐ	
drink water, drink tea	v.	tsĩʥ’iɐʥ’iɐ	
drinks	n.	ʥ’iɐtsɛi	
drizzle	n.	dz’ɐŋsisitsɛi	
drooling	adj.	kʰətʂʰinətʂʰi	
drop, classifier for water	n.	dzɐ	
drop one’s head	v.	wɐn’jɐnjipɛi	
drop	v.	mikɛ	
drown	v.	ɲɐŋ	
drum	n.	dzɐn	
dry adj.	v.	su	
dry in the sun, expose	v.	wutʰɐn	
dry out (of porridge)	v.	suʥiɐŋɲi	
duck	n.	ɳiɐntsi; nɐ	
dusky thrush, Turdus naumanni	n.	tsɛiguili	
dust	n.	tʰɛiti	
duty	n.	bɛikɛ’wu; liʨi	
dwarf	n.	kʰɔbu ’ɐn’ɐntsɛi	
dynamic perfective marker		-lɛnɐŋ	
dzo (offspring of a bull and a female yak)	n.	dzɔ	
eagle	n.	χɐ	
ear	n.	nɔ	
earhole	n.	nɔpʰɔ	
early	adj. adv.	ʂi; ʑiɛ; ʂikɐtsɛi	
early in the morning	adj. adv.	ʑiɔ	
earring	n.	bɔdɔ; tɐndə	
earthenware	n.	mɐŋ35	
earthquake	npr. vpr. n.	sɐnhɐŋɖə	
earthworm	n.	βudɛi	
earwax	n.	nɔ’wu	
east	n.	ɕiɔ	
the east side	n.	ɕiɔniɛ	
easy	adj.	lɛiɬu	
easy-tempered	adj.	mindɐŋtsɛi	
eat medicine	v.	’mɛgo	
eat one’s fill	v.	pɐ̃ku	
eat too much	vpr.	golɛ’mɛiʨʰipʰɔ	
eat	v.	go	
egg	n.	nɐsi; nɐʂi	
egret	n.	tʂʰiʥiɔʐɔ	
eight hundred	num.	dʑiɛdʑiə	
eight months	num.	’jɛ’li	
eight	n.	’jɛ	
eight	n.	dʑiɛ	
eight thousand	num.	tuŋtsʰu’jɛʥiɐŋ	
eight Yuán	num.	’jɛpɐ	
eighteen	num.	dʑiudʑiɛ	
eighteenth day of a month	num.	giuʥiɛ	
eighth day of a month	n.	’jɛdʐuɐŋ	
eight-nine	num.	dʑiɛtʂizəgɛi	
eighty	n.	dʑiɛtʂi	
eighty-eight	num.	dʑiɛtʂizədʑiɛ	
eighty-five	num.	dʑiɛtʂizə’ŋə	
eighty-four	num.	dʑiɛtʂizəʐi	
eighty-one	num.	dʑiɛtʂizɐdzi	
eighty-seven	num.	dʑiɛtʂizədɐn	
eighty-six	num.	dʑiɛtʂizədʐu	
eighty-three	num.	dʑiɛ tʂizəsɐŋ	
eighty-two	num.	dʑiɛtʂizɐɳi	
ejaculate	v.	ʁɐn	
elbow	n.	kʰəputʂo	cf. Chinese gēbózhǒu 胳膊肘
elder brother	n.	kɛkɛ; kiki	cf. Chinese gēgē 哥哥
elder brother	n:kin.	’əʨiɔ	
elder sister	n:kin.	’əgə	
elderly people	n.	’ləji’wuɲiɐ	
eldest child	n.	buʐidɐ’wupɛi	
elephant	n.	’lɔmuʨʰi	
elephant trunk	n.	nəʐɐ	
Eleusine	n.	’nɐtsiniɔ	
eleven months	n.	sɛidɛ’li	
eleven	num.	dʑiudzi	
eleventh day of a month	num.	sɛigɛi	
emerald	n.	’ji	
emissary	n.	gɛitsʰə	
empty	adj.	bətuŋtsɛi	
empty	n.	tuŋpu	
end table	n.	tʰɐtʂo	
endeavour	v.	gutʂubɛi	
end of a year	n.	losi; losɛi	
ends of clothes	n.	guɬuŋ	
engage	v.	ɕiɔʨʰiɐŋbɛi	
enjoy	v.	tʂʰɐgi	
enter	v.	jĩky; jĩʨy	
entertain	v.	pʰɐn	
entity	n. pron.	dɐn	
equal	adj.	dʐũdʐũ	
equal division between two people	n:qual.	dɛpɛidɛniɛ	
equally	adv.	dʐũdʐũ	
erect	v.	tsu	
erect a club	vpr.	sɐnʨiɐ mɛitsu	
erode by rust	v.	tsuŋgo	
escape	v.	lɐ	
estimate	v.	tsʰɐitsʰɐibɛi	
ethos	n.	kʰɐnʨiɐŋ	
even	adv.	ni	
evening	n.	nĩʨʰiɐtsitsi	
evening time, at dusk, in the evening	n. adv.	mɐŋgɛitsɛi; mɐŋɲitsɛi	
every	pron.	gɐŋtʂi; dɛisi	
everybody	n. pron.	gɐŋtʂi’wu; dʐɐmu’wu	
everyday	adv.	dɛnidɛtsʰɛ	
every day	adv. n:qual.	dɛni	
every family	n.pr.	dɐʥ’iɐŋdədzuŋ	
everywhere	adv.	’ələdʐidʐi; ɛ’likɛ	
everywhere	adv.	sipɐlu	
exceedingly	adv.	luhɐŋ	
excavate	v.	b’utɛ	
exception	n.	ʂɐ	
exchange	v.	tʂʰɐtʂʰɐ	
exhale	v.	wuŋɐn ɬɐŋ	
exhaust	v.	tʂʰuɐn	
exist (said of animate beings)	v.	nɐŋ	
exist (said of inanimate beings)	v.	jɐn	
expensive adj.	n.	pʰudɐ’wu	
experience	n.	dɐnŋɐn	
experienced auditory evidential marker		-tsimu	
experienced prospective marker		-bɛimu	
experiential marker		-niɐn	
explode	v.	b’ ɐ	
expose	v.	tʰɐn	
exposed	adj.	tʰɐn	
extend	v.	ʨiɛ	
extract oil	v.	mə’nɐʨiɐ	
extremely bad person	n.	gɔdʐudʐu	
extremely poor	adj.	pʰuŋlɛtɐŋlhɐŋlhɐŋʁɐ’wu	
exuberant	adj.	ɖəu	
eye	n.	niɐ̃	
eyeball	n.	niɐ̃lo	
eyebrow	n.	niɐntsʰɐŋ; niɐ̃tsʰɐŋ	
Fagopyrum tataricum (bitter buckwheat) (L.) Gaertn	n.	dʐuʥiu	
face	n.	wuniɐ	
face	v.	kʰi	
face-washing basin	n.	kʰɔlɔ	
Fagopyrum esculentum (common buckwheat)	n.	gi	
fairly	adv.	tɔji	
fairy	n.	ɬə’mu	
fall asleep	v.	wũʥy	
fall ill	v.	ʨʰĩɳɐ	
fall	v.	lɔ	
fame	n.	’miŋtʰəu	
family	n.	dɐʥ’iɐŋ	
famine	n.	dʐuŋʨʰiɐ	
famous	adj.	’miŋtʰuʥiɐŋtʂɐ	
fan its ears (of some animal)	v.	nɔpʰɐɬɐ	
fan	v.	pʰɐɬɐ	
farm animals	n.	sɔʨʰiɐɲiɐ	
farm	v.	ʑi	
farmer	npr.	litʰɔ tsʰɔ’wu	
fast	adj.	tɐŋ	
fasten the horse	vpr.	βupʰəjitʂʰɐ	
fasten	v.	jitɐŋku; tʂʰɐ	
fast track	n.	tsʰolu	
fat	adj.	ʨiɐ	
fat pork	n.	ɕipʰɐ	
fatback	n.	ɕipʰɐ	
fate	n.	lɛ	
father	n. n:kin.	pʰɛi	
father	n:kin.	’ɐpɐ	
father	n:kin.	’ɐtɐ	
fear	v.	ŋɐŋ	
feast day	n.	diŋʨʰiɐn	
feast	n.	dʐuɐn; χɐnʥ’iɐ	
feather	n.	tsʰɐŋ	
February	n.	ɳĩbu; ɳĩbu’li	
feed the pig	v.	pʰɐz’ɛikʰɐŋ	
feel afraid	v.	ŋɐŋmu	
feel as if	v.	ʨʰipʰɔ	
feel at ease	v.	səŋʐɐ	
feel depressed	v.	du	
feel depressed	v.	ʥy	
feel disheartened	v.	ʥy	cf. Chinese jǔ 沮
feel heavy	v.	jĩmu	
feel itchy	v.	tʂʰɔtʂʰɔmu	
feel just right	v.	ʐɐ̃; ʐɐn	
feel light	v.	jɐŋmu	
feel painful	vpinfl.	ʨʰimu	
feel relieved	v.	sɐŋmudi	
feel satisfied	v.	səŋʐɐ	
feel sorry for	v.	ɳiɐngi	
feel thirsty	v.	nyŋbusu; tʂijimu	
feel tired	v.	gɐ	
feel uncomfortable, feel unsettled	vpr.	səŋməkə	
feel upset in the heart	vpr.	dɐŋ’jɐŋgusɐŋmumɛdi; ʑosipʰɔ	
feel	v.	pʰɔ	
fell under the weather	v.	libumɛʥiɐn	
fellow townsman, of the same town (of travellers)	n.	suʨʰiudɐʨiɐ	
fellow-villager, (of travellers) from the same village	adj.	pʰə’jidɐʨiɐmɛmũ	
felt	n.	bɛitɐn	
female ancestors	n.	səjidɐ’mu	
female	n.	’ɳi	
fence up	vpr.	lɛ’ŋɐjisui	
Feng Shui divination after one’s death	n.	ʂitsiʥiɔ	
festival	n.	diŋʨʰiɐn	
fetch	v.	dz’i; dʐ’i	
fetch	v.	ʨʰiu	
fetch water	vpr.	tʂikʰiɔji	
fete ceremony by three-gun salute	n.	pʰɔdi	
few	adj.	niɐn	
few and far between	adj.	ɖɐŋ	
few	pron.adj.	niɐn’wu	
fewer	adv.	niɐnniɐntsɛi	
field	n.	ʥiɐ̃	
a plot of land	npr.	ʥiɐ̃ʨʰiɔ	
field mouse	n.	dzĩguŋ’luŋ	
fierce	adj.	kɔ	
fierce gale	n.	’luŋtʰɔ; muhi’luŋtʰɔ	
fifteen	num.	dʑiu’ŋə	
fifteenth day of a month	num.	sɛi’ŋɐ; si’ŋɐ	
fifth day of a month	npr.	’ŋɐndʐuɐŋ	
fifth time	n.	’ŋɐntʰɐngəu	
fifty	num.	’ŋəʨi; ’ŋətʂi	
fifty-eight	num.	’ŋətʂizədʑiɛ	
fifty-five	num.	’ŋətʂizə’ŋə	
fifty-four	num.	’ŋətʂizəʐi	
fifty-nine	num.	’ŋətʂizəgɛi	
fifty-one	num.	’ŋətʂizɐdzi	
fifty-seven	num.	’ŋətʂizədɐn	
fifty-six	num.	’ŋətʂizədʐu	
fifty-three	num.	’ŋətʂizəsɐŋ	
fifty-two	num.	’ŋətʂizɐɳi	
fight in the battle	v.	’mɐtsʰɐi	
fight	v.	ʦhɐi; dɐ̃dɐ̃tsʰɐi	
quarrel and fight	v.	diditsʰɐi	
figure and build of a person	n.	kʰɔbu	
filial	adj.	ɕiɔtsʰə	cf. Chinese Xiàoshùn 孝顺
fill	v.	ʥiku	
filled	adj.	ʥi	
filter	v.	tsʰɐ; tʂʰɐ	
fine (weather)	adj.	ʐui	
fine hair on the human body	n.	nĩtsʰɐŋ	
fine-dried noodles, ready-made noodles	n.	kɔ’mɐn	cf. Chinese Guàmiàn 挂面
fine-looking	adj.n:qual.	dzĩdzĩtsɛi	
finger	n.	ko’ny; ɲy; ’ny	
finger nail	n.	kuiɕiɐn	
fingerprint	n.	ʐi’mu	
fire	n.	mindɐ; milɐ	
firecracker	n.	huopaotsɛi	cf. Chinese Huǒpàozi 火炮子
fireplace	n.	mintʰə	
fire-tongs	n.	kɐŋpɛi	
firewood	n.	sɐn	
a bundle of firewood	npr.	dɐ’wɐ	
fireworks	n.	b’uʨʰiɐŋtɛ’wu	
first day of a month	npr.	dɐdʐuɐŋ	
first day of the Spring Festival	n.	nɐŋtu	
first day of the twelfth month of a lunar year	n.	ŋɐn’li	
fish	n.	tʂini	
fishnet	n.	pɛitʂəu	
fist	n.	ʨʰiɐntʰo	
fit	v.	ʐɐ̃; ʐɐn	
five hours	n.	tʂʰitsʰəu’ŋɐŋtɕiɐ	
five hundred	num.	’ŋədʑiə	
five lamps	n.	tə̃ʨiɐ’ŋɐnʨiɐ	
five months	npr.	’ŋɐn’li	
five	num.	’ŋɐ; ’ŋɐn; ’ŋɐŋ; ’ŋə	
five thousand	num.	tuŋtsʰu’ŋɐŋʥiɐŋ	
five years	npr.	’ŋɐ’ŋɐŋ	
five Yuán	npr.	’ŋɐnpɐ	
flag	n.	ʥ’i	cf. Chinese Qí 旗
flail	n.	kɔ’ji	
flame	n.	milə	
flat	adj.	ʥiɐʥiɐtsɛi	
flat grassland	n.	tʰɐŋ’wɐŋ	
a big area of flat grassland	n.	pɐŋʨiɐʥiɐŋtʰɐŋ	
flat riverside field	n.	tʂʰiʐɐn	
flatland in the valley	n.	pɐtsɛi	cf. Chinese Bàzi 坝子
flatter	v.	kusubɛi	
flea	n.	ʐi’wu	
flee	v.	lɐ	
fleetingly	adv.	ji’mijɐ’mɛ	
flint	n.	mintʂʰu	
flood	n.	φu	
floor board	n.	ʥ’iɐŋʨiɛ	
flour	n.	pʰɛ	
flourishing	adj.	ɖəu	
flow	v.	ʨʰiɐn	
flower	n.	mintɔ	
flower wither	vpr.	mintɔgu	
flute	n.	gə’luŋtsɛi	
fly	n.	βu’jɐŋ	
a fly	npr.	βu’jɐŋʨiɐŋ	
fly	v.	b’u	
flying squirrel	n.	ʥiɐnnɐ	
flying things	n.	b’u’wu	
foam	n.	bubu	
fodder	n.	niɔ	
fold	v.	kuŋ	
folk dances said to be imported from India	n.	mə’niʨʰiɐŋ	
folk song	n.	də’lə	
food for pig, pig wash	n.	pʰɐz’ɛi	
food	n.	z’ɛi	
food steamer	n.	dzə̃ku	
foodstuff	n.	gotsɛi	
foolish	n.	ɖɐ̃mu	
foot	n.	gɐ; ŋɐ	
foot of a mountain	n.	ʐinɛ	
foot of goat	n.	ʨʰiŋɐ	
foot of mountain	n.	ʐĩʈhəu	
for the benefit of	adv.	ʂɔkɛitsɛi	
forehead	n.	’nikɐ	
forest (a)	n.	sɐnpudɐʨʰiɐ	
forget	v.	ʂumuɖɐ	
fortunate, with exceptional good luck in life and social status	adj.	lɛdɐ	
fortune	n.	dzətʰɐŋ	
forty	num.	ʐitʂi	
forty-eight	num.	ʐitʂizədʑiɛ	
forty-five	num.	ʐitʂizə’ŋə	
forty-four	num.	ʐitʂizəʐi	
forty-nine	num.	ʐitʂizəgɛi	
forty-one	num.	ʐitʂizɐdzi	
forty-seven	num.	ʐitʂizədɐn	
forty-six	num.	ʐitʂizədʐu	
forty-three	num.	ʐitʂizəsɐŋ	
forty-two	num.	ʐitʂizɐɳi	
four hundred	n.	ʐidʑiə	
four liǎng 两, 125 grams	npr.	zi’lhɐŋ	
four months	n.	zi’li	
four	n.	ʐi	
four	num.	zi	
four or five people	npr.	zi’ ŋɐpɛi	
four thousand	num.	tuŋtsʰuziʥiɐŋ	
four Yuán	npr.	zipɐ	
fourteen	num.	dʑiuʐi	
fourteenth day of a month	npr.	sizi	
fourth day of a month	npr.	zidʐuɐŋ	
fourth floor of a Guìqióng building used to store raw and unprocessed harvest	n.	sɐ̃tʂʰi	
fourth time	n.	zitʰɐngəu	
fowl	n.	nɐ’wuŋ; nɐ’wũ	
fox	n.	oə	
fragrance	n.	dʐitsɐŋ	
freckle	n.	zɛituŋ	
free	adj.	ʂɔ	
free captive animals	v.	tsʰɛitʰɔɬɐŋ	
free from worries	v.	zibuɕiɔ	
friend	n.	dzu	
friends	n.	dzuŋdzuŋtsɛi	
frog	n.	bɛibu	
frog or toad spawn	n.	bɛiʂibɛitʰɐ	
from above	adv.	g’uni	
from beginning till end	adv.	jĩzugɐŋwutsʰugɐŋ	
from December 11th to 13th of a lunar year	n.	dʐuɐŋ’li	
from	prep.	ni	
front	n. adv. pos.	ʂikɐ	
frost	n.	χɐdz’ɐn	
frostbite	n.	kʰu’wunɐŋbɐŋ	
fruit	n.	sitɔ	
fruit tree	n.	sitɔ	
fry	v.	ʨiɐu; pɐʨiɐku; ʨi	cf. Chinese Chǎo 炒
full (said of container of solid entities)	adj.	ʨyəʨyə	
full	adj.	ʥi	
full of life	adj.	’jɐŋʥiɐŋkʰu	
fume	n.	muho	
fur	n.	tsʰɐŋ	
furniture and utensils	n.	ʨiɐlhɐ	
all the furniture and utensils	n.	dʐuibuʨiɐlhɐ	
gallbladder	n.	ʐɐŋ	
gamble	n.	ʂuɐʨʰiɐn	
gamble	v.	sɐitsiŋuɐ̃	cf. Chinese Shuāqián 耍钱
gambler	n.	sɐitsiŋuɐ’wu	
game	n.	ʐidɐ	
Gānzī 甘孜	name.	gɐŋtsɛi	
garbage	n.	dzəɬɐ	
garbage	n.	ʨiɐʨiɐpɐpɐ	
garden	n.	gɔli; gɔʐɛi	
garlic	n.	ʂu	
Gastrodia rhizome	n.	ʐi’ni	
gather in the crops	v.	kɐ	
gathering place	n.	min’mɐŋtsʰɔ’ji	
gather up	v.	zuʐu	
generally speaking	adv.	dulɛwuɕiɛgɐŋ	
generation	n.	miʐə	
generous	adj.	z’əʨiɐmɛdʐi	
genitive case marker		mɛ	
get (food, etc.) burnt	v.	dʑ’i	
get alleviated (of swelling)	vpinfl.	dɐŋui; dɐmiŋui	
get angry	v.	zibuzu	
get big	adj.	dɐ	
get cheated	v.	ʂɐŋtɐŋpʰɔ	cf. Chinese Shàngdàng 上当
get close to	v.	tɛ̃	
get dark (of light)	v.	ŋɐ	
get drunk	v.	ɐʐɐʥiɐ; ʥ’iɐlɛʥiɐ; ʥiɐ	
get grubby	vpr.	βuʐubɛi	
get ill	v.	ɳɐ	
get in the way	v.	du	
get out	v.	tʂʰuɐi; tʂʰuɛ; ʨʰyɛ	
get rid of solid waste from the body	v.	’nɐŋbɔ	
get rusty	v.	tsuŋkĩ; tsuŋʨĩ	
get stale	v.	pu	
get through	v.	tʰuŋ	
get up	v.	tʰuwɛ; wɛ	
ghost	n.	niɛbu	
ghostlike	n.	niɛdʐui’wu	
gift	n.	kʰɐŋlu	
gift	n.	ŋɐ	
Gig prayer wheels	n.	lhɐ̃kʰu	
gilded	adj.	tʂʰimu sisimɛ	
gingiva	n.	χuisi	
Ginseng	n.	’wɔ’mulɐbə	
girdle	n.	ʐɔku	
girl	n.	dz’imɛi	
a girl, a daughter, only daughter	npr.	dz’imɛidɛpɛi	
girls	npr.	dz’imɛiɲiɐ	
give	v.	kʰɐŋ	
give birth to	v.	tʂʰɔ	
give birth to a child	vpr.	ɛ’lɛtsɛinɐŋ	
give or have an injection	v.	’mɛmidɐgu	
give somebody a kick	v.	dəʨiɔdi	
given short weight (of purchaser)	adj.	kuɐnməgə	
glacier	n.	pɐɲi	
glass	n.	tʂuɐŋ	
glutinous rice	n.	ʥiu’mi	
go	v.	ji ~ gɛ̃	
go, leave	v.	bɐ	
go all out to do	vpr.	ʂimutʂʰuɐnlɛbɛi	
go back	vpinfl.	dɐbɐ	
go carry some water on the back	vpr.	tʂikʰiɔji	
go mouldy	v.	dʐ’iɕiu; muʨʰiɐ	
go on an errand	v.	lɐŋdɐnχi’wu	
go out	v.	ʨʰyɛ; ʨʰuɛ	
Go there!	pder.	jinɛ	
go to bed	v.	wuju	
go to court	v.	kʰɐŋtsiʥiɔ’wu	
Go to release yourself.	int.	’nɐŋbɔjinɛ	
go to school	v.	dʑ’itsɐn	
go to work regularly	v.	ʂɐŋpɐnbɛi	cf. Chinese Shàngbān 上班
goat	n.	ʨʰi	
goat milk	n.	ʨʰimɛ’ɳi’ɳi	
goat (lit.)	n.	lo	
goat shit	n.	ʨʰi’nɐŋ	
goatskin	npr.	ʨʰipɐpɐ	
god	n.	ɬə	
god of Màibēng mountain	n.	jɐŋdzɐŋ	
the God of a mountain peak in Guìqióng area	name.	ɳɐŋtʰə	
gold	n.	’ni	
golden monkey	npr.	ɲiɔdʐigui	
gong	n.	ʂuɐŋ	
good	adj.	gɛ	
good will	n.	dɐibə	
good-looking	adj.	dzĩ	
goods	v.	ki’wu	
goose	n.	wo	cf. Chinese é 鹅
gore	v.	’wɛ	
gourd, mellon	n.	dz’ɐikuɐ	cf. Sìchuān Chinese càiguā 菜瓜
government official	n.	pɐ̃	
gradations marked on the beam of a steelyard	n.	kuɐnniɐ̃	
grains	n.	’jɐŋ’jɐŋ	
a grain of (wheat, apple, pear, gun)	npr.	dɐ’jɐŋ	
a grain of wheat	npr.	’jɐŋdɐ’jɐŋ	
grand grandparents	n.	sədɐdudɐ	
grandchild	n.	butsʰə	
grandfather	n:kin.	’ɐpu; ɐpu	
grandmother	n:kin.	’ɐtsi; ɐtsi	
grandson	n.	sunsun	
grape	n.	g’ɛipʰɛsi	
grass	n.	niɔ	
goose grass	n.	’nɐtsiniɔ	
a grass which can be used as the fodder of livestock	n.	tɐniɔ	
grasshopper	n.	βugɛi	
grassland	n.	pɐŋʨiɐ	
grassless and treeless mountain	n.	dʐɐpɐ	
gravel	n.	ʁ’uŋpʰəpʰɛpʰɛtsɛi	
greasy (of meat)	adj.	ʨiɐ	
green Chinese onion, Allium fistulosum L. var. giganteum Makino	n.	tsʰuŋtsɛi	cf. Chinese Cōngzǐ 葱子
green	n.	’ɳintsi	
green paper	n.	ʂo’wuɳiŋtsi	
green pea	npr.	ɲiɔ’ɳintsi	
green soybean	npr.	ɲiɔ’ɳintsi	
grimy	adj.	ni	
grind	v.	sui	
grind the kernel	vpr.	pʰɛsui	
grope	v.	tsʰɐitsʰɐibɛi	
ground	n.	sɐnhɐŋ	
ground floor of a Guìqióng building, home	n.	ʥ’iɐnmɛ	
groundnut	n.	χuɐsəŋ	cf. Chinese Huāshēng 花生
grow corn in drill	vpr.	yu’mɛwuʨiɐku	
grow	v.	ʑi	
Gruidae	n.	ʥiɔ’wɐŋ	
guard	n.	ʥ’iɐŋʥiɔ	
guest	n.	dʐuɐnbu	
Guìqióng chieftain	n.	guʨʰiɐŋʥiɔpu	
Guìqióng customs and rules	n.	guʨʰiɐŋmɛʨʰiɔlhuŋ	
Guìqióng	n.	gəmə	cf. Chinese Gōngba 公吧
Guìqióng	n.	guʨʰiɐŋ	
Guìqióng the language	n.	guʨʰiɐŋkɛ	
(formal) Guìqióng chieftain	n.	gutʰɐŋʥiɔpu	
gun	n.	niɛʨʰiuŋ; niɛtʂʰuŋ	cf. Chinese Chòng 铳
gut	n.	bɛitɐŋ	
guzzle	vpr.	dɐmunɐŋmiʥ’iɐ	
hack	v.	dʐuə	
hair	n.	ʐipu; ʐiputsʰɐŋ	
hair whorl	n.	tʰɛipu	
hairs on the roots	n.	’məʐi	
hale	n.	ʂuɐitɐntsi	
half n:qual.	num.	dɛχui; dɛniɛ	
half a penny	n.	kʰuimɛi	
half jīn	n.	kuɐnpʰɐ	
halfway	n. adv.	dɐdɐŋʐɐŋ	
hammer	n.	d’ə’wu	
Hàn Chinese	n.	dʑiɛ̃; nʥiɐn	
Hàn Chinese immigrated to the Village of chǎngmǎ	n.	ʐumɛi	
hand	n.	ko	
back of the hand	n.	koŋɐ’li	
hand span (a)	num.	dɛtʂi	
handkerchief	n.	’nətʂʰi	
hang up	v.	kɛ	
hang	v.	tʰukɛ	
Hànyuán 汉源	name.	ʥiɐŋjin	
happy	adj.	gui; zibuɕiɔ	
hard	adj.	bə	
hard	adj.	gɐdɐlɐ	
hare	n.	ʐikuŋ	
hasten	v.	kʰuɐi	
hasty	adj.	bɐ̃bɐ̃dz’ɐndz’ɐn	
