uncooked rice	ŋiŋgau	ŋiŋgau; ŋiŋgaumətʃeje	ŋiŋgau	ŋiŋgam	ŋiŋgam	nodop	nodop	tʃu	ɾakhaŋtʃhu	tʃhuaseʔ	tʃhuaseʔ	nĭmdi	nĭmdi
cooked rice	mətʃije	mətʃije	mətʃije	mətʃere	mətʃije	ha	ha	he	tʃhuhe	hɛ	tʃhuhe	tʃhawa	hoi
wheat	phijuk	phijok; tʃoʔ	phijo	phijok	phijok	buku	muku	raŋboŋ	məku	muku; phu	phu	phoʔ	phoskar; poʔ
corn	spou	spo	spõʔ	spou	ʃibo	phentaŋ	phentaŋ	mitʃi	pə̆tʃĩ	mitʃi	mitʃi	majʃəŋ	moʃop
potato	mətʃəu	mətʃə	maŋtʃə	madʒie	madʒua	dʒu	dʒu	dʒu	dʒu	dʒu	lasadʒu	tʃəktaŋ	dʒatumplu
cauliflower	marəepuŋwa	kobibua	phulkobi	phulkobi	phulkobi	phulkobi	–	–	–	kobibabu	daŋaren	–	–
cabbage	marebui	kobi	kobi	kobikhubam	kobi	bandagobi	–	–	–	kobison	daŋdaŋkəre	–	–
eggplant	mantho	mantho	mantho	mantho	mantho	bantho	mantho	məthou	pə̆t̪ho	bot̪ho	mantho	bandu	banthu
peanut	badam	badam	badam	badam	badam	badam	badam	–	badam	badam	badam	badam	maŋkha
tree	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ	hiŋthiŋ	hiŋ	hiŋamuŋ	hiŋamuŋ	hiŋ	ʃiŋ	hiŋʔama
branch	phoŋ	edəphou	edəphou	edəphou	edəphou	aphaŋalo	aphoŋ	aphaŋ	apaŋ; hiŋapaŋ	aphaŋ	hiŋaxiŋ	alaʔ	alak
leaf	rap	rap	erap	rap	rap	alap	alap	arap	aɾap	arap	luala	ulaʔ	ulap
thorn	ekeu	məgəm; migeu	egeu	məthau	məgəm	bədʒau	bazau	bədʒo	tʃekaŋ	bədʒo; tʃekaŋ	bədʒo	phizoʔ	phedʒok
root	eraŋ	eraŋ	eraŋ	eraŋ	eraŋ	rabo	ʔihi	ahi	ʔĭhĩ	ʔihi	dik	rawaʔ	lej
bamboo	moi	muẽ	moi	mai	mai	ma	ma	me	meʔ	meh̥	ma	mei	mei
fruit	evoi	evoi	evoi	voi	evoi	melaŋ	malaŋ	avə	ăjuŋ	milaŋ	hiŋava	uʃu	uʃu
jack fruit	jabuk	kotal	kotal	brokothali	kotal	barmemulaŋ							
coconut (ripe)	naɾkol	naɾkol	naɾikol	naɾijal	naɾikol	naɾikol	–	–	–	naɾikol	naɾikol	–	–
banana	səm	səm; siŋ	səm	səm	səm	musuŋ	musuŋ	musuŋ	pə̆suŋ	bosuŋ	musuŋ	leisi	lisi
mango							am	–; am	–; am	am	am	–; am	–; am
flower	ebũa	bua; ebua	ebũa	humbua	ɲinbua	minto	mint̪u	mint̪u	mint̪u	babu	hẽaraŋ	mentoʔ	mĭnto
seed	erai	erai	erai	rii	murui	ăli	ăli	ari	ăli	ăli; ari	ăli	li	li
sugarcane	nəŋə	nəa	nəŋə	nəa	nəa	mitʃi	mitʃi	mitʃiry	phə̆tʃiʔ	mitʃhi	mitʃhi	mə̆dʒu	tʃulamidʒu
betelnut	sali	sali	sali	sali	sali	sali	sali	gui	sali	sali	sali	goi	–
lime (for betelnut)	tʃun	tʃhun; tʃun	tʃun	tʃun	tʃun	tʃun	tʃhin; tʃun	–	–	tʃon; tʃun	tʃhin; tʃun	–	–
liquor	phua	phua	phua	phua	phua	phak	phak	pha	phak	pha	phak	phaʔ	phak
milk	ɲeo	niw	ɲeo	dut	niw	ɲuŋ	ɲiŋ	niuŋ	ɲyn	ɲyn	ɲiŋ	nuʔ	ɲju
oil	thou	tel	tələjə	ləfəfə	thel	tho	tho	thou	thou	tho	tal	num	num
meat	epije	ebije	epije	məbi	ebei	su	su	ʃaʔ	suʔ	suʔ	su	ʃia	ʃaʔ
