English gloss	Chinese character	Proto-Southern Min 原始閩南語	Quánzhōu 泉州	Zhāngzhōu 漳州	Dàtián 大田	Jiēyáng 揭陽	Cháoyáng 潮陽	Léizhōu 雷州
happy	歡喜	*huã1hi3	huã1hi3	huã1hi3		huã1hi3	huã1hĩ3	hua1hi3
harbour	澳	*uo5	o5	o5	ɔ5	õ5	o5	au5
hard	橂	*tõi6	tuĩ5	tan6	tiŋ1	tãi6	tãi6	tai1
hasty	急	*kip7	kip7	kip7	keʔ7	kip7	kip7	kʰip7
hat	帽	*bo6	bo5	bo6	bɤ1	bo6	bo6	mau4
hatch (eggs)	孵	*pu6	pu5	pu6	pu1	pu6	pu6	pu1
have	有	*u4	u4	u6	bua4	u4	u4	u4
having flaw	缺	*kʰiʔ7	kʰiʔ7	kʰiʔ7	kʰi5	kʰiʔ7	kʰiʔ7	kʰi7
head	頭	*tʰau2	tʰau2	tʰau2	tʰɔ2	tʰau2	tʰau2	tʰau2
heal	醫	*i1 ~ *ui1	i1	i1	i1	ui1	ui1	i1
heart	心	*sim1	sim1	sim1	seŋ1	sim1	sim1	sim1
heavy	重	*taŋ4	taŋ4	taŋ6	taŋ4	taŋ4	taŋ4	taŋ4
hemp	麻	*muã2	muã2	buã2	muã2	mua2	mua2	mua2
hoe	鋤	*tɯ2	tɯ2	ti2	tʰui2	tɯ6	tu2	tʰu2
hold	承	*sen2	sin2	sin2	seŋ2	seŋ2	seŋ2	siŋ2
hold in arms	抱	*pʰo4	pʰo4	pʰo6	pʰɤ4	pʰo4	pʰo4	pʰɔ4
hold in mouth	含	*kam2	kam2	kam2	kaŋ2	kam2	kam2	kam2
hold up with palm	托	*tʰuʔ7	tʰuʔ7	tʰuʔ7	tʰoʔ7	tʰoʔ7	tʰoʔ7	tʰɔ7
hollow	泛	*pʰã5	pʰã5	pʰã5	pʰã5	pʰã5	huam5	baŋ5
horn	角	*kak7	kak7	kak7	kaʔ7	kak7	kak7	kak7
horse	馬	*be3	be3	bɛ3	ba3	be3	be3	bɛ3
hot	熱	*duaʔ8	luaʔ8	dzuaʔ8	ziaʔ8	zuaʔ8	zuaʔ8	zua4
house	厝	*tsʰu5	tsʰu5	tsʰu5	tsʰu5	tsʰu5	tsʰu5	tsʰu5
household	家	*ke1	ke1	kɛ1	ka1	ke1	ke1	kɛ1
how (big) (1)	[ 若夥 ]	*lua4	lua4	lua6	lua4			ua4
how (big) (2)[2]	若	*zioʔ8				zioʔ8	zioʔ8	
how (many)	幾	*kui3	kui3	kui3	kui3	kui3	kui3	kui3
hundred	百	*peʔ7	peʔ7	pɛʔ7	pa5	peʔ7	peʔ7	pɛ7
hundred million	億	*ik7	iak7	ik7	i5	ek8	ek8	i7
hungry	枵	*iau1	iau1	iau1	iɔ1			iau1
husband	翁	*aŋ1	aŋ1	aŋ1		aŋ1	aŋ1	
I	我	*gua3	gua3	gua3	bua3	ua3	ua3	ba3
ice	冰	*piã1 ~ *piŋ1	piŋ1	piŋ1	peŋ1	piã1	piã1	peŋ1
indigo	藍	*lam2	lam2	lam2	laŋ2	nam2	nam2	lam2
infect	穢	*uø5	ə5			ue5	ue5	uɛ5
ink	墨	*bak8	bak8	bak8	baʔ8	bak8	bak8	bak8
inkstone	硯	*ŋhĩ6	hĩ5	hĩ6	niŋ1	ŋi6	ŋĩ6	hi1
insane	痟	*sau3 ~ siau3	siau3		sɔ3	siau3	siau3	sau7
insect	蟲	*tʰaŋ2	tʰaŋ2	tʰaŋ2	tʰaŋ2	tʰaŋ2	tʰaŋ2	tʰaŋ2
insert	插	*tsʰaʔ7	tsʰaʔ7	tsʰaʔ7	tsʰa5	tsʰaʔ7	tsʰaʔ7	tsʰa7
inside	裡	*lai4	lai4	lai6	li5	lai4	lai4	lai4
insipid	䭕	*tsiã3	tsiã3	tsia3̃	tsiã3	tsiã3	tsiã3	tsia3
intestine	腸	*tõ2	tŋ2	tŋ2	tŋ2	tɯŋ2	tɯŋ2	tɔ2
invert	覆	*pʰak7	pʰak7	pʰak7		pʰak7	pʰak7	pʰak7
invitation card	帖	*tʰiap7	tʰiap7	tʰiap7	tʰiaʔ7	tʰiap7	tʰiap7	tʰiap7
invite	請	*tsʰiã3	tsʰiã3	tsʰiã3	tsʰiã3	tsʰiã3	tsʰiã3	tsʰia3
invoke blessing	祝	*tsiok7	tsiɔk7	tsiɔk7	tsoʔ7	tsok7	tsok7	tsɔk7
iron	鐵	*tʰiʔ7	tʰiʔ7	tʰiʔ7	tʰi5	tʰiʔ7	tʰiʔ7	tʰi7
