English gloss	Chinese character	Proto-Southern Min 原始閩南語	Quánzhōu 泉州	Zhāngzhōu 漳州	Dàtián 大田	Jiēyáng 揭陽	Cháoyáng 潮陽	Léizhōu 雷州
ruler	尺	*tsʰioʔ7	tsʰioʔ7	tsʰioʔ7	tsʰɤ5	tsʰioʔ7	tsʰioʔ7	tsʰiɔ7
run	走	*tsau3	tsau3	tsau3	tsɔ3	tsau3	tsau3	tsau3
run over	□	*kʰoiʔ7	kʰueʔ7	kʰeʔ7		kʰoiʔ7	kʰoiʔ7	
s/he	伊	*i1	i1	i1	i3	i1	i1	i1
sail (n.)	篷	*pʰaŋ2	pʰaŋ2	pʰaŋ2	pʰaŋ2	pʰaŋ2	pʰaŋ2	pʰaŋ2
saliva	瀾	*nuã4	nuã4	luã6	nuã4	nua4	nua4	nua4
salt (n.)	鹽	*iam2	iam2	iam2	iaŋ2	iam2	iam2	iam2
salt (v.)	鹽	*si6̃	sĩ5	sĩ6	siŋ5			
salty	鹹	*kiam2	kiam2	kiam2	kiaŋ2	kiam2	kiam2	kiam2
sand	沙	*sua1	sua1	sua1	sua1	sua1	sua1	sua1
saw	鋸	*kɯ5	kɯ5	ki5	ki5	kɯ5	ku5	ku5
scab	疕	*pʰi3	pʰi3	pʰi3	pʰi3	pʰi3	pʰi3	pʰi3
scald	燙	*tʰõ5		tʰŋ5		tʰɯŋ5	tʰɯŋ5	tʰɔ5
scale (of fish)	鱗	*lan2	lan2	lan2	leŋ2	laŋ2	laŋ2	laŋ2
scold	罵	*mẽ6 (?)	ma5	bɛ̃6	ma5̃	me6	me6	mɛ1
scrape	刮	*kueʔ7	kuaʔ7	kuaʔ7	kue5	kueʔ7	kueʔ7	kuɛ7
sea	海	*hai3	hai3	hai3	hɛ3	hai3	hai3	hai3
search	□	*tsʰuø6	tsʰə5	tsʰue6	tsʰue5	tsʰue6	tsʰue6	tuɛ5
seasonal market	墟	*hɯ1	hɯ1	hi1	hi1	hɯ1	hu1	
second	(第)二	*di6	li5	dzi6	li1	zi4	zi4	zi1
see (1)	看	*kʰua5̃  (?)	kʰuã5	kʰuã5	kʰuã5	---		
see (2)	睇	*tʰõi3 (?)				tʰõi3	tʰõi3	
segment (of orange)	□	*niam6		liam6		niam6	niam4	niam1
seize	奪	*tøʔ8	təʔ8	tuaʔ8	toʔ8	toʔ8	toʔ8	tuak8
sell	賣	*boi6	bue5	be6	be1	boi6	boi6	bɔi1
sell grain	糶	*tʰio5	tʰio5	tʰio5	tʰiɤ5	tʰio5		tʰio5
send	寄	*kia5	kia5	kia5	kia5	kia5	kia5	kia5
separate into divisions	撥	*puaʔ7 ~ *pʰuaʔ7	puaʔ7	puaʔ7	pua5	pʰuaʔ7	pʰuaʔ7	bua7
set up	設	*siat7	siat7	siat7	siaʔ7	siak7	siak7	siek7
seven	七	*tsʰit7	tsʰit7	tsʰit7	tsʰeʔ7	tsʰek7	tsʰik7	tsʰiek7
sew	□	*tʰĩ6	tʰĩ5	tʰĩ6	tʰiŋ5	tʰĩ6	tʰĩ6	tʰi1
shake (head)	搖	*io2	io2	io2	iɤ2	io2	io2	iɔ2
shallow	淺	*tsʰian3	tsʰian3	tsʰian3	tsʰiŋ3		tsʰiaŋ3	tsʰieŋ3
shape	形	*hiŋ2	hiŋ2	hiŋ2	heŋ2	heŋ2	heŋ2	hiŋ2
sharp	利	*lai6	lai5	lai6	lɛ1	lai6	lai6	lai1
sharp-pointed	尖	*tsiam1	tsiam1	tsiam1	tsiaŋ1	tsiam1	tsiam1	tsiam1
sheep; goat	羊	*iõ2	iũ2	iɔ̃2	ziŋ2	iõ2	iõ2	iɔ2
ship	船	*tsun2	tsun2	tsun2	tsueŋ2	tsuŋ2	tsuŋ2	tsuŋ2
shirt	衫	*sã1	sã1	sã1	sã1	sã1	sã1	sa1
shoe	鞋	*oi2	ue2	e2	e2	oi2	oi2	ɔi2
shop	店	*tiam5 ~ *tõi5	tuĩ5	tiam5	tiŋ5	tiam5	tiam5	tiam5
short	短	*tø3	tə3	te3	tue3	to3	to3	tɛ3
short (as man)	矮	*oi3	ue3	e3	e3	oi3	oi3	ɔi3
shoulder	肩	*kõi1	kuĩ1	kan1	kiŋ1	kãi1	kõi1	kieŋ1
shrimp	蝦	*he2	he2	hɛ2	ha2	he2	he2	hɛ2
shut	關	*kuẽ1	kuĩ1	kuã1	kuã1	kuẽ1	kuẽ1	kuaŋ1
shuttlecock	毽	*kian5	kian5	kian5	kiaŋ5	kiaŋ4	kiaŋ4	kieŋ5
sick	病	*pẽ6	pĩ5	pɛ̃6	pã1	pẽ6	pẽ6	pɛ1
sieve (n.)	篩	*tʰai1	tʰai1	tʰai1	tʰɛ1	tʰai1	tʰai1	tʰai1
silkworm	蠶	*tsʰam2 ~ *tsʰõi2	tsʰam2	tsʰan2	tsʰaŋ2	tsʰãi2	tsʰãi2	tsʰai2
silver	銀	*ŋɯn2	gun2	gin2	zeŋ2	ŋeŋ2	ŋiŋ2	ŋieŋ2
sink	沉	*tiam2 ~ *tim2	tiam2	tiam2	teŋ2	tim2	tim2	tʰiam2
sit	坐	*tsø4	tsə4	tse6	tse4	tso4	tso4	tsɛ4
six	六	*lak8 ~ *lɯk8 (?)	lak8	lak8	laʔ8	lek8	lak8	lak8
skin	皮	*pʰuø2	pʰə2	pʰue2	pʰue2	pʰue2	pʰue2	pʰuɛ2
skirt	裙	*kun2	kun2	kun2	kueŋ2	kuŋ2	kuŋ2	kuŋ2
sky	天	*tʰĩ1	tʰĩ1	tʰĩ1	tʰiŋ1	tʰĩ1	tʰĩ1	tʰi1
slant	□	*kʰi1	kʰi1	kʰi1		kʰi1	kʰi1	kʰi1
sleeve	䘼	*uĩ3	ŋ3	uĩ3	mŋ3	ŋ3	ŋ3	ui3
slice (of melon)	□	*tø5	tə5	te5	te5			tɛ5
slim	□	*san3	san3	san3	saŋ3	saŋ3	saŋ3	saŋ3
slip down	崩	*paŋ1	paŋ1	paŋ1	paŋ1	paŋ1	paŋ1	paŋ1
slippery	滑	*kut8	kut8	kut8	koʔ8	kuk8	huk8	kut8
slow	慢	*man6	ban5	ban6	baŋ1	maŋ6	maŋ6	maŋ1
small	細	*soi5	sue5	se5	se5	soi5	soi5	sɔi5
small jar	罐	*kuan5	kuan5	kuan5	kuaŋ5	kuaŋ5	kuaŋ5	kuaŋ5
smell (n.)	味	*bi6	bi5	bi6	bi1	bi6		bi1
smell (v.)	鼻	*pʰi6 ~ *pʰĩ6	pʰi5	pʰĩ6	pʰi1	pʰĩ6	pʰĩ6	pʰi1
smell of fish	臊	*tsʰo1	tsʰo1	tsʰo1	tsʰɤ1	tsʰo1	tsʰo1	
smelly	臭	*tsʰau5 ~ *tsʰiau5	tsʰau5	tsʰau5	tsʰiɔ5	tsʰau5	tsʰau5	tsʰiau5
smoke; tobacco	薰	*hun1	hun1	hun1	hueŋ1	huŋ1	huŋ1	huŋ1
smooth with iron	熨	*ut7	ut7	ut7		uk7	uk7	
snail	螺	*lø2	lə2	le2	lue2	lo2	lo2	lɛ2
snake	蛇	*tsua2	tsua2	tsua2	tsua2	tsua2	tsua2	tsua2
snow	雪	*søʔ7	səʔ7	seʔ7	sue5	soʔ7	soʔ7	sɔi7
socks	襪	*buøʔ8	bəʔ8	bueʔ8	bue4	bueʔ8	gueʔ8	bak8
soft	軟	*nuĩ3	lŋ3	luĩ3	nuŋ3	nɯŋ3	nɯŋ3	nui3
son	囝	*kiã3	kã3	kiã3	kiã3	kiã3	kiã3	kia3
song	歌	*kua1	kua1	kua1	kɔ1	kua1	kua1	kua1
son-in-law	婿	*sai5	sai5	sai5	sɛ5	sai5	sai5	si5
sound	音	*im1	im1	im1	eŋ5	im1	im1	im1
sour	酸	*suĩ1	sŋ1	suĩ1	suŋ1	sɯŋ1	sɯŋ1	sui1
south	南	*nam2	lam2	lam2	laŋ2	nam2	nam2	nam2
sparse	□	*ka5	ka5	ka5		ka5		
speak (1)	呾	*tã5				tã5	tã5	
speak (2)	說	*suøʔ7	səʔ7	sueʔ7	sue5	sueʔ7	sueʔ7	suɛ7
speak (3)	講	*koŋ3 (?)	kaŋ3	kɔŋ3	kŋ3			kɔ3
splash (v.)	噴	*pʰun5	pʰun5	pʰun5	pʰueŋ5	pʰuŋ5	pʰuŋ5	pʰuŋ5
splint	篾	*miʔ8	biʔ8	biʔ8	bi4	biʔ8	biʔ8	mi4
spread (a mat)	舒	*tsʰɯ1	tsʰɯ1	tsʰi1	su1	tsʰɯ1	tsʰu1	si1
spring	春	*tsʰun1	tsʰun1	tsʰun1	tsʰueŋ1	tsʰuŋ1	tsʰuŋ1	tsʰuŋ1
sprinkle	□	*hiu5 ~ *hĩ5 (?)	hiu5	hiu5	huŋ5	hĩ5	hĩ5	hi5
sprout	發	*puʔ7 (?)	puʔ7	puʔ7	pue5	huak7	huak7	pu7
squat (v.)	跍	kʰu2	kʰu2	kʰu2	kʰu2	kʰu2	kʰu2	
stack up	疊	*tʰaʔ8	tʰaʔ8	tʰaʔ8	tʰa4	tʰaʔ8	tʰaʔ8	tʰa4
stalk (of fruit)	蒂	*ti5 ~ *tiʔ7	ti5	ti5	ti5	tiʔ7	tiʔ7	ti7
stand	徛	*kʰia4	kʰa4	kʰia6	kʰia4	kʰia4	kʰia4	kʰia4
star	星	*tsʰẽ1	tsʰĩ1	tsʰɛ̃1	tsʰã1	tsʰẽ1	tsʰẽ1	tsʰɛ1
steal	偷	*tʰau1	tʰau1	tʰau1	tʰɔ1	tʰau1	tʰau1	tʰau1
steam	蒸	*tsiŋ1	tsiŋ1	tsiŋ1	tseŋ1	tseŋ1	tseŋ1	tsiŋ1
steelyard	秤	*tsʰin5	tsʰin5	tsʰin5	tsʰeŋ5	tsʰeŋ5	tsʰiŋ5	tsʰieŋ5
steep	徛	*kia4	kia4	kia6	kʰia5	kia4	kia4	
step on	踏	*taʔ8	taʔ8	taʔ8	ta4	taʔ8	taʔ7	ta4
stir	□	*la4	la4	la6	la4	la4	la3	
stone	石	*tsioʔ8	tsioʔ8	tsioʔ8	tsɤ4	tsioʔ8	tsioʔ8	tsiɔ4
stop up	窒	*tʰat7	tʰat7	tʰat7				tʰak7
straight	直	*tit8	tit8	tit8	teʔ8	tek8	tik8	tiek8
straw mat	蓆	*tsʰioʔ8	tsʰioʔ8	tsʰioʔ8	tsʰɤ4	tsʰioʔ8	tsʰioʔ8	tsʰiɔ4
street	街	*koi1	kue1	ke1	ke1	koi1	koi1	kɔi1
stretch out (hand)	伸	*tsʰun1	tsʰŋ1	tsʰun1	tsʰuŋ1	tsʰuŋ1	tsʰuŋ1	tsʰuŋ1
stride (v.)	伐	*huaʔ8	huaʔ8	huaʔ8		huaʔ8	huaʔ8	hua4
strike (a match)	□	*ueʔ8				ueʔ8		uɛ2
strike (v.)	拍	*pʰak7	pʰaʔ7	pʰaʔ7	pʰaʔ7	pʰaʔ7	pʰaʔ7	pʰa7
strike fire	□	*kʰiat7	kʰiat7	kʰiat7		kʰiak8		
sugar	糖	*tʰõ2	tʰŋ2	tʰŋ2	tʰŋ2	tʰɯŋ2	tʰɯŋ2	tʰɔ2
sultry	□	*hip7	hip7	hip7		hip7	hip7	ip7
summer	夏	*he6	he5	hɛ6	ha1	he6	he6	hɛ1
sun	熱頭	*dit8 tʰau2	lit8 tʰau2	dzit8 tʰau2	leʔ8 tʰɔ2	zek8 tʰau2	zik8 tʰau2	ziek8 tʰau2
surplus	剩	*sen6	sin5	sin6		seŋ6	seŋ2	siŋ4
sweat (of hand)	液	*sioʔ8	sioʔ8	sioʔ8	siɤ4	sioʔ8	sioʔ8	zɛ4
swim	泅	*siu2	siu2	siu2	siu2	siu2	siu2	siu2
table (1)	桌	*toʔ7	toʔ7	toʔ7	tɤ5			
table (2)[4]	床	*tsʰõ2			tɤ5tsʰŋ2	tsʰɯŋ2	tsʰɯŋ2	tsʰɔ2
tadpole	□	*kuai1		kuai1		kuai1		kui1
tail	尾	*buø3	bə3	bue3	bue3	bue3	bue3	buɛ3
take off (clothes)	褪	*tʰuĩ5	tʰŋ5	tʰuĩ5		tʰɯŋ5	tʰɯŋ5	tʰui5
take wife	娶	*tsʰua6	tsʰua5	tsʰua6	tsʰua5	tsʰua6	tsʰua6	
tall	懸	*kuõi2	kuĩ2	kuãi2	kuŋ2	kuĩ2	kuãi2	kuai2
tame	乖	*kuai1	kuai1	kuai1	kuɛ1	kuai1	kuai1	kuai1
taro	芋	*ou6	ɔ5	ɔ6	u1	ou6	ou6	ɛu1
tax	稅	*suø5	sə5	sue5	sue5	sue5	sue5	suɛ5
tea	茶	*te2	te2	tɛ2	ta2	te2	te2	tɛ2
teach	教	*ka5	ka5	ka5	ka5	ka5	ka5	ka5
teeming	鬧熱	*nau6 diat8	lau5 liat8	lau6 dziat8	lɔ1 ziaʔ8	lau6 ziak8	lau6 ziak8	nau1 ziek8
temple	廟	*bio6	bio5	bio6	biɤ1	bio6	bio4	miau4
ten	十	*tsap8	tsap8	tsap8	tsaʔ8	tsap8	tsap8	tsap8
ten thousand	萬	*ban6	ban5	ban6	baŋ1	buaŋ6	buaŋ6	baŋ1
tendon	筋	*kɯn1	kun1	kin1	keŋ1	keŋ1	kiŋ1	kieŋ1
thank	謝	*sia6	sia5	sia6	sia1	sia6	sia6	sia1
that[5]	許	*hɯ3	hit7	hit7	hi3	hɯ3	hi3	
thatch	茅	*mhau2	bau2	hm2 ~ m2	hŋ2	mau2	mau2	mau2
they[6]	[ 伊儂 ]	*i1 naŋ2	in1	in1		i1 naŋ2	iŋ1	i1 naŋ2
thick	厚	*kau4	kau4	kau6	kɔ4	kau4	kau4	kau4
thick (congee) (1)	洘	*kʰo3	kʰo3	kʰoʔ7	kʰɤ3			kʰɔ3
thick (congee) (2)	□	*kit8				kek8	kik8	kiek8
thick board (1)	枋	*paŋ1	paŋ1	paŋ1	paŋ1	paŋ1	paŋ1	
thick board (2)	板	*pan3 ~ *põi3	pan3	pan3	paŋ3	pãi3	põi3	pai3
thin	薄	*poʔ8	poʔ8	poʔ8	pɤ4	poʔ8	poʔ8	pɔ4
think	想	*siõ3 ~ *siõ4	siũ3	siɔ̃3	siŋ4	siõ4	sio4	siɔ4
this[7]	只	*tsi3	tsit7	tsit7	tsi3	tsi3	tsi3	
thousand	千	*tsʰõ̃i1	tsʰuĩ1	tsʰiŋ1	tsʰiŋ1	tsʰãi1	tsʰãi1	tsʰai1
thread	線	*suã5	suã5	suã5	suã5	suã5	suã5	sua5
three	三	*sã1	sã1	sã1	sã1	sã1	sã1	sa1
throat	嚨	*nã2 ~ lɯŋ2	nã2	lã2			leŋ2	liaŋ2
throw down	□	*sak7 ~ *sɯk7	sak7	siak7	saʔ7	sek7	sek7	siak7
thunder	雷	*lui2	lui2	lui2	lui2	lui2	lui2	lui2
tickle	□	*ŋiau1 ~ *niau1	ŋiãu1	giãu1		niau1	niau1	
tie (a knot)	結	*kat7	kat7	kat7	kaʔ7	kak7	kak7	kiek7
tie up	縛	*pak8	pak8	pak8	paʔ8	pak8	pak8	pak8
tiger	虎	*hou3	hɔ3	hɔ3	hu3	hõu3	hou3	hɛu3
tight	緪	*an2	an2	an2	aŋ2	aŋ2		aŋ2
tile	瓦	*hia4	hia4	hia6	bua4	hia4	hia4	hia4
tongue	舌	*tsiʔ8	tsiʔ8	tsiʔ8	sua4	tsiʔ8	tsiʔ8	tsi4
tooth	齒	*kʰi3	kʰi3	kʰi3	kʰi3	kʰi3	kʰi3	kʰi3
tortoise	龜	*ku1	ku1	ku1	kui1	ku1	ku1	ku1
transgress	犯	*huam4	huan4	huan6	haŋ4	huaŋ4	huam4	baŋ4
tree	樹	*tsiu6	tsʰiu5	tsʰiu6	tsʰu5	tsʰiu6	tsʰiu6	tsʰiu1
trousers	褲	*kʰou5	kʰɔ5	kʰɔ5	kʰu5	kʰou5	kʰou5	kʰɛu5
tubular container	栱	*koŋ3	kɔŋ3	kɔŋ3		koŋ3		
tuck	楔	*soiʔ7	sueʔ7	seʔ7	se5	soiʔ7	soiʔ7	
turbid (1)	醪	*lo2	lo2	lo2		lo2	lo2	
turbid (2)	濁	*tsuok8	tsɔk8	tsɔk8	tsoʔ8	tsuak8	tsuak8	tsuak8
turn around	轉	*tuĩ3	tŋ3	tuĩ3	tuŋ3	tɯŋ3	tɯŋ3	tui3
turn over	反	*põi3	puĩ3	pan3	piŋ4	pãi3	pãi3	pai3
twist	旋	*tsun4	tsun4	tsun6	tsueŋ4	tsuŋ4	tsuŋ4	
two	兩	*nõ4	nŋ4	lɔ̃6	nŋ3	no4	no4	nɔ4
umbrella (1)	傘	*suã5	suã5	suã5	suã5			sua5
umbrella (2)	遮	*tsia1				tsia1	tsia1	tsia1
uncooked	生	*tsʰẽ1	tsʰĩ1	tsʰɛ̃1	tsʰã1	tsʰẽ1	tsʰẽ1	tsʰɛ1
understand	□	*pat7	pat7	pat7	paʔ7	pak7	pak7	pak7
unit of volume	升	*tsen1	tsin1	tsin1	seŋ1	seŋ1	seŋ1	siŋ1
untie	敨	*tʰau3	tʰau3	tʰau3	tʰɔ3	tʰau3	tʰau3	
urine	尿	*dio6	lio5	dzio6	liɤ1	zio6	zio6	ziɔ1
use something to reach higher	□	*kuø3	kə3	kue3		kue3	kue3	
vase	瓶	*pan2	pan2	pan2	paŋ2	paŋ2	paŋ2	paŋ2
vegetable	菜	*tsʰai5	tsʰai5	tsʰai5	tsʰɛ5	tsʰai5	tsʰai5	tsʰai5
vomit	吐	*tʰou5	tʰɔ5	tʰɔ5	tʰu5	tʰou5	tʰou5	
waist	腰	*io1	io1	io1	iɤ1	io1	io1	iɔ1
walk	行	*kiã2	kiã2	kiã2	kia2̃	kiã2	kiã2	kia2
warm coat	裘	*hiu2	hiu2	hiu2	hiu2		hiũ2	
wash	洗	*soi3	sue3	se3	se3	soi3	soi3	sɔi3
water (n.)	水	*tsui3	tsui3	tsui3	tsi3	tsui3	tsui3	tsui3
water (v.)	沃	*ak7	ak7	ak7	aʔ7	ok7	ak7	ak7
water in which rice has been washed	潘	*pʰun1	pʰun1	pʰun1	pʰueŋ1	pʰuŋ1	pʰuŋ1	pʰuŋ1
water lily	蓮	*lian2 ~ *nõi2	nuĩ2	lian2	liaŋ2	nai2	noi2	lieŋ2
wave (n.)	湧	*ɯŋ3	iŋ3	iŋ3	ioŋ3	eŋ3	eŋ3	iaŋ3
wave (v.)	□	*iat8	iat8	iat8	iaʔ8	iaʔ8	iaʔ8	iek8
we[8]	[ 我儂 ]	*gua3 naŋ2	gun3	gun3		uaŋ3	uaŋ3	
wear	頌	*tsʰɯŋ6	tsʰiŋ5	tsʰiŋ6	tsoŋ1	tsʰeŋ6	tsʰeŋ6	tsʰiaŋ1
weep	啼	*tʰi2	tʰi2	tʰi2	tʰi2	tʰi2	tʰi2	tʰi2
well (n.)	井	*tsẽ3	tsĩ3	tsɛ̃3	tsã3	tsẽ3	tsẽ3	tsɛ3
what	乜	*miʔ7	mĩʔ7	bĩ1		meʔ7	miʔ7	mi7
white	白	*peʔ8	peʔ8	pɛʔ8	pa4	peʔ8	peʔ8	pɛ4
wide	闊	*kʰuaʔ7	kʰuaʔ7	kʰuaʔ7	kʰua5	kʰuaʔ7	kʰuaʔ7	kʰua7
wife	某	*bou3	bɔ3	bɔ3		bou3	bou3	
wind	風	*huoŋ1	huaŋ1	hɔŋ1	hoŋ1	huaŋ1	huaŋ1	huaŋ1
wind contrary	逆(風)	*ŋik8	giak8	gik8	ziaʔ8	ŋek8	ŋek8	ŋek8
winding	彎	*uan1	uan1	uan1	uaŋ1	uaŋ1	uaŋ1	uaŋ1
window	窗	*tʰeŋ1 ~ *tʰɯŋ1	tʰaŋ1	tʰaŋ1	tʰɔ1	tʰeŋ1	tʰeŋ1	tʰiaŋ1
wine	酒	*tsiu3	tsiu3	tsiu3	tsiu3	tsiu3	tsiu3	tsiu3
wing[9]	翼	*sip8 ~ *sit8	sit8	sit8	seʔ8	sek8	sik8	siek8
winnow (v.)	簸	*pua5	pua5	pua5	pua5	pua5	pua5	pua5
winter	冬	*taŋ1	taŋ1	taŋ1	taŋ1	taŋ1	taŋ1	taŋ1
wipe	拭	*tsʰit7	tsʰit7	tsʰit7		tsʰek7	tsʰik7	tsʰiek7
withdraw	退	*tʰø5	tʰə5	tʰe5	tʰue5	tʰo5	tʰo5	tʰɛ5
wonderful	妙	*miau6	biau5	biau6	biɔ1	miau4	miau4	miau3
wood[10]	木	*mak8	bak8	bak8	boʔ8	bak8	bak8	mɔk8
work (n.)	工	*kaŋ1	kaŋ1	kaŋ1	kaŋ1	kaŋ1	kaŋ1	kaŋ1
wrap up	包	*pau1	pau1	pau1	pɔ1	pau1	pau1	pau1
write	寫	*sia3	sia3	sia3	sia3	sia3	sia3	sia3
wrong	□	*ta6̃	tã5	tã6		tã6		
year	年	*nhĩ2	nĩ2	lĩ2	niŋ2	ni2	ni2	hi2
yeast[11]	麴	*kʰak7 ~ *kʰɯk8	kʰak7	kʰak7	kʰaʔ7			
yellow	黃	*uĩ2	ŋ2	uĩ2	ŋ2	ŋ2	ŋ2	ui2
you	汝	*lɯ3	lɯ3	li3	li3	lɯ3	lu3	lu3
you (plural)[12]	[ 汝儂 ]	*lɯ3 naŋ2	lin3	lin3		neŋ3	niŋ3	lu3 naŋ2
younger brother	弟	*ti4	ti4	ti6	ti4	ti4	ti4	ti4
younger sister	妹	*muø6	bə5	bãi6	mŋ1	mue4 ~ mue6	mue4	muɛ1
