Proto-Tibeto-Burman	Proto-Karenic	gloss
*ʔap ⪤ *ga:p	*khaʔᴰ	‘shoot (v.)’
*ma:k	*maʔᴰ	‘son-in-law’
*dzo:p	*cwiKᴰ	‘suck’
*dyuk	*t-khroʔᴰ	‘sambha deer’
		
*u	*o (vowel lowering)	
*nuk	*nokᴰ	‘brain’
*d-yuk	*t-khroʔᴰ	‘sambhar deer’
*ruŋ	*noŋᴬ	‘horn’
*s-luŋ	*hloŋᴮ	‘maggot’
*d-kruk	*khrowᴬ	‘six’
*b-ru:l	*rowᴮ	‘snake’
*r-luŋ	*loŋᴮ	‘stone’
*b-yuw	*jowᴮ	‘mouse, rat’
		
*iy	*i	
*s-hwiy	*swiᴮ	‘blood’
*kwiy	*thwiᴮ	‘dog’
*s/g-liy	*kliᴬ	‘flea’
*r-miy	*rwiᴮ	‘root’
*bwiy	*wiᴬ	‘bamboo rat’
		
*ey	*e	
*b-rey	*breᴬ	‘buy’
*mey	*hmeᴮ	‘fire’
*r-ney-t	*neᴮ	‘get, obtain’
*rey	*reᴮ	‘rattan’
*d-key	*kheᴬ	‘tiger’
		
*ay	*e	
*pwa:y	*pheᴬ	‘bran, chaff’
*r-may	*meᴮ	‘tail’
*s/m-lay	*bleᴬ	‘tongue’
		
*əy	*ej	
*d-ləy	*klejᴮ	‘crossbow’
*mləy	*khlejᴬ	‘boat’
*twəy ⪤ *dwəy	*ʔdejᴮ	‘egg’
*nəy	*nejᴬ	‘sun, day’
*b-ləy	*lejᴬ	‘grandchild’
*r/s-mwəy	*hmejᴬ	‘lie down, sleep’
*d-kəy	*d-khejᴬ	‘barking deer’
