Gloss	Form	Language
dog	kʰɯ¹	Gong (Uthai Thani)
dog	kʰɨ	Gong (Suphanburi) - older generation
dog	kʰɨ	Gong (Suphanburi) - younger generation
dog	kû	Lawa (Kwê Yai)
door	pʰôŋ	Gong (Suphanburi)
door	pωŋ¹	Gong (Uthai Thani)
door panel, to tell, accuse, narrate stories	pʰoŋ	Gong (Suphanburi)
dove	duk¹kʰu³	Gong (Uthai Thani)
drag, iron, grind, whet (as in sharpening scissors or knife), deligent	ʔɛ̀ŋ	Gong (Suphanburi)
dragonfly	buŋ²lə²woŋ¹	Gong (Uthai Thani)
draw, well, most, thank, healthy, happy, comfortable	ʔàŋ	Gong (Suphanburi)
dregs, chaff	na²ʔɯŋ¹	Gong (Uthai Thani)
dregs, refuse (of sugarcane)	kʰa²lɛ¹	Gong (Uthai Thani)
dress, to repair	tɛŋ⁴ʔɔ⁵	Gong (Uthai Thani)
dried up feces	ʔé̩ŋ kalo̩ 	Ugong
drink	dɛ̀ŋ	Gong (Suphanburi)
drink	dɛŋ³ʔɔ³	Gong (Uthai Thani)
drink	dɛ̀ŋʔɔ̀	Gong (Suphanburi) - older generation
drink	dɛ̀ŋʔɔ̀	Gong (Suphanburi) - younger generation
drum	cʰiŋ³	Gong (Uthai Thani)
drum, overflow	cʰɨŋ	Gong (Suphanburi)
drunk	mɔʔɔ	Gong (Suphanburi) - older generation
drunk	mɔ	Gong (Suphanburi) - younger generation
dry	ka²lɔ⁴ʔɔ⁵	Gong (Uthai Thani)
dry	kalo tʰe	Gong (Suphanburi) - older generation
dry	kaló	Gong (Suphanburi) - younger generation
dry in sun	laʔ	Gong (Suphanburi)
duck	ba³ti²	Gong (Uthai Thani)
duck	bàtʰê	Gong (Suphanburi) - older generation
duck	bàtʰê	Gong (Suphanburi) - younger generation
duck	bā ti	Lawa (Kwê Yai)
duck tail	naŋ phᴜ́ yǔ̵ nɪ́ thǒ̩ŋ 	Ugong
dull	tʰɔʔ-ʔɔ	Gong (Suphanburi) - older generation
dull	tʰɔ̀ʔʔɔ̀	Gong (Suphanburi) - younger generation
dull (pointed things)	kʰɨ̀ŋ	Gong (Suphanburi)
dum	cʰɨ́ŋ ~ sɨ́ŋ	Gong (Suphanburi) - older generation
dum	sɨ́ŋ	Gong (Suphanburi) - younger generation
dust	la²ʔɔŋ³	Gong (Uthai Thani)
dust	dihǒk	Gong (Suphanburi) - older generation
ear	ni²ca¹	Gong (Uthai Thani)
ear	nidɔ́ʔ	Gong (Suphanburi) - older generation
ear	nidɔ́ʔ	Gong (Suphanburi) - younger generation
ear	nàdɔ̌ʔ / nàca 	Ugong
ear of paddy rice	kʰuk sòŋ	Gong (Suphanburi)
eardrum	nà câ (nàkɔŋkó̵̩ˌʔ) 	Ugong
ears of corn	kuk¹naŋ²	Gong (Uthai Thani)
earth	nìtʰə̂ŋ	Gong (Suphanburi) - older generation
earth	pʰitʰə̂ŋ	Gong (Suphanburi) - younger generation
earth	mi tang	Lawa (Kwê Yai)
earth	mi tang	Lawa (Kwê Noi)
earthworms	pu²tiɛ³	Gong (Uthai Thani)
earwax	nàkɔŋkhlɪ́ 	Ugong
easy	ma²jɔʔ¹	Gong (Uthai Thani)
eat	cʰǔə	Gong (Suphanburi) - older generation
eat	sǔɔ	Gong (Suphanburi) - younger generation
eat	wuk	Lawa (Kwê Yai)
eat, sweet	cʰuɔ	Gong (Suphanburi)
economize	je¹ko²ʔɔ²	Gong (Uthai Thani)
edge	kɔʔ¹	Gong (Uthai Thani)
edge, ashamed and fearful	kɔ̌ʔ	Gong (Suphanburi)
edge, rim	jeŋ	Gong (Suphanburi)
egg	ku³	Gong (Uthai Thani)
egg	wóʔ	Gong (Suphanburi) - older generation
egg	kʰù kʰù	Gong (Suphanburi) - younger generation
eight	hɛʔ¹	Gong (Uthai Thani)
eight	hɛʔ	Gong (Suphanburi) - older generation
eight	hɛ́ʔ	Gong (Suphanburi) - younger generation
eight	hê	Lawa (Kwê Yai)
eight	hê	Lawa (Kwê Noi)
elbow	lɔʔ¹tuŋ¹	Gong (Uthai Thani)
elbow	lɔ̌ʔ thúŋ 	Ugong
elder brother	mɔŋ⁴cʰi²jωʔ¹	Gong (Uthai Thani)
elder brother (sister)	jωʔ¹	Gong (Uthai Thani)
elder brother- in-law	jωʔ¹daŋ¹	Gong (Uthai Thani)
elder sibling	jǒʔ	Gong (Suphanburi)
elder sister	cʰi²cʰi²jωʔ¹	Gong (Uthai Thani)
elder sister or elder brother	yo	Lawa (Kwê Yai)
elder sister-in- law	cʰa²naŋ⁴	Gong (Uthai Thani)
elephant	ʔɔ̌ŋ	Gong (Suphanburi)
elephant	ʔɔŋ³	Gong (Uthai Thani)
elephant	ʔɔ̌ŋ	Gong (Suphanburi) - older generation
elephant	ʔɔ̌ŋ	Gong (Suphanburi) - younger generation
elephant	thang	Lawa (Kwê Yai)
eleven	sētī	Lawa (Kwê Yai)
empty	mɛ⁴mlɛ⁵	Gong (Uthai Thani)
endure	tʰəŋ¹ju³ʔɔ³	Gong (Uthai Thani)
enough	ɲa⁴doʔ¹	Gong (Uthai Thani)
enter	ʔɔŋ	Gong (Suphanburi) - older generation
enter	ʔɔŋʔɔ	Gong (Suphanburi) - younger generation
enter to the sty	kʰàŋ	Gong (Suphanburi)
enter, to go in (enter going)	ʔɔŋ³ʔɔ³	Gong (Uthai Thani)
entertainment	luɔ	Gong (Suphanburi)
envy	kɛŋ	Gong (Suphanburi)
equally	tʰa²lak¹jə¹	Gong (Uthai Thani)
evening	ɲa⁴tu⁵	Gong (Uthai Thani)
evil	ʔàŋʔɔ	Gong (Suphanburi) - older generation
evil	ʔaŋʔɔ	Gong (Suphanburi) - younger generation
excrement	ʔɛ̌ŋ	Gong (Suphanburi)
explode, to shoot	cʰik¹ja²ʔɔ²	Gong (Uthai Thani)
expose to the fire, bald, to curse	laŋ⁴ʔɔ⁵	Gong (Uthai Thani)
extinguish, to put out the fire	dɔŋ¹ʔa²ʔɔ²	Gong (Uthai Thani)
eye	ɲɔʔ¹kɔŋ¹	Gong (Uthai Thani)
eye	ɲɔ́ʔkɔŋ	Gong (Suphanburi) - older generation
eye	ɲɔ́ʔkɔŋ	Gong (Suphanburi) - younger generation
eye	ɲɔʔ kɔŋ 	Ugong
eye	ya klông	Lawa (Kwê Yai)
eye lashes	ɲɔʔcʰek²mɯŋ¹	Gong (Uthai Thani)
eye sand	ɲɔʔ khlɪ́ 	Ugong
eyeball	ɲɔʔ khlóŋ 	Ugong
eyebrow	ɲɔʔ khé̩ŋ (mọ̵́ŋ) 	Ugong
eye-brow	ɲɔʔ¹kʰeŋ¹mɯŋ¹	Gong (Uthai Thani)
eyelash	ɲɔʔ sə̩́kméŋ 	Ugong
eyelid	ɲɔʔ kó̵̩ˌʔ (kɔŋ) 	Ugong
eyetooth / canine tooth / fang	ka sǐ 	Ugong
eye-wax	ɲɔʔ¹kʰli¹	Gong (Uthai Thani)
face	pʰɔ̀ŋ	Gong (Suphanburi)
face	pʰlɔŋ¹	Gong (Uthai Thani)
face	phlɔŋ 	Ugong
fall	duk¹ku²ʔɔ²	Gong (Uthai Thani)
fall	tʰìʔɔ̀	Gong (Suphanburi) - older generation
fall	tʰì kʰleʔɔ	Gong (Suphanburi) - younger generation
fall (rain)	tuk¹ʔɔ⁵	Gong (Uthai Thani)
fall down (a tree or big things, steep	dɛŋ	Gong (Suphanburi)
fall down, roll over	doeŋ	Gong (Suphanburi)
fall off, to release	mɯŋ²ʔɔ²	Gong (Uthai Thani)
fall to the ground, torn down (house)	cʰoʔ	Gong (Suphanburi)
fall, to capsize	lɛ⁴ʔɔ⁵	Gong (Uthai Thani)
fan, blow	pʰat	Gong (Suphanburi)
far	waŋʔɔ	Gong (Suphanburi) - older generation
far	waŋʔɔ̂	Gong (Suphanburi) - younger generation
farmers hat	ŋɔk⁵	Gong (Uthai Thani)
fat	nok¹ʔɔ⁵	Gong (Uthai Thani)
fat	ʔěŋ	Gong (Suphanburi) - older generation
fat	ʔěŋ	Gong (Suphanburi) - younger generation
father	jɨ̌ŋ	Gong (Suphanburi)
father	jɯŋ³	Gong (Uthai Thani)
father	ʔajɨ̌ŋ	Gong (Suphanburi) - older generation
father	ʔajɨ̂ŋ	Gong (Suphanburi) - younger generation
father	yûng	Lawa (Kwê Yai)
fear, to descend, to decrease	kla²ʔɔ²	Gong (Uthai Thani)
fear, worry	kà	Gong (Suphanburi)
feather	hɔʔ¹mɯŋ¹	Gong (Uthai Thani)
feather	mɨŋ	Gong (Suphanburi) - older generation
feather	mɨŋ	Gong (Suphanburi) - younger generation
feces / shit	ʔé̩ŋ 	Ugong
feed	ʔəŋ¹ʔɔ⁵	Gong (Uthai Thani)
feel a stinging pain	ʔu²glɔŋ³ʔɔ³	Gong (Uthai Thani)
feel bad, upset	ɲǐk	Gong (Suphanburi)
feel pain, to ache, painful	na²ʔɔ²	Gong (Uthai Thani)
fell	tik¹lɛŋ⁴ʔɔ⁵	Gong (Uthai Thani)
female pubic hair	sɛŋ mọ̵́ŋ 	Ugong
female wasp	kʰɨaŋ	Gong (Suphanburi)
female; clf. of fish, prawn, rice kernel	ma³	Gong (Uthai Thani)
fever, sickness	bìa	Gong (Suphanburi)
few	ʔanɛʔ cʰɛ ~ ʔanɛ́ʔ sɛ	Gong (Suphanburi) - older generation
few	ʔanɛ́ʔ sɛ	Gong (Suphanburi) - younger generation
field (rice)	naw	Lawa (Kwê Yai)
field (rice)	naw	Lawa (Kwê Noi)
field rice	cʰě ~ sě	Gong (Suphanburi) - older generation
field rice	sě	Gong (Suphanburi) - younger generation
field small green frog	kok¹ba¹	Gong (Uthai Thani)
field, plantation	jě	Gong (Suphanburi)
fig	lɔŋ⁴wa⁴ʔɛ¹	Gong (Uthai Thani)
fight	cʰɔŋ cʰuɔ ~ sɔŋ suɔ	Gong (Suphanburi) - older generation
fight	sɔŋ bâʔɔ	Gong (Suphanburi) - younger generation
final particle	mɛʔ¹	Gong (Uthai Thani)
final particle	ʔo¹	Gong (Uthai Thani)
final particle for emphasizing what is said	ʔǒ	Gong (Suphanburi)
final particle, quite so, mood particle	jə¹	Gong (Uthai Thani)
fine, pound up	məʔ¹ʔɔ³	Gong (Uthai Thani)
finger	lɔ̌ʔ	Gong (Suphanburi)
finger	lɔʔ¹pʰɔʔ²ʔe¹	Gong (Uthai Thani)
finger	lɔ̌ʔ nᴜ / lɔ̌ʔʔé̩ 	Ugong
fingernail	lɔ̌ʔʔɤ̩́ŋ 	Ugong
fire	tʰǒŋ	Gong (Suphanburi)
fire	ni²tʰoŋ¹	Gong (Uthai Thani)
fire	jitʰoŋ	Gong (Suphanburi) - older generation
fire	tʰoŋ	Gong (Suphanburi) - younger generation
fire	nī tong	Lawa (Kwê Yai)
firefly	tuŋ⁴ma²ɲek¹	Gong (Uthai Thani)
firewood	ʔak¹	Gong (Uthai Thani)
firewood	ʔə́k	Gong (Suphanburi) - older generation
firewood	ʔə́k jale	Gong (Suphanburi) - younger generation
first time, want, desire, wish to	duɔ	Gong (Suphanburi)
fish	ŋa²ʔa¹	Gong (Uthai Thani)
fish	ɲa⁴tʰeŋ⁴ʔɔ⁵	Gong (Uthai Thani)
fish	ɲàʔa	Gong (Suphanburi) - older generation
fish	ɲáʔa	Gong (Suphanburi) - younger generation
fish	nga tha	Lawa (Kwê Yai)
fish bone	ŋa²ʔa²wu¹	Gong (Uthai Thani)
fish trap (a kind of)	bòŋ	Gong (Suphanburi)
fish trap (a kind of)	dûŋ	Gong (Suphanburi)
fishhook	ɲa⁴	Gong (Uthai Thani)
fish-hook	ɲa	Gong (Suphanburi)
fishing net	wǐk	Gong (Suphanburi)
fishing rod	ɲa⁴kɔʔ¹	Gong (Uthai Thani)
fist	lɔ̌ʔ ʂuk 	Ugong
five	ŋɔ̌	Gong (Suphanburi)
five	ŋɔ¹	Gong (Uthai Thani)
five	ŋɔ	Gong (Suphanburi) - older generation
five	ŋɔ	Gong (Suphanburi) - younger generation
five	ngaw	Lawa (Kwê Yai)
five	ngaw	Lawa (Kwê Noi)
flap (wings)	bɔŋ³ʔɔ³	Gong (Uthai Thani)
flat in taste	bək	Gong (Suphanburi)
flea	kʰɯ⁴ʔɔ⁵	Gong (Uthai Thani)
flesh	ʔa¹	Gong (Uthai Thani)
flesh	ʔa	Gong (Suphanburi) - older generation
flesh	ʔama	Gong (Suphanburi) - younger generation
flesh / meat	ʔa 	Ugong
flies swarm on, around (fly)	pʰɛ̌ŋ	Gong (Suphanburi)
float	dòŋ kɔ́	Gong (Suphanburi) - older generation
float	dóŋkɔ́	Gong (Suphanburi) - younger generation
flooring, catch up	tʰaŋ	Gong (Suphanburi)
flour for cooking, crushed fried rice	mɨŋ	Gong (Suphanburi)
flow	tʰi wàjʔɔ	Gong (Suphanburi) - older generation
flow	tʰi wàjʔɔ	Gong (Suphanburi) - younger generation
flow, to wash	cʰɨ⁴ʔɔ⁵	Gong (Uthai Thani)
flower	ʔə̌k pʰɨ̀aʔ	Gong (Suphanburi) - older generation
flower	ʔə́k fàʔ	Gong (Suphanburi) - younger generation
flower	pia	Lawa (Kwê Yai)
flower	hāng pia	Lawa (Kwê Noi)
flower of Crinum	bok¹piaʔ²	Gong (Uthai Thani)
flower, cotton	piaʔ¹	Gong (Uthai Thani)
flower, cotton thread	pʰɨ̀aʔ	Gong (Suphanburi)
fluid, damp, liquid	plaʔ¹ʔɔ³	Gong (Uthai Thani)
fly	cʰi²maŋ¹	Gong (Uthai Thani)
fly	cʰɨ³ʔɔ³	Gong (Uthai Thani)
fly	cʰeŋ ~ seŋ	Gong (Suphanburi) - older generation
fly	sèŋ	Gong (Suphanburi) - younger generation
fly, flow	cʰeŋ	Gong (Suphanburi)
fog	mû	Gong (Suphanburi)
fold, to be on top of dense, to feel tight	tʰɛʔ¹ʔɔ³	Gong (Uthai Thani)
folded knife	kʰøʔ	Gong (Suphanburi)
follow, to find, to seek	ʔu²gɔʔ¹ʔɔ³	Gong (Uthai Thani)
fontanel (soft spots in baby s	khu mɔ́ŋ 	Ugong
foot	kʰɔʔ¹kʰi³	Gong (Uthai Thani)
foot	kʰɔ́ʔkʰì	Gong (Suphanburi) - older generation
foot	kʰɔ́ʔkʰì	Gong (Suphanburi) - younger generation
foot	khǒʔ khɪ̂ 	Ugong
foot	ki klûak	Lawa (Kwê Yai)
foot dirt	khɔ̌ʔ khɪ̂ khɪ́ 	Ugong
foot print	kʰɔʔ¹kʰi²wi³	Gong (Uthai Thani)
for a moment	ta²ʔɔʔ¹	Gong (Uthai Thani)
fore finger	lɔʔ¹nu⁵	Gong (Uthai Thani)
forehead	ŋɔ⁴kʰɔŋ⁵	Gong (Uthai Thani)
forehead / brow	nɔ khɔ̌ŋ 	Ugong
forest	pʰuduɔŋ	Gong (Suphanburi)
forest	pʰu²lɔŋ⁵	Gong (Uthai Thani)
forest	pʰiduɔ̌ŋ	Gong (Suphanburi) - older generation
forest	pʰudɔ́ŋ	Gong (Suphanburi) - younger generation
forest	pi lang	Lawa (Kwê Yai)
forest	ping lang	Lawa (Kwê Noi)
forget	ɲi¹ʔa²ʔɔ²	Gong (Uthai Thani)
forget, careless	waŋ	Gong (Suphanburi)
forty	pli-sê	Lawa (Kwê Yai)
four	pi¹	Gong (Uthai Thani)
four	pʰi	Gong (Suphanburi) - older generation
four	pʰi	Gong (Suphanburi) - younger generation
four	pli	Lawa (Kwê Yai)
four	plī	Lawa (Kwê Noi)
four corners	pʰi kʰɔ̌ʔ	Gong (Suphanburi)
fourteen	sē-plī	Lawa (Kwê Yai)
fowl	wo	Lawa (Kwê Yai)
fragment, clf for crockery, reptile, frog, insect, etc	luŋ	Gong (Suphanburi)
fragment, clf. for crockery, tray, frog, insect, etc.	kʰlɛʔ¹	Gong (Uthai Thani)
freckle	mɪŋ nɔ́ʔ//khu khlɪ́/khɪ̂ 	Ugong
fresh	mǒk	Gong (Suphanburi)
friend	kə̀	Gong (Suphanburi)
friend	klə³	Gong (Uthai Thani)
frog	ba¹	Gong (Uthai Thani)
front sole	lɔ̌ʔ phyé̩ / phɔʔ phyé(	Ugong
fruit	ʔak¹ʔɛ³	Gong (Uthai Thani)
fruit	ʔə̌k ʔɛ	Gong (Suphanburi) - older generation
fruit	ʔə́k ʔɛ	Gong (Suphanburi) - younger generation
fruit	lak lê	Lawa (Kwê Yai)
fruit	lê	Lawa (Kwê Noi)
fruitful	ʔɔ̀ŋ	Gong (Suphanburi)
fry	pʰàt	Gong (Suphanburi)
full	piŋ³ʔɔ³	Gong (Uthai Thani)
full (container)	kʰɨŋ tʰe	Gong (Suphanburi) - older generation
full (container)	tem	Gong (Suphanburi) - younger generation
fully, completely	kʰok¹doʔ²	Gong (Uthai Thani)
furbish, to rub	pɯʔ¹ʔɔ³	Gong (Uthai Thani)
galangal	cʰɔŋ⁴kɔŋ¹	Gong (Uthai Thani)
gall	ki	Gong (Suphanburi)
gall bladder	ki	Gong (Suphanburi)
gall bladder (?)	ho̩ŋ cé̩ 	Ugong
gasp for breath	hɔk	Gong (Suphanburi)
gather (fruits) from a tree by using a long stick	du¹ləʔ¹ʔɔ³	Gong (Uthai Thani)
gather up, to dig	wuk¹ju²ʔɔ²	Gong (Uthai Thani)
gecko	tak¹tə⁵	Gong (Uthai Thani)
get angry	ɲǐk	Gong (Suphanburi)
get angry, to be indignant	ɲiŋ⁴ʔɔ⁵	Gong (Uthai Thani)
get angry, to be indignant	ɲek¹ʔɔ⁵	Gong (Uthai Thani)
get well	tiŋ²ʔɔ²	Gong (Uthai Thani)
ghost	liʔ¹ʔi³	Gong (Uthai Thani)
ghost, salt, lime	pli³	Gong (Uthai Thani)
gibbon	ɲok¹tʰɔŋ¹	Gong (Uthai Thani)
ginger, each other, run (chicken)	cʰɔŋ	Gong (Suphanburi)
give	cʰia	Gong (Suphanburi)
give	tʰeŋʔɔ̂	Gong (Suphanburi) - older generation
give	tʰeŋ kʰáʔɔ̂	Gong (Suphanburi) - younger generation
gizzard (fowl)	mik	Gong (Suphanburi)
glad	ŋàŋ	Gong (Suphanburi)
glutinous rice	ɲɔŋ⁴	Gong (Uthai Thani)
glutinous rice	yā māngse	Lawa (Kwê Yai)
glutinous rice	yāng māng	Lawa (Kwê Noi)
glutinous rice in bamboo	dɔŋ⁴bɔʔ¹	Gong (Uthai Thani)
gnat, scoop up paddy rice with both hands	wǔk	Gong (Suphanburi)
gnaw	glə̌ŋ	Gong (Suphanburi)
gnaw	gləŋ⁴ʔɔ⁵	Gong (Uthai Thani)
go	kɔ³ʔɔ⁵	Gong (Uthai Thani)
go	kɔ́	Gong (Suphanburi) - older generation
go	kɔ́ʔ	Gong (Suphanburi) - younger generation
go out	dɔʔ¹ʔɔ³	Gong (Uthai Thani)
go through, pierce, penetrate	bɔ̀	Gong (Suphanburi)
goat	pʰɛ̌ʔ	Gong (Suphanburi)
goiter	khɔ̌ŋ bǒ̩k 	Ugong
goitre	kʰɔŋ⁴bok¹	Gong (Uthai Thani)
gold	hǐŋ	Gong (Suphanburi)
gold	hǐŋ	Gong (Suphanburi) - older generation
gold	tʰɔŋ	Gong (Suphanburi) - younger generation
gold carp	ŋa²ʔa²bluŋ⁵	Gong (Uthai Thani)
Gong language	gɔ̌ŋ	Gong (Suphanburi)
good	dɨkdɛŋ	Gong (Suphanburi) - older generation
good	dɛŋʔɔ̀	Gong (Suphanburi) - younger generation
good, appropriate, pretty	dɨ̀aŋ	Gong (Suphanburi)
gorge, climb, ascend, coconut	kʰǒʔ	Gong (Suphanburi)
gourd	tʰɔŋ³kʰa²pi⁵	Gong (Uthai Thani)
grand father, value	pʰu¹	Gong (Uthai Thani)
grandchildren, nephew, niece, four, blow out water, to slip, to spit	pʰi	Gong (Suphanburi)
grandfather	pʰû	Gong (Suphanburi)
grandmother, ride, wash, year	cʰi	Gong (Suphanburi)
grasp	də̀k	Gong (Suphanburi)
grass	tʰɨaŋ	Gong (Suphanburi)
grass	ki²kɛʔ¹	Gong (Uthai Thani)
grass	ki³la⁵	Gong (Uthai Thani)
grass	kʰikɛ̌ʔ	Gong (Suphanburi) - older generation
grass	kikɛ́ʔ	Gong (Suphanburi) - younger generation
grass	kī la	Lawa (Kwê Yai)
grass snake	pɯŋ³cʰiŋ²	Gong (Uthai Thani)
grasshopper	nǎŋ	Gong (Suphanburi)
grasshopper	bɔʔ¹kʰɔŋ²	Gong (Uthai Thani)
great grandfather	pʰu³daŋ¹	Gong (Uthai Thani)
great grandmother	cʰɨ³daŋ¹	Gong (Uthai Thani)
green	cʰɨŋ cʰɨŋ ~ sɨŋ sɨŋ	Gong (Suphanburi) - older generation
green	sɨ̀ŋ sɨ́ŋ	Gong (Suphanburi) - younger generation
green, sky blue, raw	cʰiŋ⁴cʰiŋ¹	Gong (Uthai Thani)
grey, old colour	mok¹cʰa²lu³	Gong (Uthai Thani)
groan	kɯŋ⁴ʔɔ⁵	Gong (Uthai Thani)
ground	pi²tʰəŋ³	Gong (Uthai Thani)
ground	pa²tʰaŋ³	Gong (Uthai Thani)
ground	tʰu⁴cʰa³	Gong (Uthai Thani)
ground lizard	cʰa	Gong (Suphanburi)
ground lizard	cʰa³	Gong (Uthai Thani)
ground nut	ma²pʰuk¹ʔɛ¹	Gong (Uthai Thani)
ground wood pecker	kʰɔʔ¹loŋ¹	Gong (Uthai Thani)
grow, to eat	cʰu⁴ʔɔ⁵	Gong (Uthai Thani)
grub	pi²jɯk¹	Gong (Uthai Thani)
guava	pʰa¹laŋ⁴ʔɛ¹	Gong (Uthai Thani)
gum	ɲɨŋ³	Gong (Uthai Thani)
gum (of teeth)	ɲiŋ	Gong (Suphanburi)
gums	ɲɪ̂ŋ 	Ugong
gun	ji²jɛʔ¹	Gong (Uthai Thani)
hail	wíʔ ʔɛŋ	Gong (Suphanburi) - older generation
hail	wìʔ ʔɛ̂	Gong (Suphanburi) - younger generation
hail-stone	wɨ¹ʔɛ²	Gong (Uthai Thani)
hair	ku²cʰaŋ³	Gong (Uthai Thani)
hair	kùcʰǎŋ ~ kùsǎŋ	Gong (Suphanburi) - older generation
hair	kùsǎŋ	Gong (Suphanburi) - younger generation
hair below mouth	khukǒ̵̩ˌʔmọ̵́ŋ 	Ugong
hair of head (= 8.1.1)	khu sǎŋ (mé̩ŋ) 	Ugong
hair of porcupine	kɔ³mɯŋ²	Gong (Uthai Thani)
hair which grows on the body	mɯŋ¹	Gong (Uthai Thani)
half coconut shell	ku²lω¹	Gong (Uthai Thani)
hand	lɔʔ¹pʰɔ¹	Gong (Uthai Thani)
hand	láʔ pʰɔ	Gong (Suphanburi) - older generation
hand	láʔ pʰɔ	Gong (Suphanburi) - younger generation
hand	lɔ̌ʔ phɔ́ 	Ugong
hand	la paw	Lawa (Kwê Yai)
handle	cʰuŋ⁴	Gong (Uthai Thani)
hang	cʰe⁴dɛ³ʔɔ⁵	Gong (Uthai Thani)
hang, to snare with a loop	kaʔ¹ʔɔ³	Gong (Uthai Thani)
happy, delightful	kàŋ	Gong (Suphanburi)
hard feces	ʔé̩ŋkhlɔʔ / ʔé̩ŋ kalò̩ 	Ugong
harrow the field	ʔɛŋ	Gong (Suphanburi)
hat	kʰuduɔŋ	Gong (Suphanburi)
hat	ku²lɔŋ⁴	Gong (Uthai Thani)
hatchet	pu tā	Lawa (Kwê Yai)
hate	cʰaŋ	Gong (Suphanburi)
have	nìa	Gong (Suphanburi)
have asthma	hɔk	Gong (Suphanburi)
have, to live	ni²ʔɔ²	Gong (Uthai Thani)
hawk, lover	cʰu³	Gong (Uthai Thani)
he, she	nɔŋ mɔ̀ jɔ́	Gong (Suphanburi) - older generation
he, she	nɔ̀ŋ pʰɔ	Gong (Suphanburi) - younger generation
head	kàpʰɔ	Gong (Suphanburi)
head	ka²pʰɔ¹	Gong (Uthai Thani)
head	kʰùʔpʰɔ	Gong (Suphanburi) - older generation
head	kùpʰɔ	Gong (Suphanburi) - younger generation
head	khu phɔ́ 	Ugong
head	ū paw	Lawa (Kwê Yai)
head skin	ku²kəʔ¹	Gong (Uthai Thani)
heap (of fire)	puŋ³	Gong (Uthai Thani)
hear	kω³ʔɔ⁵	Gong (Uthai Thani)
hear	kʰǒʔɔ	Gong (Suphanburi) - older generation
hear	kʰǔɔ	Gong (Suphanburi) - younger generation
heart	kʰɔ⁴nak¹	Gong (Uthai Thani)
heart	kʰɔ̌ŋ nɨ́k	Gong (Suphanburi) - older generation
heart	hɔŋ kʰɔŋ	Gong (Suphanburi) - younger generation
heart	khɔ̌ŋ nɤ̩̌k 	Ugong
heavy	li⁴ʔɔ⁵	Gong (Uthai Thani)
heavy	duŋʔɔ	Gong (Suphanburi) - older generation
heavy	dùŋʔɔ̀	Gong (Suphanburi) - younger generation
heel / rear sole	phɔʔ thɤ̩́ŋ / lɔ̌ʔ thɤ̩́ŋ 	Ugong
hen	wωʔ¹ma²	Gong (Uthai Thani)
here	he³tʰɔ²	Gong (Uthai Thani)
here	tʰi tʰɔ	Gong (Suphanburi) - older generation
here	hi tʰɔ̂	Gong (Suphanburi) - younger generation
heron	tu⁴pʰlɔ⁵	Gong (Uthai Thani)
hiccup, fall	dək	Gong (Suphanburi)
hide	puʔ¹ʔɔ³	Gong (Uthai Thani)
hipbone	na/nɪ́ kha wú/ᴜ 	Ugong
hire	cɔŋ	Gong (Suphanburi)
hit	bà	Gong (Suphanburi) - older generation
hit	bà	Gong (Suphanburi) - younger generation
hoarse	hɛʔ¹ʔɔ³	Gong (Uthai Thani)
hold (the breath)	ni²jaŋ⁴ʔɔ⁵	Gong (Uthai Thani)
hole	kɔŋ	Gong (Suphanburi)
hole	kɔŋ⁴	Gong (Uthai Thani)
hole for dropping the paddy rice grain	kʰuk tʰǔŋ	Gong (Suphanburi)
hook, hitch	kʰwêŋ	Gong (Suphanburi)
horn	kʰω³	Gong (Uthai Thani)
horn	kʰu	Gong (Suphanburi) - older generation
horn	kʰu	Gong (Suphanburi) - younger generation
horn, teacher, egg	kʰu	Gong (Suphanburi)
horse	ʔu²gɔŋ¹	Gong (Uthai Thani)
horse	kāng	Lawa (Kwê Yai)
horse fly, blood sucker	mɔ̌ʔ	Gong (Suphanburi)
horse, to roast	gɔŋ	Gong (Suphanburi)
horse-fly	mɔʔ¹	Gong (Uthai Thani)
hot	dòŋ	Gong (Suphanburi)
hot	ʔacʰɔʔ ~ ʔasɔ́ʔ	Gong (Suphanburi) - older generation
hot	sɔ́ʔ	Gong (Suphanburi) - younger generation
hot (chili), numb	cèŋ	Gong (Suphanburi)
hot water	ti³luŋ²	Gong (Uthai Thani)
hot, to burn, to hold close to a fire, to bark	luŋ²ʔɔ²	Gong (Uthai Thani)
house	jɨ̌ŋ	Gong (Suphanburi)
house	jiŋ³	Gong (Uthai Thani)
house	jɨ̌ŋ	Gong (Suphanburi) - older generation
house	jɨ̌ŋ	Gong (Suphanburi) - younger generation
house	yûng	Lawa (Kwê Yai)
house rat	pʰidɔʔ wuk	Gong (Suphanburi)
housepost	pə²cʰiŋ³	Gong (Uthai Thani)
howl	luŋ³cʰɛi³ʔɔ³	Gong (Uthai Thani)
hunt	bɨk jɛ̀ʔʔɔ	Gong (Suphanburi) - older generation
hurry, hastily	ləŋ³ʔɔ³	Gong (Uthai Thani)
hurt, ill, sick, painful	nà	Gong (Suphanburi)
husband	mloŋ³	Gong (Uthai Thani)
husband	mǔŋ	Gong (Suphanburi) - older generation
husband	mʊ̌ŋ	Gong (Suphanburi) - younger generation
husband	mawng	Lawa (Kwê Yai)
husked rice	sē	Lawa (Kwê Yai)
husked rice	sē	Lawa (Kwê Noi)
hut	kɯ³	Gong (Uthai Thani)
hut in the field	cʰǔŋ pɛ̀ʔ	Gong (Suphanburi)
hyena	pω³	Gong (Uthai Thani)
