Gloss	Idu	Taraon	Milang	Koro	Proto-Siangic	Proto-Tani
smallpox	broŋ	bro-roŋ	ta-bum			*bum
smell	nu	nɨŋ	nam			*nam
smoke	khɨu	ma-khɨu	mɨ-kkɨ			*mə-kɨ
snake	ja-bu	ta-bu	da-bɨ	gɨ-bu		*bɨ
snow	a-pru	ta-prɨ	ta-pɨm			*pam
son	a	aː	oo-ru			*ɦo (child)
son/child/DIM	a	a	uu			*ɦo
stand	de	deŋ	dak	da		*dak
stone	a-laŋ	ph-laŋ	dabu			*lɨŋ
sun	rɨŋ, rɨn	rɨn	mə-ruŋ	me-ne	*mə	*doŋ-ɲi
swallow	a-b(r)i	blai	bɨt			*met
sweat	ti-ɕi	xau	kal-si			*il
swell	proŋ	plɨŋ	paŋ			*bɨŋ
swidden	pa-ku	pla	a-pu			pjo- (Apatani)
tail	i-mina	lɨ-mɨn	ta-mi			*mjo ~ me
ten	hoŋ-ɦoŋ	xa-lɨŋ	haŋ-tak	fã-lã	*faŋ	*cam, *(r)jiŋ
thread	ɲa	nja	a-ɲu			*no
three	ka-soŋ	ka-sɨŋ	ham			*ɦum
today	e tia-ɲi	a tia-n̥n	ɨ-nə	se-ne	*V-ne	*si-lo
tongue		thɨ-li	ci-dal			
tree	ma-seŋ	ma-sɨŋ	haŋ-ɲi			*siŋ, sik
two	ka-ni	ka-n	nə, nɛ	ki-ne		*ɲi
uncle (maternal)	na-ku	a-kau	a-kɨ			*kɨ
urine	tʰe-ci	kɨ-tɕɨŋ	a-tə	tu-su(ŋ)		*ɕum *ɕi
vagina	cek	a(ː)-teb	a-cci			*a-tɨ(ɨ)
warm (fire)	loŋ	lɨŋ	a-lam			*gu ~ gju
water	matɕi	ma tɕi	asi			*si
weave	tiɨ	tiɨ-tio, ta-tiɨ	cim			*čum
whirlpool		səə	həə-po			
white	lio	lio	je-cci	lap(l)õ	*ljo	*pun, *puŋ
winter	ka-pe-cã	ka-pɨ	na-pɨm			dɨgɨn
woman	mi-juŋ	me-ja	ma-mi	mi-mi		*mi-mə
woman	ma-so	mi-ja	ma-sɛ	mɨ-siŋ		*mi-fVŋ
wood	ma-seŋ	ma-sɨŋ	haŋ-sa			*sɨŋ
year	i-nu	kɨ-nɨŋ	ɨnaŋ			*ɲiŋ
yesterday	bɨ-ɲi	bɨ-liɨŋ	ba-nə	ba-ne	*ba-nə	*mə-lo
you (2sg)	ɲo	ɲoŋ	ɲa, ɲi	nu		*no
