Language	Village	Circle HQ	District
Hruso Aka	Jamiri	Rupa	West Kameng
Miji	Dibin	Nafra	West Kameng
Miji	Rurang	Nafra	West Kameng
Miji	Bisai	Lada	East Kameng
Miji	Nabolang	Lada	East Kameng
Miji	Nafra	Nafra	West Kameng
