#	Gloss	Chugpa (Duhumbi)	Lishpa (Khispi)	Sherdukpen (Rupa)	Sherdukpen (Shergaon)	Sartang (Rahung)	Sartang (Khoitam)	Sartang (Jerigaon)	Sartang (Khoina)	Bugun (Dikhyang)	Bugun (Singchung)	Bugun (Wangho)	Bugun (Bichom)	Bugun (Kaspi)	Bugun (Namphri)	Puroik (Bulu)	Puroik (Kojo Rojo)	Puroik (Rawa)	Puroik (Saria)	Puroik (Chayangtajo)	Puroik (Lasumpatte)	Puroik (ZMYYC 1991)	Puroik (Li Daqin 2004)
89	dry	waʔar	ʔɔwal	ʔɔʔɔ̃ː	ʔɔʔɔ̃ː	ʔɔʔɔ̃ː	ʔyk̚ʔãː	ʔyk̚ʔãː	ʔɔʔɔ̃ː	əkou ~ əkau	egaᵘ	ekaᵘ	egaᵘ	goᵘ	nəgou	awɛN	awan	awan	awaiʔ	awaiʔ	awaiʔ	a³³vəʴʈ³³	a³¹vaʳᵗ⁵⁵
23	ear	kʰu-tʰuŋ	kʰu-tʰuŋ	gə-tʰyŋ	kʰə-tʰuŋ-lap	kʰ-tʰyŋ	kʰ-tʰyŋ	kʰ-tʰyŋ-lɛ	ga-tʰyŋ	kʰɔ̃	kʰõ	kʰõ	kʰõ	kʰõ	kʰõ	akuiN	akun	kot	kuiʔ	(a)kuiʔ	(a)kuiʔ	a³³kuʈ³³	mɯ³¹kui⁵³
24	eat	ʨʰa	ʨʰa	ʦʰu	ʨʰu	ʨʰu	ʨʰu	ʨʰu	ʦʰu	ʦiə	ʧəmut	ʧəmut	ʧəmut	ʧəmut	ʧəmut	ʧiː	ʧiː	ʧiː	ʧiː	ʧiː	ʧiː	ʨih⁵³	ʨih⁵³
25	egg	hɔj-ʥɔŋ	ʔɔ-gɔŋ	ʔa-juŋ	kʰlɔm	ʔa-juŋ	ʔa-juŋ	ʔa-juŋ	ʔa-juŋ	əriː	kʰere	kʰere	eri	kʰere	kʰere	awuN	aliː	tju-li	məriː	məriː	məriː	mə³³ri³³	mɯ³¹ɬi⁵⁵
26	eye	kʰu-m	kʰu-mɔː	kʰa-by ~ kʰə-by	kʰi-biː	kʰam-by ~ kʰa-by	kʰa-by	kʰa-by	ga-by	miɛk ~ mjɛk	mijak	mijak	mijak	mije	mijak	akəm	akəm	kəp	kəʔ	(a)kək	(a)kək	kək³³	a³¹gɯᵏ⁵⁵
28	far	tʰaːuɹiŋ	tʰaːuliŋ	ʔa-ʨʰɔ̃ː	ʔa-ʨʰɔ̃ː	ʔa-ʨʰɔ̃ː	ʔa-ʨʰɔ̃ː	ʔa-ʨʰãː	ʔa-ʨʰɔ̃ː	rɛʔɛ ruaŋ	rᵘaŋ	ruwaŋ	rᵘaŋ	rᵘaŋ	rᵘaŋ	aʧoi	aʧai	aʧai	kjeː	aʧjeː	aʧjeː	a³³ciɛ³³	a³¹cie⁵⁵
4	fat	ʔɔ-jɔw	ʔɔ-ju ~ u-ju	ʔa-jɔː ~ ʔa-jɔw	ʔa-jɔː	ʔa-jɔw	ʔa-jɔː ~ ʔa-jɔw	ʔa-jɔː	ʔa-jɔː	əjou	eju	eju	eju	ejo	ejo	aʒɔː	azjaː	azjaː	azua	azua	aʤua	a³³ʑua¹¹	mɯ³¹ʑua⁵⁵
11	fingernail	hut-ʦun ~ hut-ʦum	hut-ʨʰin ~ hut-ʦin	ʔikʦiŋ ~ ʔikʦĩŋ	ʔik’kjiŋ ~ ʔik̚ʨiŋ	ʔik̚-ʨiŋ	ʔik̚-ʦiŋ	ʔik̚-ʨʰiŋ	ʔik̚-ʦiŋ	bəsɛn	bəsen	pəʧijat	bəsen	pə̌sen	pəʃen	ageʔ gəsɨn	geiʃin	gəsin	geisiŋ	geisiʔ	geisiʔ	geʈ³³ɕit³³	giᵗ³³ɕiᵗ⁵³
29	fire	bɛj	bej	ba	ba	bɛ	bɛ	bɛ	ba	boːɛ	boᵉ	boᵉ	boᵉ	baⁱ	boᵉ	bɛː	bai	bai	bɛː	bae	bɛː	bæ³³	bæ⁵⁵
30	fish	ŋa	ŋa	ɲu ~ ɲuŋ	ɲu	nu ~ nuŋ	nu ~ nuŋ	nu	nu	ũə	ūa	ūa	uŋa	ūa	uŋə̄	ʧui	ʧui	ʧuei	ɲoː	kahuaŋ	kahuaŋ	ka³³fuaŋ⁵³	ka³³fuaŋ⁵³
31	flesh/meat	ɕa	ɕa	su	su	su	su	su	ʂu	eːɕau ~ əɕau	epije	epije	ebije	məbi	ebei	ʃiː	mai	mai	məreʔ	mərjeʔ	mərjeʔ	mə³³ri³³	mɯ³¹ɬiᵏ⁵⁵
32	to fly	ɕɛɹ	ɕɛl	ʦʰan ~ ʨʰan	ʨʰan	ʨʰɛm	ʨʰan	ʨʰɛn	ʦʰɛn	məʦo	kʰemage	kʰeⁱ	kʰeⁱ	kʰeŋpʰa	kʰeⁱpʰa	kiː	kɹei	kei	piʔ	pjeʔ	pjiʔ	pie³³	pie⁵⁵
95	full	pɕiŋ-ba	pɕiŋ-ba ~ ɕiŋ-ba	pʰiŋ-ba	pʰiŋ-ba	ʔa-pʰiŋ	ʔa-pʰiŋ	ʔa-pʰiŋ	ʔa-pʰiŋ	əlijeː	lija	elija	leⁱ	leⁱ	eleⁱ	ljɛː	jei	ljɛi	lɛː	ljɛː	ljɛː	liɛ³³	lian³³
33	to give	ɕi	ɕi	ʨʰi ~ ʣi	kʰji	ʨʰi	ʨʰi	ʨʰi	ʦʰi	pʰy ~ pʰi	pʰimage	pʰi	pʰipʰa	pʰipʰa	pʰi	taN	taŋ	taʔ	taŋ	taŋ	taŋ	taŋ³³	taŋ⁵⁵
34	to go	wa	wa	rɔ	ro	rɔ	rɔ	rɔ	rɔ	wuə	lua	vəwa	tʰevəə	dun	vəopʰa	vuː	wuː	woː	uː	uː	uː	u³³	wu⁵⁵
35	good	ʔɔ-ʥɔp̚	nakpa ~ nakma	ʔa-gjap ~ ʔa-ʥap	ʔa-ʥap	ʔa-ʥap	ʔa-ʥap	ʔa-ʥɛ	ʔa-d͡ʐa	əviə	avije	avije	avije	avije	avije	amjɛː	anjam	anjam	ajɨː	anjaŋ	anjaŋ	a³³niaŋ¹¹	a³¹ɲiaŋ⁵⁵
36	hair on head	kʰu-ɕaŋ ~ kʰu-zjaŋ	kʰu-ɕaŋ	gə-zaŋ	gə-zaŋ	gə-zaŋ	gə-zaŋ	gə-zaŋ	gə-ʐaŋ	kʰazijɔŋ	kʰazijaŋ	kʰazijaᵘ	kʰazijaŋ	kʰazijaŋ	kʰazijaŋ	kə-zaN	kə-zjaŋ	kə-zjaʔ	kə-zaʔ	kə-zak	kəʤaʔ	kə³³ʑak³³	kau³¹ʑiaᵏ⁵⁵
37	hard	kaktar	kaktal	ʔa-ʦu ~ ʔa-ʨu	ʔa-ʨu	ʔa-ʨu	ʔa-ʨu	ʔa-ʨu	ʔa-xɔ̃ŋ ~ ʔa-xãŋ	əkɔŋ	-	-	-	-	-	aʃɔN	ahɹan	-	gaː	akaː	akaː	a³³siet³³	a³¹ga⁵⁵
87	head	kʰɔ-lɔk̚	kʰɔ-lɔk̚	kʰ-ruk̚	kʰ-ruk̚	kʰ-ruk̚	kʰ-ruk̚	kʰ-ruk̚	mətʰɛ̃n	kʰruk	kʰɾuk	kijatuŋ	kʰɾuk	kʰɾuk	kʰɾuk	akuŋ	akuŋbəː	koʔ-bəu	akoʔ	akok	akok	ko⁵³	a³¹kau⁵³
39	to hear	ʥas	kʰa la	jɔ	jo	jɔ̃	jɔ̃	jɔ̃	jɔ̃	jɔi	nuvamage	nūa	joⁱpʰa	nuapʰa	joⁱ	nɨŋ	nuŋ	noŋ	roŋ	roŋ	roŋ	ɣɔŋ (!)	ɣaŋ⁵⁵
40	heavy	u-li	u-li	ʔa-liː	ʔa-liː	ʔa-liː	ʔa-liː	ʔa-liː	ʔa-liː	ə-lai	laⁱ	elaⁱ	laⁱ	laⁱ	elaⁱ	a-lɨː	a-lei	a-lei	a-lei	a-lei	a-lei	a³³lei³³	a³¹lei⁵⁵
41	to hide	uk	uk	uk	uk	uk	uk	uk	uk	uk	-	-	-	-	-	uʔ	ɨʔ	əə	rjaŋ-əː	rou-gəə	rou-gəə	ɣɯ³³ɣə⁵³	ʣa³³ɣə⁵³doŋ⁵⁵ɣə⁵³
42	to kill	ʔat	ʔat	ʔɔ	ʔo	ʔɔ	ʔɔ	ʔɔ	ʔɔ	uːə	wamage	ua	uapʰa	uapʰa	ua	wɛʔ	aiʔ	at	aiʔ	aiʔ	aiʔ	waʴt³³	waʳᵗ⁵⁵
43	horn	kʰjaŋ	kʰɛŋ	kʰɛŋ	kʰɛŋ	ʨʰɛŋ	ʨʰɛŋ	ʨʰɛŋ	ʈ͡ʂʰajŋ	əriɔŋ	erijaŋ	erijok	erijaŋ	erijaŋ	erijaŋ	akjɛN	akɹan	akɹɛt	akuaŋ	kowaŋ	kowaŋ	a³³kəvuaŋ³³	a³¹vaŋ⁵³
44	house	wam	wam	jam	jam	jam	jam	jan ~ jɛn	jan	hõ	hõ	hõ	hõ	hõ	hõ	ham	ham	ham	haʔ	ʧuʔ	ʧuʔ	ʨok³³	ʨauᵏ⁵³
46	in	naŋ	naŋ	ʔa-lyŋ	ʔa-luŋ	ʔa-lyŋ	ʔa-lyŋ	ʔa-lyŋ	ʔa-lyŋ	pʨʰau	-	-	-	-	-	alɨŋ	aloŋ	-	araŋ	aɹaŋ	aŋɹaŋ	a³³ɹaŋ⁵³	a³¹raŋ⁵³
47	knee	kɔːlɔkpa	kɔːlɔkpa	lə-pʰyk	kʰlɔkpuː	la-pʰik̚ kʰɔm	lə-pʰik̚ kʰɔm	la-pʰyk̚ kriː	ja-pʰyk kraː	laːgjuŋ	ləspau	lakijuŋ	ləspau	lagijoŋ	lagijoŋ	alɛː kəpeiʔ	laikapɹei	laikərəʔ	lɛːkuŋ	kapɹei	kapei	-	mə³¹lai⁵⁵kə³¹pei⁵³
48	to know	dɛn	dɛn	dan	dan	dɛn	dɛn	dɛn	dɛn	ĩt	tʰekmage	īt	tʰejakpa	itpʰat	itpʰa	dɛN	dan	dat	daiʔ	daiʔ	daiʔ	daʈ³³	daᵗ⁵⁵
49	to laugh	ʑɛj	ʑej	zaː	zaː	zɛː	zɛː	zɛː	ʐaː	sjɔk	ʧijo	ʧijo	ʃijaʔ	seʔ	ʃeʔpʰa	zɛː	zjei	zei	zɛː	ruɛ	ruɛ	ɣuɛ³³	ɣue⁵⁵
50	leaf	u-lap̚	u-lap	ʔa-lap	ʔa-lap	ʔa-rap	ʔa-rap	ʔa-lɛ	ʔa-laʔ	ərap	erap	rap	rap	rap	rap	aləp	hɨ̃-jəm	hɨŋ-ləp	aləʔ	aləʔ	aləʔ	heʴn³³lɯk³³	a³¹lɯᵏ⁵³
51	leg/foot	lɛj	lej	la	la	lɛ	lɛ	lɛ	la	loːɛ ~ loɛ	loᵉ	luᵉ	luᵉ	laⁱ	laⁱ	alɛː	lai	lai	lai	(a)lɛː	(a)lɛː	læ³³	a³¹ʦæ⁵³
52	liver	ɕa taŋku	ɕap-ɕin	ʔa-ʦʰɛ̃ː	ʔa-ʦʰeː ~ ʔa-ʨʰĩː	ʔa-ʨʰĩː	s-sĩː ~ sə-sĩː ~ ʦ-sĩː ~ ʦə-sĩː	sɛ̃j ~ sɛ̃ĩ	də-ʨɛ̃ː	ʔəpʰin	-	-	-	-	-	apjin	apin	apjet	apiʔ	apjiʔ	apjiʔ	a³³pie⁵³	a³¹pie⁵³
53	long	u-riŋ	u-liŋ	ʔa-rɛŋ	ʔa-rɛŋ	ʔa-rɛŋ	ʔa-rɛŋ	ʔa-rɛŋ	ʔa-rɛŋ	əpʰjaŋ	pʰijaŋ	epʰijam	pʰijaŋ	pʰijaŋ	epʰijam	apjaN	apɹaŋ	apɹaŋ	pɹaŋ	apɹaŋ	apɹaŋ	a³³pɹaŋ⁵³	a³¹pɹaŋ⁵⁵
54	louse	hjek̚	hɛk̚	hɛk	hɛk	hɛk	hɛk	hɛ	xɛk	-	-	-	-	-	-	ʃiʔ	hɹɛ	hɛː	prɛː	pɹɛː	pɹɛː	pə³³ɣæ⁵³	pɯ³¹ɣai⁵³
60	moon	nam-ba	nam-ba	nam-blu	nam-blu	nam-bru	nam-blu	nam-blu	nam-blu	haːbieː ~ haːpieː	habije	habije	habije	habije	habije	hambɔː	habu	hanua	aŋbo	amboː	amboː	aŋ³³bo³³	aŋ³³bo⁵⁵
