No.	Gloss	Proto-Western Tibetan	Proto-Western Tibetan (notes)	Western Balti	Eastern Balti	Purik	Ladakhi	Page no.
88	egg	*trul	(R13b)	bjapʒun	bjapʒun	trul / ʈhul (B)	ʈhul	69
89	cow	*ba		ba	ba	ba	paʃi (H)	69
91	milk	*oma	(R24)	oŋa	oŋa	ordʒen	oma	69
92	horns	*rwadʒo		rwa	rwa	ridʒo	rudʒo	69
93	tail	*ʃŋama	(R18)	ʒindo	sɲama	ʃŋama	sŋama	69
94	goat	*ra-		rabak	ra	rama	rama	69
95	dog	*kʰi		kʰi	kʰi	kʰi	kʰi	69
96	snake	*zbrul	(R5)	gbul	rbul	zbrul	zrul	69
97	monkey			ʃedi	ʃedi	ʃaɖi	manu	70
98	mosquito	*dzaŋgi (?)		tsaŋki	dzaŋgi	dzaŋgi (K)	zaŋgi	70
99	ant	*kremʔok	(R13)	tʂimok	kimbok	krimok (K)	temok	70
100	spider	*tʰakskan	(R34)	taxskan	takskan	tʰakskan	tʰaksrabu	70
101	name	*miŋtaks	(R34, R35, R9)	miŋtax	miŋtax	miŋtaks (R)	miŋ	70
102	man; person	*mi		mi	mi	mi	mi	70
103	woman			bustriŋ	brustiŋ	ane	pomo	70
104	child; boy	*pʰru	(R21, R13)	pʰlu	pʰlu	tʰru	tʰigu	70
105	father	*ata		ata	ata	ata	aba	70
106	mother	*ama	(R24)	aŋo	aŋa	ama	ama	70
107	older brother	*kaka / *atʃo		kaka	kaka	kaka	atʃo	70
108	younger brother	*?-no		pʰono	nono	nono (K)	no	70
109	older sister	*atʃʰe (?)		aʃe	aʃe	atʃʰe	atʃe	70
110	younger sister	*nomo	(R24)	striŋmo	noŋo	nomo	nomo	70
111	son, boy	*bu	(R28)	bu	bu	butsa	putsa	70
112	daughter, girl	*bomo	(R28, R24)	boŋo	boŋo	bomo	pomo	70
113	husband	*CaxpV	(R33)	daxpo	daxpo	makpa	makpa	70
114	wife	*nama	(R24)	naŋa	zanzus	nama (R)	nama	70
117	day	*ʒak		ʒak	ʒak	ʒak	ʒak	70
118	night	*tsʰan		tsʰan	tsʰan	tsʰan	tsʰan	70
119	morning	*sŋamo / *gjoxpa		gjoxpa	gjoxpa	sŋamo (B)	sŋamo	70
120	noon			trobar	trobar	totʃu	dzara	70
121	evening	*pʰiro / *pʰitok		pʰiro	pʰiro	pʰitok	pʰitok	70
122	yesterday	*gonde		gonde	gonde	gonde	daŋ	70
123	today	*diriŋ		diriŋ	diriŋ	diriŋ	diriŋ	70
