adj.	adjective
adv.	adverb
art.	article
clfr.	classifier root
conj.	conjunction
cop.	copula
dem.	demonstrative
int.	interjection
mod.	modal verb
n.	common noun
n:kin.	kinship term
npr.	noun phrase
n:qual.	qualifying noun
name.	proper name
num.	numeral
pcl.	particle
pder.	predicate derivation
pder nzr.	nominalising predicate derivation
pos.	postposition
pro.	pronoun
pros.	pronominal suffix
pro.int.	interrogative pronoun
v.	verb root
vpr.	verbal phrase
vpinfl.	predicate inflection
