No.	English gloss	Chinese gloss	Proto-Lalo	Lalo, Central-Western (Qingyun)	Lalo, Western (Shanglizhuo)	Lalo, Eastern (Diaocao)	Xuzhang	Mangdi	Eka	Yangliu
868	sad	忧愁	*ko̠ᶫʃa̠ᶫ	dʑɛ̠³³ma²¹dɛ̠²¹	kv̩⁴⁴ʂa⁵³	bi²⁴tɕʰi³³	ku⁴⁴a²¹nu⁴⁵³	tsa⁵⁵sɑ²¹	dɨ³³so̠²¹	kʰɨ⁵³
869	ashamed	惭愧/害羞	*ʃe̠ᶫtaŋ¹	ɕɛ̠²¹tu⁵⁵	ɕi⁵⁵tu³³	ɕi⁴²ta⁵⁵	ɕi³³ta³³	ɕɛ̠²¹ta⁵⁵	ɕi̠²¹ta²⁴	sai⁵⁵tu³³
870	itchy	痒	*dzi̠ᴴ	dzɿ̠³³	dzɿ⁴⁴	jou²¹	ɲi²¹	dʑi̠³³	dʑi³³	za²¹
871	sick	病(生病)	*na¹	na⁵⁵	na²⁴	nɔ²⁴	no²⁴	no⁵⁵	no²⁴	na³³
872	intelligent	聪明	*ʔlu¹	ŋ̩²¹ŋə̠²¹ʔlə̠³³	lv̩²⁴	li⁵⁵	ka²¹ʂʅ²¹	la⁵⁵mɨ⁵⁵	na²¹sɿ³³	miao⁵³
873	proud	骄傲		tɕiao³³ao⁵⁵	ŋa³⁵ʐu²¹	ɕa³³mu²⁴		wo²¹ta²¹sɿ⁵⁵	jɛ²¹mu²⁴	ao⁵³
874	stupid	愚蠢	*mɨ¹	mʉ⁵⁵	mɨ²⁴	ɛ⁵⁵tu⁵⁵	zo²¹mɤ̪˞⁴⁵³	ŋə²¹mɨ⁵⁵	ka²⁴ŋə³³	ɛ˞⁵³
875	crazy	疯狂	*tʰɛ³	tʰɛ³³,fɛ²¹	tʰˣɛ³³	tʰɛ³³	tʰɛ˞³³	tʰɛ³³	voŋ²⁴la⁵⁵ko³³	tʰɛ˞³³
876	diligent	勤(勤奋)	*ʃa²dɛ̠ᶫ	n̩⁵⁵dɛ̠²¹	ʂa²¹dɛ⁵³	lɤ̪³³dei⁴²	mɤ̪˞²⁴dɛi³³	ka̠²¹	dʑɛ²¹kʰɛ²⁴	məŋ⁵³
877	busy	忙		tɕin²¹	tɕĩn²¹	tɕiu²¹	kə³³dʑi³³ɕi²¹	ma²¹	kĩ²⁴	maŋ²⁴
878	capable	能干(的)		pʰa̠²¹	ʂa²¹dɛ⁵³	ja⁵⁵xə²¹	mɤ̪˞²⁴da²¹	pɛ⁵⁵kʰɛ⁵⁵	dʑɛ²¹du³³	ta⁵⁵la³³
879	lazy	懒	*ʃa²ma²dɛ̠ᶫ	ʂa̠²¹ma̠²¹dɛ̠²¹	ʂa²¹ma²¹dɛ⁵³	bɛ³³jɔ³³	mɤ̪˞²⁴ma²¹dɛi³³	ba⁵⁵	ba²⁴	bɛ˞³³za²¹
880	rich (a)	富	*baŋ³	bu³³				ba³³	ba³³	
880	rich (b)	富	*dʒaŋ¹		dʐu²⁴tsa²¹	dza²⁴	dʐa²⁴			dzu³³
881	poor	穷	*ʃa̠ᶫ	ʂa̠²¹	ʂa⁵³	su⁴²	ʂo⁴²	sɑ̠²¹	naŋ²⁴	sai⁵⁵i³³
882	alive (a)	活着	*ka²				xo³³kʰɨ³³la³³		ko⁵⁵a³³ko³³	
882	alive (b)	活着	*zɛ¹dʒɛ²	zɛ⁵⁵dʑɛ̤²¹	zɛ²⁴	dza²⁴		tsa⁵⁵la²¹		zɛ˞³³
883	brave	勇敢		pʉ̤²¹		xə²¹ɕiu³³	pi⁵⁵pɨ²¹	mɔ³³jɛ²¹	ni̠³³mo³³jɛ²¹	tan²¹tsɿ³³ɣɛ˞²¹
884	drunk	醉	*ʒe̠ᶫ	jɛ̠²¹	ʝi⁵³	ʝi⁴²	ʝi̠³³		dʑi²⁴bu³³	zai⁵³
885	backwards	落后		di³³xo³³	e²¹zɿ²⁴	kɔ²¹ta³³	ɣɛ˞²⁴tɛ˞³³	vɛ⁵⁵di³³	su²⁴dɨʲ⁵³	ŋa³³ni²¹
886	different	不同	*ma²sy²	ma²¹sy²¹	ma²¹ɕy²¹	ma²¹sə²¹	a²¹sy²¹	ma²¹sə²¹	ma³³sə²¹	m̩²¹sə²¹
887	same	一样(相同)	*sy²	sy²¹	ɕy²¹	sə²¹	sy²¹	sə²¹	sə²¹	sə²¹, a²¹ja⁵³
888	sticky (a)	粘	*pɛ³	pɛ³³na̠²¹	pu³³	nia⁴²				
888	sticky (b)	粘	*ɲa̠ᶫ	pɛ³³na̠²¹			ɲa³³	ɑ̠²¹	na̠²¹	ɲa²¹
889	slick	(光)滑	*maŋ³	mu³³	mu³³	sua³³	mɛi²⁴	mɑ³³	ji³³	hua³³liu³³
890	tight	紧(绑的紧)	*kʰɨ̠ᴴ	kʰɨ̠³³	tɕĩ²¹	tʃə²¹	kʰɨ³³	tʰa²¹, tʰaŋ²⁴	a²¹kĩŋ⁵³	tɕin²¹
