No.	English gloss	Chinese gloss	Proto-Lalo	Lalo, Central-Western (Qingyun)	Lalo, Western (Shanglizhuo)	Lalo, Eastern (Diaocao)	Xuzhang	Mangdi	Eka	Yangliu
971	upon	上面	*ka̠ᶫ	ka̠²¹si⁵⁵	kv̩²¹se⁴⁴, ka⁵⁵se⁴⁴	tʰei⁴²sə⁵⁵	ka³³si³³	ka̠²¹xɨ⁵⁵, kæ²¹kɨ⁵⁵	ɛ³³tɛ²⁴	õ³³lai²¹
972	beneath	下面		ṳ²¹si⁵⁵,da⁵⁵kʰə³³	u⁵⁵se⁴⁴	tɕʰi⁵⁵kʰə³³	da²⁴kʰɤ̪˞³³	tɨ²¹xɨ⁵⁵	ɛ²¹dai²⁴	ta³³lai²¹
973	inside	里面	*kʰjo²	kʰø̤²¹si⁵⁵	kʰo²¹se⁴⁴	kʰə²¹pʰia²¹	kʰu²¹si⁴⁵³	jɛ²¹na̠³³	ɛ²¹nao⁵³	kʰɨ²¹hei³³
974	outside	外面		i⁵⁵si⁵⁵	i⁴⁴se⁴⁴	wa³³sə⁵⁵	xa⁵⁵tɕʰi⁵⁵	nə⁵⁵sə⁵⁵	ɛ²¹wɛ²⁴	wai⁵⁵ĩ³³
975	everywhere	到处		a²¹di⁵⁵li⁵⁵	hã²⁴dʐu²⁴	xa⁵⁵i³³kɛ²⁴	a³³va³³lo²¹va³³	tɕʰi²¹di⁵⁵sɛ³³	a²¹ka²⁴ŋa⁵⁵ŋo³³	tao³³tsʰu³³
976	who?	谁?	*a²sa²	a̤²¹sa̤²¹	a²¹sa²¹	a²¹sa²¹	a²¹so²¹	a²¹so²¹	a²⁴tʰaŋ²¹lɛ³³	a²¹sa²¹
977	what?	什么?	*a¹tsa¹	a⁵⁵tsa⁵⁵	a⁴⁴tsa⁴⁴	a⁵⁵tsa⁵⁵	a⁴⁴tso⁴⁴	a⁵⁵tsa⁵⁵	tʰa⁵⁵la⁵⁵	a³³tsa⁵³
978	where?	哪里?	*a²di¹	a̤²¹di⁵⁵	a²¹di²⁴	a²¹ka⁵⁵	a²⁴ka⁴⁴	a²¹ta²¹ka⁵⁵, a²¹lɛ²¹ka⁵⁵	a²¹ka²⁴	a²¹di⁵⁵hei³³
979	why?	为什么?	*a¹tsa¹pe¹	a⁵⁵tsa⁵⁵ŋ̩²¹ka³³	a⁴⁴tsa⁴⁴pa³³	a⁵⁵tsa⁵⁵bɔ²⁴	a²¹dɛ˞²⁴kʰɛ˞³³	a⁵⁵tsa⁵⁵pɛ⁵⁵	tʰa⁵⁵pi³³	a²¹di⁵⁵bə²¹
980	which (one)?	哪(一个)?	*a²da¹	a̤²¹da⁵⁵	a²¹da²⁴	a²⁴ji³³pʰei⁵⁵	a²¹dɛ˞²⁴ʐu³³	a̤²¹da⁵⁵ji³³	a²¹do²⁴	a²¹di⁵⁵ə³³
981	how?	怎么?		a̤²¹da⁵⁵si³³,a̤²¹sɿ⁵⁵	ɛ̃²¹hẽ²⁴	a²¹sei³³	a²¹dɛ˞²⁴	a²¹dɛ⁵⁵pɛ⁵⁵	a²¹da²⁴	a²¹kʰə²¹lə³³
982	how much?	多少?	*a¹ma³	a̤²¹da⁵⁵ma³³sɿ²¹	a⁴⁴ma³³sɿ²¹	a²¹mɔ³³sei²¹	a³³mo³³sɿ²¹	a²¹di³³mo³³	a²¹do²⁴tsʰu²¹mu³³	kʰa³³ma³³
983	now	现在	*tʃu¹tʰa¹	tʂʅ⁵⁵pʉ⁵⁵	tʂʅ⁵⁵tʰa⁴⁴	tsɿ⁵⁵kə³³	tʂʅ³³ʂʅ²¹	a²¹mɛ³³sɛ⁵⁵	tsʰa³³mo³³	a⁵⁵tɕʰi³³
984	just now	刚才	*a²ʃu³	a̤²¹su³³	a²¹ʂu²⁴	a⁵⁵sa²⁴kə³³		a²¹xɛ⁵⁵	ɛ²¹sa³³	n̩⁵⁵tɕʰi³³
985	before (sequential)	先(先去)		vv̩⁵⁵dʑi⁵⁵	ʝi²⁴n̩²¹dzɿ²⁴	ɣə²¹sə⁵⁵	dzɿ²⁴	və⁵⁵sɿ²¹	sa⁵⁵pə²¹	ka³³m̩³³
986	after	后(后去)			ɣɛ²⁴tv̩³³	kɔ²¹ta³³	ɣɛ˞²⁴dɛ˞³³	vɛ⁵⁵di³³	ka⁵⁵du³³	ŋa³³ni²¹
987	before (temporal)	以前		ʔɲi̤²¹di̤²¹	weĩ⁴⁴	a²¹nei³³sɿ³³nei³³	wu²¹ɕi⁵⁵	tɕʰi²¹də⁵⁵sɛ³³	a²¹nɨ³³sɿ⁵⁵nɨ³³	nei⁵⁵ni³³kʰo³³
988	formerly	从前			a²¹ni³³ɕĩ³³		a²¹nɛi³³ʂʅ³³nɛi³³	dza²¹ko³³lɑ⁵⁵	ni⁵⁵tʰa²⁴	a²¹i⁵⁵sɿ⁵⁵i⁵³
989	already	已经		xa⁵⁵	hã²⁴	ku⁴²ja³³	xuɛi²¹	ka³³la³³	no²¹	ji²¹tɕĩ³³
990	immediately	立刻		la⁴⁵lou²¹	nai²¹dʑy³³	ji²⁴tʃɤ̪²¹	ɕi³³	tɕʰi³³tʰa³³	la⁵⁵bɛ²¹	a⁵⁵tɕʰi³³
991	frequently	常常(常常来)	*bɨ¹	bʉm²¹bʉm²¹	bɨ²⁴ĩ³³	tɕi³³tɕʰa²¹	ʂʅ⁴⁵³ʂʅ⁴⁵³	dza³³dza³³	tʰa⁵⁵sɿ²¹	ka⁵⁵mɛ˞³³
992	slowly	慢慢(慢慢走)	*a²de³de³	a̤²¹di³³di³³	a²¹de³³de³³	a⁵⁵pɛ²³tɕɛ²¹	a²¹di³³di³³	a²¹ja³³	a²²jɛ²²ja⁴¹	a²¹di³³di³³
993	quickly	快快(快快走)	*ʔmjy̠ᴴ	xa⁵⁵tsʰa²¹kʰɛ⁵⁵	my⁴⁴my⁴⁴	la²⁴pɛ³³	gɨ³³ɕi²¹	mɛ⁵⁵mɛ⁵⁵	pʰai⁵⁵la⁵³	tiɛ˞³³məŋ⁵³
994	very	很(很漂亮)		a̤²¹xɨ⁵⁵	mi²¹hĩ²⁴	xa⁵⁵	a²¹kʰai⁴⁵³	tɕia⁵⁵		
995	most	最(最大)		xa⁵⁵	xa⁴⁴	xa⁵⁵	kɛ˞⁵⁵	su⁵⁵kɑ²¹kʰəŋ⁵⁵	ki⁵⁵	tɕi³³tɕi³³
996	all	都(大家都来)		xa⁵⁵dʐu⁵⁵a⁵⁵ka³³	xa⁴⁴ŋa⁴⁴		tu³³	ko³³	kai⁵³	taʔ²¹ai³³
997	again	再(明天再来)		tse⁴⁵	tse¹³	tsei²⁴	tsai⁴⁴	kɛ⁵⁵	to²⁴	da²¹
998	really	一定(我一定去)		da⁵⁵ma̤²¹da⁵⁵	hã³³tsɛ³³	ŋa²⁴tsɿ⁵⁵	i²¹tĩ⁴⁵³	jɛ²¹tɛ²¹	ka⁵⁵tɛ̠²¹	da⁵⁵n̩²¹da³³
999	not (NEG)	不(他不来)	*ma²	ma̤²¹	ma²¹	ma²¹	a²¹	ma²¹	ma²¹	m̩²¹
1000	don't	别(别去)	*tʰa²	tʃʰa̤²¹,tʰa̤²¹	tʰa²¹	tʰa²¹	tʰa²¹	ta²¹	tʰa²¹	tʰa²¹
1001	each other	互相			tʂɛ⁴⁴tʂʅ⁴⁴ma³³	dzɿ²⁴dzɿ²⁴da³³	ta²¹xo²¹	tɕʰi²¹gɨ⁵⁵	tʰi²¹bʲa⁵³	dzə³³dzə³³lai²¹
