No.	Gloss	Proto-Karenic (Luangthongkum 2019)	Proto-Karenic (Burling 1969)	Northern Pa-O	Southern Pa-O	Kayan	Kayah	Western Bwe	Kayaw	Northern Sgaw	Southern Sgaw	Northern Pwo	Southern Pwo	Page	Notes
35	breasts	*nuᴮ	*ny¹	-	-	nu¹¹	(Ɂi¹¹)nu¹¹	nu³³	nu¹¹	nu¹¹ ̈	nu³¹	nə̯u¹¹ ̈	nu³³	xix	
36	broken, split, separate	*paɁᴰ	*phaɁ²	paɁ²¹	paɁ²¹	phaɁ⁴⁵	phe⁵⁵	pha³³	phɔ³³	phaɁ⁴⁵	phaɁ²¹	phaɁ⁴⁵	phaɁ²¹	xix	
37	buffalo	*p/b-naᴮ	*pəɁ²na¹	paɁ²¹na⁵³	paɁ²¹na⁵⁵	buɁ⁴⁵na¹¹	pe⁵⁵ne¹¹	bə³³ne³³	pa³³na¹¹	pə³³na¹¹ ̈	pə¹¹na³¹	paɁ²¹nɛ¹¹ ̈	pəɁ²¹na³³	xix	
38	buy	*breᴬ	*phɣe³	phre³³	phre⁵³	prai³³	phri¹¹	a⁵⁵bwɪ³³	pri³³	pə¹¹ɣe³³~pɣe³³	pɣe³³	-	-	xix	
39	caress	*phruNᴬ		phrɨ⁵⁵	pwəm³³	phwaŋ⁵³	phɨ³³	-	phu⁵⁵	phɣu³³	phu⁵⁵	phã³⁵	phõ⁵⁵	xix	It is noticeable that NK has tone B while CK and SK have tone A.
40	carry (on the back)	*pɨᴮ	*phy²	-	-	-	-	phu³³	phɨ¹¹	-	phɨ⁴⁵’	pə̯ɨ³³	pɨ⁵⁵	xix	
41	caterpillar	*siɁᴰ		seɁ²¹	siɁ²¹	θɨɁ⁴⁵	si⁵⁵	θa³³	si³³	siɁ⁴⁵	saiɁ²¹	sɨ³⁵	θaiɁ²¹, θeiɁ²¹	xix	N.Pwo has tone A which is irregular.
42	catfish	*~kuᴬ/ᴮ		khu³¹ ̈	khu³¹ ̈	ku⁵³	ku¹¹	-	ku¹¹	-	ku⁴⁵’	-	ku⁵⁵	xix	NK and Kayan (CK) have tone A while the rest have tone B.
43	carapace, shell	*kɨᴬ		-	-	ko⁵³	Ɂa¹¹kɔ³³	ko⁵⁵	Ɂa¹¹kɨ⁵⁵	kɨɁ⁴⁵	kɨ⁵⁵	Ɂa¹¹ko̯u⁵⁵	ku³¹ ̈	xix	Kayan has an irregular vowel, /o/ instead of /ɨ/. N.Sgaw also has an irregular tone, tone D.
44	centipede	*t/daɁᴰɁbaŋᴬ	*daɁ²baŋ³	taɁ⁴⁵baŋ³¹ ̈	taɁ⁴⁵baŋ³¹ ̈	ta¹¹baŋ⁵³	-	-	-	daɁ⁴⁵bɔ³³	da¹¹bɔ⁵⁵	-	daɁ⁴⁵bɔ̃³¹ ̈	xx	
