No.	Gloss	Proto-Karenic (Luangthongkum 2019)	Proto-Karenic (Burling 1969)	Northern Pa-O	Southern Pa-O	Kayan	Kayah	Western Bwe	Kayaw	Northern Sgaw	Southern Sgaw	Northern Pwo	Southern Pwo	Page	Notes
114	fire	*hmeᴮ	*me²	me⁵⁵	me³³	mai¹¹	mi¹¹	mɪ³³	mi	me³¹῀	me⁴⁵’	mi³³	mi⁵⁵	xxv	
115	fish	*daɁᴰ		thaɁ⁴⁵	thaɁ⁴⁵	taɁ²¹	te³³	da¹¹-pho³³	tɔ³³	-	-	-	-	xxv	
116	five	*ŋjatᴰ	*ŋɛ¹	ŋat⁴⁵	ŋap⁴⁵~ŋat⁴⁵	ŋɛɁ²¹	ŋɛ³³	jɛ¹¹	jɛ³³	jɛ¹¹ ̈	jɛ³¹	jɛ¹¹ ̈	jɛ³³	xxv	It is noticeable that Sgaw and Pwo (SK) have tone B3.
117	flank, rib	* rəɁᴰ	*ɣyɁ¹	rəɁ⁴⁵	rəɁ⁴⁵	rəɁ²¹	rɔ³³	-	rə³³	ɣuɁ²¹	ɣəɨ̯¹¹ ̈	ɣaəɁ²¹	ɣaəɁ⁴⁵	xxvi	
118	flat	*pjaᴮ		pja⁵⁵	pja³³	bja¹¹	-	ɓe³³ ɓa³³	-	bi³¹῀	-	pa³³	bai⁵⁵	xxvi	
119	flea	*kliᴬ/*kliɁᴰ		khli³¹ ̈	-	khliɁ⁴⁵	kla⁵⁵	kle³³	kle³³	kli⁵⁵, kliɁ⁴⁵	kli⁵⁵	khlei³⁵	khlei⁵³	xxvi	S.Pa-O, Pwo and some varieties of Sgaw have tone A, while CK has tone D.
120	flesh, meat	*hɲaᴮ	*ŋa²	ja⁵⁵	ja³³	ɟa¹¹	ja¹¹	-	ja¹¹	ɲa³¹῀	ɲa⁴⁵’	ja³³	ja⁵⁵	xxvi	
121	flower	*phɔᴬ	*phɔ⁴	-	-	phau⁵³	pho³³	phɔ⁵⁵	pho⁵⁵	phɔ³³	phɔ⁵⁵	phɔ³⁵	phɔ⁵³	xxvi	
122	forget	*s-beŋᴬ		pheŋ³³	peŋ⁵³	pe³³	pa¹¹	-	pe³³	-	pi³³	-	-	xxvi	
123	forest, jungle	* klaᴬ		khla³¹ ̈	kla³¹ ̈	-	kle³³	-	ka⁵⁵	pɣa¹¹ ̈laɁ⁴⁵klaɁ⁴⁵	kla⁵⁵	kla⁵⁵	kla³¹ ̈	xxvi	
124	four	- (?); PNK: *litᴰ; PCK: *hlwiᴬ ; PSK: *lwiᴮ	*lwi¹	lip⁴⁵~lit⁴⁵	lip⁴⁵~lit⁴⁵	lwi⁵³	lwi³³	lu⁵⁵	li⁵⁵	lwi¹¹ ̈	lwi³¹	lwi¹¹ ̈	lei³³	xxvi	The PK form cannot be reconstructed since PNK, PCK and PSK have different onsets and tones.
125	fox, wolf	*thwiᴮmiᴬ		thwi⁵⁵mi³³	thwi³³mi⁵³	thwi¹¹mi³³	thwi¹¹mi¹¹	-	thi¹¹mi³³	thwi¹¹mi³³	thwi⁴⁵’mi³³	-	thwi⁵⁵mei³¹ ̈	xxvi	
126	frog	*Ɂdeᴮ	*de²	de⁵⁵	de³³	dai¹¹	di¹¹	ɗi³³	di¹¹	de³¹῀	de⁴⁵’	di³³	di⁵⁵	xxvi	
127	front	*hŋaᴬ		ŋa³¹ ̈	ŋa³¹ ̈	ŋa⁵³	ŋe³³	-	-	ɲa³³	ɲa⁵⁵	-	-	xxvi	
128	fruit	*saᴮ	*sa²	-	-	θa¹¹	se¹¹	θɛ³³	sa¹¹	sa³¹῀	sa⁴⁵’	sa³³	θa⁵⁵	xxvi	
129	full	*pwɛᴬ		bwɛ³¹ ̈	bwɛ³¹ ̈	bwɛ⁵³	ba³³	pwe⁵⁵	bɛ⁵⁵	pɣɛ³³	-	-	-	xxvi	
130	ginger	*Ɂeŋᴬ	*Ɂeŋ³	Ɂeŋ³¹ ̈	Ɂeŋ³¹ ̈	Ɂe⁵³	Ɂa³³	θə⁵⁵’e⁵⁵	Ɂe⁵⁵	sə¹¹Ɂe³³	Ɂi⁵⁵	Ɂãi⁵⁵	Ɂɛ̃i³¹ ̈	xxvii	
131	go	*lwɛᴬ		lwɛ³³	lwɛ⁵³	lɛ³³	-	le³³	lɛ³³	lɛ³³	lɛ³³	le⁵⁵	le³¹ ̈	xxvii	
132	grasshopper	*Ɂdwɛᴮ		dwɛ⁵⁵	dwɛ³³	dwɛ¹¹	-	ɗɛ³³	dɛ¹¹	dwɛ³¹῀	dwɛ⁴⁵’	thwɛ¹¹	thwe³³	xxvii	The initial th- and tone B3 in Pwo suggest a plain voiced *d- in PK. Probably, *ɗ- in PK became *d- in Pwo and then *d- became /th-/.
133	grandchild	*lejᴬ	*li³	li³³	li⁵³	-	lə¹¹	li¹¹	li³³	li³³	li³³	lei⁵⁵	lei³¹ ̈	xxvii	There is an irregular tone change in Bwe. The A3 tone in Bwe should be 33, not 11.
134	great-grandchild	*loᴬ	*lo³	-	lo⁵³	lau³³	lu¹¹	-	lu³³	lo³³	lu³³	lu⁵⁵	lu³¹ ̈	xxvii	
135	great-great-grandchild	*laᴬ	*la³	la³³	la⁵³	la³³	la¹¹	-	la³³	la³³	la³³	la⁵⁵	la³¹ ̈	xxvii	
136	hair (head ~)	*khuᴮsluᴬ		kaɁ⁴⁵lu³³	ka³³lu⁵³	kaɁ²¹lu³³	kho⁵⁵lo¹¹	khə⁵⁵lu⁵⁵	khu¹¹lu³³	kho³¹῀su³³	khu⁴⁵’su⁵⁵	khu³³ su³⁵	-	xxvii	
137	handle	*doᴮ		tho⁵³	to⁵⁵	-	tu¹¹	-do³³	tu¹¹	to¹¹ ̈	tu³¹	thu¹¹ ̈	thu³³	xxvii	
138	hat	*~kl( )ŋᴮ		koŋ⁵⁵	koŋ³³	klɔ¹¹	ko¹¹	ko³³phla³³	klə¹¹	-	-	-	-	xxvii	
139	hawk, eagle	*lekᴰ		leɁ⁴⁵	lek⁴⁵~lik⁴⁵	liɁ²¹	la³³	le¹¹	le³³	liɁ²¹	lai¹¹ ̈	laiɁ²¹	laiɁ⁴⁵	xxvii	
140	have, be, exist, stay, there is	*Ɂɔᴮ		Ɂau⁵⁵	Ɂau³³	Ɂau¹¹	Ɂo¹¹	ɔ³³	Ɂo¹¹	Ɂo³¹῀	Ɂu⁴⁵’	Ɂɔ³³	Ɂo⁵⁵	xxvii	
141	head	*kləɁᴰ		kəɁ²¹tu⁵⁵	kəɁ²¹tu³³	kləɁ⁴⁵	klɔ⁵⁵	ku³³ko³³	kɨ³³~kə³³	-	-	-	-	xxvii	
142	heart	*saɁᴰ	*saɁ²	saɁ²¹	saɁ²¹	θaɁ⁴⁵	se⁵⁵	θa³³	sɔ³³	saɁ⁴⁵	saɁ²¹	saɁ⁴⁵	θaɁ²¹	xxviii	
143	heavy	*thəᴮ		thɨ⁵⁵	thɨ³³	thəɨ¹¹	tho¹¹	tho³³	thə¹¹	-	-	-	-	xxviii	
144	hemp	*srɔᴮ		sau⁵⁵	ɕau³³	θau¹¹	so¹¹	θrɔ³³	so¹¹	ɕɣɔ³¹῀	ɕɣɔ⁴⁵’	ɕjɔ³³	θo⁵⁵	xxviii	
145	hip	* glamᴮ		-	kwam⁵⁵	ka¹¹kɨ¹¹	kla¹¹	-	ka¹¹	khi³³ko¹¹ ̈	kɔ³¹	kwã¹¹ ̈	khwɔ̃³³	xxviii	
146	hit hard (with a fist)	*doŋᴮ		doŋ³³	toŋ⁵³	dəu¹¹	thɔ¹¹	to³³	thə¹¹	tɔ¹¹ ̈	-	thə¹¹ ̈	-	xxviii	NK has the A tone instead of the B tone as in CK and SK.
147	horn	*noŋᴬ	*noŋ³	noŋ³³	noŋ⁵³	no³³	nɔ¹¹	-no¹¹	nə	nə³³	nə³³	nãu⁵⁵	nõu³¹ ̈	xxviii	Bwe has an irregular tone. Modern Bwe should have tone 33(A3) instead of Tone 11 (D3).
148	hornet	*phrɨNᴬ		phrɨm³¹ ̈	phrɨn³¹ ̈	phrɨ⁵³	phlɨ³³	phlu⁵⁵	phrɨ⁵⁵	phlə³³	phlɨ⁵⁵	phlɑ̃³⁵	phlə̃ɨ⁵³	xxviii	In SK *phr- has become phl-.
149	horse	*k-sreᵀ	*se²	se³¹ ̈	se³¹ ̈	θiɁ⁴⁵	si⁵⁵	θrɪ³³	si³³ri³³	kə³³se¹¹ ̈	kə¹¹se⁴⁵’	kaɁ²¹si³³	kə¹¹θi⁵⁵	xxviii	The PK tone cannot be reconstructed due to the fact that NK, CK and SK have tones A, D and B, respectively. This etymon is an Austroasiatic loanword. The reconstructed form for ‘horse’ in Proto-Monic is *ksɛh (Diffloth 1984).
150	hundred	*g-rjaᴬ	*ŋa³	rja³³	rja⁵³	ja³³	je¹¹	gə³³jɛ³³	ja³³	kə¹¹ja³³	kə¹¹ja³³	ja⁵⁵	ja³¹ ̈	xxviii	
151	husband	*gwaᴬ		wa³³	wa⁵³	gwa³³	we¹¹	wa³³	wu³³	wa³³	wa³³	wa⁵⁵	wa³¹ ̈	xxviii	
152	ill, painful, sick	*chaᴬ	*cha⁴	cha³¹ ̈	cha³¹ ̈	cha⁵³	che³³	ʃe⁵⁵	cha⁵⁵	cha³³	cha⁵⁵	cha³⁵	cha⁵³	xxviii	
153	insect	*graᴮ	*xa¹	sa⁵³	ɕa⁵⁵	ca¹¹	khre¹¹	-	ca¹¹	xa¹¹ ̈	xa³¹	xa¹¹ ̈	xa³³	xxviii	
154	intestines	*breɁᴰ	*phɣiɁ¹	phreɁ⁴⁵	phriɁ⁴⁵	priɁ²¹	phra³³	- bwi¹¹	pre³³	phɣiɁ²¹	pɣai¹¹ ̈	xwaiɁ²¹	xwaiɁ⁴⁵	xxix	Pwo has an unusal onset, xw- .
155	iron	*thaɁᴰ	*thaɁ²	thaɁ²¹	thaɁ²¹	thaɁ⁴⁵	the⁵⁵	tha³³	thɔ³³	thaɁ⁴⁵	thaɁ²¹	thaɁ⁴⁵	thaɁ²¹	xxix	
156	itchy	*saɁᴰ		saɁ²¹	saɁ²¹	θaɁ⁴⁵	se⁵⁵	θa³³	sɔ³³	saɁ⁴⁵	saɁ²¹	saɁ⁴⁵	θaɁ²¹	xxix	
157	kidney	*k-leᴮ	*le¹	le⁵³	-	lai¹¹	li¹¹	-li¹¹θɛ³³	li¹¹	kə³³le¹¹ ̈	kə¹¹le³¹	li¹¹ ̈	li³³	xxix	
158	leaf	*hlaᴮ	*la²	la⁵⁵	la³³	la¹¹	le¹¹	lɛ³³	la¹¹	la³¹῀	la⁴⁵’	la³³	la⁵⁵	xxix	
159	leech (land ~)	*s-waɁᴰ	*waɁ¹	waɁ²¹	waɁ²¹	θuɁ⁴⁵	swa⁵⁵	-	su³³	suɁ⁴⁵	sɔuɁ²¹	waɁ²¹	waɁ⁴⁵	xxix	NK, CK and Sgaw (SK) have tone D12; however, it is D3 in both N.Pwo and S.Pwo.
160	leech (water ~)	*k/s-lejᴬ	*li³	-	-	-	-	gə³³lɪ³³	su¹¹li³³	sə¹¹li³³	tə¹¹li³³	lei⁵⁵	lei³¹ ̈	xxix	
161	left (side)	*ceᴮ	*ce²	ce⁵⁵	ce³³	cai¹¹	ci¹¹	cɪ³³	ci¹¹	ce³¹῀	ce⁴⁵’	ci³³	ci⁵⁵	xxix	
162	leg	*khaŋᴮ		khaŋ⁵⁵	khaŋ³³	haŋ¹¹	khɛ¹¹	kha³³	khɔ¹¹	khɔ³¹῀	khɔ⁴⁵’	khɛ̃³³	khɔ̃⁵⁵	xxix	
163	lemur (flying ~), flying squirrel	*pleɁᴰ/bleɁᴰ	*phliɁ¹	phliɁ²¹	-	-	pla³³	bli³³	ple³³	phliɁ⁴⁵	plai¹¹ ̈	phlaiɁ²¹	phlaiɁ⁴⁵	xxix	Some Karenic languages have tone D12 which suggests *pl-, e.g. N.Pa-O, Bwe and some varieties of Sgaw. However, both N.Pwo and S.Pwo have the D3 tone which indicates a plain voiced *bl-.
164	lick (v.)	*hlajᴮ	*lɛŋ²	-	lai³³	lai¹¹	-	lɪ³³	li¹¹	le³¹῀	li⁴⁵’	-	lai⁵⁵	xxix	
165	lie down, sleep	*hmejᴬ	*mi⁴	-	-	mai⁵³	mə³³	ʃɔ⁵⁵mi⁵⁵	mi⁵⁵	mi³³	mi⁵⁵	mei³⁵	mei⁵³	xxix	Kayan has an irregular vowel, ai; the regular one should be ɨ.
166	light (~ weight)	*phwiᴬ		phwi³¹ ̈	phwi³¹ ̈	phwi⁵³	phwi³³	phwi⁵⁵~phi⁵⁵	phi⁵⁵	phɣi³³	phɣi⁵⁵	khwi³⁵	khwi⁵³	xxx	The initial khw- in Pwo is irregular.
167	linear measure of about 8-9 inches (a span)	*thaᴬ	*tha⁴	tha³¹ ̈	tha³¹ ̈	tha⁵³	the³³	-	-	tha³³	tha⁵⁵	tha³⁵	tha⁵³	xxx	
168	linear measure of about half a yard (closed-hand)	*blaᴮ		-	-	pla¹¹	ple¹¹	-	pla¹¹	pla¹¹ ̈	pla³¹	phla¹¹ ̈	phla³³	xxx	
169	linear measure of about half a yard (open-hand)	*dɨmᴬ		thom³³	təm⁵³	tɨ³³	tɨ¹¹	-	tɨ³³	tə³³	tɨ³³	thɑ̃⁵⁵	thə̃ɨ³¹	xxx	
170	linear measure of about two yards	*khlɛNᴬ		khlɛm³¹ ̈	khlɛŋ³¹ ̈	khlaŋ⁵³	khli³³	-	-	khli³³	khli⁵⁵	khlãi³⁵	khlãi⁵³	xxx	
171	listen to	*-hnaᴮ		na⁵⁵	na³³	na¹¹	-	ʃɔ⁵⁵ne³³	na¹¹	kə³³na³¹῀	na⁴⁵	na³³	na⁵⁵	xxx	
172	live, stay	*ɁɔNᴮ	*Ɂo²	Ɂoŋ³¹ ̈	Ɂoŋ³¹ ̈	Ɂau¹¹	Ɂo¹¹	ɔ³³-	Ɂo¹¹	Ɂo³¹῀	Ɂu⁴⁵	Ɂɔ̃³³	Ɂõ⁵⁵	xxx	
173	liver	*swɨnᴮ	*sun²	sɨn⁵⁵	su̯ən³³	θɨ¹¹	so¹¹	θu⁵⁵θa³³	~βʉ¹¹	su³¹῀	su⁴⁵’	sɑ̃³³	θə̃ɨ⁵⁵	xxx	
174	long (of time)	*ŋjaɁᴰ	*ŋiɁ¹	ŋjaɁ⁴⁵	ŋjaɁ⁴⁵	ŋi³³	ŋja³³	jɪ¹¹	ji³³	jiɁ²¹	ji¹¹ ̈	jaiɁ²¹	jaiɁ⁴⁵	xxx	
175	long (of length), tall, high	*thawᴬ		tho³¹ ̈	tho³¹ ̈	thau⁵³	thu³³	tho⁵⁵	thu⁵⁵	thɔ³³	thɔ⁵⁵	thɔ³⁵	tho⁵³	xxx	
176	look after (things)	*pəᴮ		pə⁵⁵	pə³³	pəɨ¹¹	po¹¹	bo³³i⁵⁵	pə¹¹	-	-	-	-	xxx	
177	loris	*k-ch( )Nᴬ		-	-	chəŋ⁵³	chɔ³³	-	chə⁵⁵	kə¹¹che³³	ta¹¹chi⁵⁵	chãi³⁵	kə¹¹chɛ̃i⁵³	xxx	
178	louse (chicken ~), insect	*(chjaNᴬ)graᴮ		ɕja³¹ ̈sa⁵³	ɕja³¹ ̈ɕa⁵⁵	ɕɨ⁵³ca¹¹	cha³³khre¹¹	-	ɕi⁵⁵ca¹¹	chɔ³³xa¹¹ ̈	chɔ⁵⁵xa³¹	chɛ̃³⁵xa¹¹ ̈	chɔ̃⁵³xa³³	xxx	
179	louse (head ~)	*swɨNᴮ	*sun²	sɨ⁵⁵	sɨ³³	θɨ¹¹	so¹¹	θo¹¹	sɨ¹¹	su³¹῀	su⁴⁵’	sɑ̃³³	θə̃ɨ̯⁵⁵	xxxi	
180	lung	*p-soᴮ		-	-	θau¹¹	su¹¹	θə⁵⁵’o⁵⁵	su¹¹	pə³³so³¹῀	su⁴⁵’	soɁ⁴⁵	bu³³θuɁ²¹	xxxi	Pwo has tone D while CK and Sgaw have tone B.
181	maggot	*hloŋᴮ	*loŋ²	loŋ⁵⁵	loŋ³³	lo¹¹	lɔ¹¹	lo³³	lə¹¹	lə³¹῀	lə⁴⁵’	lãu³³	lõu⁵⁵	xxxi	
182	male (of animals), father	*phaᴬ	*pha⁴	pha³¹ ̈	pha³¹ ̈	pha⁵³	phe³³	-	pha⁵⁵	pha³³	pha⁵⁵	pha³⁵	pha⁵³	xxxi	
183	man, male	*khwaᴬ	*khwa⁴	kho³¹ ̈	kho³¹ ̈	khau⁵³	khu³³	- bo¹¹kho⁵⁵	khu⁵⁵	khwa³³	khwa⁵⁵	khwa³⁵	khwa⁵³	xxxi	
184	mango	*khɔɁᴰ		khɔɁ²¹	khɔɁ²¹	khauɁ⁴⁵	khɛ⁵⁵	-	kho³³	khɔɁ⁴⁵	khoɁ²¹	khoɁ⁴⁵	khuɁ²¹	xxxi	
185	many, much	*Ɂaᴬ	*Ɂa⁴	Ɂa³¹ ̈	Ɂa³¹ ̈	Ɂa⁵³	Ɂa³³	ɔ³³ɛ³³	-	Ɂa³³	Ɂa⁵⁵	Ɂa³³	Ɂa⁵⁵	xxxi	Kayah has an irregular vowel, /a/ instead of /e/. Bwe and Pwo have tone B while the rest have tone A.
186	mat	*khlɔᴮ	*khlɔ²	khlau⁵⁵	khlau³³	-	-	khlo³³	-	khlɔ³¹῀	khlɔ⁴⁵’	khlɔ³³	khlɔ⁵⁵	xxxi	
187	millipede	*k/s-wɛjᴬ/ᴮ		cɔ⁵⁵wɛ³³	cɔ¹¹wɛ⁵³	θaɁ²¹kə¹¹wi³³	si⁵⁵kɔ⁵⁵wi¹¹	-	te¹¹we³³	siɁ⁴⁵wɔ¹¹ ̈de³³	si⁵⁵wa³¹de⁵⁵	wai¹¹ ̈	wai³¹ ̈	xxxi	NK, CK and S.Pwo have tone A while Sgaw and N.PWO have tone B.
188	mole	*(jowᴮ)wiᴬ	*wi³	ju⁵³wi³³	ju⁵⁵wi⁵³	-	jo¹¹wi¹¹	wi³³	ju¹¹wi³³	wi³³	wi³³	wei⁵⁵	wei³¹ ̈	xxxi	
189	money	*hrunᴬ		rən³¹ ̈	ruə̯n³¹ ̈	rwaŋ⁵³	rɨ³³	hʊ⁵⁵	ru⁵⁵	-	-	-	-	xxxi	
190	monitor lizard (land ~)	*khwoɁᴰ		-	-	re³³khɔɁ⁴⁵	khwɔ⁵⁵	-	-	khuɁ⁴⁵	khɔuɁ²¹	khauɁ⁴⁵	khɔuɁ³¹	xxxi	
191	monitor lizard (water ~)	*treᴬ	*reŋ³	-	-	-	re³³	tre⁵⁵	tre⁵⁵~te⁵⁵re⁵⁵	kreɁ⁴⁵	re⁵⁵	-	ɣei³¹	xxxii	Only N.Sgaw has tone D instead of A.
192	monkey	*joɁᴰ		joɁ⁴⁵	juɁ⁴⁵	jɔɁ²¹	jɔ³³	jo¹¹	jə³³	-	-	-	-	xxxii	
193	moon, month	*Ɂlaᴬ	*la⁴	la³¹ ̈	la³¹ ̈	la⁵³	le³³	lɛ⁵⁵	la⁵⁵	la³³	la⁵⁵	la⁵⁵	la³¹ ̈	xxxii	
194	mother, female (of animals)	*məᴮ		mə⁵³	mə⁵⁵	məɨ¹¹	mo¹¹	- mo³³	mə¹¹	-	-	-	-	xxxii	
195	mouse, rat	*jowᴮ	*ŋy¹	ju⁵³	ju⁵⁵	Ɉu¹¹	jo¹¹	ju¹¹	ju¹¹	jɨ¹¹ ̈	jɨ³¹	jou¹¹	jou³³	xxxii	
196	mynah	*s-raNᴮ		ran⁵⁵	ran³³	raŋ¹¹	-	θə³³rɛ³³	sa¹¹ra¹¹	-	-	-	-	xxxii	Irregular vowels in CK, i.e. the vowel changes behave like the *-a rhyme pattern, not the *-aŋ one.
197	nail	*hmejᴮ	*mi/ɛŋ/eŋ²	mi⁵⁵	mi³³	mɨ¹¹	mə¹¹	θə⁵⁵mi³³	mi¹¹	me³¹῀	mi⁴⁵’	mei³³	mei⁵⁵	xxxii	
198	name	*minᴬ	*min³	min³³	min⁵³	mjəŋ³³	mi¹¹	- mi³³	mi³³	mi³³	mi³³	mãi⁵⁵	mɛ̃i³¹ ̈	xxxii	
199	narrow	*Ɂjɛnᴮ	*in²	Ɂɛn⁵⁵	Ɂɛn³³ ~ Ɂɛm³³	Ɂjaŋ¹¹	Ɂi¹¹	-	- Ɂi¹¹	Ɂi³¹῀	Ɂi⁴⁵’	Ɂãi³³	Ɂãi⁵⁵	xxxii	
200	navel, umbilical cord	*Ɂdeᴬ	*de³	paɁ⁴⁵de³¹ ̈	de³¹ ̈	dai⁵³	di³³	-ɗi⁵⁵mʊ⁵⁵	di³³	de³³	de⁵⁵	di⁵⁵	di³¹ ̈	xxxii	
201	neck, cheek	*Ɂbɔᴬ	*boɁ² ‘cheek’	-	-	kaɁ²¹bɔ⁵³	khɛ³³bo³³	-ɓɔ³³	ko³³bo⁵⁵	khɔɁ⁴⁵bo³³	-	-	khoɁ²¹bo³¹ ̈	xxxii	
202	new	*saNᴬ	*saN⁴	sa³¹ ̈	-	θɨ⁵³	se³³	θɛ⁵⁵	sa⁵⁵	sɔ³³	sɔ⁵⁵	sɛ̃³⁵	θɔ̃⁵³	xxxii	
203	nine	PNK: *kotᴰ; PCK, PSK : *khwiᴬ	*khwi⁴	kot⁴⁵	kot⁴⁵	khwi⁵³	-	khwi⁵⁵	sɔ³³khi⁵⁵	khwi³³	khwi⁵⁵	khwi³⁵	khwi⁵³	xxxiii	
204	obtain, receive, take, get	*neᴮ	*ne¹	ne⁵³	-	nai¹¹	ni¹¹	ni⁵⁵	ni¹¹	ne¹¹ ̈	ne³¹	ni¹¹ ̈	ni³³	xxxiii	
205	old (of humans)	*braᴮ	*phɣa¹	phra⁵³	pra⁵⁵	pra¹¹	phre¹¹	θa³³ bwɛ³³	pra¹¹	sa Ɂ⁴⁵pɣa¹¹ ̈	pɣa³¹	-	-	xxxiii	
206	old (of things)	*lejᴬ	*laN¹ li³	li³³	-	-	lə¹¹	-	li³³	lɔ¹¹ ̈li³³	li³³	lei⁵⁵	lei³¹ ̈	xxxiii	
207	one	*t-laᵀ		taɁ²¹	taɁ²¹	la¹¹ ~ laɁ²¹	t-	to⁵⁵, tə³³-, də³³-	t-	tə³³	təɁ²¹	laɁ²¹~la¹¹	lə³¹ ̈	xxxiii	The tone of this etymon cannot be reconstructed due to its regularity. Very often, the word ‘one’ is unstressed, so its vowel has been reduced. Moreover, in some CK languages there is also the harmony of vowels in sesquisyllabic words, t 'C .
208	open (the mouth)	*ɁaNᴬ		Ɂaŋ³¹ ̈	Ɂan³¹ ̈	Ɂaŋ⁵³	Ɂɛ³³	a⁵⁵-tha³³	Ɂɔ⁵⁵	Ɂɔ³³	-	-	Ɂɔ̃³¹ ̈	xxxiii	
209	ox, bull, cow	*boᴮ		pho⁵³	po⁵⁵	pau¹¹	pu¹¹	bo³³	pu¹¹	-	-	-	-	xxxiii	
210	palm (of the hand)	*ɲaᴬ		ja³³	ja⁵³	Ɉa³³	ja¹¹	-	-	ɲa³³	-	jɛ³⁵	ja⁵³	xxxiii	NK and CK have tone A3 which indicates a voice onset *ɲ- but the tone A12 in SK suggests a voiceless onset *hɲ-.
211	pangolin, anteater	*joᴬ		ju³³	-	Ɉau³³	ju¹¹	jʊ³³-θo³³	ju³³	jo³³hɔ³¹῀	ju³³	ju¹¹ ̈~	jɨ³¹ ̈	xxxiii	S.Pwo has an irregular vowel, i.e. it should be u not ɨ.
212	parrot, parakeet	*(thoᴮ)kiᴮ	*ki²	ki⁵⁵	-	khi¹¹	khi¹¹	ki³³~khi³³	ki¹¹	-	ki⁴⁵’	kei³³	kei⁵⁵	xxxiii	
213	path, trail, way	*glɛᴬ	*klɛ⁴	-	klai⁵³	khlɛ³³	-	klɛ³³	klɛ³³	klɛ³³~klɛɁ⁴⁵	klɛ³³	-	-	xxxiii	
214	peacock	*(thoᴮ)braɁᴰ	*phɣaɁ¹	-	-	praɁ²¹	phre³³	ba¹¹	prɔ³³	bɣaɁ²¹~phɣaɁ²¹	pɣa¹¹ ̈	sjaɁ²¹	ɕaɁ⁴⁵	xxxiii	
215	pen, coop	*k-bɔŋᴬ		phɔŋ³³	pɔŋ⁵³	pɔ³³	po¹¹	-	po³³	kə¹¹po³³	kəɁ²¹po³³	phɔ̃⁵⁵	phõ³¹ ̈	xxxiv	
216	penis	*teᴮ	*the²	te⁵⁵	te³³	thai¹¹	thi¹¹	-	thi¹¹	the³¹῀	the⁴⁵’	thi³³	thi⁵⁵	xxxiv	
217	pheasant	*(thoᴮ)reɁᴰ		-	-	-	ra³³	-	- re³³	ɣiɁ²¹	ɣai¹¹ ̈	ɣaiɁ²¹	ɣaiɁ⁴⁵	xxxiv	
218	pig	*thɔɁᴰ	*thoɁ²	thɔɁ²¹	thɔɁ²¹	thauɁ⁴⁵	thɛ⁵⁵	thɔ³³	tho³³	thɔɁ⁴⁵	thɔɁ²¹	thoɁ⁴⁵	thuɁ²¹	xxxiv	
219	pile	*plomᴮ		pom⁵⁵	pom³³	blo¹¹	plu¹¹	plo³³	plə¹¹	pu³¹῀	pu⁴⁵’	pãu³³	põu³¹ ̈	xxxiv	Kayah and Sgaw have irregular vowels, i.e. /u/ instead of /ɔ/ (Kayah) and /u/ instead of /ə/ (Sgaw).
220	pointed (as of needles), sharp point	*cuᴬ	*cu³	cu³¹ ̈	kju³¹ ̈	cu⁵³	cu³³	cu⁵⁵	cu⁵⁵	cuɁ⁴⁵	cu⁵⁵	cu⁵⁵	cu³¹ ̈	xxxiv	N.Sgaw has tone D while the rest have tone A.
221	pole	*thuNᴮ		thun⁵⁵	thuə̯m³³	thwaŋ¹¹	thɨ¹¹	-	thu¹¹	thu³¹῀	thu⁴⁵’	thɑ̃³³	thə̃ɨ⁵⁵	xxxiv	
222	porcupine	*sunᴮ		sun⁵⁵	suə̯m³³~suə̯n³³	θwaŋ¹¹	sɨ¹¹	θu³³	su¹¹	-	su⁴⁵’	-	-	xxxiv	
223	porcupine (brush-tailed ~)	*s-Ɂbaᴬ		-	-	-	se³³be³³	-	sa⁵⁵ba⁵⁵	ba³³	ba⁵⁵	-	θə⁵⁵ba³¹ ̈	xxxiv	
224	pot	*bəŋᴬ	*phəm³	phəŋ³³	pəŋ⁵³	pə³³	pɔ¹¹	gə³³bo⁵⁵	pə³³	sə¹¹pə³³	pə³³	phɑ̃⁵⁵	phə̃³¹ ̈	xxxiv	
225	pound (v.)	*dɔŋᴮ		thɔŋ⁵³	tɔŋ⁵⁵	tɔ¹¹	-	dɔ³³	to¹¹	to¹¹ ̈	tu³¹	-	thõ³³	xxxiv	
226	pull up	*thɛɁᴰ		-	-	-	-	-	the³³	thɛɁ⁴⁵	thɛɁ²¹	theɁ⁴⁵	theɁ²¹	xxxiv	
227	pumpkin (ash ~)	*luNᴮ		-	-	lwaŋ¹¹	lɨ¹¹	lu¹¹	lu¹¹	lu¹¹ ̈	lu³¹	lɑ̃¹¹ ̈	lõ³³	xxxv	
228	push	*chaNᴮ		-	-	-	chɛ¹¹	ʃa³³	chɔ¹¹	chɔ³¹῀	chɔ⁴⁵’	chɛ̃³³	chɔ̃⁵⁵	xxxv	
229	put on, wear	*sɔɁᴰ	*soɁ²	sɔɁ²¹	sɔɁ²¹	θauɁ⁴⁵	sɛ⁵⁵	θɔ³³	so³³	sɔɁ⁴⁵	soɁ²¹	soɁ⁴⁵	θuɁ²¹	xxxv	
230	put on (a necklace), wear	*leɁᴰ	*liɁ¹	-	-	liɁ²¹	la³³	lɪ¹¹	le³³	liɁ²¹	lai¹¹ ̈	laiɁ²¹	laiɁ⁴⁵	xxxv	
