English gloss	Part of speech; notes	Proto-Bodo-Garo
dream	n.	*jV³-maŋ
drink	v.t.	*lɯŋ¹
drive, chase (cattle, etc.)	v.t.	*[h]rɯk
drum	n.	*khram¹
dry	v.i.	*ran²
dry, put to try	v.t.	*lam¹
ear	n.	*na[¹]-cur
earth, ground, soil	n.	*ha²
eat plentifully	v.i.	*nal¹
eat	v.t.	*ca²
egg	n.	*pi⁰-tɯi²
embrace	v.t.	*Gɯ⁰-Bak
embrace, take in lap	v.t.	*pam¹
emerge, go through	v.i.	*pr[o]⁴
emphatic suffix		*-se⁰
encircle, enclose	v.t.	*kom²
enclose	v.t	*khop
enter	v.i.	*nap
escape	v.i.	*jok
excessive	adv.	*gre¹
exist, be at	v.i.	*toŋ¹
extinguish	v.i.	*khɯ³-mɯt
eye	n.	*mɯk-kon
face	n. (cf. 'eye')	*mɯk-khaŋ
fall	v.i. (A)	*gak
fall	v.i. (B)	*ba⁴-grai
familiar, easy to deal with		*mar⁴
far	v.i.	*jal²/*cal²
fat, grease	n.	*mV⁴-tVm
father	n.	*pha¹
father-in-law	n.	*hao²
fear	v.i.	*khen¹
feed (into mouth or beak)	v.t.	*tu²
finger	n. (cf. 'hand')	*yak-si
finger nail	n. (3) (cf. 'hand', 'finger', 'skin') (3)	*yak-si-kur
finish, come to an end	v.i. (B)	*con²
fire	n.	*bwar²
firewood	n. (cf. 'tree')	*Bol³
firm, stable	adv.	*khɯm⁴
fish	n.	*na²
fishing net	n.	*cek
fitting, proper	v.i.	*khe²
fix a handle	v.t.	*cat
flower	n. (cf. 'bloom')	*pi⁰-par¹
fly	n.	*tham³-phɯi
fly	v.i.	*pir¹
fold	v.t.	*phai²-dem-
four	num.	*Brɯi¹
fruit	n.	*thai²
fry	v.t.	*jao²
full	v.i.	*phuŋ¹
future suffix		*-gVn⁰
genitals, female	n.	*shi²
genitive suffix		*-ni⁰
get	v.t.	*man²
ghost	n.	*me²-maŋ
ginger	n.	*hai²-ciŋ
give, distribute	v.t.	*ron²
goat	n.	*prɯn²
good	v.i.	*nam¹
granary	n.	*jam¹
grandchild	n.	*shu²
grandfather	n.	*a¹-cu
grandmother	n.	*bɯi⁴
grass	n.	*sam¹
grasshopper	n.	*guk
green	v.i.	*thaŋ[¹]
grind stone	n. (cf. 'stone')	*Roŋ²-ci
group	n.	*thok
guard, wait, keep	v.t.	*ra⁴-khV
hair of body, fur	n.	*khɯ³-mɯl
hair of head	n.	*khi³-ni
hair, coarse body	n.	*-su⁴-maŋ
hair, pubic, female	n.	*shi²-su-maŋ
hair, pubic, male	n. (cf. 'penis')	*lV¹-su-maŋ
hand, arm	n.	*yak
handle	n.	*phoŋ³
hard	v.i.	*rak
having, with		*Gɯ⁰-naŋ⁴
hawk	n. (cf. 'bird')	*dao²-lVŋ
hay	n.	*ma⁴-kap
he, she	pro. (A)	*u¹-
he, she	pro. (B)	*Bi¹
head	n.	*kho⁴-rok
hear	v.t. (cf. 'ear')	*khɯ¹-na
heart	n.	*kha²
heavily, of rain	adv.	*jrek-jrek
heel of foot	n.	*thVŋ²
hill	n. (cf. 'earth')	*ha²-cu
hold, grab, catch	v.t.	*[h]rVn²
hold, grasp	v.t.	*[tVi²]
hole	n. (cf. 'earth')	*ha²-khor
hollow	v.i.	*phwo⁴
homeland	n. (A) (cf. 'earth')	*ha²-soŋ
horn	n.	*kroŋ¹
hot	v.i.	*tuŋ²
house	n.	*nok
hundred	num.	*rɯ⁴-ca
hungry	v.i. cf. stomach	*bwok⁴-khɯi
husband	n.	*sai¹
I	pro.	*aŋ¹
imperative, verb suffix		*-po⁰
infinitive suffix		*-na⁰
insert, press in	v.t.	*Suk/*Sɯk
inside	pp.	*niŋ²/*nuŋ²
interrogative base		*ba¹
intestines, guts	n.	*Bi⁰-puk
intoxicated by stimulants, drunk	v.i.	*phek
iron, metal	n.	*sɯr¹
jump	v.i.	*clok
kiss	v.t. (cf. 'mouth')	*khu²-tVm
know (things)	v.t.	*rɯŋ¹
know, understand	v.i. (A)	*[]a⁴-man
know, understand	v.t. (B)	*si⁴
land, area	n. (B) (cf. 'earth')	*ha²-Dot
later	pp.	*ya²-[]an
laugh	v.i.	*mi⁴-ni
lay egg	v.t.	*tɯi²
lead, guide	v.t.	*tVl²
leaf	n. (A)	*yak
leaf	n. (B) (cf. 'banana leaf)	*lai²
leak	v.i.	*sher¹
learn	v.t.	*shɯ⁴-lɯŋ
leech, land	n.	*lu³-at
leech, water	n.	*sV[²]-luk
left side	n. (A) (cf. 'hand')	*yak-shi
left side	n. (B)	*le⁴-bra
leg	n.	*ya²-theŋ
lick	v.t. (cf. 'tongue')	*[she⁴-lVk]
lie in wait	v.i.	*com¹
light (not heavy)	v.i.	*ceŋ²
lightning, flash	v.i.	*[phɯ²-lap]
lip	n. (cf. 'mouth')	*khu²-cur
liver	n.	*pi³-kha
load	v.t.	*gat
locative suffix		*-ao⁰
loiter, wander	v.i.	*jɯm²
long, length	v.i.	*lao²
look, look at	v.t.	*ni¹
lose	v.t.	*Gɯ¹-ma
louse	n.	*thɯk
love	v.t.	*kha²-sha
make, do	v.t.	*tak
man, male human	n. (A)	*mV²-Sa
man, male human	n. (B)	*[-bwa⁴]
mango	n. (cf. 'fruit')	*thai²-cu
marry	v.t.	*khɯm¹
mat	n.	*[]am¹
match, fit, be suitable	v.i.	*Srap
mature	v.i.	*pri¹
melon, mash	n.	*khum⁴-[rV]
millet	n.	*mV⁴-Si
mind	n.	*Gɯ⁰-Sɯk
mix	v.t.	*prɯn¹
morning, early day	n.	*phruŋ¹
mortar	n.	*sham²
mother	n.	*ma²
mother-in-law	n. (cf. aunt, father's sister; father-in-law)	*ni³-o
mouth	n.	*khu²
much, many, plenty	v.i.	*paŋ²
mucus of nose	n. (cf. 'nose')	*guŋ¹-grai
nail, claw	n. (cf. 'finger', 'fingernail', 'toenail', 'skin')	*kur⁴
name	n.	*muŋ¹
narrow, flat	v.i.	*cep
neck	n.	*Go⁰-tok
necklace, garland, string of beads	n.	*lɯk
need, necessary	v.t.	*naŋ¹
negative imperative prefix		*ta⁰-
negative suffix		*-ya⁰
nephew	n.	*dVV⁴
nephew, niece	n.	*Grai¹
nest	n.	*thop
new	v.i.	*Gɯ⁰-dal⁴
niece, man's sister's daughter	n.	*nam[⁴]-cVk
night	n.	*phwar¹
nine	num.	*(kh)u¹
nip, hold in tongs etc.	v.t.	*khep
nose	n.	*kuŋ¹-thuŋ
now	adv.	*ta²
obey, submit oneself	v.t.	*bam¹
oil	n.	*thao¹
old	v.i. (cf. 'worn out')	*Gɯ⁰-cam¹
one	num.	*-sha⁴
other, another	n.	*Gu⁰-Bun⁴
overgrown with grass	v.i.	*tuk
pain, have	v.i.	*sha¹
palm of hand	n. (cf. 'hand')	*yak-pha
peck (birds), gore, butt	v.t.	*shu¹
peel off	v.i.	*gao²
peel, slice, cut	v.t.	*lep
penis	n.	*lɯ³
perch (of birds)	v.i.	*pa²
pestle	n.	*lɯm[¹]
pierce through, point	v.t.	*jot
pig	n.	*bwak
pillow	n. (cf. 'head')	*kho⁴-dVm
place pot for cooking or brewing	v.t.	*can¹
plant part, internal body part prefix		*pi⁰-
