No.	Gloss	Proto-Ersuic
195	dog	*tɕʷʰiu²
196	donkey	*ku(liu)¹
197	door	*ŋgæ¹
198	dove	*lolu²
199	doze / nod off	*(ji) mui¹
200	dragon	*(ji)mbru²
201	draw water	*kʰe
202	dream	*jimɑ¹
203	drink	*tɕʰe¹
204	drop (of oil)	*ntʰwɑ
205	drop / fall	*nedʐæ¹
206	drum	*(n)dzɑ¹ ?
207	drunk, be	*tʰejo
208	dry	*dedʐu¹
209	dry (clothes)	in the sun*kʰwo¹
210	dry by fire, toast	*re¹
211	dung, manure	*lɑ¹
212	dust	*pʰulje¹
213	dye	*detsu¹
214	each / respective / individual	*suniu
215	eagle / hawk	*hke¹
216	ear	*nɑ²
217	ear / spike	*(n)dʑi(u)²
218	earth, ground	*sɑ-²
219	earthworm	*niuŋkʰwɑ bedi
220	east	*ʂæ²
221	easy	*ɣuiɣui
222	eat	*dzi²
223	egg	*rwatɕo¹
224	eggplant	*(ŋ)gætsi¹
225	eight	*rdi¹
226	elbow	*lekrwa²
227	elder brother / sibling	*æja¹
228	enemy (personal)	*gæwu
229	enough	*dzẽ
231	exchange	*deŋgui¹
232	expensive	*pʰekʰwæ¹
233	extinguish, put out fire	*tʰepʰo¹
234	extract / take out	*tsʰo¹
235	eye	*rdose¹
236	face	*mja²
237	fall (rain)	*ʑiu¹
238	far / distant	*(ri)ʂɑ¹
239	fart	*htʃiukrɑ²
240	fast / quick / early	*ntʃʰiu²
241	fat	*detsʰu¹
242	father	*æbæ²
243	fathom	*liu
244	fear, be afraid	*deke¹
245	feather, hair (of body)	*mui²
246	feces	*htʃiu²
247	feed	*tsi¹
248	fence (bamboo / twig)	*tʂʰe
249	fetch / draw (water)	*ʃæ
250	few / little	*nini¹
251	fields (wheat etc.)	*ri¹
252	fight	*kækæ¹
253	filter / strain	*tswɑ
254	finger	*lesẽ
255	finish	*tʰetsʰæ¹
256	fire	*me¹
257	fit, can hold	*tʰwɑ¹
258	five	*ŋrɑ²
259	flavorful	*detʂʰe
260	flea	*ntsʰoɬiu¹
261	flip over, reverse	*ŋepʰwo¹
262	flock (of sheep)	*bru
263	flour	*ju¹
264	flower	*metɕo
265	flute	*ɬɑ¹
266	fly (n.)	*behẽ / behĩ
267	fly (v.)	*bjẽbjẽ¹
268	food	*dzæpu¹
269	foot	*lipʰew¹
270	foot, leg	*liŋgje / leŋge²
271	footprint / track	*tɕuru
272	forehead	*kæpælæ
273	forest	*sẽlɑ¹
274	forge, strike (iron)	*htsu
275	forget	*tʰeme²
276	fortune / luck	*pʰukʰæ²
277	four	*ʐiu²
278	fox	*dʒumæ¹
279	fragrant (smell)	*dehẽ¹
280	friend	*ndzew¹
281	friend / amiable	*ndzewbjẽ²
282	frog, toad	*pimæ¹
283	front	*ʂæpʰo / ʂopʰo¹
284	frost	*kriu(ju)¹
285	fruit	*sẽse¹
286	full	*debrɑ¹
287	full, satiated	*deɣwæ¹
288	gall bladder	*kriu²
289	garbage / debris	*kɑpe¹
290	garden (plot)	*xutʂʰe¹
291	garlic	*xui¹
292	ghost / spirit	*tʂʰæ¹
293	gift / present	*ntsʰeɬiu
294	give	*kʰje¹
295	gnaw / nibble	*ntʃʰi / ntʃʰe¹
296	go	*ji¹
297	go / leave (past)	*dwɑ¹
298	goat	*tsʰẽ¹
299	gold	*ni¹
300	good	*lje¹
301	goose (wild)	*dʒu²
302	grab / seize / catch	*ntʂʰe
303	grandchild	*litʰo / lotʰo¹
304	grandfather	*æpu
305	grass	*ʐu¹
306	grind	*dʐe¹
307	grow, grow up	*kʰwæ¹
308	gruel / porridge	*tsʰɑwɑ¹
309	guard / defend	*ʂu¹
310	guest	*wra¹
311	guide, lead (the way)	*ʃu¹
312	gum (“tooth-red”)	*xuini¹
313	hail	*mpsʰu¹
314	hair	*tsjẽ¹
315	hair / down	*dʒu
316	half	*hke
317	hand	*lepʰew¹
318	handful (of rice)	*ntʂʰe¹
319	hang	*pja¹
320	happy / excited	*tʰegew²
321	hard	*kwɑkwɑ¹
322	hat	*mbo¹
323	hatch / incubate	*hẽ¹
324	have, exist (animate)	*dʒo¹
325	have, exist (container)	*dʐiu¹
326	have, exist (general / abstract)	*niu¹
327	have, exist (immovable)	*hã¹
328	have, exist (money)	*bo¹
329	have, exist (movable)	*dʒwɑ¹
330	head	*wilje / wulje²
331	heap (e.g. of dung)	*bje
332	hear	*tʰegri¹
333	heart	*sini / htimi¹
334	heavy	*dede¹
335	help	*ɣwoɣwo¹
336	hemp	*tse²
337	herd, put out to pasture	*hkui¹
338	hide (something)	*tʰekiʃi¹
339	hide oneself	*khempʰe
340	high / tall	*mbro
341	hill / mountain	*mbje¹
342	hit (a person)	*dekæ²
343	hit, kill	*si¹
344	hoe	*dzepi / dzopʰi¹
345	hold (a pen)	*hte¹
346	hole	*hko¹
347	home	*jã¹
348	honest / well-behaved	*dĩbæ
349	hoof	*ŋ(u)kʰwɑ
350	hook	*ŋkʰo¹
351	horizontal	*gjegje
352	horn	*ru(bu) / du¹
353	horse	*m(b)ro²
354	host / master	*nɑ-
355	hot	*tsʰæ²
356	hot / spicy	*deju¹
357	house	*jẽ¹
358	how many	*tʃʰiu²
359	hug / embrace	*detwɑ¹
360	human being, person	*tsʰo¹
361	hundred	*ʑa¹
362	hungry	*ŋæ²
363	hunt	*mumbæ¹
364	I	*æ¹
365	ice	*mpʰje¹
366	incense (bark of cypress? tree)	*hpwo²
367	industrious / hardworking	*mpʰwompʰwo
368	infect	*tu¹
369	insect / worm	*bedi¹
370	inside	*kʰepʰe / kʰupʰo¹
371	intestine	*ɣeniu / ɣoniu¹
372	iron	*ʃje¹
373	itch	*dekri
374	jar (earthen)	*gje¹
375	joint	*tsʰi¹
376	jump	*hto / htæ
377	key	*kʰoji
378	kick	*dego¹
379	kidney	*mbiulje²
380	kill (a person)	*ŋgrɑ²
381	kill / slaughter (an animal)	*ntʃʰi²
382	kind, type	*rbæ
383	knee	*pjembje
384	kneel	*hke¹
385	knife	*bɑtʂɑ / butʂɑ
386	knock / strike	*tsʰutsʰu¹
387	know how to, be capable of	*ndʒo¹
388	kowtow, make obeisance to	*pʰja² mu
389	ladder	*ɬjeki¹
390	ladle	*ji¹
391	lake	*ŋkʰwæ²
392	lame person	*kɑpi²
393	last night	*jahãŋkʰwo¹
394	last year	*ja(ji)hĩ¹
395	laugh / smile	*ri¹
396	lay (eggs)	*tɕo¹
397	lazy	*mætʰu
398	leader / chieftain / headman (Mand. ‘土司 tǔsī’)	*(d)ʑapu
399	leaf	*sẽpʰja¹
400	leak	*ntsʰe²
401	learn, teach	*soso¹
402	leech	*mbi¹
403	left (side)	*leji¹
404	left over / remain	*gwɑ²
405	leopard / panther	*ndzi¹
406	letter, book	*ndʒiundʑi¹
407	lick / lap	*dege¹
408	lid / cover	*xexe²
409	life	*kutsʰje¹
410	lifetime	*te zu
411	light (a fire, a light)	*ntsʰo¹
412	light (weight)	*gwogwo¹
413	like / love	*gæ / gja¹
414	liquor	*ɣo¹
415	liquor (yellow rice / millet / Shaoxing)	*wɑre / ɣɑre¹
416	listen	*bæni¹
417	liter, container (measuring, 1-liter-volume)	*læ
418	live / reside	*ji / ʑi¹
419	liver	*ntsʰɑ¹
420	lock	*ŋkʰo¹
421	long	*ʂɑ
422	lose / mislay, throw away	*pʰi¹
423	loud	*mbrɑ¹
424	louse	*ʂewmæ¹
425	low / short	*nini
426	lower (the head)	*neŋgwo
427	lower part / lower reaches	*ŋɑpʰo¹
428	lung	*ntsʰu²
429	mace (=0.1 tael)	*tetsje
430	maggot	*bulo
431	magpie	*tʃʰatʃʰa¹
432	make the bed	*kʰwo¹
433	make, fix, repair	*ntsʰæ¹
434	many / much	*mje / mja
435	mark / sign / boundary line	*ntsʰæ
436	marry (a woman)	*ʃu²
437	mat	*wægæ
438	meal	*dzæ
439	means / way	*ri²
440	measles	*mpʰrjo¹
441	meat	*ʃi²
442	medicine	*hpje²
443	meet / come across	*kʰedʑudʑu²
444	melon / gourd	*sẽŋgæ¹
445	melt, dissolve	*nelje / neɬje¹
446	middle	*goɬæ²
447	midnight	*ŋkʰwohke²
448	millstones	*ratʰɑ¹
449	mirror	*mjalo¹
450	mix / blend / mingle	*detʂʰu¹
451	mole	*ʂinwɑ
452	money	*bædʐje¹
453	monkey	*gætʃu¹
454	moon	*ɬæpʰe¹
455	morning	*tɑso¹
456	mortar	*tsumu / tsumo²
457	mosquito (relatively small)	*ʂwɑ
458	mother	*æmæ¹
459	mouse	*gojo¹
460	mouth	*stiupe¹
461	move	*tʃʰitʃʰi¹
462	mud	*tʃʰulje¹
463	muddy / turbid	*tʃʰu¹
464	mule	*htæ¹
465	multicolored / patterned (cloth)	*bu¹
466	mushroom	*hẽ¹
467	musk	*lɑhẽ / lahõ
468	mute	*kɑ²
469	mute, dumb, stupid	*zikæ
470	nail	*ledzi / letsɑ²
471	name	*mi¹
472	narrow	*ʐuʐu²
473	navel	*tʃwɑpu¹
474	near	*(ri)ni¹
475	neck	*ht(w)ɑrA²
476	needle	*ɣrɑ / ge¹
477	neg. imp.	*tʰæ¹
478	nephew (brother’s son)	*zjendʑu / zindʑu²
479	nest (bird)	*(xwɑjo)ntʃʰo¹
480	new	*si
481	next year	*sohĩ¹
482	night, evening	*ŋkʰwo¹
483	nine	*ŋge²
485	no problems, leisurely	*tosi mæni
486	noon	*ndʒo²
487	nose	*stim(b)u¹
488	now	*ɑmja / ɑmjo / æmi
489	obtain, get	*rA¹
490	official (government)	*ndzomo²
491	old	*le¹
492	old / elderly	*tʰemo / momo¹
493	old lady	*mɑmo
494	old man	*tsʰomo
495	on (the wall)	*tɕʰa¹
496	one	*te¹
497	oneself	*niuniu²
498	onion / scallion	*xuibu¹
499	open	*dexwɑ / dehkwɑ¹
500	orphan	*tʃʰiujo²
501	other person(s)	*ndzew¹
502	otter	*ʂe¹
503	outside	*njapʰo / njopʰo¹
504	owe / lose (money), suffer (illness); hit (a target)	*zo¹
505	pad	*lu
506	paddy fields	*(ju / ʑu)xwɑ¹
507	pair	*dʐe
508	palm	*lepʰja¹
509	pants / trousers	*ʑa¹
510	patch (clothing)	*pwEpwE²
511	peach	*jVsi¹
512	pear	*lirV¹
513	peck at (of a chicken)	*ntʰontʰo¹
514	peck, unit of dry measure for grain (=1 decaliter)	*pɑ
515	pen in (sheep)	*gje²
516	pepper (hot) / chili	*hõ¹
517	permit / allow	*wæ¹
518	pestle	*-ŋgrɑ²
519	pheasant (long-tailed)	*ŋgwæ¹
520	pheasant (short-tailed)	*tsexwo¹
521	pick up	*deŋgwo¹
522	pig	*ɣwo¹
523	pillar / column	*dzæpʰæ¹
524	pillow	*ŋgje²
525	pine	*tɕʰopu²
526	pitiable / pitiful	*ɕaŋæ²
527	plant ash	*ʑu
528	play	*gægæ¹
529	plow (n.)	*du¹
530	plow / till (v.)	*lɑ¹
531	pluck (flowers)	*kʰui¹
532	point / tip	*wutɕu
533	poison	*dʑu¹
534	porcupine	*pʰru
535	pour (water)	*ʂɑ
536	pregnant	*mæntʂʰew
537	press (with palm or finger)	*zẽ¹
538	pricked (on a thorn)	*ndzu
539	pull / drag / lead (a cow) along	*dentsʰɑ¹
540	pull down (a house), untie	*netʃʰo¹
541	pull up (weeds)	*tsẽ
542	puncture (something)	*nedʐu
543	pus	*piu¹
544	push / shove	*tʰedʑo¹
545	put (into a container)	*nekwo¹
546	put in order / arrange	*dʐwɑ
547	quake (earth)	*ʑo¹
548	rabbit	*myidzi²
549	rain	*rgwæ¹
550	rainbow	*mekʰɑ¹
551	raw / uncooked	*dzjẽdzjẽ
552	red	*deni¹
553	relatives	*ɣuini / ɣuindzA¹
554	release / set free	*tʰele¹
555	remember	*kʰentsʰæ
556	rescue / save	*ŋeʂu¹
557	rest	*breni¹
559	return, go back	*dʑʷew¹
560	rib	*-ro
561	rice (cooked)	*kʰæ
562	rice (paddy), seedling (rice)	*dzæ¹
563	rice (uncooked)	*ntʃʰew¹
564	rich	*djemo¹
565	ride (a horse)	*ndze¹
566	right (side)	*letɕu¹
567	right / correct	*kʰedu¹
568	ring	*leŋgui²
569	rinse (the mouth)	*ʐwæʐwæ
570	ripe, cooked, done	*dehĩ¹
571	rise / get up	*degwo¹
572	road	*ri¹
573	rob / loot	*liu¹
574	rock	*rikʰwæ¹
575	roll	*lɑlɑ¹
576	roll, turn (cause to)	*ɬɑ¹
577	root	*mbre¹
578	rope / string	*brɑ¹
579	rot	*netʃʰiu¹
580	run	*pjẽ
581	run away / escape	*pʰo¹
582	rust	*kʰeŋkʰwæ
583	s / he	*tʰe¹
584	saddle	*mbroʑa
585	saliva	*dʑiki¹
586	salt	*tsʰi²
587	scald / burn	*mbu¹
588	scales, steelyard	*krɑ²
589	scoop up (water) / ladle	*kui¹
590	scratch	*(n)tʂʰo¹
591	search, look for	*htʃæ / ʂæ¹
592	see	*kʰendo¹
593	seed	*ge¹
594	sell	*ŋkʰæ¹
595	send (a message)	*swɑ¹
596	send / dispatch (a person)	*pwEki / pwEtɕi
597	separate, other	*kʰækʰæ¹
598	set (of the sun)	*netɕʰiu / netɕiu¹
599	seven	*sini / stẽ²
600	sew (up)	*ndʐe²
601	shadow	*rAne / rAnɑ¹
602	shake / shiver	*ŋgrɑŋgrɑ¹
603	sharp, pointed	*ntʰwɑ¹
604	sharpen, whet (a knife)	*desu¹
605	shave (the head)	*ru¹
606	sheep	*jõ¹
607	shoe	*zi¹
608	shoot, fire a shot	*tʂʰe¹
609	short	*dɑdɑ²
610	shoulder	*ɣwebje / ɣwobje¹
611	shout	*kwo²
612	shout, yell	*rA / ɣwA
613	shrivel up / wither	*nekwo¹
614	shy / bashful	*mbuʂew
615	Sichuan pepper	*tsʰu
616	sick, ache	*deni¹
617	sickle	*dzjẽ
618	side, direction	*pʰwo
619	sieve / sifter	*ɑntʂʰæ²
620	silk / satin	*ŋkʰwo¹
621	silver	*ŋui¹
622	sing	*gæ¹
623	sister	*hjẽmæ¹
624	sit down	*ʑi¹
625	six	*tʂʰu²
626	skin	*ŋgriupje¹
627	skinny	*hkwɑ
628	skinny, get thin	*ŋæ¹
