no.	gloss	Akha Chicho	Akha Buli
496	I am (autonym).	ŋa³³ a²¹kʰa³³ɤ³³dʑi²¹dʑɔ³³a̰²¹ma̰³³	ŋa⁵⁵ bu³³li²¹ ɤ²¹ a²¹kʰa²¹.
497	I am not (autonym).	ŋa³³ a²¹kʰa³³ɤ³³dʑi²¹dʑɔ³³a̰³³ma̰³³ma²¹ŋɯ³³	ŋa⁵⁵ bu³³li²¹ ɤ²¹ a²¹kʰa²¹ma²¹ŋɯ⁵⁵
498	I have …	ŋa³³ ja²¹ suŋ³³ɣa²¹dʑɔ³³ (I have three children.)	ŋa⁵⁵ za²¹ sm⁵⁵ɣa²¹ ʥo⁵⁵ma⁵⁵. (I have three children.), ŋa⁵⁵ pʰju⁵⁵ dʑa³³ ma⁵⁵. (I have money.)
499	I came from Vientiane.	ŋa³³xø⁵⁵ba²¹wieŋ²¹tɕaŋ³³=nɛ³³la⁵³dɛ³³	ŋa⁵⁵ bieŋ²¹ʨaŋ³³ nɛ²¹ la⁵³ ɤ²¹ ma³³.
500	I will go to Vientiane.	ŋa³³ wieŋ²¹tɕaŋ³³i⁵⁵dɛ⁵⁵	ŋa⁵⁵ bieŋ²¹ʨaŋ³³ lɛ²¹ i⁵⁵ ma⁵⁵.
