Language	Village	Circle HQ	District
Bugun	Bichom	Nafra	West Kameng
Bugun	Kaspi	Singchung	West Kameng
Bugun	Namphri	Singchung	West Kameng
Bugun	Wangho	Singchung	West Kameng
Bugun	Singchung	Singchung	West Kameng
Sherdukpen	Rupa	Rupa	West Kameng
Sherdukpen	Shergaon	Rupa	West Kameng
Sartang	Darbu	Dirang	West Kameng
Sartang	Darbu	Dirang	West Kameng
Sartang	Khoitam	Dirang	West Kameng
Sartang	Khoina	Nafra	West Kameng
Lish Monpa	Lish	Dirang	West Kameng
Chug Monpa	Chug	Dirang	West Kameng
