no.	gloss	Akha Chicho	Akha Buli
158	wing	a²¹dɤŋ⁵⁵	a²¹dɤŋ⁵⁵
159	tiger	xa²¹la²¹	xa²¹la²¹
160	elephant	ja̰³³ma̰³³	ja̰³³ma̰³³
161	mouse	xu³³tɕa̰²¹	xo̰²¹ʨa̰²¹
162	bird	a³³dʑi³³	a̰³³ʥḭ³³
163	to fly	ɣɔ̰³³	ɣɔ³³
164	egg	xa³³ṵ³³	ɣa̰³³ṵ³³
165	to lay egg	ṵ³³kʰa³³	ɣa̰³³u³³ kʰa³³
166	sparrow	xa²¹dʑa⁵⁵	xa²¹ʥa⁵⁵
167	crow	ɔ̰²¹a̰²¹	ɔ̰²¹a̰²¹
168	hawk	xa²¹dzɛ⁵⁵	xa²¹dzɛ⁵⁵
169	peacock	ɕoŋ⁵⁵dø²¹	ɕm⁵⁵dø²¹
170	buffalo	a²¹ȵo²¹	a̰²¹ȵo²¹
171	cat	a³³mi⁵⁵	a⁵⁵mi⁵⁵
172	beef	mo⁵⁵nɛ⁵⁵ɕa²¹dʑi⁵⁵	mo³³ne³³ɕa²¹ʥi³³
173	pig	a̰³³ɣa̰³³	a̰²¹ɣa̰²¹
174	pork	a̰³³ɣa̰³³ɕa²¹dʑi⁵⁵	a̰²¹ɣa̰²¹ɕa²¹ʥi³³
175	monkey	a⁵⁵mjo̰²¹	a̰³³mjo̰²¹
176	horse	mɔŋ²¹	mɤŋ²¹
177	rabbit	xo³³	xo³³
178	bear	xa²¹xm⁵⁵	xa²¹xm⁵⁵
179	dog	a²¹kʰɯ²¹	a̰²¹kʰɯ²¹
180	to bark	a²¹kʰɯ³³tsɛ̰³³	a̰²¹kʰɯ²¹tsɛ̰²¹
181	goat	tɕḭ³³mɛ̰³³	ʨḭ²¹mɛ²¹
182	cattle	mo⁵⁵nɛ⁵⁵	mo³³ne³³
183	chicken	a²¹xa̰³³ɕa²¹dʑi⁵⁵	ɣa̰³³ʨḭ³³ɕa²¹ʥi³³
184	duck	ɔ̰²¹a̰³³	ɔ̰³³a̰³³[2]
185	bee	ɣa̰²¹bja²¹	ɣa²¹bja²¹bja²¹ma̰³³
186	fly	bø²¹sa̰³³a̰²¹ma̰³³	bɯ²¹sa³³a̰²¹ma̰³³
187	mosquito	tɕʰa⁵⁵gɔ³³a⁵⁵mɔ⁵⁵	a̰²¹ʨʰa⁵⁵ʨʰa⁵⁵gɔ²¹
188	spider	a⁵⁵pʰja³³lu³³wa³³	a̰³³pʰja³³la̰²¹ka̰³³
189	maggot	lu³³tʰɤŋ²¹	lṵ³³tʰɤŋ²¹
190	ant	a⁵⁵xo̰³³	a̰³³xo³³
191	butterfly	a̰⁵⁵lṵ³³	a̰³³lu³³
192	cicada	a⁵⁵ɕɤ⁵⁵ɕɤ⁵⁵nɔ³³	a̰²¹ʥɛ²¹
193	earthworm	bu²¹dʑø³³	bu²¹ʥy³³
194	centipede	la²¹ma³³tɕʰi⁵⁵ɕɛ⁵⁵	a̰²¹ma̰²¹ʨʰi⁵⁵ɕɛ⁵⁵
195	snake	a³³lɔ³³	a̰³³lɔ³³(ma³³)
196	gecko	xa²¹lɔ³³lɔ³³dʑi⁵⁵, xa²¹lɔ³³bi³³dʑɛ³³	a²¹jɛ³³ma⁵⁵bjɛ³³, mɔ⁵⁵bjɛ³³a̰²¹ma̰³³
197	fish	ŋa²¹ɕa²¹	ŋa²¹ɕa²¹
198	shrimp	ȵi³³bɤŋ³³tɕʰu⁵⁵xo³³	ȵi³³bɤŋ³³ʨʰi⁵⁵xo̰²¹
199	crab	a⁵⁵kʰa³³	a̰³³kʰa²¹
200	frog	xa²¹pʰa²¹, xa²¹pʰa³³pʰa²¹tɕa̰²¹	xa²¹pʰa²¹, xa²¹pʰa³³ʨa̰²¹
201	eel	dɛ³³sø̰³³	dɛ³³sø̰³³
202	turtle	bø²¹ku⁵⁵, bø²¹bja³³	bø²¹kṵ³³
203	to fish with a rod	ŋa²¹dʑɤ̰³³dʑɤ̰³³	ŋa²¹dʑɤ̰²¹dʑɤ²¹
204	to hunt	ɕa²¹tʰɛ³³, a²¹dʑi³³bɤ̰³³	ɕa²¹ʥo̰²¹tʰɛ³³
205	to shoot	mi²¹bɤ̰³³ bɤ̰³³	(ȵiŋ²¹bɤ³³) bɤ̰³³
206	musket	bɤ̰³³ja²¹	mi²¹bɤ³³jɤ³³dɤ̰³³, mi²¹bɤ³³jɤ³³məŋ⁵⁵
207	to kill	sɛ̰²¹	sḛ²¹
208	seed	a⁵⁵nɤ̰³³	a⁵⁵nɤ̰ŋ³³
209	to seed	a⁵⁵nɤ̰³³xɤ²¹lo³³	a⁵⁵nɤ̰ŋ³³ju⁵⁵do̰³³
210	sprout	a³³bɤ̰²¹	a³³by²¹
211	stem	la³³kʰɤŋ²¹, a⁵⁵kʰɤŋ²¹	a⁵⁵pa̰²¹pa̰²¹kʰɤŋ²¹
212	tree	a³³bɔ³³	a³³bɔ³³
213	leaf	a⁵⁵pa̰²¹	a⁵⁵pa̰²¹
214	trunk	tʰi²¹kʰɤŋ²¹, tʰi²¹bɔ³³	a³³bɔ³³jɤ²¹dɔ³³
215	root	dɔ²¹tɕʰi⁵⁵	du²¹ʨʰi⁵⁵
216	grass	ja³³mo̰²¹	ja⁵⁵mo̰²¹
217	to grow	ɣɔ³³lø³³ȵi³³xɤ²¹la⁵⁵	jɔ³³xɤ²¹xɤ²¹i⁵⁵
218	to wither	ɣɤ³³i⁵⁵	jɔ³³gɤ̰²¹gɤ̰²¹i⁵⁵
219	flower	a⁵⁵jɛ³³	a⁵⁵jɛ̰³³
220	to bloom	a⁵⁵jɛ³³ pʰo²¹la⁵⁵	a⁵⁵jɛ̰³³ pʰɛ³³la⁵⁵
221	poppy	je²¹je³³a⁵⁵jɛ³³	je²¹je³³a⁵⁵jɛ̰³³
222	thorn	a²¹gɤŋ³³	a̰²¹ɣɤŋ³³
223	bean	a³³bɛ̰³³	a⁵⁵bɛ̰³³
224	bamboo	xa²¹dʑɔ̰³³	ma³³sa²¹
225	bamboo shoot	a³³bø̰²¹	ma³³sa²¹a⁵⁵by²¹
226	mushroom	a²¹xm³³	a³³xm⁵⁵
227	paddy plant	tɕʰɛ³³bɔ³³	ʨʰɛ⁵⁵ʨʰɛ⁵⁵bɔ⁵⁵
228	rice	xɔ²¹, tɕʰɛ³³	xɔ²¹, ʨʰɛ⁵⁵
229	corn	a⁵⁵dṵ³³, a²¹tɕɤ²¹	a⁵⁵du³³
230	wax gourd	ɤ⁵⁵pʰu²¹	(u²¹ʥu²¹)u⁵⁵pʰu²¹
231	cucumber	ɕi²¹xo²¹	ɕi²¹xo²¹
232	bitter melon	la²¹xa²¹	ɕi²¹xo²¹xa²¹[3]
233	pumpkin	ma³³dɛ³³	ma⁵⁵dɛ̰³³
234	eggplant	ma³³xɤ³³	ma⁵⁵xɯ³³
235	tomato	ɣɔ³³mɤ⁵⁵lɤ⁵⁵mɤ³³	ɔ̰²¹mɤ³³lɤ³³
236	papaya	dɛ³³ma³³ŋa⁵⁵ɔ̰³³	ʨʰi⁵⁵dzɤŋ⁵⁵ŋa̰³³bɛ̰³³
237	sesame	nuŋ²¹ɕi²¹	nuŋ²¹ɕi²¹~nm²¹ɕi²¹
238	peanut	nɤŋ³³pʰɤŋ²¹	nɤŋ³³pʰɔŋ²¹, la²¹bɤ²¹nɤ³³pʰɤŋ²¹
239	ginger	tsʰɔ²¹tsɯ̰²¹	tsʰɔ²¹tsɯ̰²¹
240	fruit	a⁵⁵ɕi²¹	a⁵⁵ɕi²¹
241	banana	ŋa³³bɛ̰³³	ŋa̰³³bɛ̰³³
242	mango	dʑa⁵⁵ɔ̰²¹(a⁵⁵ɕi²¹)	ʥi⁵⁵ɔ̰²¹(a⁵⁵ɕi²¹)
243	orange	ɕi²¹lø³³ma⁵⁵dʑi²¹	ɕi²¹lø³³
244	mangosteen		
245	tamarind	ɕi²¹bɛ²¹tɕʰɛ³³	ɕi²¹ʨʰa²¹ma⁵⁵kʰa⁵⁵
246	hog plums		pʰɛ³³lo²¹a³³ɕi²¹
247	jackfruits	ma⁵⁵mi²¹	ma⁵⁵mi²¹
248	sugar cane	pʰɔ²¹tɕʰø⁵⁵	pʰɔ²¹ʨʰø⁵⁵
249	betel nut	mɛ⁵⁵lɔ⁵⁵a⁵⁵ɕi²¹	ʥa̰²¹ʥa̰²¹a³³ɕi²¹
250	to plant	kʰa³³	kʰa³³
251	plow	tsʰɛ²¹ŋɔ²¹	tsʰɛ²¹
252	irrigated field	dɛ³³ma³³	dɛ³³ma³³, dɛ³³ja⁵⁵
253	upland field	ja³³	dɤŋ³³ta²¹, dɤŋ³³ja³³
254	oil	ɣa̰²¹tsʰi⁵⁵	ɣa̰²¹tsʰi⁵⁵ (pig's oil)
255	salt	tsa̰²¹lɤ̰²¹	tsʰa²¹dɤ̰²¹
256	sugar	tsa̰²¹lɤ̰²¹tsa̰²¹tɕʰø⁵⁵	nam²¹ta³³ (<  Lao), pʰɔ²¹ʨa̰²¹
257	chilli	la²¹pʰi⁵⁵	la²¹pʰi⁵⁵
258	tea	lɔ⁵⁵bɔ²¹	lɔ⁵⁵bo²¹
259	wine	dʑi⁵⁵ba²¹	ʥi⁵⁵ba²¹
260	cigarette/tobacco	ja⁵⁵xɔ²¹, ja⁵⁵xɔ²¹xɔ²¹xa³³	ja⁵⁵xɔ²¹, ja⁵⁵xɔ²¹xa³³
261	to cook rice	xɔ²¹ɤŋ⁵⁵ɤŋ⁵⁵	xɔ²¹ m⁵⁵[4]
262	firewood	mi²¹dza³³(mi²¹kʰɔ²¹)	mi²¹dza²¹
263	pot	ø̰²¹lɤŋ²¹	mɔ²¹sɤ⁵⁵, gɤ²¹pʰəŋ⁵⁵
264	to boil	pu²¹	pu²¹
265	to roast	pɤ³³	pɯ̰³³
266	cloth	ɣɔ³³mɔ³³mɛ²¹tsʰø²¹	pʰɛ⁵⁵xɤŋ²¹mi²¹ʨʰɛ⁵⁵, mjo²¹tsʰø²¹
267	to sew	mɛ²¹tsʰø²¹gṵ²¹	mjo²¹tsʰø³³gṵ²¹
268	needle	a̰²¹ɣɔ̰²¹	a̰²¹ɣɔ̰²¹
269	thread	a̰²¹ɣɔ̰²¹kʰɤŋ⁵⁵mi³³	sa²¹kʰɤŋ⁵⁵
270	to knit	kʰa⁵⁵ja³³jɤ̰²¹	a³³jɛ̰³³tso̰³³
271	to dye	sa³³pʰa⁵⁵na̰³³	sa³³pʰa⁵⁵ pu²¹
272	to wash clothes	lɛ²¹tsʰi²¹	lɛ̰²¹tsʰi²¹
273	to sun clothes	ɣɤ³³lɔ̰²¹, ɣɤ³³lɛ⁵⁵ŋa⁵³, u²¹tsʰa⁵⁵lɔ̰²¹	ɣɤ³³lɔ²¹, lɔ²¹ɣɤ³³, u²¹tsʰa⁵⁵ɣɤ⁵⁵lɔ³³
274	clothes	pʰɛ³³xɤŋ²¹mi²¹tɕʰɛ⁵⁵	pʰɛ⁵⁵xɤŋ²¹
275	hat	u²¹xo̰³³	ṵ²¹xo̰³³
276	button	pʰɛ³³tɔ̰²¹	pʰɛ⁵⁵tɔ̰²¹
277	shoes	sɛ²¹nɔ̰³³	sɛ²¹nɔ̰³³
278	to make	uŋ⁵⁵mjo²¹uŋ⁵⁵	m⁵⁵mjo²¹m⁵⁵
279	to break	ga̰³³pa̰³³	jɔ̰³³pa̰³³
280	to wear	duŋ³³~dm³³	dm³³
281	to undress	lɛ̰³³	lɛ̰³³
282	road	ga⁵⁵ma³³	ga⁵⁵ma³³
283	village	pʰu³³	pʰu³³
284	to carry on the back	pʰi⁵⁵	pʰi³³
285	to buy	ɣɤ⁵⁵ɣɤ̰³³	ɣɤ³³
286	to sell	ɤŋ²¹	ɤŋ²¹
287	to get	ɣa²¹la⁵⁵ŋa̰³³	la̰³³ɣa̰³³
288	to lose	mɛ²¹gɤŋ²¹pi³³i⁵⁵ŋa̰³³	m⁵⁵mjo²¹ pi²¹i⁵⁵
289	market	ga⁵⁵i⁵⁵dʑu²¹i⁵⁵ɤ³³	ga³³
290	money	pʰju⁵⁵	(sɯ⁵⁵ɣa²¹)pʰju⁵⁵
291	rich	sɔ⁵⁵mɤ²¹ja²¹ȵi⁵⁵	sm⁵⁵mɤŋ²¹a²¹ȵi⁵⁵
292	poor	jɔ³³ɕa²¹	ji⁵⁵ɕa²¹ji⁵⁵tʰɔ³³
293	to steal	su⁵⁵xø²¹xø²¹	suŋ⁵⁵xø²¹xø²¹
294	to speak	dɔ³³dʑa³³dʑa⁵⁵ɔ²¹	ŋɛ²¹, dɔ²¹ŋɛ²¹ŋɛ²¹
295	to ask	na⁵⁵xa²¹	do²¹na⁵⁵na⁵⁵xa²¹
296	to answer	ɛ³³mɛ²¹	ʥa³³mɛ²¹
297	to call	kʰu⁵⁵	kʰu⁵⁵
298	(autonym) language	a⁵⁵dʑɔ⁵⁵a²¹kʰa³³ɤ³³dɔ²¹	bu³³li²¹a²¹kʰa³³ɤ²¹kʰu⁵⁵ʥɛ²¹
299	Lao language	la²¹o³³dɔ²¹	la³³ɔ³³ɤ³³dɔ²¹
300	Chinese language	la²¹bɤ̰³³ɤ³³dɔ²¹	la³³bɤ³³ɤ³³dɔ²¹
301	to write	sɤŋ²¹bɔ²¹bɔ²¹	(sɤ²¹ɣa²¹) bo̰²¹
302	to read	sɤ²¹ɣa²¹ ɣɤ³³	(sɤ²¹ɣa²¹) ɣɤ̰³³
303	letter	dɔ²¹tsa̰²¹tsa̰²¹nɛ̰²¹ɤ³³	sɤ²¹ɣa²¹ ɕa⁵⁵la²¹ŋa³³, sɤ²¹ɣa²¹ ɕa⁵⁵i²¹ŋa³³
304	book	sɤ²¹ɣa²¹pʰa⁵⁵dɤŋ²¹	sɤ²¹ɣa²¹ pa⁵⁵dm²¹
305	paper	sɤ²¹ɣa²¹	sɤ²¹ɣa²¹~sɔ²¹ɣa²¹
306	to stick	mjɤŋ³³lɛ⁵⁵	(dɛ̰²¹)mjɤŋ²¹
307	to play	ȵi⁵⁵ɣɛ̰³³	ɣa³³i⁵⁵
308	story	dɔ³³mɔ³³dɔ³³ø⁵⁵	ga̰³³dza²¹
309	to tell a story	dø³³dø³³ɛ³³ dʑa³³	ga̰³³dza²¹ ʥa̰³³
310	song	dɔ²¹tɕʰa⁵⁵	ʨʰa⁵⁵
311	to dance	ȵɛ³³	ga³³ȵɛ³³ȵɛ³³, tsʰɔ²¹
312	to win	tʰi³³ɣa³³i³³ma³³bi⁵⁵dʑa⁵⁵	ɣa²¹ma³³
313	to lose a game	ma³³ɣa³³le⁵⁵ȵa³³	ma²¹ɣa²¹
314	to get tired	ɣa²¹dø⁵⁵dø⁵⁵	ɣa²¹dø³³dø³³
315	to rest	ɣa³³na³³na³³	ɣa²¹na²¹na²¹
316	to sleep	jṵ²¹xa̰³³	ju²¹xa³³
317	to dream	jṵ²¹ma̰³³ma̰³³	ju²¹ma³³ma³³
318	to get up	jṵ²¹xa̰³³ɤ³³tʰu⁵⁵ɔ²¹	nø²¹la⁵⁵
319	to die	ɕi⁵⁵xa̰³³	ɕi³³xa²¹
320	age	a⁵⁵xo̰³³	a³³xo̰²¹
321	to be ill	ma²¹jɛ⁵⁵ȵa³³	ʥo⁵⁵sa⁵⁵ma²¹do³³
322	painful	mɔ⁵⁵du³³na⁵⁵	jo³³pʰi⁵⁵jo³³lɔŋ⁵⁵(lɔŋ⁵⁵)
323	to hiccough	ɤ⁵⁵tɤ̰³³tɤ̰³³ȵa³³	ɯ̰³³tɯ̰²¹tɯ̰²¹
324	to talk in one’s sleep	dɔ²¹dʑa³³dʑa³³ma̰³³ma̰³³	dɔ²¹ŋɛ³³ŋɛ³³ma̰³³ma̰³³
325	louse	ɕɛ³³mɔ³³	ɕɛ⁵⁵mɔ⁵⁵, kʰɯ²¹ɕɛ⁵⁵
326	medicine	dʑa³³ɣa²¹	ja̰²¹ɣa²¹
327	bow	ka̰³³	da³³pjɤ̰³³
328	arrow	ka̰³³mja²¹	ka³³mja²¹
329	name	tsʰɔ⁵⁵mjɤŋ⁵⁵	tsʰɔ³³mjɤŋ³³
330	father	a̰²¹da̰³³	a²¹da̰³³
331	mother	a̰²¹ma̰³³	a²¹ma̰³³
332	husband	a²¹jo³³	xa²¹ʥi⁵⁵
333	wife	a²¹bu⁵⁵	mi²¹za²¹
334	son	jɔ³³dʑi⁵⁵	a²¹jo̰³³
335	daughter	mi²¹ja²¹	a²¹bu³³
336	child	dʑa³³ja²¹	ʥa³³dza²¹ti⁵⁵
337	elder brother	a³³gɔ̰³³	a³³gɔ̰³³
338	younger brother	a²¹ȵi⁵⁵	a²¹ȵi⁵⁵
339	elder sister	a⁵⁵jɤ̰³³	a⁵⁵jɤ̰²¹
340	younger sister	du⁵⁵ma̰³³	a²¹ȵi⁵⁵
341	grandfather	a²¹bɔ⁵⁵	a²¹bɔ⁵⁵
342	grandmother	a²¹pʰi²¹	a²¹pʰi²¹
343	grandchild	ø²¹pʰa²¹	ø̰²¹pʰa²¹
344	uncle	a²¹ɣɔ⁵⁵, a²¹ɣø̰³³, a²¹mɤ³³	da⁵⁵da³³, a²¹ɣɔ⁵⁵, a²¹ɣø³³, ø⁵⁵xa²¹
345	aunt	a²¹xo²¹, a̰³³jɤ̰²¹, tɕʰi⁵⁵ma̰³³	a²¹xo²¹, a²¹ȵi⁵⁵, ʨʰi⁵⁵ma⁵⁵
346	cousin	a²¹tɕʰɤŋ³³	a²¹jɤ³³za²¹, a²¹ȵi⁵⁵za²¹
347	friend	bɔ³³gɔ²¹	lɔ²¹gɯ̰³³ (male), a²¹jɛ⁵⁵ (female)
348	male/man	a²¹jo³³	a²¹jo³³
349	female/woman	a²¹bu⁵⁵	a²¹bu⁵⁵
350	man/human being	tsʰɔ⁵⁵xa²¹(a³³ja²¹)	tsʰɔ⁵⁵xa²¹
351	(autonym) people	dʑi²¹dʑɔ⁵⁵a²¹kʰa³³ɤ³³a̰²¹ma̰³³	bu³³li³³a²¹kʰa²¹ɤ²¹tsʰɔ⁵⁵xa²¹
352	Lao people	la²¹ɔ³³ɤ³³tsʰɔ⁵⁵xa²¹	la³³ɔ³³ɤ³³ tsʰɔ⁵⁵xa²¹
353	Chinese people	la²¹bɤ̰²¹ɤ³³tsʰɔ⁵⁵xa²¹	la²¹bɤ̰²¹ ɤ³³ tsʰɔ⁵⁵xa²¹
354	doctor	na²¹mɔ³³	nai²¹mɔ³³ (< Lao)
