no.	gloss	Akha Chicho	Akha Buli
424	difficult	jɔ³³xa̰³³	jɤ³³xa̰³³
425	easy	jɔ³³ja⁵⁵	jɤ³³ɣɔ̰²¹
426	expensive	jɔ³³pʰø²¹	jɔ³³pʰø²¹, a⁵⁵pʰø²¹jɔ³³xa⁵⁵
427	cheap	ju⁵⁵tɕʰø⁵⁵ŋa⁵³	ma²¹pʰø²¹
428	clean	jɔ³³ɕɔ⁵⁵	jɤ³³ɕɔ⁵⁵
429	dirty	jɔ³³tɕa̰²¹	jɤ³³ʨa̰²¹
430	gentle	nuŋ³³ma³³jɔ³³mɯ²¹	nɤ³³ma³³jɤ³³mɯ²¹
431	angry	nuŋ³³ma³³jɔ³³xa̰²¹	nɤ³³ma³³ma²¹mɯ²¹
432	happy, glad	jɔ³³mɯ²¹mɯ²¹ɛ⁵⁵dʑɔ⁵⁵	nɤ³³nø²¹jɤ³³sa⁵⁵
433	ashamed	ɕa̰²¹dɔ⁵⁵bɔ̰³³	ɕa̰²¹dɔ⁵⁵bɔ³³, ɕa̰²¹dɔ⁵⁵dɔ⁵⁵
434	stupid	jɔ²¹xa̰³³(ɛ³³) dɤ³³(ŋa³³)	a̰²¹dzɔ̰²¹a̰²¹ka̰²¹
435	clever	jɔ³³gɤŋ⁵⁵(ŋa³³)	ma²¹dzɔ̰²¹ma²¹ka̰²¹
436	quick, fast	jɔ³³ɣø⁵⁵(ɣø⁵⁵)	jɤ³³kʰɔ⁵⁵
437	slow	jɔ³³ga̰³³	ma²¹kʰɔ⁵⁵, jɤ³³ga³³
438	early	jɔ³³na̰²¹	jɔ³³na̰²¹
439	fat	jɔ³³tsʰu⁵⁵	jɤ³³tsʰu⁵⁵
440	thin	jɔ³³ko̰⁵⁵	jɤ³³jɛ̰²¹
441	old of age	ja²¹mɔ²¹	mɔ²¹i⁵⁵
442	young of age	ja²¹gu²¹	za²¹gu²¹
443	year	a⁵⁵xo̰³³	a⁵⁵xo̰²¹
444	this year	tsɤ³³nɤ⁵⁵xo̰³³	tsɯ̰³³nɤŋ³³xo̰²¹
445	last year	mi⁵⁵nɤŋ³³xo̰³³	mi⁵⁵nɤŋ³³xo̰²¹
446	next year	a²¹kʰa⁵⁵nḛ³³ja̰³³xo̰³³	nɛ̰²¹ja̰²¹xo̰²¹
