No.	Category no.	Semantic category	Gloss	Proto-Tibeto-Burman
5391	6.13	Convergence	meet	*k/g-r(u/i)m
5700	6.13	Convergence	fold	*pil
7547	6.13	Convergence	meet	*m-prat
5689	6.13	Convergence	meet	*tuk ~ *(t/d)wa(k/ŋ)
5440	6.13	Convergence	wrap up	*tip ~ *tu(p/m)
180	6.13.1	Tying	tie / bind	*(g/k)(y)i(t/k)
2207	6.13.1	Tying	join / tie / knot / bring together / assemble / fold	*(t/d)u-n/t
313	6.13.1	Tying	bind / fasten / tether	*s-dar
6132	6.13.1	Tying	cord / tie / bind	*grak
2752	6.13.2	Adhesion	adjoin / adhere	*(g/k)(w)ap
2188	6.13.2	Adhesion	affix / plait / sew / braid	*(b/p)yar
2548	6.13.2	Adhesion	patch / mend / sew	*s/m-p(ʷ)a
2643	6.13.4	Mix	mix	*ryaw
3524	6.13.4	Mix	mix / stir	*s-ŋywal
200	6.13.5	Join (general)	join / connect / build	*s-dza-k
5773	6.13.5	Join (general)	build	*tsuk ~ *tsik
5478	6.13.5	Join (general)	join / connect	*tsyap
5381	6.13.5	Join (general)	put together / be even with / come up to	*dway
5832	6.13.5	Join (general)	collect / gather / assemble	*C-tsəw-k/ŋ
5834	6.13.5	Join (general)	meet / gather / connect	*(t)sum
5386	6.14	Construction	repair / mend	*glan
2743	6.15	Repair	stop up / plug up	*tsəw-t
5496	6.16	Holding	pull / drag / lead	*kaːy
2517	6.16	Holding	pinch / squeeze / press / oppress / submerge / sink into / west / low / soft	*s-n(i/u)(ː)p/m ~ *r/s-nyap/m
5525	6.16	Holding	squeeze	*s-nyit
6174	6.16	Holding	catch / hold fast	*s-g-ryam
5619	6.16	Holding	lead / pull along	*rik
5620	6.16	Holding	lead / pull along	*tsi
5406	6.16	Holding	lift / raise	*laŋ
5613	6.16	Holding	pull (out) / take away	*laŋ
5618	6.16	Holding	pull / drag / lead	*si
5901	6.16	Holding	take / hold / put on	*b-s-nom
2351	6.16	Holding	take up / lift / prop up	*ku
2603	6.17	Putting	equal / place in a row / align / row	*s-ryan
3526	6.17	Putting	put	*hwaŋ
2682	6.17	Putting	put / place	*s-ta-t
181	6.19	Social action	punish / oppress / coerce	*s-nya-s ~ *s-nyan
4143	6.19	Social action	embrace / accept / hug	*pʷam
5361	6.19	Social action	instruct / explain / admonish	*s-kul
5905	6.19	Social action	seduce / deceive	*b-s-lu
5772	6.20	Helping	help / pitch in	*m-ga
5426	6.21	Acquisitions	steal / thief	*r-kəw ~ *r-ku(n/t)
2365	6.21	Acquisitions	steal	*r-kəw ~ *hu
5649	6.21	Acquisitions	steal / thief	*r-kun
5648	6.21	Acquisitions	steal / thief	*r-kut
6172	6.21	Acquisitions	get / receive / find	*ŋas
2498	6.21	Acquisitions	get / have / obtain	*s/r-ney-t
5056	6.21	Acquisitions	take / fetch	*la-k
3537	6.21	Acquisitions	take / hold	*hyal
444	6.21	Acquisitions	collect / gather	*zim
5831	6.21	Acquisitions	carry (in hands) / receive / gift	*buŋ
5908	6.21	Acquisitions	hold / keep / carry / arrange	*tshya(ŋ/k)
5907	6.21	Acquisitions	rob / steal	*ʔ-m-(p)rawk
5906	6.21	Acquisitions	rob / steal / loot	*C-lu-t
376	6.22	Exchanges	change / exchange / barter / buy	*g/m/s-lay ~ *r/s-ley ~ *b-rey
2137	6.22	Exchanges	change / exchange / buy / barter	*g/m/s-lay
369	6.22	Exchanges	change / exchange / buy / barter	*r/s-ley
2606	6.22	Exchanges	buy / barter	*b-rey
2314	6.22	Exchanges	borrow / lend	*s-kəy
2541	6.22	Exchanges	borrow / lend	*r/s-ŋ(y)a
2339	6.22	Exchanges	borrow / lend / debt	*kroy
3522	6.22	Exchanges	owe	*hwaŋ
6191	6.22	Exchanges	pay / give for	*g-la
5828	6.22	Exchanges	price / hire / work	*(g/k)uːŋ
5827	6.22	Exchanges	price / wages / labor	*k(y)a-t
5890	6.22	Exchanges	ransom / buy off	*b-lu-t-s
2732	6.22	Exchanges	repay	*tsap
2800	6.22	Exchanges	sell / buy	*ywar
2554	6.22	Exchanges	trade / buy / sell	*par
89	6.23	Giving	distribute	*b-rim
2425	6.23	Giving	free / release / slip / dislocate	*g/s-lwat
2158	6.23	Giving	give	*s-bəy-n/k
3549	6.23	Giving	give	*ya-k
649	6.23	Giving	give / causative	*s-tyar
5820	6.23	Giving	give / command / concede	*g/s-naŋ
5869	6.23	Giving	send / dispatch	*s-kur
4511	6.23	Giving	submit / present / give	*ʔap
2627	6.24	Verbs concerning textiles	sew	*ʔ-(d/g)rup
5408	6.24	Verbs concerning textiles	spin / card fibers	*m-ga
2686	6.24	Verbs concerning textiles	weave	*(t/d)ak
5669	6.24	Verbs concerning textiles	weave / drive / chase	*rak
2350	6.24	Verbs concerning textiles	sew	*krwi(y)
5843	7.1.2.1	Quantity - general	empty	*C-tuŋ
2415	7.1.2.1	Quantity - general	heavy	*s-(l/r)əy-t
2789	7.1.2.1	Quantity - general	light (weight), lightweight	*r-yaːŋ
3372	7.1.2.1	Quantity - general	many / much	*m(r/y)a
5728	7.1.2.1	Quantity - general	narrow	*dwak
6186	7.1.2.1	Quantity - general	narrow / crowded	*gyap
162	7.1.2.2	Degree	swift / strong / violent	*k/l/ʔ-wan
3500	7.1.2.2	Degree	cheap	*hwaŋ
443	7.1.2.3	Temperature	cold / freeze	*m/s-glak ~ *m-glaŋ
5140	7.1.2.3	Temperature	cold / chilly	*wut
2420	7.1.2.3	Temperature	warm	*s-l(u/i)m
2457	7.1.3	Human qualities and appearance	beautiful / perfectly / well	*mway
337	7.1.4.2	Feel/Tactile/Texture	bulge / bend	*guːl
434	7.1.4.2	Feel/Tactile/Texture	cohesive / sticky / elastic	*s/ʔ-n(w)ay
698	7.1.4.2	Feel/Tactile/Texture	heavy / thick (of liquids) / viscous	*s-naːŋ
1867	7.1.4.2	Feel/Tactile/Texture	rough	*gram
2577	7.1.4.2	Feel/Tactile/Texture	soft / boiled	*pryaw-k
5530	7.1.4.2	Feel/Tactile/Texture	sticky	*s-nyak
2510	7.1.4.2	Feel/Tactile/Texture	tender / soft	*now
5759	7.1.4.3	Hear	noisy / agitated	*syay
6406	7.1.4.4	Taste	sour	*kruŋ
2338	7.1.4.4	Taste	sour / acid	*k/s-rwak
2379	7.1.4.4	Taste	sour / be acid	*s-kyuːr ~ *s-kywaːr
6079	7.1.4.4	Taste	sour / be acid	*suːr ~ *swaːr
2380	7.1.4.4	Taste	sweet	*kyəw
2721	7.1.4.4	Taste	sweet	*twi(y)
3512	7.1.4.4	Taste	sweet	*h(i/u)l
6150	7.1.4.4	Taste	sweet	*s-klum
6218	7.1.4.4	Taste	sweet	*m-yaŋ
6152	7.1.4.4	Taste	sweet / fragrant	*lyam
2221	7.1.4.4	Taste	sweet / tasty	*dz(y)im
2764	7.1.4.5	Smell	stink / putrefy / stale	*ʔu
574	7.1.5.1	General - form	buttocks / heel / dull / blunt / rounded part	*r-t(u/i)l
639	7.1.5.1	General - form	fine / delicate	*mwəy
2557	7.1.5.1	General - form	flat / thin	*pyar
6178	7.1.5.1	General - form	new	*g-sik
2651	7.1.5.1	General - form	new / fresh	*g-sar
2165	7.1.5.1	General - form	scattered / divided / forked	*bra
2760	7.1.5.1	General - form	steep (adj.)	*tsyuk
2633	7.1.5.1	General - form	stiff / tough	*rwat
2160	7.1.5.1	General - form	straight / straighten	*(p/b)lyaŋ
5734	7.1.5.1	General - form	straight / straighten	*t(r)waŋ
5379	7.1.5.1	General - form	tense / tight	*(d/t)aŋ
2432	7.1.5.1	General - form	thin / flat / flat object	*lyap
5335	7.1.5.1	General - form	worn out / torn	*t(r)ya-t
2702	7.1.5.3	Position - high/low	high	*m-twa-n
2597	7.1.5.3	Position - high/low	high / long	*m-raŋ
5380	7.1.5.3	Position - high/low	shallow	*dim
1005	7.1.8.3	Neutral term	raw / green / unripe	*dz(y)im
2228	7.1.8.3	Neutral term	old	*r-ga
88	7.1.8.3	Neutral term	old	*b-gryas
7185	7.1.8.3	Neutral term	old	*s-bi
7187	7.1.8.3	Neutral term	old	*kwak
7189	7.1.8.3	Neutral term	old	*rar
5882	7.1.8.3	Neutral term	old	*r-ny(w)əŋ
7181	7.1.8.3	Neutral term	old (of things)	*sar
7183	7.1.8.3	Neutral term	old (of things)	*s-li
5417	7.1.8.3	Neutral term	settled / fix / establish	*m/s-diŋ
5421	7.1.11.1	Light	loud / bright	*brwaŋ
2535	7.1.11.2	Dark	dark / withered / evil	*s-n(y/r)əw
6701	8.1	Abstract Entities	other / outside	*yaːr
5552	8.1	Abstract Entities	thing	*r-dzas
5553	8.1	Abstract Entities	things / stuff	*ray
5561	8.1	Abstract Entities	time / occasion	*k(y/r)iːn
5562	8.1	Abstract Entities	time / occasion	*s-pwak
282	8.2	Abstract verbs	be there / have	*m-dzyaŋ
5652	8.2	Abstract verbs	dare	*s/m-wam
2193	8.3	Psychological verbs	defy / interfere / be at enmity with / risk / guess	*daw
2572	8.3.1.1.1	Like	delight / happy / enjoy	*p(r/y)aw
5854	8.3.1.1.1	Like	happy / pleased / content	*s-kyit
2602	8.3.1.10.1	Fear	fear	*b-ray-t
626	8.3.1.10.1	Fear	fear	*lik
2337	8.3.1.10.1	Fear	fear / afraid	*kri-t
2249	8.3.1.10.1	Fear	fear / frighten	*s/d-krwak
5894	8.3.1.11.2	Tired	exhaust / exhausted (adj) / spend / spent (adj)	*s-prun
5886	8.3.1.11.2	Tired	tired / annoy(ed) / lose (contest)	*s(r)u(m/n)
4054	8.3.1.11.2	Tired	tired / exhausted	*baŋ
6094	8.3.1.11.3	Thrilled, Dizzy	crazy	*ru-t
5675	8.3.1.12.1	Know, Believe	believe	*yum
2670	8.3.1.12.1	Know, Believe	know / understand	*syey-s
283	8.3.1.14.1	Longing	languid / leisurely	*nay
2625	8.3.1.14.1	Longing	long for / pine for	*d-rum
6621	8.3.1.14.3	Desirable	desiderative / wish, want	*myəy
3520	8.3.1.14.3	Desirable	wish / want	*huŋ
2395	8.3.1.16.1	Forget	forget	*b/m-laːp
5441	8.3.2.2.1	Appease	propitiate / appease	*toy
261	8.3.2.3.2	Pity	compassion / love	*d-rin
294	8.3.2.5.4	Tolerate	bear / endure / suffer	*ʔiŋ
5900	8.3.2.5.4	Tolerate	endure / bear / be patient	*kham
303	8.3.2.5.7	Trust	belong / trust / depend / accept / take	*m-dz(y)u-k
5412	8.3.2.8	Grudge	retaliate / grudge (bear a)	*m-taːy
2594	8.3.3.8.2	Ashamed	ashamed / shy	*s-r(y)ak ~ *g-yak
379	8.3.3.8.2	Ashamed	ashamed / shy	*s-r(y)ak
380	8.3.3.8.2	Ashamed	ashamed / shy	*g-yak
3543	8.3.3.9	Correct	right (correct) / good	*ʔal
669	8.4	Feeling	graze / almost hit / passing glose	*s-raːp
6700	8.5.1	Scold	curse / revile	*s-rə
461	8.5.1	Scold	curse / revile	*mwa-t
2332	8.5.1	Scold	threaten / terrify	*m-krim
2142	8.5.4.1	Loud	shout / cry out	*ʔaːw
5591	8.5.4.2	Soft	whisper	*sy(i/u)p
5452	8.5.5	Sounds	make noise / hum / chat / babble	*ʔur
5839	8.5.5	Sounds	sing	*g-sya-s
5838	8.5.5	Sounds	sing / play / laugh	*C-la(n) ~ *lay ~ *law(ŋ/k)
5592	8.5.5	Sounds	whistle	*sit
2799	8.5.7.1	Ask	ask / request	*r-yu(w)
2534	8.5.8	Banter/Discourse	contradict / deny	*(ŋ/g)raŋ
3511	8.5.10.4	Falsehood	lie / deceive / miss / confused / foolish	*haːy
2235	8.5.13	Beckon	call	*(g/k)aw
2262	8.5.14.2	Reveal or give information	announce / bespeak	*haːw
1010	9.1	Time	time / lifespan	*tsay
2252	9.1	Time	bend / crooked / return / back / year	*(k/ʔ)uk
5883	9.1.1	Adverbial uses	late / behind / after / outside	*phi-r/n/s
6231	9.1.1	Adverbial uses	late / slow	*s/k-laːy
2501	9.1.2	Months and Years	year	*s-ni(ː)ŋ ~ *s-nik
6165	9.1.2	Months and Years	year / season	*kum
2636	9.1.3.4	Day	day / full day / spend the night	*s-r(y)ak
523	9.1.4.3	Noon	daytime / noon	*g-duk
691	9.1.5	Other Intervals	interval / space between	*gla
5458	9.1.5	Other Intervals	long (time)	*gra
5849	9.2	Spatial terms	lean / slant / rely on	*C-kya(n/ŋ)
5846	9.2	Spatial terms	oblique / slanting / sideways	*C-k(y)ay ~ *k(y)ar
2634	9.2	Spatial terms	slant / slope	*s-rwəy
2725	9.2.1	Up	upper part / rise / raise / top / summit	*s-tyaŋ
2542	9.2.2	Down	below	*hwak
309	9.2.3	Sideways	between / interval	*kaːl
2496	9.2.3	Sideways	near	*s-naːy ~ *s-ney
2118	9.2.5	Amid	inside	*naŋ
2270	9.2.6	Around	encircle / circular / fence	*hwaŋ
1779	9.2.7	Extent	far	*dzyaːl
622	9.2.7	Extent	far	*g-wəy-n
5793	9.2.8	Directions	opposite / facing	*d(w)aŋ/k
2347	9.3	Sounds	rustle	*krwap
5418	9.3	Sounds	sound / noise / animal cry	*mriŋ
2499	9.4	Colors	red	*r-ni
1230	9.4	Colors	white	*bawk
1235	9.4	Colors	white / silver / money	*plu
2683	9.4	Colors	red / dark-colored / black	*tsya(k/ŋ)
2483	9.4	Colors	black	*s-nak
315	9.4	Colors	black	*haːŋ
2672	9.4	Colors	black / blue / dark / dark-colored	*s(y)im
6130	9.4	Colors	black / ink / deep	*s-ma(ŋ/k)
522	9.4	Colors	dark	*s-mun
197	9.4	Colors	piebald / speckled	*bruk
5721	9.4	Colors	red	*t(y)a-n ~ *tsa-n
2377	9.4	Colors	red / blushing	*s-kyaŋ
2531	9.4	Colors	white / green / yellow / blue	*s-ŋow
2326	9.5	Change of state	bend / curved / lap / bosom	*koy
5643	9.5	Change of state	change / exchange	*m-lyan
2543	9.5	Change of state	finish / loose / relax	*s-grwal ~ *ʔwal
2645	9.5	Change of state	grow worse / inferior / fallen	*s-ryut
3510	9.5	Change of state	heat up	*haŋ
5840	9.5	Change of state	increase / develop	*C-phar ~ *phyal
5438	9.5	Change of state	melt	*s/m-grəy
7165	9.5	Change of state	pulverize / shatter / diminutive	*s-nyak
2809	9.5	Change of state	rot / decay / digest	*zyaːw ~ *zyu(w)
5424	9.5	Change of state	rub off / grind	*pwa(n/t)
2614	9.5	Change of state	shade / shadow	*g/s-rip
5719	9.5	Change of state	spread (wide) / stretch out	*p-(r/y)an
5425	9.5	Change of state	spread / extend / develop	*r-dal
2791	9.5	Change of state	spread / extend / sail	*yaːr
86	9.5	Change of state	squeeze / wring / crumple	*(t)sy(i/u)p ~ *(t)swap
5720	9.5	Change of state	stretch out	*tsyan ~ *dzyan
5575	9.5	Change of state	vanish / get lost	*s-myak
2717	9.5	Change of state	wrinkle / shrink	*(d/t)wan
2426	9.6.1	Positive/Desirable qualities	easy	*lwa(ː)y
156	9.6.1.1	Positive Qualities	clear / bright / pleasant	*g-sal
2745	9.6.1.1	Positive Qualities	clear / pure / clean	*(t)s(y)aŋ
2567	9.6.1.1	Positive Qualities	good	*pra
660	9.6.1.1	Positive Qualities	good	*s-na
5740	9.6.1.1	Positive Qualities	good	*s-nam
2722	9.6.1.1	Positive Qualities	good / very / real / straight	*m-tyak/ŋ ~ *tik/ŋ
663	9.6.1.1	Positive Qualities	good / beautiful	*l(y)a(k/ŋ)
2583	9.6.1.1	Positive Qualities	price	*pəw
5855	9.6.1.1	Positive Qualities	safe / secure / in order	*b-day
2693	9.6.1.2	Positive Human Qualities	capable / fit / beautiful	*taːp ~ *m-daw
4088	9.6.1.2	Positive Human Qualities	healthy / well	*dam
5875	9.6.2.1	Negative Qualities	bad / evil / curse / poor (quality)	*ŋan
5392	9.6.2.2	Negative Human Qualities	overbearing / exploitative	*grwal
239	9.6.2.2	Negative Human Qualities	poor	*d-b(u/i)l
5913	9.6.2.2	Negative Human Qualities	stupid / fool (n.)	*p(y/w)aŋ
319	9.6.3	Neutral	bold / heroic	*s-(r/y/w)ay
93	9.6.3	Neutral	mischievous / rowdy / hooligan	*b-rut
5748	9.7.1	Shape and size	round	*s/m-kwar
5587	9.7.1	Shape and size	wedge	*sap
5551	9.7.2	Verbs referring to size/shape	thin / flat	*ba
2143	9.7.2	Verbs referring to size/shape	thin	*(b/p)a(n/t)
5731	9.7.2	Verbs referring to size/shape	round / round object / heart / eyeball	*s-lum ~ *b/m-lu(m/ŋ)
690	9.7.2	Verbs referring to size/shape	round	*s-lum
1427	9.7.2	Verbs referring to size/shape	eye / eyeball / heart / round object	*b-lum
1381	9.7.2	Verbs referring to size/shape	heart / round	*m-lu(ŋ/m)
178	9.7.2	Verbs referring to size/shape	thick / hard / solid	*r-tas
2440	9.7.2	Verbs referring to size/shape	big / elder (brother, uncle) / old	*maŋ
7173	9.7.2	Verbs referring to size/shape	short	*t(y)u(ŋ/n)
2697	9.7.2	Verbs referring to size/shape	big	*ta-y
5414	9.7.2	Verbs referring to size/shape	short	*dəw
2712	9.7.2	Verbs referring to size/shape	thick / deep	*tuːk
2418	9.7.2	Verbs referring to size/shape	long / tall	*low
7175	9.7.2	Verbs referring to size/shape	short	*s-ŋ(i/u)ŋ
597	9.7.2	Verbs referring to size/shape	encircled / ringed / striped	*(p/b)ay
2204	9.7.2	Verbs referring to size/shape	long / length	*(d/t)uŋ
7177	9.7.2	Verbs referring to size/shape	short	*m(y)ap
183	9.7.2	Verbs referring to size/shape	thick	*(t/d)ow-n
2806	9.7.2	Verbs referring to size/shape	little / small / tiny	*z(y)əy
2357	9.7.2	Verbs referring to size/shape	arched / vaulted / concave / convex	*ku(ː)m
2060	9.7.2	Verbs referring to size/shape	round / circular	*wal
447	9.7.2	Verbs referring to size/shape	contracted / stunted / dwarfish	*s-grum
1011	9.7.2	Verbs referring to size/shape	long / elongate	*s-r(i/u)ŋ
5730	9.7.2	Verbs referring to size/shape	solid / congealed / frozen / viscous / strong	*(g/k)aː(r/l)
5887	9.7.2	Verbs referring to size/shape	slender / small	*sway
1310	9.8	Measure Words	armspan / fathom / cord	*s-la(ː)m
2584	9.8	Measure Words	half / one of a pair / side	*pʷak
2312	9.8	Measure Words	weigh	*kyiːn ~ *tsyiːn
2504	9.9	Numbers and numeric expression	two	*g/s-ni-s
2748	9.9	Numbers and numeric expression	ten	*ts(y)i(y) ~ *tsyay
2666	9.9	Numbers and numeric expression	three	*g-sum
1306	9.9	Numbers and numeric expression	five	*l/b-ŋa
2409	9.9	Numbers and numeric expression	four	*b-ləy
2621	9.9	Numbers and numeric expression	six	*d-k-ruk
2505	9.9	Numbers and numeric expression	seven	*s-ni-s
2364	9.9	Numbers and numeric expression	nine	*d/s-kəw
2259	9.9	Numbers and numeric expression	eight	*b-r-gyat ~ *b-g-ryat
2355	9.9	Numbers and numeric expression	twenty / all	*m-kul
2258	9.9	Numbers and numeric expression	hundred	*b-r-gya
2301	9.9	Numbers and numeric expression	one	*kat
2238	9.9	Numbers and numeric expression	ten	*gip
2703	9.9	Numbers and numeric expression	thousand	*s-tawŋ
5383	9.9	Numbers and numeric expression	pair	*dzum ~ *tsum
6629	9.9	Numbers and numeric expression	ten, teen	*s-ra
2726	9.9	Numbers and numeric expression	one	*tyak ~ *g-t(y)ik
3540	9.9	Numbers and numeric expression	one	*ʔa
2277	9.9	Numbers and numeric expression	one	*ʔit ~ *yat
5377	9.9	Numbers and numeric expression	single / one / whole / only	*(d/t)a(n/y)
2265	9.9	Numbers and numeric expression	more / beyond / excessive	*s-la-k
2375	9.9	Numbers and numeric expression	single	*r-kyaŋ
5521	9.9	Numbers and numeric expression	six	*d-k-ruk
5863	9.9	Numbers and numeric expression	ten thousand	*khrəy
5668	9.10.1	Roads and Ways	path / way / channel / ditch	*r-ka ~ *k(r)a
1017	9.10.1	Roads and Ways	road	*lam
3604	9.10.2	Waterways/Having to do with water	bridge / ladder	*m-dzam
3582	9.10.2	Waterways/Having to do with water	bridge / ladder	*s-l(a/e)y
5780	9.10.2	Waterways/Having to do with water	bridge / ladder / stairs	*s-lak ~ *s-laŋ
5471	9.10.2	Waterways/Having to do with water	edge / bank / mouth	*m-kup
2209	9.10.3	Governable units (towns, parts of towns)	village	*(d/t)yal
2773	9.10.3	Governable units (towns, parts of towns)	village	*r/g-wa
5746	9.10.3	Governable units (towns, parts of towns)	village	*nam
5776	9.10.3	Governable units (towns, parts of towns)	village / crossroads	*grwaŋ
5847	9.10.3	Governable units (towns, parts of towns)	village	*yul
5019	9.10.4	Farm/Agricultural places	field (paddy)	*lay
5544	9.10.4	Farm/Agricultural places	swidden	*s-ya
5435	9.10.5	Places in general, countries	place	*s/k-ra
5359	10	Grammatical Words	inchoative particle	*sa-y
5498	10	Grammatical Words	question particle / interrogative	*la-y
5382	10	Grammatical Words	quotative particle	*dz(y)ay-s
5739	10	Grammatical Words	that / distal demonstrative	*wa-n
6484	10.1	Ontological	agentive / instrumental	*na
5742	10.2.2	Morphological identifiers	can / be able	*m-nyaŋ
5450	10.4.1	Nominal	noun prefix	*ʔa(ŋ/k)-
549	10.4.1.3	Diminutivizer, intensifier, etc.	diminutive	*ya
5687	10.4.1.3	Diminutivizer, intensifier, etc.	very / too / too much	*m-dzya-t
2681	10.4.2.1	Mood	prohibitive (neg. imperative)	*(t/d)a
2195	10.4.3.2	Demonstrators	that / this / deictic	*m-day ~ *m-di
5807	10.4.3.2	Demonstrators	this / here / proximal deictic	*(h)i ~ *(h)ay
5590	10.5.3	WH words	which / like / deictic / interrogative	*ka
5735	10.5.3	WH words	which / like / deictic	*kay
5589	10.5.3	WH words	which / like / deictic	*kaŋ
167	10.5.3	WH words	what	*(b/m)a-y
2436	10.6.2	Negative	(negative)	*ma
