Gloss	Proto-Aslian
male	*təmkal
lip	*təniit
molar	*təŋ(k)əm
to sleep	*tiɛk
footprint	*tiɛl
to dry	*tiil
to carry on head	*tool
to pull out	*tuəs
to wake up	*wɔɔk
to throw out	*we(e)n
they two (3D)	*weeh
again	*weel
to squeeze	*wɛ̃ɛ̃n
left (side)	*wiɛl
I (1S)	*yɛɛʔ
tiger	*ʔaap
stick/spear	*ʔaat
to swell	*ʔas
ladle	*ʔawak
to smell	*ʔɔ̃ɔ̃ɲ
fire	*ʔɔɔs
crow	*ʔə[k]ʔaak
belly, excrement	*ʔɛc
to dream	*ʔəmpuaʔ
ripe	*ʔəndɯɯm
before	*ʔəɲiiʔ
ear	*ʔəntaŋ
testicle	*ʔəntap
I (1S)	*ʔiiɲ
wasp	*ʔoo[k/ŋ]
to command	*ʔoor
to give	*ʔuək
to do	*ʔuuy
