No.	Gloss	Proto-Katuic
912	sow dry rice	*cɔɔj
913	mouse deer	*cŋkɔɔj
914	flow	*hɔɔj
915	pay bride price	*pɔɔj
916	tail	*sɔɔj
917	guest	*tmɔɔj
918	horn	*tŋkɔɔj
919	bark chewed with betel	*trɔɔj
920	monkey	*ʔawɔɔk
921	rice straw	*ʔnsɔɔk
922	white, albino	*ɓɔɔk
923	name	*ɗɔɔk
924	put aside, keep	*ɗɔɔk
925	choke on food	*hɔɔk
926	go	*jɔɔk
927	spoon	*ɟrhɔɔk, *ɟrhɔk
928	cold	*kɔɔk
929	white (of animals)	*klɔɔk
930	goitre	*pɗɔɔʔ, *pɗuuk
931	subside, sink	*srɔɔk
932	snore	*srŋɔɔk, *srŋuuk
933	used to, accustomed to	*ɓɔɔl
934	back of mountain	*dɔɔl
935	step across	*dɔɔl
936	shave hair	*ŋɔɔl
937	village	*rŋɔɔl
938	eight	*tgɔɔl
939	know	*cɔɔm
940	scoop with hands	*kɗɔɔm
941	storage basket	*klɔɔm, *kalɔɔm
942	liver	*lɔɔm
943	young (plant)	*ɲɔɔm, *ɲuum
944	large basket	*pɔɔm
945	roll up	*pɔɔm
946	fine (v.)	*tɔɔm
947	wait in ambush	*gɔɔn
948	grow(n)	*hɔɔn
949	child, offspring	*kɔɔn
950	earrings	*kcɔɔn
951	nephew	*kmɔɔn, *ʔamɔɔn
952	shape into a ball	*-lɔɔn
953	wood, tree	*ʔalɔɔŋ
954	praying mantis	*ʔanɔɔŋ, *ʔanuaŋ
955	beans	*catɔɔŋ, *ʔatɔɔŋ, *ʔatuaŋ
956	ladder, stairs	*ʔndrɔɔŋ
957	banana blossom	*ʔmpɔɔŋ
958	abundant	*ɓɔɔŋ
959	fowl trap	*crɗɔɔŋ
960	carry on shoulder pole	*crkɔɔŋ
961	shin	*crkɔɔŋ
962	stalk, stem	*trkɔɔŋ
963	gong	*gɔɔŋ
964	fence (v.)	*krɔɔŋ
965	trail, prints	*glɔɔŋ
966	hornet, wasp	*hɔɔŋ
967	grackle bird	*ʄɔɔŋ
968	seed, grain	*kalɔɔŋ
969	float (v.)	*lɔɔŋ
970	marrow	*-lɔɔŋ
971	bridge (v.)	*pɔɔŋ
972	ridge	*pŋgɔɔŋ
973	stream, river	*rɔɔŋ
974	odour of urine	*sɔɔŋ
975	handle	*tɔɔŋ
976	strain (liquid)	*tɔɔŋ
977	neck	*tkɔɔŋ
978	reply (to call)	*tmɓɔɔŋ
979	horsefly	*ʔaɟɔɔp
980	turtle	*ʔakɔɔp
981	snout	*ɓɔɔp, *ɓuap
982	catch, grasp	*kɔɔp
983	hoof	*kcɔɔp
984	hill	*gɔɔr
985	drag	*hɔɔr
986	tickle, rub	*ktɔɔr
987	sheath	*sɔɔr
988	edge	*tɔɔr
989	firewood	*ʔmpɔɔs
990	stretch (arm, leg)	*jɔɔs
991	strike with knuckles	*ɟɔɔs
992	spear	*kɔɔs
993	twirl, spring (v.)	*kdɔɔs
994	repay, return, compensate	*klɔɔs
995	mosquito	*mɔɔs
996	barking deer	*pɔɔs, *pɔɔh
997	saw, sawing motion	*ʔɔɔt
998	join together	*cɔɔt
999	pierce, stab	*cɔɔt
1000	bee (kind of)	*karɔɔt
1001	weevil	*krmɔɔt
1002	wart	*ktɔɔt
1003	pass, go by	*lɔɔt
1004	soft	*lŋɔɔt
1005	narrow	*ɲɔɔt
1006	starving	*ŋɔɔt
1007	mold (sticky rice etc.)	*pɔɔt
1008	pull	*-rɔɔt
1009	strip rice from stalk	*sɔɔt
1010	monitor lizard	*trkɔɔt
1011	I	*ʔŋkɔʔ
1012	think	*knɔʔ
1013	ladle food	*ʔɔh
1014	ashes	*ʔaɓɔh
1015	bark, shell	*ʔnɗɔh
1016	bark, shell	*ʔndrɔh
1017	dry	*ʔŋgɔh
1018	fear	*ʔŋkɔh
1019	pierce, bore a hole	*cɔh
1020	quiver	*cʔɔh
1021	beak	*crɓɔh
1022	break, snap	*ɗɔh
1023	shell	*grɔh
1024	flow	*ɟrɔh
1025	peck, strike (as snake)	*ʄɔh
1026	chop, slice	*kɔh
1027	chip(ped) off	*klɔh
1028	other, another	*knɔh
1029	wooden cow bell	*karlɔh
1030	exit (v.)	*lɔh
1031	beat	*pɔh
1032	explode, burst	*pɗɔh
1033	turn over/away	*palɔh
1034	doorway, exit	*prlɔh
1035	burn(ing)	*-rɔh
1036	fox-like animal	*-rɔh
1037	ascend	*sɔh
1038	lung	*sɔh
1039	empty	*srnɔh
1040	split open	*tɗɔh
1041	ask, greet	*tmɔh, tmuh
1042	tap/knock on	*tŋgrɔh
1043	hog plumb	*ʔakɔk
1044	toad	*ʔaʔɔk
1045	toad	*ʔagɔk
1046	toad	*ʔarɔk
1047	rice — immature pounded flat	*ʔmpɔk, *ʔmmɔk
1048	cough	*ʔŋhɔk, *khɔk
1049	monkey (kind of)	*ɗɔk, *ɗook
1050	cow	*karɔk
1051	bent, twisted	*ŋɔk
1052	cheek	*tɓɔk
1053	evil spirit	*tmɔk
1054	boiling	*trɗɔk, *kɗrɔk
1055	shrimp	*ʔɲcɔŋ
1056	ignite, burn off	*cɔŋ
1057	hold in teeth/beak	*ckɔŋ
1058	bamboo spike	*crɔŋ
1059	limb (animal/plant)	*ɗɔŋ
1060	give	*ɗɔŋ
1061	straight	*ʄɔŋ
1062	bracelet	*kɔŋ
1063	back	*krɔŋ
1064	open, unlock	*lɔŋ
1065	float/swim	*pɔŋ
1066	forearm	*prkɔŋ
1067	tie together	*tɔŋ
1068	pull (rope etc.)	*-tɔŋ
1069	bachelor	*tkɔŋ
1070	cry, call out	*ʔaroo
1071	return, come back	*coo
1072	sit	*tŋoo, *tŋəw
1073	roll smth. along	*paloo
1074	index finger	*taroo
1075	charred, black(end)	*ʔŋkooc
1076	tapered	*ɓooc
1077	bamboo pipe	*darooc
1078	boil (illness)	*ktooc
1079	end; last	*looc
1080	insect (type of)	*mooc
1081	pull out (hair, grass etc.)	*pooc
1082	finish(ed)	*tooc
1083	pick/pinch with fingers	*tɓooc
1084	termite mound	*ɓlooh
1085	open	*pooh, *poh
1086	pierce, perforate	*-looh
1087	cooked rice	*ɗooj
1088	swim	*looj
1089	float/flow	*salooj
1090	earthworm	*talooj
1091	see	*talooj
1092	pig	*ʔook
1093	poison	*ʔmɓool, *tmɓool
1094	corner, angle	*ʔntool
1095	pangolin	*-jool, *-ɲool
1096	drunk	*ɓool
1097	slave	*sool
1098	shadow	*srmool
1099	seven	*tbool
1100	post	*tnool
1101	knee	*trkool
1102	winnow	*ʔoom
1103	corner, angle	*ʔmmoom
1104	ripe	*ɗoom
1105	bathe	*hoom
1106	wrap (v.)	*kʄoom
1107	black	*koom
1108	hold in mouth	*kɓoom
1109	urinate	*kloom
1110	ripen	*pnɗoom
1111	gather, combine	*pɟoom
1112	gather, assemble	*room
1113	nest	*soom
1114	turtle	*tmoom
1115	give	*ʔoon
1116	hog plumb	*ʔaboon,*tboon
1117	pimple	*ʔmmoon
1118	narrow (space)	*ɟoon, *ɲon
1119	offer, repay	*ʄoon
1120	doubt, accuse	*toon
1121	male	*kooɲ
1122	claws (of crab)	*ʔŋgooŋ
1123	red	*brooŋ
1124	back (of body)	*klooŋ, *kloŋ
1125	cowbell	*krlooŋ, *krloŋ
1126	sponge gourd	*nooŋ
1127	communal house	*rooŋ
1128	mosquito	*rajooŋ, *rajoŋ
1129	enclose, fold	*ʔaɟoop
1130	bend over, bow	*ʔapoop
1131	turn upside down	*kndoop
1132	cry of muntjak	*poop
1133	meet (somebody)	*roop
1134	sweat (v.)	*bahoor, *-huul
1135	eel-like fish	*coor
1136	roasted rice in bamboo joints	*-hoor
1137	stir, paddle	*koor
1138	girl	*kmoor
1139	lime (for betel)	*kmboor
1140	ear	*ktoor
1141	bee (small type)	*-ŋoor
1142	help, assist	*poor
1143	douse fire	*coos
1144	choose, select	*coos
1145	shave, grate	*koos, *khoos
1146	incorrect	*loos
1147	basil	*loos
1148	clear land (v.)	*moos
1149	sweep	*poos
1150	stumble, trip	*trdoos
1151	sunset	*bloot
1152	poke	*coot
1153	enter	*moot
1154	dark or blank coloured	*ŋoot
1155	blind	*soot
1156	joint, internode	*toot, *ʔatoot
1157	taro	*ʔaroʔ, *ʔaraw
1158	hot	*ʔatoʔ
1159	rotten	*ʔnsoʔ
1160	pile up	*ɓoʔ
1161	hot (experience heat)	*-ʔoh
1162	eyebrow	*ʔakoh
1163	roast	*ɓoh
1164	plant (v.)	*coh
1165	cut off (branch)	*goh
1166	drip (v.)	*tʄoh
1167	mountain	*koh
1168	spit (v.)	*kcoh
1169	pound (rice)	*kloh
1170	bark of dog	*kroh
1171	saliva	*krcoh
1172	nose	*moh
1173	swim (people)	*poh
1174	nest	*soh
1175	fall, drop	*sdoh
1176	breast	*toh
1177	brain	*ʔaɓok
1178	pull out	*ɓok
1179	bent	*gok
1180	pour, spill	*hok
1181	suck	*ʄok
1182	owl	*krok
1183	peel (fruit etc.)	*lok, *lɔɔk
1184	hair	*sok
1185	float	*ɗol
1186	thorn	*ʔasoŋ
1187	fish (a large variety)	*groŋ
1188	high, tall	*-ʄoŋ
1189	black	*kajoŋ, *kajuaŋ
1190	winnowing basket	*kɗoŋ
1191	pool	*kloŋ
1192	serpent-headed fish	*ɟoŋ
1193	tuber	*poŋ
1194	doorway	*paloŋ
1195	blow (instrument)	*ploŋ
1196	steal (v.)	*toŋ
1197	alive, green	*tmoŋ, *moŋ
1198	pronoun, 3rd person	*ʔuu
1199	mountain	*ɓruu
1200	mango	*hrpuu
1201	pigeon	*ktruu
1202	seek	*suu
1203	hut	*suu
1204	treetop	*tuu
1205	sit	*tkuu
1206	shelter	*-ɗuu[ʔ]
1207	deep	*ɟruu[ʔ]
1208	skink	*taluu[ʔ]
1209	suck(le)	*ʔuuʔ
1210	store	*ɓuuʔ
1211	storm	*rpuuʔ
1212	cricket (large type)	*ʔaruuc
1213	believe	*huuc
1214	sip	*huuc
1215	ghost, corpse	*kmuuc
1216	pull, haul in	*ruuc
1217	sting (of insect)	*suuc
1218	ant	*smuuc
1219	yeast, wine	*ɓuuh, *ɓuah
1220	garden	*truuh
1221	bottle gourd	*ʔaluuj
1222	powder(y)	*ʔmbuuj
1223	chicken	*ʔndruuj
1224	sambar deer	*ɟuuj
1225	person	*kuuj
1226	bamboo rat	*kmpuuj
1227	boat	*duuk
1228	wear (necklace)	*kuuk
1229	push through hole	*kluuk
1230	grey (haired)	*pluuk
1231	push through	*ruuk
1232	wear/put on (clothes)	*sruuk
1233	dip up (fish)	*tuuk
1234	brain	*trɗuuk, *ʔnɗuuk
1235	shelter, cover	*puul
1236	stretch (self)	*juun, *juan
1237	underneath	*karuum
1238	eat cramming food into mouth	*luum
1239	tie hair bun	*ɲuum
1240	fragrant	*pahuum, *tahuum
1241	follow(ing)	*ʔnduun, *duun
1242	magic power	*guun
1243	send off, conduct	*ɟuun, *ʄuun
1244	follow	*tpuun
1245	termites	*ʔndruuɲ
1246	long time	*ɗuuɲ
1247	smell, sniff	*huuɲ, *huoɲ
1248	fish trap	*ʔaruuŋ
1249	roof	*-buuŋ
1250	axe	*cuuŋ
1251	calf of leg	*caluuŋ
1252	worm	*cɗuuŋ
1253	dark	*druuŋ
1254	forest	*kruuŋ
1255	before, ahead	*ɲuuŋ
1256	fear, frighten(ed)	*-tuuŋ, *-tuaŋ
1257	shaded place	*duup
1258	suck (seed, finger etc.)	*ʄuup
1259	wasp	*ʔŋʔuur, *tʔuur
1260	needle	*ʔacuur, *kɲcuur
1261	gaur	*cmuur
1262	cluster (of bananas)	*cnuur
1263	cobra	*duur
1264	slacken	*duur, *dhuur
1265	urge, persuade	*kuur
1266	cover (with soil)	*kɓuur
1267	fire, firewood	*ʔuus
1268	grandfather	*ʔacuus
1269	male, man	*ʔndruus
1270	person	*bnuus
1271	shoo away	*cuus
1272	rancid	*pʔuus
1273	soften wood/bamboo	*ʔuut
1274	frog	*ʔaguut
1275	stuck, clogged	*ɗuut
1276	wipe, rub	*ɟuut, *ʄuut
1277	scald	*ɟaluut
1278	bend, fold (v.)	*kuut, kuot
1279	stork	*kʔuut
1280	press	*kluut
1281	push	*ktuut
1282	flood	*luut
1283	mold (sticky rice etc.)	*muut
1284	honey bee	*suut
1285	flute (type of)	*tuut
1286	lasso	*kuoc
1287	steal (v.)	*tuoc
1288	take off clothes	*luoh
1289	coconut shell dipper	*ɓuoj
1290	one	*muoj
1291	wound, injury)	*cuol, *cɔɔl
1292	prophesise	*puol
1293	call, make sound	*suol
1294	shrimp	*ʔasuom
1295	wrap, cover	*duom
1296	body hair	*suom
1297	navel	*puon, *pun
1298	star	*bntuor
1299	singe with flame	*huor,*hool
1300	stand up	*juor
1301	back of blade	*kuor
1302	swollen (stomach)	*puos
1303	lift/take off from fire	*juot
1304	betel leaf	*balua
1305	order	*jua
1306	yesterday	*-nua
1307	sunlight	*buaʔ
1308	open (mouth)	*cahuaʔ
1309	sour	*ʄuaʔ, *ʔaʄɔʔ
1310	bail (v.)	*tuaʔ, *tuak
1311	scratch up/scoop by hand	*ʔuac
1312	jew's harp	*ʔŋguac
1313	wash face	*ɓuac
1314	carp (fish)	*ɓuac
1315	reach into	*cuac
1316	whistle (v.)	*kahuac
1317	take off (shirt)	*-luac
1318	pointed	*suac
1319	sand	*cuah
1320	pound rice a second time	*cruah
1321	shell (carapace)	*ʔnɗuah
1322	diarrhea	*-ruah
1323	wash	*suah
1324	abandon something	*tuah
1325	chameleon	*kuaj
1326	fang, tusk	*kluaj
1327	leak	*saruaj
1328	choke	*ʔual
1329	bundle (of faggots)	*ʔmpual
1330	strong, healthy	*cual
1331	carry on shoulder/back	*ɗual
1332	steam, vapour	*hual
1333	rest head on pillow	*tkual
1334	tie knot/bun	*kual, *ʔŋkual
1335	pigeon	*kɓual
1336	roll up, coil up	*pual
1337	cover, wrap	*kuam
1338	conical hat	*ɗuan
1339	four	*puan
1340	fern (type of)	*krɗuaɲ, *tooɲ
1341	coconut	*ɓuaŋ
1342	elephant (bull)	*guaŋ
1343	coconut	*tuaŋ
1344	legend, folktale	*ʔnsuar
1345	flow (v.)	*huar
1346	termite	*kmuar
1347	lift, unwrap	*kmuar
1348	scrape	*kuas, *kruas
1349	pebbles	*kruas, *caruas
1350	twist and tie (knot)	*ʔŋkuat
1351	clench(ed) fist	*kpuat
1352	peel skin, slough	*luat
1353	slice (v.)	*suat
1354	wet	*ʄuʔ
1355	pull	*luʔ
1356	fear, warn	*ɲuʔ, *-ɟuʔ
1357	bunch	*-puʔ
1358	window	*ʔaluh
1359	blow (blowpipe)	*bluh, *ploh
1360	insane	*juh
1361	stumble, trip	*knduh, *kɗuh
1362	blowpipe	*paluh
1363	fall, drop	*sndruh
1364	pour (water) on	*ɟruh
1365	run, flee	*trluh, *luh
1366	blistered, swollen	*prɗuh
1367	carry on back/shoulder	*kuj, *kuuj
1368	cloudy	*ʔuk
1369	rotten (of wood)	*ʔaɓuk
1370	mud, wallow	*ʔaluk
1371	mix (with hand)	*luk
1372	cloud, fog	*taluk
1373	back	*ʔŋkul
1374	stomach	*dul
1375	guard, supervise	*gum
1376	group (people/animals)	*ɟum
1377	cover (v.)	*-lum
1378	bamboo (type of)	*ʔaɓuŋ
1379	eel	*ʔnduŋ
1380	abdomen	*buŋ
1381	wrap/bundle (v.)	*buŋ
1382	house	*ɗuŋ
1383	hang, cling	*juŋ
1384	snake (common green)	*ɟrluŋ
1385	inside	*kaluŋ
1386	bag, pocket	*kduŋ
1387	flat (ground)	*kluŋ
1388	pus	*pnuŋ
1389	pit	*pruŋ
1390	deaf	*tuŋ
1391	cage, coop	*taruŋ
1392	pair (clf.)	*rup
1393	manioc	*ʔabur
1394	blow (instrument, bellows)	*hut, *hoot
1395	cut, slice	*kut
