No.	Gloss	Proto-Katuic
207	ashamed	*kɗah
208	bite down on	*kɗah
209	no; question marker	*kah
210	divide	*kah
211	split (v.)	*klah
212	split (v.)	*lah
213	if	*lah
214	rim, mouth of container	*ŋah
215	slap	*pah
216	sprout, germinate	*ɗah
217	side	*-rah
218	discard, throw away	*tah
219	field	*tajah
220	hand of bananas	*talah
221	wide	*tawah
222	young bull	*tŋkah
223	leak	*trah
224	crumble, break	*trklah
225	child	*ʔakaj
226	flea	*ʔmpaj
227	tendon, vein	*ʔnsaj
228	sickness, pain	*ʔaʔaj, *ʔaʔii
229	wife	*kpaj, *kmpaj
230	moon, month	*ksaj
231	brother-in-law	*krlaj
232	correct	*kraj
233	you (singular)	*maj
234	fruit	*palaj
235	otter	*psaj, *phaj
236	full, sated	*saj, *psaj
237	day	*tŋaj
238	wear over shoulder	*ʔmbak, *ɓak
239	cut notch, wound	*ɓak
240	body, carcass	*cak
241	trap (small animal)	*ɗak
242	person (clf.)	*nak
243	turn over	*plak
244	cook in water	*rak
245	do, make	*tak
246	hang up	*tmɓak
247	vine, climbing plant	*ʔawal
248	hold up, prop up	*dal
249	pant	*hal, *sal
250	thirst	*hal, haal
251	stuck	*kal
252	recognise, understand	*srgal
253	muddy	*tkal
254	mortar	*tpal
255	section, portion	*trkal
256	measure (volume)	*wal
257	durable	*ɟram
258	hundred	*kalam
259	arrow	*kam
260	submerged	*klam
261	dark	*knam
262	foot/handprints	*lam
263	granary	*nam
264	brood, hatch eggs	*-nam
265	warm	*saʔam, *sŋʔam
266	put/place (on top)	*tŋgam
267	soak	*tram
268	he/she/it	*ʔan
269	mother	*ʔakan
270	insect	*ʔakan, *kan
271	thousand	*ban
272	feed, raise, care for	*ɓan
273	near, close	*ɗan
274	female	*kan
275	python	*talan
276	abstain; taboo	*tan
277	snake	*ksaɲ
278	gums	*laɲ, *klaɲ
279	shoot (v.)	*paɲ
280	sand	*skaɲ
281	star (small)	*smaɲ
282	catfish	*sŋkaɲ
283	twist, wring	*waɲ
284	warm/roast by fire	*ʔaŋ
285	bitter	*ʔataŋ
286	bamboo shoot	*ʔaɓaŋ
287	scoop water	*ɓaŋ
288	laugh	*kcaŋ
289	obstruct, shut	*ktaŋ
290	clear, transparent	*-laŋ
291	we two	*ɲaŋ
292	dry (season)	*paraŋ
293	thatch grass	*plaŋ
294	dried up	*raŋ
295	wing	*snaŋ
296	forest bamboo	*sraŋ
297	soot	*-maŋ, *-maaŋ
298	stretched	*taŋ
299	spring trap	*ʔakap
300	bite (v.)	*kap
301	lidded box; to fit lid	*klap
302	prepare, put away	*rap
303	nest	*sap
304	pound (rice); stab	*tap
305	prepare	*tarap
306	spicy hot	*ʔahar
307	wing	*ʔnnar
308	skin	*ʔŋkar
309	resin	*ɟar
310	cold, fresh	*ŋar
311	fly (v.)	*par
312	crow (v.)	*tkar
313	swollen	*ʔas
314	fishhook; to hook fish	*ʔaɓas
315	beat (with rod)	*bras
316	leap, bounce, flit	*-ɗas
317	lead by rope	*kas
318	brittle, crumble	*kas, *kəs
319	morning	*-las
320	trigger (v.); fire shot	*las
321	wake, awake	*mas, *ʔamas
322	scatter, splash up	*prɗas
323	stay, dwell	*ʔat
324	axe	*ʔaɟat
325	fold in half	*ʔmɓlat, *ʔmblaat
326	straight	*bat
327	grass	*ɓat
328	light, ignite	*ɓat
329	cut	*kat
330	eye	*mat
331	press, squash	*ɲat
332	extinguished (fire)	*pat
333	confident, industrious	*prtat
334	six	*tbat
335	press, push down	*tmat
336	extinguish (fire)	*tmpat, *hmpat
337	sticky	*trɓat
338	grandchild	*ʔacaw
339	thigh	*balaw
340	shellfish	*bcaw
341	spirit	*braw
342	bear	*hŋkaw
343	poison (fish)	*kraw
344	hot	*ktaw
345	man	*-law
346	he/she/who	*naw
347	medicine	*trhaw
348	tomorrow	*brnəə
349	ignite	*ɓləə
350	crocodile	*krɓəə
351	how much/many	*-məə
352	head	*pləə
353	make use of	*prəə
354	belch, vomit	*-ʔəəʔ
355	wave, hand gesture	*kawəəc
356	tickle	*krɗəəc
357	ask	*ɓləəh, *bləəh
358	open, unlock	*pəəh
359	answer (v.)	*ʔəəj
360	hand smth.	*ʔawəəj
361	throw away	*ləəj
362	transport by vehicle	*-təəj, *-tɔɔj
363	palate	*klɗəək
364	open, unfold	*ləək, *ɓləək
365	fold/lift (skirt)	*səək, *saləək
366	heel	*knɗəəl
367	stand on toes	*knʄəəl, *knʄəət,*knʄəəc,
368	period of time	*pəəl
369	chest	*ʔapəəm
370	breathe, beat (heart)	*pahəəm
371	leech (forest type)	*pləəm
372	trunk of tree	*təəm
373	able, have, get	*ɓəən
374	swallow (v.)	*ləən
375	nape	*ŋəən, *ŋiin, *ŋian
376	muntjak	*ʔaʄəəɲ
377	take, bring	*ɗəəŋ
378	far, remote	*jəəŋ
379	leech (water type)	*ɟləəŋ
380	hot coals	*krhəəŋ
381	stick, walking stick	*trləəŋ, *trliaŋ
382	above, upstream	*pəəŋ
383	five	*səəŋ
384	talk	*təəŋ, *ʔntəəŋ
385	bad	*ɲəəp
386	beginning	*ʔntəəp
387	eyelash	*ʔakəər, *ʔŋkəər
388	crawl	*məər
389	fish trap (type of)	*ʔarəəs
390	porcupine	*ʔŋkəəs
391	dirty	*cəʔəəs, *cəʔɨɨs
392	choose	*rəəs
393	deer (Malay sambar)	*ʄəət
394	dry	*sʔəət
395	forget; retreat	*kləʔ
396	come; at; more	*təʔ
397	no more	*ləc
398	what?	*ʔaməh
399	long ago	*ʔanəh, *cnəh
400	deceive	*paləh
401	willful	*prəh
402	head louse	*ʔɲcəj
403	buy	*bləj
404	stomach	*pələj
405	vegetable, leafy green	*sbəj
406	have, exist	*wəj
407	grass	*sək, *sak
408	hiccup	*sʔək, *cʔək
409	arrive, reach	*tək
410	fell (trees)	*kəl
411	able	*cəm
412	eat with fingers	*kləm
413	soak (v.)	*ŋəm
414	take by force	*pɗəm
415	hit	*təm, *tɨm
416	plant (v.)	*təm
417	bachelor	*tdəm
418	not	*ʔən, *ʔɨɨn
419	heavy rain	*ɟən
420	wait	*bən
421	body louse	*ʔndrəɲ
422	full	*bəɲ, *ɓiiŋ
423	armspan	*ʔacəŋ
424	heavy	*ʔntəŋ, *ʔntaŋ
425	wall	*crtəŋ, *crtaŋ, *crdəŋ
426	hard	*kəŋ
427	cast (fish net)	*pəŋ, *paŋ
428	casting net	*pnəŋ, *pnaŋ
429	hear	*səŋ, *saŋ
430	straight	*tnəŋ
431	boil, cook	*ʔəp, *ʔap
432	sneeze	*cəs, *cɨəs
433	awake(n)	*pkəs
434	bump against, strike	*-təs
435	measure	*wəs
436	dibble	*cət
437	cubit (elbow to index finger)	*kət
438	mistake	*-lət
439	backwards	*plə[ə]t
440	fasten bundle	*sət, *sat
441	dream	*ʔmpəw
442	red	*ksəw
443	stone	*tməw
444	I	*kɨɨ, *kəw
445	rope, vine	*smɨɨ
446	early evening	*tɓɨɨ
447	raise, lift	*ʔajɨɨ[ʔ]
448	pull up/out	*rɨɨʔ
449	caterpillar	*barɨɨj, *baruj
450	orphan	*pntɨɨj
451	trunk, feelers	*trwɨɨj
452	wear smth. on head	*dɨɨk
453	loosen soil	*kndrɨɨk
454	root ground (as pig)	*tɨɨk
455	shallow	*-ɗɨɨl
456	support (as pillow)	*kɨɨl
457	price, value	*jɨɨm
458	finished	*nɨɨm
459	shadow	*tɨɨm
460	numb	*spɨɨn
461	loft, shelf	*crɨɨŋ
462	beat drum	*dɨɨŋ
463	foot, leg	*ʄɨɨŋ
464	long	*kajɨɨŋ
465	hold over/on head	*pɨɨŋ
466	galangal	*-rɨɨŋ
467	horsefly	*ʔasɨɨp
468	stamp with foot	*-dɨɨp, *-dəp
469	cave	*gɨɨp
470	below, downstream	*kɗɨɨp
471	drum	*cgɨɨr, *cgɨr
472	flying lemur	*tajɨɨr
473	epidemic	*ʔmprɨɨs, *ʔmprɨəs
474	forest	*ʔarɨɨs
475	python	*ʔabɨɨt
476	large, many	*bɨɨt, *buut
477	inhale (smoke)	*hɨɨt
478	faint	*ŋɨɨt
479	smoke (n.)	*grnjɨək, *gəjɨək
480	wallow (v)	*-lɨək
481	right side	*ʔatɨəm, *ʔatəm
482	stretch	*dɨəŋ
483	wind, wrap around	*pɨər
484	break	*ɗɨəs
485	peel	*-lɨət
486	you two	*ʔaɲɨa, *ʔaɲaa
487	thorn	*crlɨa
488	chest	*tdɨa
489	mushroom	*trɨa
490	few, a little	*ɓɨaʔ, *ɓiaʔ
491	fever	*ɗɨaʔ
492	old (things)	*tɨaʔ
493	tasteless	*ʔatɨah
494	heal(ed)	*jɨah
495	launder	*pɨah
496	outside	*tɨah
497	saw (v.)	*lɨaj
498	belch	*trʔɨam
499	launder	*plɨa̰s
500	knife	*ʔmbɨat
501	vulture	*mɨat
502	shake	*-gɨʔ, *-gɨɨt
503	quick, fast	*ɗɨh
504	landslide	*-kɨh
505	name	*prnɨh
506	pull out (roots, threads)	*rɨh
507	propagate, raise	*rɨh
508	name	*-rmɨh
509	breathe	*tŋɨh
510	sow (seed)	*trɨh
511	bran	*ʔalɨk, *ʔalak
512	dust	*ʔmbɨk
513	cut into, wound	*ɓɨk
514	lift up, raise	*dɨk
515	squash gourd	*kɗɨk
516	smell something	*hɨk
517	fishing net	*nɨk
518	fan (v.)	*pɨk
519	pigeon	*plɨk
520	rat	*ʔabɨl
521	tamarind	*ʔmbɨl
522	trade, exchange	*kɨl
523	block, hinder	*kɗɨl
524	cloud	*lmɨl
525	fill a void/container	*tɨl
526	fight, defend	*trcɨl
527	put out (fire)	*cɨl
528	stump	*trŋɨl
529	thumb	*ʔŋkɨm
530	wrestle	*carɨm
531	fall(en) down	*ɗɨm
532	thunder	*grɨm
533	cover/camouflage	*ɟɨm
534	stamp on	*ktrɨm
535	submerge	*-lɨm
536	fat (adj.)	*plɨm
537	night	*sajɨm
538	seize, catch	*trɨm
539	cubit (elbow to knuckles)	*trnɨm
540	eggplant	*blɨn
541	thick	*kɓɨn
542	middle	*ʔmpɨŋ
543	eggplant	*ʔŋgɨŋ
544	bedbug	*ʔnsɨŋ
545	virgin forest	*krɨŋ, *crɨŋ
546	many	*klɨŋ
547	sesame	*lawɨŋ
548	rain	*tɨŋ
549	stand (up)	*tʄɨŋ, *tjɨŋ
550	cover with lid	*kɨp
551	close (lid, door); hide	*knɗɨp
552	turn, rock (v.)	*krɨp
553	submerge	*lɨp
554	evening, dark	*-ɲɨp
555	fall	*prɨp
556	wear clothes	*sɨp
557	bury	*tɨp
558	lips	*-ɓɨr
559	rod, handle	*gɨr
560	arm of crossbow	*-kɨr
561	shake (head)	*tgɨr
562	big	*krɨs
563	draw, take	*ʔɨt
564	gall, bile	*mɨt
565	missing, lost	*pɨt
566	great-grandchild	*ʔacɛɛ
567	bamboo (type of)	*ʔalɛɛ
568	you (plural)	*ʔmpɛɛ
569	we (incl.)	*hɛɛ
570	rattan	*karɛɛ
571	penis, stinger (of insect)	*klɛɛ
572	rat	*knɛɛ
573	vine, cord	*krsɛɛ
574	look at, watch	*mɛɛ
575	three	*pɛɛ
576	poison (vine)	*pŋɛɛ
577	bird (type of)	*ptɛɛ
578	rice field	*sarɛɛ
579	new	*tmɛɛ
580	goat	*ʔmɓɛɛʔ
581	corner of mouth	*-ɓɛɛk, *-ɓeec
582	split (v.)	*crɛɛk
583	tear (v.)	*hɛɛk
584	tear (v.)	*jɛɛk
585	tear (v.)	*tɛɛk
586	lick	*ɗɛɛl
587	younger sibling	*ʔaʔɛɛm
588	clitoris	*kalɛɛn
589	branch	*ʔmɓɛɛŋ
590	fat, grease	*ʔnsɛɛŋ
591	branch	*ʔŋkɛɛŋ
592	lime (fruit)	*cɛɛŋ
593	lean to one side	*-gɛɛŋ
594	drain (v.)	*hɛɛŋ
595	gold	*ʄɛɛŋ
596	tooth	*knɛɛŋ
597	jambolan	*krɛɛŋ
598	seed	*lɛɛŋ
599	heartwood	*lɛɛŋ
600	gore	*pɛɛŋ
601	rainbow	*prɛɛŋ, *marɛɛŋ
602	dry over heat/in sun	*-rɛɛŋ
603	grass (tall variety)	*-rɛɛŋ
604	elbow	*kɛɛŋ, *trkɛɛŋ
605	chase	*wɛɛŋ
606	sibling-in-law	*ʔalɛɛp
607	spread on; lay a floor	*lɛɛp, *leep
608	rust	*ʔatɛɛt
609	pinch with fingers	*ɗɛɛt, *ɗeet
610	sting (of insect)	*kalɛɛw
611	where?	*-lɛʔ
612	all	*ɲɛʔ, *ɲɛɛʔ
613	sexual intercourse	*tɛʔ
614	cooking pot	*ʔaɗɛh
615	gnaw	*ʔndrɛh, *krɛh
616	horse	*ʔasɛh
617	excrement	*ʔɛh
618	jar	*cɛh, *cɛɛʔ
619	pound (with hammer)	*dɛh
620	hammer (n.)	*drnɛh
621	strike flint	*gɛh
622	short (length)	*hŋkɛh
623	tired	*ɟalɛh
624	mountain goat	*kɛh
625	blink	*kɓɛh, *kɓlɛh
626	hook (v.)	*klɛh
627	parasitic worm	*mrɛh
628	chisel (v.)	*pɛh
629	pick off	*plɛh, *plih
630	brittle, fragile	*plɛh
631	cut/slash	*rɛh
632	tight(en)	*tɛh
633	fireplace	*tpɛh
634	woodpecker	*trɛh
635	cut, slash	*trɛh
636	sharp	*hɛŋ
637	sky	*plɛŋ, *plɛɛŋ
638	small	*kɛt, *kɛɛt
639	wilt, wither	*srwɛt
640	weigh down	*tɛt
641	whip (v.)	*-wɛt
642	pestle	*ʔndree
643	shake rice	*hntee
644	carry child in arms	*kɓee
645	mother	*ʔameeʔ
646	carry on shoulder pole	*ʔmbreeʔ
647	shoulder pole	*tɔɔŋ bareeʔ
648	fart	*teeh
649	astringent	*ʔaceek
650	string beads, insert skewer etc.	*kseek
651	lead by hand/rope	*teek, *tɨk
652	carry by hand	*tajeek
653	meal	*beel
654	spleen	*meel
655	bird	*ceem
656	animal (general term)	*leem
657	cooked, ripe	*ceen
658	tread on	*kteen
659	lean to side	*-ceeŋ
660	finished, completed	*ɟeeŋ
661	belt, sash	*knteeŋ
662	look at	*ɲeeŋ
663	behind	*-peeŋ
664	join(ed) together	*teeŋ, *brteeŋ
665	waist	*trweeŋ
666	sticky rice	*ɗeep
667	suck	*ʄep, *ʄeep
668	centipede	*kaheep
669	hire	*ceer
670	blow nose	*kseer
671	dead	*ceet, *cet
672	die	*kceet
673	kill	*kɲceet
674	wax (from insect)	*peet
675	this	*neʔ, *nee
676	cut, slash	*peʔ
677	fast, quickly	*tɓec
678	water leech	*ʔadeh, *deh
679	hatch (egg)	*ceh
680	burn, ignite	*ceh
681	break	*ɗeh
682	kick	*kɟeh
683	untie	*leh
684	stringed instrument	*tmbreh
685	wagging movement	*wek
686	stretch (v.)	*deŋ
687	exhausted	*ʔet
688	stab, pierce	*ʔɲcet
689	throw (spear etc.)	*ʔɲcet
690	draw (water)	*ʄet
691	tie tightly around	*ret, *reet
692	mother	*ʔaʔii, *ʔaʔəj
693	uncle	*ʔaɲii
694	hand, arm	*ʔatii
695	late morning	*calii
696	rain lightly	*brii
697	look at, watch	*cii
698	banyan tree	*ɟarii, *ʔarii
699	that	*kii
700	horn	*kii, *ʔakii
701	equal, even	*lii, *trlii
702	spin (yarn)	*rwii
703	water leech	*salii
704	half, middle	*tɗii
705	monitor lizard (water type)	*trii
706	civet cat	*cmpiiʔ
707	ride	*ɗiiʔ
708	fan (v.)	*-diiʔ
709	forehead	*kaliiʔ
710	buffalo	*tariiʔ
711	difficult	*piic
712	tree (poison yielding)	*biih
713	poison, venom	*biih
714	big and long	*griih
715	sweep	*piih, *peh
716	spring (season)	*priih
717	broom	*prniih
718	kindle fire	*tiih, *ʔatiih
719	turn	*wiih
720	pig	*ʔaliik
721	fear doing smth. again	*caliik
722	comb	*kciik
723	rub	*giil, *ʔŋgiil
724	lick	*ʄiil, *ʄial
725	fear	*kahiil
726	smooth	*phiil
727	remove outer layer of fruit	*riil
728	peel (with knife)	*siil, *siel, *sial
729	mark (leave a trace)	*tiil
730	village	*wiil, *weel
731	forget	*-wiil
732	grasshopper	*ʔaliim
733	millet	*-riim
734	coil, curl	*wiin, *wian
735	spider	*ʔabiiŋ
736	pour	*ʔaliiŋ
737	brother	*ʔamiiŋ
738	open (eyes)	*bliiŋ, *bliaŋ
739	stink, emit odour	*ciiŋ
740	rainbow	*-diiŋ
741	fence	*kariiŋ
742	grave	*piiŋ
743	log	*pariiŋ
744	mongoose	*-siiŋ
745	dry in sun	*tiiŋ, *tɨaŋ
746	mate (v.)	*tiiŋ
747	crossbow	*tmiiŋ
748	hornbill	*triiŋ
749	cicada	*ʔatiir
750	flower	*piir
751	rack above fireplace	*tiir
752	dizzy	*wiir
753	citrus	*piis
754	hit	*piis
755	vagina	*diit, *tɛɛt
756	sharpen	*kiit, *kit
757	shy, embarrassed	*kciit
758	close (eyes)	*kɲiit
759	banana	*priit, *prɨat
760	turmeric	*rmiit
761	garlic	*ʔaɗiiw
762	fish	*ʔasiiw
763	buffalo	*krpiiw
764	chilli pepper	*tiiw
765	sew	*ʔieh, *ʄieh
766	scabies	*ʔmpieh
767	cut open	*cieh
768	melt	*liek
769	pick up/out	*wiek, *wɨak
770	crush, rub	*ktiel, *ktɛl
771	mango	*priel
772	smooth, clean	*siel
773	flute	*tariel
774	lean against	*ɟnien
775	bird (type of)	*blieŋ
776	mature, ripe	*krieŋ
777	cricket	*ʔariet
778	sap	*siet
779	bell	*ʔariew
780	look after, guard	*kiaʔ
781	earth, soil	*ktiak
782	beg	*siak
783	circle	*ʔawial, *ʔawiil
784	lay eggs	*ʔndrial
785	cucumber	*ʔŋkial, *ʔakial
786	fish scales	*ʔnsial
787	heart	*-cial
788	take, collect	*ʄial, *ʄiil
789	bee	*kahial
790	gnaw, nibble	*kial
791	wife	*kɗial
792	lemongrass	*-wial
793	roll up, coil up	*pial
794	hail(stone)	*parial
795	ache	*prial
796	flintstone	*prial
797	anus	*rial
798	chop	*-rial
799	mallet	*tial
800	egg	*tarial
801	delicious	*ʔiam
802	crop, craw	*biam
803	hold in mouth	*ɓiam
804	feed (v.)	*ciam
805	scorpion	*klɗiam
806	dry food by roasting	*kriam
807	good, beautiful	*liam
808	younger sibling	*siam
809	candle	*dian
810	dwarfed, stunted	*krian
811	child	*krnian, *prnian
812	study, learn	*rian
813	elephant	*ʔaciaŋ
814	cover body with cloth	*ciaŋ
815	trap (type of)	*ɓiaŋ
816	taboo	*diaŋ
817	hornet (type of)	*hiaŋ
818	Hypericaceae (edible plant)	*haŋiaŋ
819	glance sideways	*kaliaŋ, *kaleeŋ
820	lock a door	*kliaŋ
821	type of plant	*-riaŋ
822	bat	*ʔasiap
823	spring trap (n.)	*kiap
824	press, hold down	*ktiap
825	prepare	*riap, *priap
826	left side	*ʔawiar
827	slippery, smooth	*ktiar
828	descend	*siar
829	floor of split bamboo	*tniar
830	swerve, go around	*wiar
831	roast	*ʔias
832	nail, claw	*knrias
833	lychee	*kpias
834	break off/apart	*lias
835	count	*ŋias, *ŋiih
836	root	*rias
837	chipped	*sawias
838	nine	*tgias
839	blame, criticise	*tias
840	brush off, push away	*tpias, *tpas
841	slice off	*ciat
842	cold	*cŋiat
843	cool, cold	*criat
844	squeeze	*-diat, *-diit
845	tick (large)	*kpiat
846	dive	*ŋiat
847	twist, wring	*tawiat
848	carry at waist	*kliaw
849	bulbul (red whiskered)	*pariaw
850	knife (small)	*ʔaciʔ
851	break	*ʔmbiʔ
852	how much	*ʔnsiʔ
853	squeeze	*kɗiʔ
854	melt	*liʔ
855	nearly	*miʔ
856	wring, squeeze	*tawiʔ, *tawiaʔ
857	lie down, sleep	*ɓic
858	dig	*pic
859	slash	*tic
860	that (far/up stream)	*ʔntih
861	sprinkle	*ɓrih, *rih, *ɓih
862	dust	*ɓrih, *ɓras
863	afternoon	*-wih
864	chilli pepper	*brik
865	female, woman	*ʔnɗil
866	blunt (edge)	*ʔnsil
867	missing	*bil
868	spin, circle	*wil
869	wind (n.)	*ŋin
870	beat	*diɲ
871	wet	*ʄip
872	close mouth	*kɓip, *kmɓip
873	shake	*ʔawit
874	ten	*ɟit
875	he/she	*ʔɔɔ
876	good	*ʔɔɔ
877	dog	*ʔacɔɔ
878	bamboo water pipe	*ʔŋkɔɔ
879	father	*ʔmbɔɔ
880	roof (v.)	*ʔmpɔɔ, *spɔɔ
881	fireplace	*ɓlɔɔ
882	rain	*ɓɔɔ
883	stringed instrument	*drɔɔ
884	he/she/it	*ɗɔɔ
885	raft	*hrʔɔɔ
886	shellfish (gastropod)	*klɔɔ
