No.	Gloss	Proto-Pakanic	Pre-Pakanic	Bolyu	Bugan (Nala)	Bugan (Manlong)
163	ginger	*cɯŋʔ		tɕəŋ3	tsʰɯ¹³	tɕʰɯ̱²⁴
164	millet	*saŋ		saŋ5	saŋ³³	saŋ⁴⁴
165	ears (of grain)	*kaːn		qaːn5		qa²⁴
166	thorn	*pɔk		pɔk7	paŋ⁵⁵	pa̱ŋ³¹
167	body	*ɓaŋ		mbu3mbaːi5	baŋ³³	mbaŋ⁴⁴
168	chin	*keːŋ		laːp8qeːŋ5	la⁰kə³³	ti³¹kɯ⁴⁴
169	fist	*bau		pau4tsʰap10		tje⁴⁴mbou⁴⁴
170	chest	*nuʔ		qɔ4ni6	ha⁵⁵nu̱³¹	xa̱⁵⁵nou³¹
171	stomach	*ɗoŋ		ndan3	tai³¹	loŋ⁵⁵
172	pus	*tuŋʔ		tuŋ3	tɔ̱ŋ³⁵	toŋ⁴⁴
173	orphan	*nɔ		qa0nɔ6	ɲa³³nou³³	ɲa⁴⁴nou⁴⁴
174	blanket	*paːmʔ		paːm2		pa̱²⁴
175	axe	*kun		kʰun1	bou³¹kan¹³	ken⁴⁴
176	plow	*coŋ		tɕɔŋ2	tɕuŋ³³	tɕoŋ⁴⁴
177	drill	*tsoŋ	< *coŋ	tsɔŋ2	tsoŋ⁵⁵	tsoŋ⁴⁴
178	basket	*ɗaːiʔ		ndaːi5		ta̱i³¹
179	candle	*kɔ		qaːn2qɔ3	qou³⁵	ku²⁴
180	ink	*mak		mak8		ma̱ŋ³¹
181	lick, to	*lɛmʔ		ljim4	lɛ¹³	lɛ̱²⁴
182	twist, to (a rope)	*pʰja		pʰjaːi1		pʰja³¹
183	wring, to (a towel)	*pat		pjit7	pa̱³⁵	pa̱³¹
184	run, to	*kʰaːt		qaːt8	qʰa̱i⁵⁵	qʰe̱i³¹
185	carry on back, to	*paʔ		pe5	pa̱³³/³⁵	pua²⁴
186	sell, to	*seːi		saːi3	se³¹	sei³¹
187	steam, to	*kʰoː		qʰaːu4		kʰau³¹
188	scoop, to (water)	*kʰoːʔ		qaːu3		kʰo̱²⁴
189	wash, to	*laːi		laːi4	le¹³	li⁴⁴
190	comb, to	*tsi		tse4	tsi³¹	tɕi³¹
191	weave, to (basket)	*taːn		taːn3		da³¹
192	answer, to	*ʔoʔ		ʔiu3		o̱³¹
193	borrow, to (money)	*ɗan		ndan5		nda²⁴
194	give, to	*ti		tɔ5	ta̱³⁵ti⁵⁵	ti⁵⁵
195	divide, to	*sanʔ		san5	sa̱i³⁵	sei²⁴
196	go, to	*ʑɔʔ	< *ɟɔʔ	ʑu2	jau³¹	ʑa̱u³¹
197	soak, to	*taŋ		təŋ3		daŋ²⁴
198	float, to	*buʔ		pu2	mbou³¹	po̱u³¹
199	split, to (intr.)	*ɓɛnʔ		mbjɔ5		mbɛ̱n⁴⁴; bjaŋ²⁴
200	turn, spin, to	*vanʔ		pin³³	va̱n³⁵	ve̱n³¹
201	lay, to (egg)	*ten		tu4		tʰen³¹
202	tall	*ɣoʔ	< *roʔ	ʑɔu4	ɣo³³	ɣo̱⁴⁴
