No.	Gloss	Proto-Munda	Gorum	Sora	Remo	Gutob	Kharia	Juang	Gtaʔ	Santali	Mundari	Ho	Korwa	Korku
81	peacock	*maraˀk	marraʔ	maːraː		maraʔ	maraʔ	marag		marak'	maːraː	maraː	maraːq	mara
82	long/tall	*ɟv₃₆lv₃₇N	zuleŋa	ɟeleːn	sileŋ	sileɲ	"jhelo(g	b	m)"	ɟaliŋ	clæ	jeleɲ	jiliŋ	jiliɲ		
83	ebony	*tv₁₅rel		tarel	tire		ti(ɽr)(ei)l	tɛrɛn	tre	terel	tiril	tiril		
84	gazelle	*sv₆l₁₂ˀp	alu'b	əleːb	sulup	sulub	selhob	silib	sloʔ	selep'	silib	silib	seleb	
85	cross (v)	*pəˀt	pa'd	pad	poʔ	poɖ	paro(m)	(pakea)	pwaʔ	par	paːrom	parom	parom	paːr
86	trample (v)	*ten	tin			ten	ten		(ʈe)	ten	ʈhen	ten	ten	ten
87	chase (v)	*sv₃₀n	san	san	sensen		san	(saŋgem)		sen	sen	sen	sen	sen(e)
88	get (v)	*ɲam		ɲam			ɲam			ɲam	naːm	nam	ɲaːm	na
89	fall/rain (v)	*gur	gur	gur	gur	gir	gur	gur	gur	gur	gur	gur		guru
90	drink/swallow (v)	*uˀt			uʔ	iɖ	uˀd	ur/uɖ	ug	ut'	ud'	uɖ	uːɖ	uːʈ
91	defecate (v)	*iˀc	ḭj / iˀɟ	gad-iɟ	ik'	ig	iˀj	ij	æg	ic'	ij'	iiʔ	iːq	ich
92	contain/block (v)	*bəˀt	baˀd	bad	boʔ	bod			boaʔ	be̠t'	bed'	beɖ		
93	scrape (v)	*laˀk	laʔ			lag	laʔ	lag	liaʔ	lak'		laʔ		laʔ
94	squeeze/milk (v)	*roˀc	(ra'd)	(rad)	riʔ	roj	roˀj	roɟ	rweʔ	roco	roeʔ	roːeʔ	roej	ro(ː)c
95	porcupine	*ɟiŋ(k)		kənɟɪːŋ	gisiŋreʔe		jiŋray	ɟiŋɛ	gcæiŋ	jhĩk	jiki	jiki	jiːk	jikɽa
96	fry/scrape (v)	*gaˀc	gaˀɟ	gaɟ	gaĭ	gaj	gaˀj	gaj	gæʔ	ge̠c'	geʔ			
97	burn (chilies) (v)	*per	per		per	per			pir	pe̠ṛen		(pertol)		
98	be sated (v)	*bv₃₁/*bv₃₁sv₃₂	buʔ	beˀ	busu	busu	"bes(o	u)"	bisu	bse	bi(ʔ)	biː(ʔ)/biu	biː	biː	
99	hair	*uˀp		uʔ/(uppur)	ugbok'	iʔboʔ	(ului)		ugboʔ/ogboʔ	up'	ub'	ub	uːb	huːp
100	name	*ɲv₃₃m	inum	əɲam	nimi	imi	(i)ɲimi		mni	ɲum/ɲutum	num/nutum	numu/nutum		jimu
101	fish	*k₂a(aˀ)	ajuʔ	əjoː	aɽoŋ/CFːaʔ	aʔɖoŋ	kaɖoŋ	karoŋ	haʔɽo/CFːhaʔ	hako	haːi	hai/haku	hakuː	kaːku
102	wind	*k₂ojo			uĭɖak'	oioi	koyo	koio	hueɽiaʔ	hoyoŋ	hoyo	hoyo	hoe	koyo
103	sambar (deer)	*sv₃₉r	ki(N)sar	kinsar	saram/săram/sram/siram	suram		sɛram	sra	saram	saːraːm	saram		(ruy)
104	husking mortar	*sv₄₄(vˀ)l	a̰l	onoːl/OnAl	sabu	saʔal	sol	(hesab)	saboʔ		seːl/sehel	sẽːl		sel
105	bamboo joint	*maˀt	maˀd	mad		moʔ	moɖa	mɔɖɔ	(leʔ-mweʔ)	mat'	maːd'	maɖ	maːɖ	maːʈ
106	pull/drag (vt)	*or	or	or		(an)			ur-guʔ	or	or	or	or	o(ː)ɽ
107	slip (vi)/be slippery	*ɟv₄₀ləˀt		ɟaloː/ɟəloː(ɟ)	sulo(ʔ)	sulod	joloɖ		cluaʔ	(jilet'/jalat')	jilaːd'	jilad	jeleɖ	(silir)
108	rain (n/vi)	*gv₄₁ma		gum		arel-gum	gim	gima		?	gaːmaː	gama		ghamaʔ
109	sip (v)	*sv₄₂rv₄₂ˀp	soɖo'b	sərub		surub	suruˀb	surupi	srog	sirup'		siriːb		
110	mouth	*tv₄₃məˀt	toˀd/tom	tˀod/tam	tumoʔ	tumoʔ	tomoˀɖ	tɔmɔd	tmwaʔ					
111	distribute (v)	*tv₄₅ˀɟ	taˀɟ	tij	teʔsaʔgur	tej	taˀj	taɟ	toeʔ					
112	unripe mango	*k₂aˀc[e/ə]r/*k₂aˀk[e/ə]r	aˀɟer		ayer/ager	aʔer	kayar	kae	hiaʔir					
113	irrigated field	*lv₄₆joŋ	lioŋ		ljo	lioŋ			ljo		loyoŋ		loyoŋ	
114	hill	*buru	bura	bəru/baru/bur	biri	biroŋ/buroŋ	biru		bri	buru	buru	buru	buːruː	
115	forest	*biri	bura	bəru/baru/bur	biri	biroŋ/buroŋ	biru		bir	bir	bir	bir	bhiːr	
116	elephant	*rəəˀ	raʔ	raʔ		roʔo								
117	cloud	*rimil								rimil	rimil	rimil		
118	six	*tur	turgi	turru	tiʔri	tir	tib(h)ru		tur	turui	tur(u)iaː	turui(ya)		turuy(a)
119	seven	*gul	gulgi	gulɟi	giʔ	gil			gu	(eae)	(e(aː))	(ai(ya))		(ey(ya))
120	eight	*tam	tamgi	tamɟi/tanɟi	tomam	tamgi	tham							
121	nine	*tim	timgi	timɟi		timgi			so(n)tiŋ					
122	ten	*gv₄₈l	galgi	galɟi	goː	gol	gel		go	gel	gel(ea)	gel		gel(ya)
123	paddy	*baaˀ	baba	baːbaː			baʔ	bua			baːbaː	baba	(aːbaːga)	baba
124	child	*k₂on	aŋon	oˀoːn	ɔ̃ʔɔ̃	oʔn	konon	kɔn	ūhuŋo	hon	hon	hon	hon	ko(ː)n
125	god	*kitv₃ŋ	kituŋ	kittuŋ	kitoŋ	kituŋ	kiʔtuŋ		kitoŋ					
126	inside	*alv₃ŋ/*ᵊlv₃ŋ	aluŋ	əluŋ	aluŋ	aluŋ		aluŋ	alo					
127	dirt	*k₂umv₄₉/*k₂ᵊmv₄₉	mar			imar		(muili)	hmar		humu	humuː		kumu
