No.	Gloss	Proto-Khasian
221.	neck	*rdaŋ
222.	taboo, sin	*saŋ
223.	thin	*staŋ
224.	to roast	*sʔaŋ
225.	conjunction	*taŋ
226.	tube, pipe	*taŋ
227.	to bark	*ʧaŋ
228.	to burn	*tʰaŋ
229.	to thirst	*tʰraŋ
230.	hearth	*tmpaŋ
231.	forehead	*ʧnlaŋ
232.	male	*ʧnraŋ
233.	to open	*ʔaŋ
234.	full	*dap
235.	to help each other	*jaʔ-rap
236.	to bite	*kap
237.	to meet, join	*kap
238.	prong	*kap
239.	to fasten	*kʰap
240.	to insert	*kʰap
241.	to cut	*kʰap
242.	tongs	*kʰnap
243.	honeybee	*ŋap
244.	to fill	*pndap
245.	to mix with, insert	*psap
246.	more	*rap
247.	rain	*slap
248.	fold, layer	*srtap
249.	pebble, seed	*stap
250.	to wait for	*tʰap
251.	to weight	*ʔap
252.	to wait	*ʔap
253.	to tear	*tar
254.	to hit, beat	*dat
255.	at same time or place	*ʤndat
256.	to bite, snap off	*kʰat
257.	herb	*knbat
258.	to insert	*knsat
259.	eye	*-mat
260.	to exceed	*palat
261.	to fall	*pat
262.	to break through	*prat
263.	to think	*prkʰat
264.	to thunder	*prtʰat
265.	to break, snap	*ptʰat
266.	to uproot	*rat
267.	dried up	*rŋat
268.	pungent	*sat
269.	active, fast	*smat
270.	to beat, whip	*smpat
271.	to scrape	*ʧrat
272.	sour	*ʤaw
273.	market	*jaw
274.	dog	*ksaw
275.	banana	*ldaw
276.	ashes; bake in ashes	*psaw
277.	dry	*raw
278.	charcoal	*rŋaw
279.	to pay	*saw
280.	knee	*-saw
281.	scabies	*səraw
282.	to sit	*skaw
283.	to carry on back	*baʔ
284.	sticky	*ʤnaʔ
285.	sibling	*-jaʔ
286.	phlegm	*kʰaʔ
287.	child	*kʰnnaʔ
288.	to sting, sear with heat	*kntʰaʔ
289.	to want	*kwaʔ
290.	to come	*laʔ
291.	termite	*raʔ
292.	to carry	*raʔ
293.	to hit	*saʔ
294.	to stay, dwell	*saʔ
295.	hundred	*spaʔ
296.	to hiccough	*sʔaʔ
297.	to touch	*taʔ
298.	to cut	*taʔ
299.	snail	*taʔ
300.	to hinder	*ʧaʔ
301.	ice	*tʰaʔ
302.	blind	*tʰlaʔ
303.	to hang	*waʔ
304.	river	*waʔ
305.	calf of leg	*-waʔ
306.	to flow out	*hɔc
307.	enough, complete	*kɔc
308.	corner	*knhɔc
309.	to detach, untie	*lɔc
310.	penis	*pʰlɔc
311.	throat	*kɔː
312.	what?	*mɔː
313.	how	*-mnɔː
314.	dream	*-pʰɔː
315.	I (unmarked)	*ʔɔ
316.	frog	*ʤkɔːc
317.	early, ready	*klɔ:j
318.	to call, shout	*knhɔ:j
319.	soft	*bɔːɲ
320.	spotted	*brɔːɲ
321.	entirely	*pʰɔːɲ
322.	slip off, come loose	*pʰlɔːr
323.	deaf	*k-lɔ:t
324.	to scratch	*trɔ:t
325.	plentiful	*bɔj
326.	to swing	*dɔj
327.	to cradle, lull	*knʔɔːj
328.	mild, lacking action	*lɔj
329.	to arrive	*pɔj
330.	to crush and sprinkle	*pʰrɔj
331.	to grow, increase	*rɔj
332.	to get thin	*snkɔj
333.	to beat (drum)	*bɔm
334.	in a small group	*lŋrɔm
335.	to tell, narrate	*parɔm
336.	pain, trouble	*ʧtɔm
337.	to be (?)	*dɔn
338.	child	*kʰɔn
339.	nephew, niece	*kʰmɔn
340.	earthen wall	*kntɔn
341.	to fall	*krlɔn
342.	guava-like fruit	*mɔn
343.	will(ing)	*mɔn
344.	tree, plant	*dɔŋ
345.	corner, angle	*dɔŋ
346.	pipe, tube	*-dɔŋ
347.	to possess	*ʤɔŋ
348.	long, tall	*ʤrɔŋ
349.	black	*jɔŋ
350.	to clutch, to claw	*kbɔŋ
351.	nose	*kɔŋ
352.	corner, angle	*kdɔŋ
353.	angle	*kʰɔŋ
354.	floor timbers	*kʰnɔŋ
355.	bottle gourd	*klɔŋ
356.	heart	*klɔŋ-snaːm
357.	large	*knlɔŋ
358.	to lift, prop up	*knrɔŋ
359.	bull, ox	*krtɔŋ
360.	thigh	*lbɔŋ
361.	caterpillar, chrysalis	*lɔŋ
362.	to hurt (tr.)	*mɔŋ
363.	to expect, wait	*mrɔŋ
364.	bed	*palɔŋ
365.	bulge	*pɔŋ
366.	hole	*pɔŋ
367.	to pack, wrap	*sɔŋ
368.	mongoose, weasel	*-sɔŋ
369.	turban	*spɔŋ
370.	to draw, scoop	*tɔŋ
371.	tail	*tdɔŋ
372.	mortar	*tʰlɔŋ
373.	waist, back	*tmpɔŋ
374.	village	*ʧnɔŋ
375.	to say, tell	*ʔɔŋ
376.	elder sibling	*kɔŋ
377.	to win, succeed	*ʤɔp
378.	to sink, wilt	*-lɔp
379.	cover	*sɔp
380.	cover	*skɔp
381.	force, power	*-bɔr
382.	to curve	*dɔr
383.	lips	*lmɔ(ː)r
384.	time	*pɔr
385.	lungs	*tɔr
386.	field, valley	*-tʰɔr~*-tʰaːr
387.	piece, part	*-kʰɔt
388.	to pull off	*knʤrɔt
389.	flute	*-lɔt
390.	fat, grease	*lɁɔt
391.	to cut, cutting	*pʰɔt
392.	to scratch, scrape	*ʧbɔt
393.	porcupine	*ʧkɔt
394.	weak	*tlɔt
395.	to cut, saw	*ʔɔt~*ʔo:t
396.	all, every	*barɔɁ
397.	to hook	*bɔʔ
398.	to kiss	*dɔʔ
399.	meat	*dɔʔ
400.	to bind, adhere	*-dɔʔ
401.	to cough	*-hɔʔ
402.	to get	*jɔʔ
403.	to scratch, scrape	*kbɔʔ
404.	hornbill	*kɔʔ-kraŋ
405.	basket (conical)	*kʰɔʔ
406.	to claw	*kʰwɔʔ
407.	to insert (hand in hole)	*klɔʔ
408.	wall	*knrɔʔ
409.	belly, stomach	*kpɔʔ
410.	joint (of body)	*krɔʔ
411.	to hold	*ksɔʔ
412.	dark, night	*lŋɔʔ
413.	cloud	*lʔɔʔ
414.	to cover	*mɔʔ
415.	to cast, throw	*nɔʔ
416.	in	*pɔɁ
417.	to spill, splash	*pʰalɔʔ
418.	to cram in	*pʰrɔʔ
419.	frog	*-rɔʔ
420.	fertilizer	*sbɔʔ
421.	fruit, flesh	*sɔʔ
422.	correct; must	*tɔʔ
423.	to hit	*ʧɔʔ
424.	to cut, mark	*tʰɔʔ
425.	penis	*tʰlɔʔ
426.	to limp	*tkɔʔ
427.	chin	*tmɔʔ
428.	inside	*ʧpɔɁ
429.	to hook	*wɔʔ
430.	to cough	*kʔɔʔ
431.	you (masc.)	*me
432.	that (mesioproximal)	*te
433.	then	*te
434.	egg	*pnlǝ(ː)ŋ
435.	god	*bleː
436.	also	*de
437.	to hide	*reːʔ
438.	correct	*tneː
439.	to sell	*dǝː
440.	down there, south	*tʰə:
441.	to ask	*tʰəː
442.	oily, greasy	*lŋəːc
443.	woodworm	*rəːc
444.	tongue	*tʰnləːc
445.	to love, pity	*ʔəːc
446.	moon, month	*bnəːj
447.	betel, areca	*kwəːj
448.	to sing	*rwəːj
449.	fallow field	*srəːj
450.	to lick lips	*ʤnləːm
451.	bear	*-ŋəːm
452.	to breathe	*riŋ-sə:m
453.	spirit, soul	*-səːm
454.	leech	*tʰləːm
455.	many	*brhəːn
456.	to prop; pillow	*snkʰəːn
457.	bridge, ladder	*ʤŋkəːŋ
458.	to clean, clean out	*kʰləːŋ
459.	dry	*rkʰəːŋ
460.	house	*ʔjəːŋ
461.	intestines	*snəːr
462.	to choose	*ʤe:t
463.	porcupine	*dŋkʰəːt
464.	night, dark	*məːt
465.	to blow	*pə:t
466.	to open, unfold	*pləːt
467.	to buy	*tʰəːt
468.	vein, tendon, root	*tʰəːt
469.	head	*kʰleːʔ
470.	to snatch	*kneːʔ
471.	earth, mud	*kteːʔ
472.	white	*leːʔ
473.	to fry	*sdeːʔ
474.	skin, bark of tree	*sneːʔ
475.	shield	*ste:ʔ
476.	thorn	*ʧe:ʔ
477.	to split	*tʰle:ʔ
478.	monkey	*ʧreːʔ
479.	earthworm	*weːʔ
480.	to scoop, dig	*pǝ:ʔ
481.	to have/be correct	*dǝj
482.	ashes	*tpǝj
483.	to open	*wǝj
484.	to rise/wake	*kʰəj
485.	liver	*ktʰǝm
486.	to incubate	*-dəm
487.	firm (grasp)	*skʰəm
488.	to take	*tʰəm
489.	not	*ʔəm
490.	tooth	*lmǝɲ
491.	hill, peak	*pdɛŋ
492.	fin, spine	*ʧrǝŋ
493.	hole	*krəŋ
494.	horn	*rəŋ
495.	half	*təŋ
496.	to stand	*ʔjəŋ
497.	time, occasion	*kʰəp
498.	rind, bark	*snəp
499.	to bury	*tʰəp
500.	rattan species	*ŋər
501.	to rotate	*wər
502.	flying white ant	*kpə/ɛr
503.	to strike, knock	*teːt
504.	younger sibling	*bəw
505.	to indicate	*kdəw
506.	earth, mud	*kʰndəw
507.	ten	*pʰəw
508.	smell, stink	*ʔəw
509.	to measure	*tʰəw/uː
510.	lizard	*ʧeʔ
511.	that (distal.non-vis.)	*tɛ
512.	straight	*bɛc
513.	to spatter, scatter	*brɛc
514.	to weed, reap	*kwɛc
515.	to see	*pɛc
516.	sparrow	*pʰrɛc
517.	excrement	*ʔɛc
518.	penis	*kʰlɛː
519.	to scatter	*krɛː
520.	mother	*mɛː
521.	middle	*pʔɛː
522.	laugh	*rkʰɛː
523.	pestle	*snrɛː
524.	to escape	*-trɛː
525.	angry	*ʧrɛː
526.	male	*trmɛː
527.	similar	*srɛːm
528.	king	*sʔɛːm
529.	tracks	*dɛːn
530.	hawk, eagle	*kʰlɛːŋ
531.	wasp, hornet	*kʔɛːŋ
532.	boat	*lɛːŋ
533.	rainbow	*pnlɛːŋ
534.	to wear lower garment	*slɛːŋ
535.	afraid, to fear	*tɛːŋ
536.	bone	*ʧʔɛːŋ
537.	trap	*ʔɛːŋ
538.	tomorrow	*mnstɛ:p
539.	morning	*stɛ:p
540.	to lie	*ʤlɛːr
541.	to fly	*hɛːr
542.	to shake off	*kntʰɛːr
543.	garden	*kpɛːr
544.	to grow, sprout	*mɛːr
545.	feather	*snɛːr
546.	wing	*tʰap-nɛːr
547.	to slip	*tʰlɛːr
548.	startled	*tʰrɛ:t
549.	fish poison	*kʰarɛːw
550.	big	*hɛːʔ
551.	to do	*lɛːʔ
552.	to lie down, bend down	*dɛm
553.	to soak, ferment	*-dɛm
554.	soft	*ʤɛm
555.	bruised	*ʤŋɛm
556.	to squeeze	*kʰɛm
557.	to fall down	*kʰnlɛm
558.	cave	*krɛm
559.	to fart	*ksɛm
560.	cloud	*lnpɛm
561.	spring season	*prʔɛm
562.	to defeat, lose	*rɛm
563.	year	*snɛm
564.	closed mouth (holding/biting something)	*tbɛm
565.	smoke	*tdɛm
566.	chest	*ʧdɛm
567.	to beat	*tɛm
568.	hammer	*trnɛm
569.	happy	*kmɛn
570.	to speak	*krɛn
571.	smooth, dull	*lɛn
572.	alone	*mɛn
573.	elder	*mɛn
574.	thick	*rbɛn
575.	to dam	*sdɛn
576.	python	*tʰlɛn
577.	old	*tnmɛn
578.	body louse	*ʤnrɛɲ
579.	fat, fatty	*kʰlɛɲ
580.	snake	*psɛɲ
581.	fire	*smɛɲ
582.	star	*kʰloːr-smɛɲ
583.	abdomen	*ʤnlɛŋ
584.	pillar	*ʤrɛŋ
585.	everywhere	*knlɛŋ
586.	drum	*ksɛŋ
587.	above	*nɛŋ
588.	very full	*sbɛŋ
589.	to cook	*tɛŋ
590.	to remove	*wɛŋ
591.	happy	*ʔɛŋ
592.	to finish	*dɛp
593.	sharp	*nɛp
594.	to soak	*pʰnɛp
595.	to bury, plant	*tɛp
596.	to bury,	*tlɛp
597.	hut, shelter	*trɛp
598.	dew	*ʤɛr
599.	spinning wheel	*ʤntɛr
600.	to protrude	*-lɛr
601.	to float	*pɛr
602.	to spear	*ʧɛr
603.	yellow	*tŋɛr
604.	to sow, reap	*bɛt
605.	to grate, creak	*kʰrɛt
606.	mistake	*klɛt
607.	to run, flee	*pʰɛt
608.	to shut, block	*sɛt
609.	to wave, fan	*kawɛʔ
610.	to mix	*kʰlɛʔ
611.	to prepare	*kʰrɛʔ
612.	ground rice, flour	*kndɛʔ
613.	pine	*ksɛʔ
614.	bend head back	*lnŋɛʔ
615.	to remain	*nɛʔ
616.	to winnow/fan	*pɛ(:)ʔ
617.	to stop	*sŋɛʔ
618.	spike	*spɛʔ
619.	to tie, bind	*tɛʔ
620.	to pour, spill	*tʰɛʔ
621.	buffalo, cattle	*ʧnrɛʔ
622.	difficult, hard	*ʔɛʔ
623.	they	*ki
624.	to go (modal form)	*li
625.	this (proximal)	*ni
626.	you (plural)	*pʰi
627.	we	*ʔi
628.	he/she/it (inanimate~diminutive)	*ʔi
629.	cucumber	*kʰia
630.	heavy	*kʰia
631.	to split into pieces	*pʰaria
632.	hail	*pʰria
633.	needle	*tʰrnia
634.	tasty	*ŋiam
635.	to clasp, embrace	*piam
636.	finger	*-riam
637.	ripe, cooked	*sian
638.	short, low	*tbian
639.	enough	*biaŋ
640.	left (hand)	*diaŋ
641.	screen, cover	*-diaŋ
642.	cavity	*-hiaŋ
643.	ring, coil, to wind	*kʰwiaŋ
644.	to lend, exchange	*krliaŋ
645.	excrement	*ksiaŋ
646.	seed	*liaŋ
647.	side (of body)	*liaŋ
648.	shoulder	*-liaŋ
649.	cheek, jaw	*miaŋ
650.	fox	*mrsiaŋ
651.	mustard plant	*niaŋ
